"erwst","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence","value"
"Full-time","1984","16-34 y.","Full Time","1819","0.808705994731001","0.79235574572637","0.825056243735632","1"
"Full-time","1984","16-34 y.","Part Time","287","0.311897057069174","0.281597082164944","0.342197031973404","1"
"Full-time","1984","16-34 y.","Not Working","69","0.053654320872322","0.042201305078473","0.0651073366661711","1"
"Full-time","1984","35-65 y.","Full Time","3232","0.935140205491463","0.926901910511083","0.943378500471844","1"
"Full-time","1984","35-65 y.","Part Time","270","0.242863205366085","0.215595140040097","0.270131270692074","1"
"Full-time","1984","35-65 y.","Not Working","28","","","","1"
"Full-time","1984","66 and older","Full Time","14","","","","1"
"Full-time","1984","66 and older","Part Time","2","","","","1"
"Full-time","1984","66 and older","Not Working","1","","","","1"
"Non-working","1984","16-34 y.","Part Time","216","0.23905796856658","0.211162264845433","0.266953672287727","5"
"Non-working","1984","16-34 y.","Not Working","1352","0.904278645507982","0.88932496277881","0.919232328237154","5"
"Non-working","1984","66 and older","Full Time","4","","","","5"
"Non-working","1984","16-34 y.","Full Time","105","0.0506326913054654","0.0415186497965005","0.0597467328144303","5"
"Non-working","1984","35-65 y.","Part Time","147","0.162152016887779","0.138713502557263","0.185590531218296","5"
"Non-working","1984","35-65 y.","Not Working","1914","0.980318367036173","0.974168946563241","0.986467787509105","5"
"Non-working","1984","35-65 y.","Full Time","104","0.0310614113652289","0.02525817969813","0.0368646430323278","5"
"Non-working","1984","66 and older","Part Time","13","","","","5"
"Non-working","1984","66 and older","Not Working","1213","0.998366162694993","0.996096137726426","1.00063618766356","5"
"Other","1984","16-34 y.","Full Time","265","0.125884996017116","0.112095460671999","0.139674531362233","6"
"Other","1984","16-34 y.","Not Working","58","0.0367477620991008","0.027185116335657","0.0463104078625447","6"
"Other","1984","35-65 y.","Full Time","14","","","","6"
"Other","1984","35-65 y.","Part Time","163","0.186143885888696","0.161393356553029","0.210894415224363","6"
"Other","1984","16-34 y.","Part Time","249","0.287343326311019","0.257746124188075","0.316940528433962","6"
"Other","1984","35-65 y.","Not Working","10","","","","6"
"Other","1984","66 and older","Full Time","2","","","","6"
"Other","1984","66 and older","Part Time","18","","","","6"
"Other","1984","66 and older","Not Working","1","","","","6"
"Part-time","1984","16-34 y.","Part Time","146","0.161701648053227","0.137621095281298","0.185782200825156","2"
"Part-time","1984","16-34 y.","Full Time","34","0.014776317946418","0.00976064864228171","0.0197919872505544","2"
"Part-time","1984","16-34 y.","Not Working","8","","","","2"
"Part-time","1984","35-65 y.","Part Time","370","0.40884089185744","0.377578972064409","0.44010281165047","2"
"Part-time","1984","35-65 y.","Not Working","8","","","","2"
"Part-time","1984","66 and older","Full Time","2","","","","2"
"Part-time","1984","66 and older","Part Time","9","","","","2"
"Part-time","1984","66 and older","Not Working","1","","","","2"
"Part-time","1984","35-65 y.","Full Time","83","0.029169778580419","0.0235405433220242","0.0347990138388138","2"
"Full-time","1985","16-34 y.","Full Time","1670","0.86127978527377","0.845898620333768","0.876660950213772","1"
"Full-time","1985","16-34 y.","Part Time","360","0.394233770427474","0.362073793969903","0.426393746885044","1"
"Full-time","1985","16-34 y.","Not Working","54","0.0295811798711654","0.0205632760802264","0.0385990836621044","1"
"Full-time","1985","35-65 y.","Full Time","2854","0.937063222568218","0.928413406887921","0.945713038248515","1"
"Full-time","1985","35-65 y.","Part Time","278","0.253480105463675","0.225876453930613","0.281083756996738","1"
"Full-time","1985","35-65 y.","Not Working","22","","","","1"
"Full-time","1985","66 and older","Full Time","14","","","","1"
"Full-time","1985","66 and older","Part Time","1","","","","1"
"Full-time","1985","66 and older","Not Working","3","","","","1"
"Non-working","1985","16-34 y.","Part Time","191","0.215674386770858","0.188607782964422","0.242740990577294","5"
"Non-working","1985","16-34 y.","Not Working","1230","0.914288967639175","0.899389239341429","0.929188695936922","5"
"Non-working","1985","35-65 y.","Not Working","1754","0.973218025634134","0.965768027027407","0.980668024240862","5"
"Non-working","1985","66 and older","Full Time","2","","","","5"
"Non-working","1985","35-65 y.","Part Time","157","0.171321800852298","0.14741215321343","0.195231448491166","5"
"Non-working","1985","16-34 y.","Full Time","72","0.0337849120432746","0.0257451067754156","0.0418247173111336","5"
"Non-working","1985","35-65 y.","Full Time","84","0.0288082251726421","0.0228504939725775","0.0347659563727067","5"
"Non-working","1985","66 and older","Part Time","2","","","","5"
"Non-working","1985","66 and older","Not Working","1066","0.996596931565781","0.993112408495739","1.00008145463582","5"
"Other","1985","16-34 y.","Full Time","175","0.0946992465637596","0.0816700712180464","0.107728421909473","6"
"Other","1985","16-34 y.","Not Working","52","0.0409153741404328","0.0303717485787606","0.051458999702105","6"
"Other","1985","35-65 y.","Full Time","13","","","","6"
"Other","1985","35-65 y.","Part Time","85","0.0956672417576092","0.0770025998791919","0.114331883636026","6"
"Other","1985","16-34 y.","Part Time","162","0.188718651698548","0.162968520900911","0.214468782496185","6"
"Other","1985","35-65 y.","Not Working","17","","","","6"
"Other","1985","66 and older","Full Time","","","","","6"
"Other","1985","66 and older","Part Time","11","","","","6"
"Other","1985","66 and older","Not Working","3","","","","6"
"Part-time","1985","16-34 y.","Part Time","174","0.20137319110312","0.17498199646675","0.227764385739491","2"
"Part-time","1985","16-34 y.","Full Time","23","","","","2"
"Part-time","1985","16-34 y.","Not Working","20","","","","2"
"Part-time","1985","35-65 y.","Part Time","434","0.479530851926418","0.447829361844774","0.511232342008061","2"
"Part-time","1985","35-65 y.","Not Working","11","","","","2"
"Part-time","1985","66 and older","Full Time","2","","","","2"
"Part-time","1985","66 and older","Part Time","13","","","","2"
"Part-time","1985","66 and older","Not Working","1","","","","2"
"Part-time","1985","35-65 y.","Full Time","77","0.0282067991504098","0.0223097603300707","0.0341038379707489","2"
"Full-time","1986","16-34 y.","Full Time","1656","0.848454112837015","0.832595558078042","0.864312667595988","1"
"Full-time","1986","16-34 y.","Part Time","302","0.324162728724721","0.293360021341699","0.354965436107743","1"
"Full-time","1986","16-34 y.","Not Working","55","0.0492888586876287","0.0372741419296277","0.0613035754456296","1"
"Full-time","1986","35-65 y.","Full Time","2754","0.949479506336575","0.94149034319763","0.95746866947552","1"
