"erwst","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Part-time","1986","direct migration background","West Germany","118","0.0547801163281713","0.0464347214879352","0.0631255111684075","2"
"Part-time","1986","direct migration background","East Germany","","","","","2"
"Part-time","1986","indirect migration background","West Germany","12","","","","2"
"Part-time","1986","indirect migration background","East Germany","","","","","2"
"Full-time","1987","no migration background","West Germany","3286","0.413377756791177","0.40222631536051","0.424529198221844","1"
"Full-time","1987","no migration background","East Germany","","","","","1"
"Full-time","1987","direct migration background","West Germany","1616","0.504113184976868","0.485731244180224","0.522495125773512","1"
"Full-time","1987","direct migration background","East Germany","","","","","1"
"Full-time","1987","indirect migration background","West Germany","55","0.344518814213188","0.274510753886836","0.414526874539541","1"
"Full-time","1987","indirect migration background","East Germany","","","","","1"
"Non-working","1987","no migration background","East Germany","","","","","5"
"Non-working","1987","no migration background","West Germany","3159","0.462014437191003","0.450724506482005","0.473304367900002","5"
"Non-working","1987","direct migration background","East Germany","","","","","5"
"Non-working","1987","direct migration background","West Germany","969","0.395684980880387","0.377706933064493","0.41366302869628","5"
"Non-working","1987","indirect migration background","West Germany","85","0.485126591773872","0.411499231643062","0.558753951904681","5"
"Non-working","1987","indirect migration background","East Germany","","","","","5"
"Other","1987","no migration background","West Germany","494","0.0570154570329018","0.0517646412198721","0.0622662728459314","6"
"Other","1987","no migration background","East Germany","","","","","6"
"Other","1987","direct migration background","West Germany","128","0.040601772683952","0.0333455933475856","0.0478579520203183","6"
"Other","1987","indirect migration background","West Germany","29","","","","6"
"Other","1987","direct migration background","East Germany","","","","","6"
"Other","1987","indirect migration background","East Germany","","","","","6"
"Part-time","1987","no migration background","East Germany","","","","","2"
"Part-time","1987","no migration background","West Germany","552","0.0675923489849176","0.0619073567417486","0.0732773412280867","2"
"Part-time","1987","direct migration background","East Germany","","","","","2"
"Part-time","1987","direct migration background","West Germany","129","0.0596000614587936","0.0508961251571992","0.0683039977603879","2"
"Part-time","1987","indirect migration background","West Germany","8","","","","2"
"Part-time","1987","indirect migration background","East Germany","","","","","2"
"Full-time","1988","no migration background","West Germany","3118","0.415077969838544","0.403622345470611","0.426533594206476","1"
"Full-time","1988","no migration background","East Germany","","","","","1"
"Full-time","1988","direct migration background","West Germany","1482","0.490014232374108","0.471119703601374","0.508908761146841","1"
"Full-time","1988","direct migration background","East Germany","","","","","1"
"Full-time","1988","indirect migration background","West Germany","69","0.297128850927336","0.237282957878456","0.356974743976216","1"
"Full-time","1988","indirect migration background","East Germany","","","","","1"
"Non-working","1988","no migration background","West Germany","2988","0.461352067625534","0.449762328312718","0.47294180693835","5"
"Non-working","1988","no migration background","East Germany","","","","","5"
"Non-working","1988","direct migration background","West Germany","942","0.410719349112386","0.392124769593837","0.429313928630936","5"
"Non-working","1988","direct migration background","East Germany","","","","","5"
"Non-working","1988","indirect migration background","West Germany","103","0.479843688615423","0.414419113406773","0.545268263824074","5"
"Non-working","1988","indirect migration background","East Germany","","","","","5"
"Other","1988","no migration background","West Germany","465","0.0549107411835468","0.0496144726119672","0.0602070097551264","6"
"Other","1988","no migration background","East Germany","","","","","6"
"Other","1988","direct migration background","West Germany","131","0.0419103279693967","0.0343364849582979","0.0494841709804955","6"
"Other","1988","direct migration background","East Germany","","","","","6"
"Other","1988","indirect migration background","West Germany","42","0.138940351112749","0.0936448679355777","0.18423583428992","6"
"Other","1988","indirect migration background","East Germany","","","","","6"
"Part-time","1988","no migration background","West Germany","536","0.0686592213523758","0.0627801506960237","0.0745382920087279","2"
"Part-time","1988","no migration background","East Germany","","","","","2"
"Part-time","1988","direct migration background","East Germany","","","","","2"
"Part-time","1988","direct migration background","West Germany","134","0.0573560905441093","0.0485675594490372","0.0661446216391813","2"
"Part-time","1988","indirect migration background","West Germany","10","","","","2"
"Part-time","1988","indirect migration background","East Germany","","","","","2"
"Full-time","1989","no migration background","West Germany","3086","0.424342337703246","0.412632115170574","0.436052560235919","1"
"Full-time","1989","no migration background","East Germany","","","","","1"
"Full-time","1989","direct migration background","West Germany","1464","0.486812268730328","0.4676220566059","0.506002480854756","1"
"Full-time","1989","direct migration background","East Germany","","","","","1"
"Full-time","1989","indirect migration background","West Germany","82","0.253886079797699","0.200982698184036","0.306789461411361","1"
"Full-time","1989","indirect migration background","East Germany","","","","","1"
"Non-working","1989","no migration background","East Germany","","","","","5"
"Non-working","1989","no migration background","West Germany","2799","0.451514361879045","0.439723562886776","0.463305160871315","5"
"Non-working","1989","direct migration background","East Germany","","","","","5"
"Non-working","1989","direct migration background","West Germany","907","0.424088697185816","0.405114341595011","0.443063052776621","5"
"Non-working","1989","indirect migration background","West Germany","123","0.515006349769769","0.454257825095926","0.575754874443612","5"
"Non-working","1989","indirect migration background","East Germany","","","","","5"
"Other","1989","no migration background","West Germany","429","0.0533651140116927","0.0480398052349233","0.0586904227884621","6"
"Other","1989","no migration background","East Germany","","","","","6"
"Other","1989","indirect migration background","West Germany","39","0.112901686981883","0.0744338728181244","0.151369501145641","6"
"Other","1989","direct migration background","West Germany","106","0.03438095777047","0.0273853930067176","0.0413765225342223","6"
"Other","1989","direct migration background","East Germany","","","","","6"
"Other","1989","indirect migration background","East Germany","","","","","6"
"Part-time","1989","no migration background","East Germany","","","","","2"
"Part-time","1989","no migration background","West Germany","529","0.0707781864060157","0.0647019559901048","0.0768544168219265","2"
"Part-time","1989","direct migration background","East Germany","","","","","2"
"Part-time","1989","direct migration background","West Germany","129","0.0547180763133866","0.045986212124761","0.0634499405020122","2"
"Part-time","1989","indirect migration background","West Germany","16","","","","2"
"Part-time","1989","indirect migration background","East Germany","","","","","2"
"Full-time","1990","no migration background","West Germany","3000","0.42793273175475","0.416058747275269","0.439806716234231","1"
"Full-time","1990","no migration background","East Germany","2798","0.602639863773986","0.588023741944021","0.617255985603952","1"
"Full-time","1990","direct migration background","West Germany","1427","0.495869974477729","0.476467905246116","0.515272043709343","1"
"Full-time","1990","direct migration background","East Germany","86","0.517643412970803","0.436029105887647","0.599257720053959","1"
"Full-time","1990","indirect migration background","West Germany","96","0.276180498329026","0.225245783388305","0.327115213269747","1"
"Full-time","1990","indirect migration background","East Germany","2","","","","1"
"Non-working","1990","no migration background","West Germany","2726","0.442894405340959","0.430973642961602","0.454815167720316","5"
"Non-working","1990","no migration background","East Germany","968","0.284344190238786","0.270870537235278","0.297817843242295","5"
"Non-working","1990","direct migration background","East Germany","47","0.413398897747034","0.332967995687417","0.493829799806651","5"
"Non-working","1990","direct migration background","West Germany","892","0.403672700640456","0.384633447966483","0.422711953314428","5"
"Non-working","1990","indirect migration background","West Germany","130","0.49414696936788","0.437190575883129","0.551103362852632","5"
"Non-working","1990","indirect migration background","East Germany","","","","","5"
"Other","1990","no migration background","West Germany","382","0.0508588105648302","0.0455861030143188","0.0561315181153415","6"
"Other","1990","no migration background","East Germany","142","0.0292041591853918","0.0241749768056074","0.0342333415651761","6"
"Other","1990","direct migration background","West Germany","89","0.0320105667395054","0.0251797151205269","0.0388414183584839","6"
"Other","1990","indirect migration background","West Germany","52","0.130629077895745","0.092238493673022","0.169019662118469","6"
"Other","1990","direct migration background","East Germany","1","","","","6"
"Other","1990","indirect migration background","East Germany","","","","","6"
"Part-time","1990","no migration background","West Germany","562","0.0783140523394607","0.0718664758109654","0.0847616288679559","2"
"Part-time","1990","no migration background","East Germany","398","0.0838117868018352","0.0755351103517376","0.0920884632519327","2"
"Part-time","1990","direct migration background","West Germany","143","0.0684467581423096","0.0586479524868373","0.078245563797782","2"
"Part-time","1990","direct migration background","East Germany","10","","","","2"
"Part-time","1990","indirect migration background","West Germany","18","","","","2"
"Part-time","1990","indirect migration background","East Germany","","","","","2"
"Full-time","1991","no migration background","West Germany","2999","0.423168223041735","0.411297209368601","0.435039236714868","1"
"Full-time","1991","no migration background","East Germany","2391","0.541501007611254","0.52609422509193","0.556907790130579","1"
"Full-time","1991","direct migration background","West Germany","1420","0.508050311049784","0.488461045916213","0.527639576183354","1"
"Full-time","1991","direct migration background","East Germany","65","0.40823344504041","0.327392120980469","0.489074769100352","1"
"Full-time","1991","indirect migration background","West Germany","110","0.296812598437093","0.24888208473418","0.344743112140006","1"
"Full-time","1991","indirect migration background","East Germany","2","","","","1"
"Non-working","1991","no migration background","East Germany","1261","0.379245485422631","0.364242997770607","0.394247973074654","5"
"Non-working","1991","no migration background","West Germany","2645","0.438116359617622","0.426195032042974","0.450037687192271","5"
"Non-working","1991","direct migration background","East Germany","66","0.532024122106794","0.449954711488778","0.61409353272481","5"
"Non-working","1991","direct migration background","West Germany","831","0.384027955549622","0.36497043662688","0.403085474472363","5"
"Non-working","1991","indirect migration background","West Germany","137","0.399707991421097","0.348316872434763","0.45109911040743","5"
"Non-working","1991","indirect migration background","East Germany","1","","","","5"
"Other","1991","no migration background","West Germany","428","0.0574974719356173","0.0519041176371108","0.0630908262341239","6"
"Other","1991","no migration background","East Germany","143","0.0296848384357701","0.0244371640649583","0.034932512806582","6"
"Other","1991","indirect migration background","West Germany","80","0.198785785855391","0.15691584342531","0.240655728285471","6"
"Other","1991","direct migration background","West Germany","105","0.0443235505328045","0.0362590560077195","0.0523880450578895","6"
"Other","1991","direct migration background","East Germany","2","","","","6"
"Other","1991","indirect migration background","East Germany","","","","","6"
"Part-time","1991","no migration background","East Germany","223","0.0495686685303451","0.0428573612470596","0.0562799758136306","2"
"Part-time","1991","no migration background","West Germany","582","0.0812179454050257","0.0746543931950457","0.0877814976150057","2"
"Part-time","1991","direct migration background","West Germany","146","0.0635981828677902","0.0540359808249651","0.0731603849106153","2"
"Part-time","1991","direct migration background","East Germany","9","","","","2"
"Part-time","1991","indirect migration background","West Germany","22","","","","2"
"Part-time","1991","indirect migration background","East Germany","","","","","2"
"Full-time","1992","no migration background","West Germany","2971","0.422255408643244","0.410314019027891","0.434196798258597","1"
"Full-time","1992","no migration background","East Germany","2055","0.48179313005526","0.465983049744079","0.497603210366441","1"
"Full-time","1992","direct migration background","West Germany","1324","0.491899968071797","0.472002160441713","0.511797775701882","1"
"Full-time","1992","direct migration background","East Germany","52","0.317489937292736","0.241982248865861","0.392997625719611","1"
"Full-time","1992","indirect migration background","West Germany","122","0.263586599237182","0.220464647455131","0.306708551019233","1"
"Full-time","1992","indirect migration background","East Germany","1","","","","1"
"Non-working","1992","no migration background","West Germany","2662","0.447975489203093","0.435952689259568","0.459998289146619","5"
"Non-working","1992","no migration background","East Germany","1461","0.447763974269672","0.43202997472763","0.463497973811714","5"
"Non-working","1992","direct migration background","East Germany","87","0.654773732626152","0.577653345002112","0.731894120250192","5"
"Non-working","1992","direct migration background","West Germany","861","0.398945963773979","0.379456225085696","0.418435702462263","5"
"Non-working","1992","indirect migration background","West Germany","168","0.442901854991846","0.394284031731158","0.491519678252535","5"
"Non-working","1992","indirect migration background","East Germany","7","","","","5"
"Other","1992","no migration background","West Germany","336","0.0459645012363912","0.0409016769243572","0.0510273255484252","6"
"Other","1992","no migration background","East Germany","167","0.0359916881392954","0.0300979112806915","0.0418854649978993","6"
"Other","1992","direct migration background","West Germany","85","0.0394524123261276","0.0317044331633352","0.0472003914889201","6"
"Other","1992","indirect migration background","West Germany","85","0.189787990068206","0.151407580384727","0.228168399751685","6"
"Other","1992","direct migration background","East Germany","2","","","","6"
"Other","1992","indirect migration background","East Germany","2","","","","6"
"Part-time","1992","no migration background","West Germany","603","0.0838046009172717","0.077105333746788","0.0905038680877554","2"
"Part-time","1992","no migration background","East Germany","154","0.0344512075357728","0.0286803343832624","0.0402220806882831","2"
"Part-time","1992","direct migration background","East Germany","5","","","","2"
"Part-time","1992","direct migration background","West Germany","155","0.0697016558280956","0.0595666292674179","0.0798366823887732","2"
"Part-time","1992","indirect migration background","West Germany","26","","","","2"
"Part-time","1992","indirect migration background","East Germany","","","","","2"
"Full-time","1993","no migration background","West Germany","2939","0.419851707517762","0.407866606883996","0.431836808151529","1"
"Full-time","1993","no migration background","East Germany","1878","0.45276684332674","0.43670636715872","0.468827319494761","1"
"Full-time","1993","direct migration background","West Germany","1264","0.501396992474008","0.481233003393398","0.521560981554619","1"
"Full-time","1993","direct migration background","East Germany","43","0.271208744952508","0.196489571731859","0.345927918173158","1"
"Full-time","1993","indirect migration background","West Germany","152","0.273500676116041","0.232854105227412","0.31414724700467","1"
"Full-time","1993","indirect migration background","East Germany","2","","","","1"
"Non-working","1993","no migration background","East Germany","1473","0.466739206423273","0.450642320102689","0.482836092743857","5"
"Non-working","1993","no migration background","West Germany","2633","0.446536027076102","0.434463529022344","0.458608525129861","5"
"Non-working","1993","direct migration background","East Germany","88","0.704616592873314","0.627942593376693","0.781290592369934","5"
"Non-working","1993","direct migration background","West Germany","879","0.404375427687996","0.384583557850784","0.424167297525207","5"
"Non-working","1993","indirect migration background","West Germany","181","0.432616017837764","0.387439064810007","0.47779297086552","5"
"Non-working","1993","indirect migration background","East Germany","6","","","","5"
"Other","1993","no migration background","West Germany","346","0.0493164944562742","0.0440582800283475","0.054574708884201","6"
"Other","1993","no migration background","East Germany","188","0.0448682495534471","0.0381888701607144","0.0515476289461797","6"
"Other","1993","direct migration background","West Germany","65","0.0294672588873179","0.0226472787595966","0.0362872390150392","6"
"Other","1993","direct migration background","East Germany","2","","","","6"
"Other","1993","indirect migration background","West Germany","113","0.245316367205193","0.20608144179647","0.284551292613916","6"
"Other","1993","indirect migration background","East Germany","6","","","","6"
"Part-time","1993","no migration background","East Germany","151","0.0356257006965392","0.0296451740556403","0.0416062273374381","2"
"Part-time","1993","no migration background","West Germany","596","0.084295770949861","0.0775488640506845","0.0910426778490376","2"
"Part-time","1993","direct migration background","West Germany","154","0.0647603209506779","0.0548354675009494","0.0746851744004065","2"
"Part-time","1993","direct migration background","East Germany","3","","","","2"
"Part-time","1993","indirect migration background","West Germany","16","","","","2"
"Part-time","1993","indirect migration background","East Germany","","","","","2"
"Full-time","1994","no migration background","West Germany","2879","0.413156920685712","0.401135518148394","0.425178323223031","1"
"Full-time","1994","no migration background","East Germany","1795","0.44119341842417","0.425038682030399","0.457348154817941","1"
"Full-time","1994","direct migration background","West Germany","1113","0.454690456649315","0.434028198913572","0.475352714385058","1"
"Full-time","1994","direct migration background","East Germany","43","0.273664133654039","0.20059099550823","0.346737271799848","1"
"Full-time","1994","indirect migration background","West Germany","167","0.302837230034679","0.261731799786594","0.343942660282763","1"
"Full-time","1994","indirect migration background","East Germany","3","","","","1"
"Non-working","1994","no migration background","West Germany","2684","0.460583945510657","0.448414999561318","0.472752891459995","5"
"Non-working","1994","no migration background","East Germany","1471","0.476137556909226","0.459888451405076","0.492386662413375","5"
"Non-working","1994","direct migration background","East Germany","92","0.68823538304798","0.612314372052759","0.7641563940432","5"
"Non-working","1994","direct migration background","West Germany","913","0.446668559551062","0.426039298494639","0.467297820607485","5"
"Non-working","1994","indirect migration background","West Germany","195","0.442741011638231","0.398305427877791","0.487176595398671","5"
"Non-working","1994","indirect migration background","East Germany","7","","","","5"
"Other","1994","no migration background","East Germany","193","0.0419286570239294","0.0354077349844457","0.048449579063413","6"
"Other","1994","no migration background","West Germany","326","0.0465730355005898","0.0414284828314434","0.0517175881697361","6"
"Other","1994","direct migration background","West Germany","69","0.0354792907829877","0.0278031744271509","0.0431554071388244","6"
"Other","1994","direct migration background","East Germany","3","","","","6"
"Other","1994","indirect migration background","West Germany","99","0.197607247996103","0.161984911166477","0.233229584825729","6"
"Other","1994","indirect migration background","East Germany","6","","","","6"
"Part-time","1994","no migration background","West Germany","556","0.0796860983030414","0.0730746607123459","0.0862975358937368","2"
"Part-time","1994","no migration background","East Germany","170","0.0407403676426748","0.0343085286650807","0.0471722066202689","2"
"Part-time","1994","direct migration background","East Germany","5","","","","2"
"Part-time","1994","direct migration background","West Germany","136","0.0631616930166359","0.0530678276575724","0.0732555583756994","2"
"Part-time","1994","indirect migration background","West Germany","19","","","","2"
"Part-time","1994","indirect migration background","East Germany","","","","","2"
"Full-time","1995","no migration background","West Germany","2931","0.410155542733925","0.398194525208842","0.422116560259007","1"
"Full-time","1995","no migration background","East Germany","1757","0.44097779954247","0.424635934632365","0.457319664452575","1"
"Full-time","1995","direct migration background","East Germany","43","0.296440323617655","0.221589052158285","0.371291595077026","1"
"Full-time","1995","direct migration background","West Germany","1243","0.411515295616182","0.392852713667413","0.430177877564951","1"
"Full-time","1995","indirect migration background","East Germany","4","","","","1"
"Full-time","1995","indirect migration background","West Germany","179","0.304020621827336","0.263579834328034","0.344461409326637","1"
"Non-working","1995","no migration background","East Germany","1399","0.466797230939783","0.450376629538375","0.483217832341192","5"
"Non-working","1995","no migration background","West Germany","2632","0.459180615023514","0.447062279281662","0.471298950765366","5"
"Non-working","1995","direct migration background","East Germany","88","0.652463607938601","0.574416221760437","0.730510994116765","5"
"Non-working","1995","direct migration background","West Germany","1164","0.483757417703586","0.464805556028286","0.502709279378887","5"
"Non-working","1995","indirect migration background","West Germany","196","0.44009800457936","0.396456410649921","0.483739598508799","5"
"Non-working","1995","indirect migration background","East Germany","5","","","","5"
"Other","1995","no migration background","West Germany","353","0.0490432204930409","0.0437915803076764","0.0542948606784053","6"
"Other","1995","no migration background","East Germany","188","0.0434427132924528","0.0367331741847107","0.0501522524001949","6"
"Other","1995","direct migration background","West Germany","102","0.0424963967503335","0.0348464676612407","0.0501463258394263","6"
"Other","1995","direct migration background","East Germany","2","","","","6"
"Other","1995","indirect migration background","West Germany","99","0.198927040937239","0.163831427012352","0.234022654862125","6"
"Other","1995","indirect migration background","East Germany","6","","","","6"
"Part-time","1995","no migration background","East Germany","202","0.0487822562252938","0.0416922006676521","0.0558723117829356","2"
"Part-time","1995","no migration background","West Germany","580","0.0816206217495203","0.074962739746846","0.0882785037521946","2"
"Part-time","1995","direct migration background","East Germany","10","","","","2"
"Part-time","1995","direct migration background","West Germany","162","0.0622308899298982","0.0530694842579452","0.0713922956018511","2"
"Part-time","1995","indirect migration background","West Germany","23","","","","2"
"Part-time","1995","indirect migration background","East Germany","1","","","","2"
"Full-time","1996","no migration background","West Germany","2876","0.405928933297849","0.393915736059897","0.4179421305358","1"
"Full-time","1996","no migration background","East Germany","1687","0.425671892555749","0.409372519321661","0.441971265789837","1"
"Full-time","1996","direct migration background","West Germany","1111","0.397395016147369","0.378135302831175","0.416654729463563","1"
"Full-time","1996","direct migration background","East Germany","41","0.26626186928729","0.193305440442647","0.339218298131933","1"
"Full-time","1996","indirect migration background","West Germany","195","0.311213256327086","0.271759197394309","0.350667315259863","1"
"Full-time","1996","indirect migration background","East Germany","6","","","","1"
"Non-working","1996","no migration background","East Germany","1455","0.481600103172843","0.46512875601003","0.498071450335657","5"
"Non-working","1996","no migration background","West Germany","2581","0.457301158561443","0.445114209350152","0.469488107772735","5"
"Non-working","1996","direct migration background","East Germany","90","0.687792456598136","0.611305226288902","0.764279686907369","5"
"Non-working","1996","direct migration background","West Germany","1090","0.485340636331509","0.465670583899764","0.505010688763255","5"
"Non-working","1996","indirect migration background","West Germany","219","0.457649335424882","0.41519453913522","0.500104131714544","5"
"Non-working","1996","indirect migration background","East Germany","8","","","","5"
"Other","1996","no migration background","West Germany","330","0.0455895253999627","0.0404866550145639","0.0506923957853616","6"
"Other","1996","no migration background","East Germany","187","0.0408656657624358","0.0343392852657145","0.0473920462591571","6"
"Other","1996","direct migration background","West Germany","92","0.0449736188834808","0.0368170247534124","0.0531302130135492","6"
"Other","1996","direct migration background","East Germany","3","","","","6"
"Other","1996","indirect migration background","West Germany","92","0.177600733188258","0.145033265614398","0.210168200762117","6"
"Other","1996","indirect migration background","East Germany","6","","","","6"
"Part-time","1996","no migration background","East Germany","206","0.0518623385089721","0.0445523763530967","0.0591723006648476","2"
"Part-time","1996","no migration background","West Germany","632","0.0911803827407457","0.0841382540859534","0.0982225113955381","2"
"Part-time","1996","direct migration background","East Germany","7","","","","2"
"Part-time","1996","direct migration background","West Germany","187","0.0722907286376409","0.0620984919576821","0.0824829653175998","2"
"Part-time","1996","indirect migration background","West Germany","23","","","","2"
"Part-time","1996","indirect migration background","East Germany","","","","","2"
"Full-time","1997","no migration background","West Germany","2805","0.400883703383734","0.388830796481008","0.412936610286459","1"
"Full-time","1997","no migration background","East Germany","1649","0.415227488173745","0.398895584949156","0.431559391398335","1"
"Full-time","1997","direct migration background","East Germany","38","0.259513373307912","0.184730937538326","0.334295809077497","1"
"Full-time","1997","direct migration background","West Germany","1046","0.39821138877416","0.378461215503456","0.417961562044865","1"
"Full-time","1997","indirect migration background","East Germany","6","","","","1"
"Full-time","1997","indirect migration background","West Germany","201","0.309277849841062","0.270755601588117","0.347800098094007","1"
"Non-working","1997","no migration background","West Germany","2623","0.470559992062705","0.458284386855813","0.482835597269598","5"
"Non-working","1997","no migration background","East Germany","1476","0.494352210780792","0.477781445275925","0.510922976285658","5"
"Non-working","1997","direct migration background","West Germany","1078","0.487755738561782","0.467589178030713","0.507922299092851","5"
"Non-working","1997","direct migration background","East Germany","87","0.705333896380771","0.627561838037021","0.783105954724521","5"
"Non-working","1997","indirect migration background","West Germany","210","0.409277407360628","0.368296062926517","0.450258751794738","5"
"Non-working","1997","indirect migration background","East Germany","11","","","","5"
"Other","1997","no migration background","West Germany","320","0.0415606473865617","0.0366521280615207","0.0464691667116027","6"
"Other","1997","no migration background","East Germany","182","0.0392494009797796","0.0328133107601309","0.0456854911994283","6"
"Other","1997","direct migration background","West Germany","79","0.0393681064003168","0.0315222048717755","0.0472140079288581","6"
"Other","1997","direct migration background","East Germany","3","","","","6"
"Other","1997","indirect migration background","West Germany","103","0.187349727450517","0.154828726742581","0.219870728158454","6"
"Other","1997","indirect migration background","East Germany","4","","","","6"
"Part-time","1997","no migration background","West Germany","603","0.0869956571669992","0.0800643963241727","0.0939269180098257","2"
"Part-time","1997","no migration background","East Germany","190","0.0511709000656836","0.0438678243925567","0.0584739757388106","2"
"Part-time","1997","direct migration background","East Germany","4","","","","2"
"Part-time","1997","direct migration background","West Germany","157","0.0746647662637409","0.0640600392362731","0.0852694932912086","2"
"Part-time","1997","indirect migration background","West Germany","39","0.0940950153477931","0.0697612027694564","0.11842882792613","2"
"Part-time","1997","indirect migration background","East Germany","1","","","","2"
"Full-time","1998","no migration background","West Germany","3281","0.395488438656772","0.384467998103224","0.40650887921032","1"
"Full-time","1998","no migration background","East Germany","1705","0.404145636283473","0.388418440291361","0.419872832275584","1"
"Full-time","1998","direct migration background","East Germany","30","0.226607798076061","0.151391504293998","0.301824091858124","1"
"Full-time","1998","direct migration background","West Germany","1007","0.414588499325411","0.394463555271798","0.434713443379023","1"
"Full-time","1998","indirect migration background","East Germany","5","","","","1"
"Full-time","1998","indirect migration background","West Germany","215","0.333575817322397","0.295138167561643","0.372013467083152","1"
