"erwst","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","lower secondary degree","no migration background","2240","0.382468994474607","0.369566391290697","0.395371597658517"
"Full-time","1984","lower secondary degree","direct migration background","292","0.456436107909551","0.416811129186356","0.496061086632746"
"Full-time","1984","lower secondary degree","indirect migration background","21","","",""
"Full-time","1984","secondary school degree","no migration background","817","0.437752651307881","0.414744301879517","0.460761000736244"
"Full-time","1984","secondary school degree","direct migration background","51","0.372586983051466","0.294160585861865","0.451013380241066"
"Full-time","1984","secondary school degree","indirect migration background","7","","",""
"Full-time","1984","college entrance qualification","no migration background","573","0.479618921059575","0.450943637689605","0.508294204429545"
"Full-time","1984","college entrance qualification","direct migration background","46","0.362101214839459","0.276467204240312","0.447735225438605"
"Full-time","1984","college entrance qualification","indirect migration background","2","","",""
"Full-time","1984","Other degree","no migration background","19","","",""
"Full-time","1984","Other degree","direct migration background","991","0.708512307965427","0.684783473604699","0.732241142326156"
"Full-time","1984","Other degree","indirect migration background","3","","",""
"Full-time","1984","no degree/no degree yet","no migration background","21","","",""
"Full-time","1984","no degree/no degree yet","direct migration background","594","0.536392768765554","0.506415088953846","0.566370448577263"
"Full-time","1984","no degree/no degree yet","indirect migration background","2","","",""
"Part-time","1984","lower secondary degree","no migration background","328","0.0543989779261949","0.0483775543816816","0.0604204014707082"
"Part-time","1984","lower secondary degree","direct migration background","32","0.0745575340938075","0.0536610016553942","0.0954540665322208"
"Part-time","1984","lower secondary degree","indirect migration background","4","","",""
"Part-time","1984","secondary school degree","no migration background","123","0.0600689907780157","0.0490490180366509","0.0710889635193805"
"Part-time","1984","secondary school degree","direct migration background","14","","",""
"Part-time","1984","secondary school degree","indirect migration background","1","","",""
"Part-time","1984","college entrance qualification","no migration background","70","0.0571164013617541","0.0437962771458674","0.0704365255776409"
"Part-time","1984","college entrance qualification","direct migration background","10","","",""
"Part-time","1984","college entrance qualification","indirect migration background","1","","",""
"Part-time","1984","Other degree","no migration background","1","","",""
"Part-time","1984","Other degree","direct migration background","42","0.0239188375605178","0.0159406251476732","0.0318970499733624"
"Part-time","1984","Other degree","indirect migration background","","","",""
"Part-time","1984","no degree/no degree yet","no migration background","3","","",""
"Part-time","1984","no degree/no degree yet","direct migration background","27","","",""
"Part-time","1984","no degree/no degree yet","indirect migration background","","","",""
"Non-working","1984","lower secondary degree","no migration background","2586","0.512787720733073","0.499517511788963","0.526057929677182"
"Non-working","1984","lower secondary degree","direct migration background","214","0.415248940451437","0.376048267668708","0.454449613234165"
"Non-working","1984","lower secondary degree","indirect migration background","28","","",""
"Non-working","1984","secondary school degree","no migration background","650","0.397370941751362","0.374675927953369","0.420065955549355"
"Non-working","1984","secondary school degree","direct migration background","63","0.454324956602116","0.373560178195147","0.535089735009085"
"Non-working","1984","secondary school degree","indirect migration background","13","","",""
"Non-working","1984","college entrance qualification","no migration background","423","0.380270517950335","0.352406340804673","0.408134695095998"
"Non-working","1984","college entrance qualification","direct migration background","58","0.507802973227444","0.418724550512046","0.596881395942842"
"Non-working","1984","college entrance qualification","indirect migration background","3","","",""
"Non-working","1984","Other degree","no migration background","15","","",""
"Non-working","1984","Other degree","direct migration background","342","0.240060203141706","0.217758282129848","0.262362124153565"
"Non-working","1984","Other degree","indirect migration background","4","","",""
"Non-working","1984","no degree/no degree yet","no migration background","197","0.87633171554596","0.833506594876893","0.919156836215026"
"Non-working","1984","no degree/no degree yet","direct migration background","422","0.420354369286758","0.390680749682833","0.450027988890683"
"Non-working","1984","no degree/no degree yet","indirect migration background","11","","",""
"Other","1984","lower secondary degree","no migration background","296","0.0503443068661252","0.0445392281790067","0.0561493855532438"
"Other","1984","lower secondary degree","direct migration background","69","0.0537574175452048","0.0358152797276218","0.0716995553627878"
"Other","1984","lower secondary degree","indirect migration background","17","","",""
"Other","1984","secondary school degree","no migration background","196","0.104807416162741","0.0906017498578731","0.119013082467609"
"Other","1984","secondary school degree","direct migration background","18","","",""
"Other","1984","secondary school degree","indirect migration background","7","","",""
"Other","1984","college entrance qualification","no migration background","100","0.0829941596283357","0.0671595036445811","0.0988288156120903"
"Other","1984","college entrance qualification","direct migration background","7","","",""
"Other","1984","college entrance qualification","indirect migration background","2","","",""
"Other","1984","Other degree","no migration background","2","","",""
"Other","1984","Other degree","direct migration background","34","0.0275086513323488","0.0189684105147818","0.0360488921499158"
"Other","1984","Other degree","indirect migration background","","","",""
"Other","1984","no degree/no degree yet","no migration background","6","","",""
"Other","1984","no degree/no degree yet","direct migration background","20","","",""
"Other","1984","no degree/no degree yet","indirect migration background","1","","",""
"Full-time","1985","lower secondary degree","no migration background","2027","0.384738671356276","0.371041707457274","0.398435635255277"
"Full-time","1985","lower secondary degree","direct migration background","300","0.462914063833423","0.421872052175204","0.503956075491643"
"Full-time","1985","lower secondary degree","indirect migration background","25","","",""
"Full-time","1985","secondary school degree","no migration background","822","0.457918354503853","0.434303981828299","0.481532727179408"
"Full-time","1985","secondary school degree","direct migration background","53","0.376437767489976","0.296750228424742","0.45612530655521"
"Full-time","1985","secondary school degree","indirect migration background","9","","",""
"Full-time","1985","college entrance qualification","no migration background","575","0.507720047988085","0.478362233178055","0.537077862798114"
"Full-time","1985","college entrance qualification","direct migration background","45","0.382805358333687","0.292785327517992","0.472825389149383"
"Full-time","1985","college entrance qualification","indirect migration background","1","","",""
"Full-time","1985","Other degree","no migration background","19","","",""
"Full-time","1985","Other degree","direct migration background","831","0.703970684008175","0.677924042352932","0.730017325663418"
"Full-time","1985","Other degree","indirect migration background","2","","",""
"Full-time","1985","no degree/no degree yet","no migration background","17","","",""
"Full-time","1985","no degree/no degree yet","direct migration background","463","0.501286939863548","0.467850496532929","0.534723383194167"
"Full-time","1985","no degree/no degree yet","indirect migration background","3","","",""
"Part-time","1985","lower secondary degree","no migration background","382","0.0707130488909788","0.0634963882717619","0.0779297095101957"
"Part-time","1985","lower secondary degree","direct migration background","26","","",""
"Part-time","1985","lower secondary degree","indirect migration background","6","","",""
"Part-time","1985","secondary school degree","no migration background","146","0.0739813720459584","0.0615756773755058","0.086387066716411"
"Part-time","1985","secondary school degree","direct migration background","15","","",""
"Part-time","1985","secondary school degree","indirect migration background","1","","",""
"Part-time","1985","college entrance qualification","no migration background","82","0.0705243379146932","0.0554896639139938","0.0855590119153927"
"Part-time","1985","college entrance qualification","direct migration background","9","","",""
"Part-time","1985","college entrance qualification","indirect migration background","","","",""
