"erwst","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","no migration background","(0) in school","","","",""
"Full-time","1984","no migration background","(1a) inadequately completed","","","",""
"Full-time","1984","no migration background","(1b) general elementary school","410","0.190816791239962","0.173389547925568","0.208244034554356"
"Full-time","1984","no migration background","(1c) basic vocational qualification","1833","0.49570768537824","0.479164832485267","0.512250538271212"
"Full-time","1984","no migration background","(2b) intermediate general qualification","57","0.137631135503086","0.10424306533475","0.171019205671421"
"Full-time","1984","no migration background","(2a) intermediate vocational","714","0.52071097016689","0.493668656043666","0.547753284290113"
"Full-time","1984","no migration background","(2c_gen) general maturity certificate","","","",""
"Full-time","1984","no migration background","(2c_voc) vocational maturity certificate","165","0.523727462392391","0.468041042836948","0.579413881947834"
"Full-time","1984","no migration background","(3a) lower tertiary education","165","0.656600288877851","0.596897385482753","0.716303192272949"
"Full-time","1984","no migration background","(3b) higher tertiary education","291","0.655911927978581","0.610745972790298","0.701077883166864"
"Full-time","1984","direct migration background","(0) in school","","","",""
"Full-time","1984","direct migration background","(1a) inadequately completed","593","0.548864398575584","0.518636440754581","0.579092356396587"
"Full-time","1984","direct migration background","(1b) general elementary school","581","0.467287069559993","0.436743157588326","0.497830981531659"
"Full-time","1984","direct migration background","(1c) basic vocational qualification","517","0.637050828428412","0.601976493937079","0.672125162919746"
"Full-time","1984","direct migration background","(2b) intermediate general qualification","","","",""
"Full-time","1984","direct migration background","(2a) intermediate vocational","38","0.436193513609067","0.33258119543922","0.539805831778915"
"Full-time","1984","direct migration background","(2c_gen) general maturity certificate","56","0.342365630314825","0.260483229643253","0.424248030986397"
"Full-time","1984","direct migration background","(2c_voc) vocational maturity certificate","99","0.503586235021023","0.422484434462574","0.584688035579472"
"Full-time","1984","direct migration background","(3a) lower tertiary education","","","",""
"Full-time","1984","direct migration background","(3b) higher tertiary education","64","0.533628118101836","0.435851812679217","0.631404423524454"
"Full-time","1984","indirect migration background","(0) in school","","","",""
"Full-time","1984","indirect migration background","(1a) inadequately completed","","","",""
"Full-time","1984","indirect migration background","(1b) general elementary school","","","",""
"Full-time","1984","indirect migration background","(1c) basic vocational qualification","","","",""
"Full-time","1984","indirect migration background","(2b) intermediate general qualification","","","",""
"Full-time","1984","indirect migration background","(2a) intermediate vocational","","","",""
"Full-time","1984","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Full-time","1984","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Full-time","1984","indirect migration background","(3a) lower tertiary education","","","",""
"Full-time","1984","indirect migration background","(3b) higher tertiary education","","","",""
"Part-time","1984","no migration background","(0) in school","","","",""
"Part-time","1984","no migration background","(1a) inadequately completed","","","",""
"Part-time","1984","no migration background","(1b) general elementary school","121","0.0563576189578728","0.0461299419029583","0.0665852960127873"
"Part-time","1984","no migration background","(1c) basic vocational qualification","208","0.0533448771623015","0.0459095743344012","0.0607801799902017"
"Part-time","1984","no migration background","(2b) intermediate general qualification","","","",""
"Part-time","1984","no migration background","(2a) intermediate vocational","108","0.0718548060264357","0.0578755964480904","0.0858340156047809"
"Part-time","1984","no migration background","(2c_gen) general maturity certificate","","","",""
"Part-time","1984","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Part-time","1984","no migration background","(3a) lower tertiary education","","","",""
"Part-time","1984","no migration background","(3b) higher tertiary education","38","0.0862670495059607","0.0595747652274631","0.112959333784458"
"Part-time","1984","direct migration background","(0) in school","","","",""
"Part-time","1984","direct migration background","(1a) inadequately completed","","","",""
"Part-time","1984","direct migration background","(1b) general elementary school","42","0.0537451234546985","0.0399393813601228","0.0675508655492743"
"Part-time","1984","direct migration background","(1c) basic vocational qualification","","","",""
"Part-time","1984","direct migration background","(2b) intermediate general qualification","","","",""
"Part-time","1984","direct migration background","(2a) intermediate vocational","","","",""
"Part-time","1984","direct migration background","(2c_gen) general maturity certificate","","","",""
"Part-time","1984","direct migration background","(2c_voc) vocational maturity certificate","","","",""
