"ple0019","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2009","in school","5","","",""
"Yes","2009","inadequately","17","","",""
"Yes","2009","general elemantary","96","0.0501663547437838","0.0401155915336909","0.0602171179538767"
"Yes","2009","middle vocational","465","0.0596396928392624","0.0547769655825286","0.0645024200959961"
"Yes","2009","vocational + Abi","53","0.0640921966193743","0.048935074948418","0.0792493182903307"
"Yes","2009","higher vocational","71","0.0564842684090434","0.0441145913567875","0.0688539454612992"
"Yes","2009","higher education","182","0.0536352147688825","0.0466957096505903","0.0605747198871747"
"No","2009","in school","308","0.990407715568267","0.979609699889003","1.00120573124753"
"No","2009","inadequately","152","0.890298305012681","0.843181136814037","0.937415473211325"
"No","2009","general elemantary","1716","0.949833645256216","0.939782882046123","0.959884408466309"
"No","2009","middle vocational","8646","0.940360307160738","0.935497579904004","0.945223034417471"
"No","2009","vocational + Abi","950","0.935907803380626","0.920750681709669","0.951064925051582"
"No","2009","higher vocational","1267","0.943515731590957","0.931146054538701","0.955885408643213"
"No","2009","higher education","3867","0.946364785231117","0.939425280112825","0.95330429034941"
"Yes","2010","in school","","","",""
"Yes","2010","inadequately","","","",""
"Yes","2010","general elemantary","","","",""
"Yes","2010","middle vocational","","","",""
"Yes","2010","vocational + Abi","","","",""
"Yes","2010","higher vocational","","","",""
"Yes","2010","higher education","","","",""
"No","2010","in school","","","",""
"No","2010","inadequately","","","",""
"No","2010","general elemantary","","","",""
"No","2010","middle vocational","","","",""
"No","2010","vocational + Abi","","","",""
"No","2010","higher vocational","","","",""
"No","2010","higher education","","","",""
"Yes","2011","in school","5","","",""
"Yes","2011","inadequately","18","","",""
"Yes","2011","general elemantary","155","0.064058986874816","0.0537991913762325","0.0743187823733995"
"Yes","2011","middle vocational","642","0.066369875881637","0.0616194126479706","0.0711203391153033"
"Yes","2011","vocational + Abi","77","0.0652538581524631","0.0513323951193757","0.0791753211855505"
"Yes","2011","higher vocational","78","0.0590127706109298","0.0469003552598004","0.0711251859620593"
"Yes","2011","higher education","256","0.0564824037419765","0.0498112528695583","0.0631535546143947"
"No","2011","in school","308","0.984867740821962","0.971343379531853","0.99839210211207"
"No","2011","inadequately","215","0.916957627402004","0.88152571132317","0.952389543480838"
"No","2011","general elemantary","2033","0.935941013125184","0.9256812176266","0.946200808623767"
"No","2011","middle vocational","9906","0.933630124118363","0.928879660884697","0.938380587352029"
"No","2011","vocational + Abi","1132","0.934746141847537","0.920824678814449","0.948667604880624"
"No","2011","higher vocational","1376","0.94098722938907","0.928874814037941","0.9530996447402"
"No","2011","higher education","4344","0.943517596258023","0.936846445385605","0.950188747130442"
"Yes","2012","in school","","","",""
"Yes","2012","inadequately","","","",""
"Yes","2012","general elemantary","","","",""
"Yes","2012","middle vocational","","","",""
"Yes","2012","vocational + Abi","","","",""
"Yes","2012","higher vocational","","","",""
"Yes","2012","higher education","","","",""
"No","2012","in school","","","",""
"No","2012","inadequately","","","",""
"No","2012","general elemantary","","","",""
"No","2012","middle vocational","","","",""
"No","2012","vocational + Abi","","","",""
"No","2012","higher vocational","","","",""
"No","2012","higher education","","","",""
"Yes","2013","in school","3","","",""
"Yes","2013","inadequately","26","","",""
"Yes","2013","general elemantary","156","0.0884553241515689","0.0755715459444702","0.101339102358668"
"Yes","2013","middle vocational","696","0.079113264175912","0.0736738360958247","0.0845526922559992"
"Yes","2013","vocational + Abi","86","0.0844962501945859","0.0680824509775446","0.100910049411627"
"Yes","2013","higher vocational","98","0.0740775917969335","0.0600182903991771","0.0881368931946899"
"Yes","2013","higher education","286","0.0650546892130481","0.0578313426254329","0.0722780358006632"
"No","2013","in school","257","0.993663179753331","0.984017858221918","1.00330850128474"
"No","2013","inadequately","169","0.861111713371786","0.812572431816681","0.909650994926891"
"No","2013","general elemantary","1710","0.911544675848431","0.898660897641332","0.92442845405553"
"No","2013","middle vocational","8763","0.920886735824088","0.915447307744001","0.926326163904175"
"No","2013","vocational + Abi","1017","0.915503749805414","0.899089950588373","0.931917549022455"
"No","2013","higher vocational","1235","0.925922408203066","0.91186310680531","0.939981709600823"
"No","2013","higher education","4192","0.934945310786952","0.927721964199337","0.942168657374567"
"Yes","2014","in school","","","",""
"Yes","2014","inadequately","","","",""
"Yes","2014","general elemantary","","","",""
"Yes","2014","middle vocational","","","",""
"Yes","2014","vocational + Abi","","","",""
"Yes","2014","higher vocational","","","",""
"Yes","2014","higher education","","","",""
"No","2014","in school","","","",""
"No","2014","inadequately","","","",""
"No","2014","general elemantary","","","",""
"No","2014","middle vocational","","","",""
"No","2014","vocational + Abi","","","",""
"No","2014","higher vocational","","","",""
"No","2014","higher education","","","",""
"Yes","2015","in school","9","","",""
"Yes","2015","inadequately","41","0.121749667393427","0.0901747272312522","0.153324607555602"
"Yes","2015","general elemantary","219","0.0898459707906042","0.0790356094750239","0.100656332106184"
"Yes","2015","middle vocational","926","0.0863963290102527","0.0813079709621865","0.0914846870583188"
"Yes","2015","vocational + Abi","160","0.0857110592039254","0.0733211119213254","0.0981010064865254"
"Yes","2015","higher vocational","120","0.0767357878099848","0.0634073058874382","0.0900642697325314"
"Yes","2015","higher education","388","0.0703919786113501","0.0638608025971816","0.0769231546255185"
"No","2015","in school","343","0.956581456845435","0.93529147153159","0.97787144215928"
"No","2015","inadequately","371","0.878250332606573","0.846675392444398","0.909825272768748"
"No","2015","general elemantary","2469","0.910154029209396","0.899343667893816","0.920964390524976"
"No","2015","middle vocational","10785","0.913603670989747","0.908515312941681","0.918692029037813"
"No","2015","vocational + Abi","1801","0.914288940796074","0.901898993513474","0.926678888078674"
"No","2015","higher vocational","1412","0.923264212190015","0.909935730267469","0.936592694112562"
"No","2015","higher education","5505","0.92960802138865","0.923076845374481","0.936139197402818"
"Yes","2016","in school","","","",""
"Yes","2016","inadequately","","","",""
"Yes","2016","general elemantary","","","",""
"Yes","2016","middle vocational","","","",""
"Yes","2016","vocational + Abi","","","",""
"Yes","2016","higher vocational","","","",""
"Yes","2016","higher education","","","",""
"No","2016","in school","","","",""
"No","2016","inadequately","","","",""
"No","2016","general elemantary","","","",""
"No","2016","middle vocational","","","",""
"No","2016","vocational + Abi","","","",""
"No","2016","higher vocational","","","",""
"No","2016","higher education","","","",""
"Yes","2017","in school","9","","",""
"Yes","2017","inadequately","64","0.178036246936514","0.142963438794271","0.213109055078756"
"Yes","2017","general elemantary","256","0.0980233417631007","0.086942202712009","0.109104480814192"
"Yes","2017","middle vocational","971","0.0844520549065537","0.0795050986304402","0.0893990111826671"
"Yes","2017","vocational + Abi","193","0.098890566016597","0.086489708699452","0.111291423333742"
"Yes","2017","higher vocational","123","0.0771964896028093","0.0638920452574625","0.090500933948156"
"Yes","2017","higher education","422","0.073754849369119","0.0674270436553072","0.0800826550829307"
"No","2017","in school","403","0.971838765421213","0.955864443312257","0.987813087530168"
"No","2017","inadequately","393","0.821963753063486","0.786890944921244","0.857036561205729"
"No","2017","general elemantary","2510","0.901976658236899","0.890895519185808","0.913057797287991"
"No","2017","middle vocational","11166","0.915547945093446","0.910600988817333","0.92049490136956"
"No","2017","vocational + Abi","2033","0.901109433983403","0.888708576666258","0.913510291300548"
"No","2017","higher vocational","1423","0.922803510397191","0.909499066051844","0.936107954742537"
"No","2017","higher education","6132","0.926245150630881","0.919917344917069","0.932572956344693"
"Yes","2018","in school","","","",""
"Yes","2018","inadequately","","","",""
"Yes","2018","general elemantary","","","",""
"Yes","2018","middle vocational","","","",""
"Yes","2018","vocational + Abi","","","",""
"Yes","2018","higher vocational","","","",""
"Yes","2018","higher education","","","",""
"No","2018","in school","","","",""
"No","2018","inadequately","","","",""
"No","2018","general elemantary","","","",""
"No","2018","middle vocational","","","",""
"No","2018","vocational + Abi","","","",""
"No","2018","higher vocational","","","",""
"No","2018","higher education","","","",""
"Yes","2019","in school","17","","",""
"Yes","2019","inadequately","58","0.149605129970326","0.114250746266824","0.184959513673828"
"Yes","2019","general elemantary","254","0.110844397941068","0.0983416124365278","0.123347183445607"
