"ple0019","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2009","66 and older","inadequately","41","0.94035976110554","0.869576499761562","1.01114302244952","2"
"No","2009","66 and older","vocational + Abi","89","0.926261579288916","0.874252883293841","0.97827027528399","2"
"No","2009","66 and older","higher vocational","309","0.974085867257218","0.9566782206071","0.991493513907336","2"
"No","2009","66 and older","middle vocational","2103","0.949376210991668","0.940207074885349","0.958545347097988","2"
"No","2009","66 and older","general elemantary","641","0.961686583874736","0.94714113094965","0.976232036799822","2"
"No","2009","35-65 y.","higher vocational","852","0.929512135865154","0.91287223030357","0.946152041426737","2"
"No","2009","35-65 y.","higher education","2480","0.93924984000417","0.930101451073932","0.948398228934408","2"
"No","2009","66 and older","higher education","855","0.950312924660763","0.936036872609101","0.964588976712425","2"
"No","2009","35-65 y.","middle vocational","4790","0.92534569328885","0.918143541659724","0.932547844917975","2"
"No","2009","35-65 y.","vocational + Abi","537","0.924347321730831","0.90260010560428","0.946094537857382","2"
"No","2009","66 and older","in school","","","","","2"
"No","2009","35-65 y.","in school","","","","","2"
"No","2009","35-65 y.","inadequately","71","0.81002300852264","0.726628431821415","0.893417585223864","2"
"No","2009","35-65 y.","general elemantary","535","0.912036793454529","0.889181921581808","0.934891665327249","2"
"No","2009","16-34 y.","higher vocational","106","0.957849980788698","0.920129043291627","0.99557091828577","2"
"No","2009","16-34 y.","higher education","532","0.966021203404978","0.950740317346873","0.981302089463083","2"
"No","2009","16-34 y.","general elemantary","540","0.978643240710969","0.966593841253773","0.990692640168165","2"
"No","2009","16-34 y.","middle vocational","1753","0.968570050705916","0.960507548108589","0.976632553303243","2"
"No","2009","16-34 y.","vocational + Abi","324","0.957833716533419","0.936408882659166","0.979258550407672","2"
"No","2009","16-34 y.","in school","308","0.990407715568267","0.979609699889003","1.00120573124753","2"
"No","2009","16-34 y.","inadequately","40","0.987281647781862","0.952981805840934","1.02158148972279","2"
"Yes","2009","16-34 y.","in school","5","","","","1"
"Yes","2009","16-34 y.","inadequately","1","","","","1"
"Yes","2009","16-34 y.","general elemantary","13","","","","1"
"Yes","2009","16-34 y.","middle vocational","46","0.0314299492940843","0.0233674466967571","0.0394924518914115","1"
"Yes","2009","16-34 y.","vocational + Abi","14","","","","1"
"Yes","2009","16-34 y.","higher vocational","3","","","","1"
"Yes","2009","16-34 y.","higher education","8","","","","1"
"Yes","2009","35-65 y.","in school","","","","","1"
"Yes","2009","35-65 y.","inadequately","14","","","","1"
"Yes","2009","35-65 y.","general elemantary","55","0.0879632065454714","0.065108334672751","0.110818078418192","1"
"Yes","2009","35-65 y.","middle vocational","326","0.0746543067111502","0.0674521550820248","0.0818564583402757","1"
"Yes","2009","35-65 y.","vocational + Abi","31","0.0756526782691687","0.0539054621426176","0.0973998943957197","1"
"Yes","2009","35-65 y.","higher vocational","57","0.0704878641348465","0.0538479585732626","0.0871277696964304","1"
"Yes","2009","35-65 y.","higher education","139","0.0607501599958298","0.0516017710655918","0.0698985489260678","1"
"Yes","2009","66 and older","in school","","","","","1"
"Yes","2009","66 and older","inadequately","2","","","","1"
"Yes","2009","66 and older","general elemantary","28","","","","1"
"Yes","2009","66 and older","middle vocational","93","0.0506237890083315","0.0414546529020118","0.0597929251146512","1"
"Yes","2009","66 and older","vocational + Abi","8","","","","1"
"Yes","2009","66 and older","higher vocational","11","","","","1"
"Yes","2009","66 and older","higher education","35","0.0496870753392374","0.0354110232875752","0.0639631273908995","1"
"No","2010","66 and older","inadequately","","","","","2"
"No","2010","66 and older","vocational + Abi","","","","","2"
"No","2010","66 and older","general elemantary","","","","","2"
"No","2010","66 and older","middle vocational","","","","","2"
"No","2010","35-65 y.","middle vocational","","","","","2"
