"ple0019","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Employed","Couple + C. LE 16 ","2356","0.964208997544921","0.956824377874857","0.971593617214985","2"
"No","2009","Not Employed","Single parent ","270","0.926671639723328","0.896823779405539","0.956519500041117","2"
"No","2009","Not Employed","Couple + C. LE 16 ","409","0.959300960275261","0.940603226764409","0.977998693786113","2"
"No","2009","Not Employed","(Married) couple without C. ","3204","0.937091622508412","0.928920806351602","0.945262438665222","2"
"No","2009","Employed","Single parent ","656","0.924445499549712","0.904909247308466","0.943981751790957","2"
"No","2009","Employed","Couple + C. GT 16 ","2261","0.976597561750922","0.970452517930194","0.982742605571649","2"
"No","2009","Employed","Couple + C. LE and GT 16","850","0.97104419634271","0.959959061930123","0.982129330755297","2"
"No","2009","Not Employed","1-pers.-HH","1366","0.923385926426053","0.909789169725417","0.936982683126689","2"
"No","2009","Not Employed","Couple + C. GT 16 ","793","0.942713333169176","0.926997947272214","0.958428719066137","2"
"No","2009","Not Employed","Couple + C. LE and GT 16","287","0.938717319665189","0.911666469995057","0.965768169335322","2"
"No","2009","Employed","1-pers.-HH","1330","0.915615518628363","0.901258815825393","0.929972221431334","2"
"No","2009","Employed","(Married) couple without C. ","3147","0.952877650147581","0.945635822338741","0.960119477956421","2"
"Yes","2009","Not Employed","1-pers.-HH","104","0.0766140735739471","0.0630173168733112","0.0902108302745831","1"
"Yes","2009","Not Employed","(Married) couple without C. ","188","0.0629083774915879","0.0547375613347778","0.0710791936483981","1"
"Yes","2009","Not Employed","Single parent ","23","","","","1"
"Yes","2009","Not Employed","Couple + C. LE 16 ","20","","","","1"
"Yes","2009","Not Employed","Couple + C. GT 16 ","47","0.0572866668308245","0.0415712809338633","0.0730020527277856","1"
"Yes","2009","Not Employed","Couple + C. LE and GT 16","15","","","","1"
"Yes","2009","Employed","1-pers.-HH","110","0.0843844813716367","0.0700277785686661","0.0987411841746072","1"
"Yes","2009","Employed","(Married) couple without C. ","142","0.0471223498524189","0.0398805220435793","0.0543641776612585","1"
"Yes","2009","Employed","Single parent ","47","0.0755545004502884","0.0560182482090431","0.0950907526915338","1"
"Yes","2009","Employed","Couple + C. LE 16 ","75","0.0357910024550791","0.0284063827850151","0.043175622125143","1"
"Yes","2009","Employed","Couple + C. GT 16 ","64","0.023402438249078","0.0172573944283505","0.0295474820698056","1"
"Yes","2009","Employed","Couple + C. LE and GT 16","29","","","","1"
"No","2010","Employed","Couple + C. LE 16 ","","","","","2"
