"ple0019","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Not Employed","vocational + Abi","229","0.940351549464744","0.910635033973651","0.970068064955837","2"
"No","2009","Employed","inadequately","68","0.956607866419401","0.909547606756629","1.00366812608217","2"
"No","2009","Employed","higher vocational","867","0.951453120627983","0.937504700224214","0.965401541031752","2"
"No","2009","Not Employed","in school","247","0.988131104188007","0.974760215773443","1.00150199260257","2"
"No","2009","Not Employed","inadequately","84","0.835734415229168","0.762000098655027","0.90946873180331","2"
"No","2009","Not Employed","higher vocational","400","0.927130970693088","0.902448687661775","0.951813253724402","2"
"No","2009","Employed","general elemantary","727","0.954112896183987","0.939177813715893","0.969047978652081","2"
"No","2009","Employed","higher education","2823","0.951586753268275","0.943830838014971","0.95934266852158","2"
"No","2009","Not Employed","general elemantary","989","0.946824057216522","0.933303409464054","0.960344704968991","2"
"No","2009","Not Employed","middle vocational","3327","0.925727017542653","0.917106243133787","0.93434779195152","2"
"No","2009","Not Employed","higher education","1044","0.931629048544911","0.916761765722264","0.946496331367557","2"
"No","2009","Employed","in school","61","1","1","1","2"
"No","2009","Employed","middle vocational","5319","0.949441401625765","0.943680910813182","0.955201892438347","2"
"No","2009","Employed","vocational + Abi","721","0.934358404995759","0.91673971906092","0.951977090930598","2"
"Yes","2009","Not Employed","in school","5","","","","1"
"Yes","2009","Not Employed","inadequately","13","","","","1"
"Yes","2009","Not Employed","general elemantary","69","0.0531759427834777","0.0396552950310093","0.0666965905359461","1"
"Yes","2009","Not Employed","middle vocational","227","0.0742729824573468","0.0656522080484801","0.0828937568662134","1"
"Yes","2009","Not Employed","vocational + Abi","15","","","","1"
"Yes","2009","Not Employed","higher vocational","26","","","","1"
"Yes","2009","Not Employed","higher education","63","0.0683709514550895","0.0535036686324431","0.0832382342777358","1"
"Yes","2009","Employed","in school","","","","","1"
"Yes","2009","Employed","inadequately","4","","","","1"
"Yes","2009","Employed","general elemantary","27","","","","1"
"Yes","2009","Employed","middle vocational","238","0.0505585983742353","0.0447981075616526","0.056319089186818","1"
"Yes","2009","Employed","vocational + Abi","38","0.0656415950042408","0.0480229090694018","0.0832602809390798","1"
"Yes","2009","Employed","higher vocational","45","0.0485468793720171","0.0345984589682484","0.0624952997757858","1"
"Yes","2009","Employed","higher education","119","0.0484132467317248","0.0406573314784203","0.0561691619850293","1"
"No","2010","Not Employed","in school","","","","","2"
"No","2010","Not Employed","inadequately","","","","","2"
"No","2010","Not Employed","vocational + Abi","","","","","2"
"No","2010","Not Employed","higher vocational","","","","","2"
"No","2010","Employed","inadequately","","","","","2"
"No","2010","Employed","general elemantary","","","","","2"
"No","2010","Employed","higher vocational","","","","","2"
"No","2010","Employed","higher education","","","","","2"
"No","2010","Not Employed","general elemantary","","","","","2"
"No","2010","Not Employed","middle vocational","","","","","2"
"No","2010","Not Employed","higher education","","","","","2"
"No","2010","Employed","in school","","","","","2"
"No","2010","Employed","middle vocational","","","","","2"
"No","2010","Employed","vocational + Abi","","","","","2"
"Yes","2010","Not Employed","in school","","","","","1"
"Yes","2010","Not Employed","inadequately","","","","","1"
"Yes","2010","Not Employed","general elemantary","","","","","1"
"Yes","2010","Not Employed","middle vocational","","","","","1"
"Yes","2010","Not Employed","vocational + Abi","","","","","1"
"Yes","2010","Not Employed","higher vocational","","","","","1"
"Yes","2010","Not Employed","higher education","","","","","1"
"Yes","2010","Employed","in school","","","","","1"
"Yes","2010","Employed","inadequately","","","","","1"
"Yes","2010","Employed","general elemantary","","","","","1"
"Yes","2010","Employed","middle vocational","","","","","1"
"Yes","2010","Employed","vocational + Abi","","","","","1"
"Yes","2010","Employed","higher vocational","","","","","1"
"Yes","2010","Employed","higher education","","","","","1"
"No","2011","Not Employed","in school","245","0.980805705730205","0.963763492938953","0.997847918521458","2"
"No","2011","Not Employed","vocational + Abi","250","0.911449377538977","0.877811011262662","0.945087743815291","2"
"No","2011","Employed","inadequately","91","0.986223946797696","0.962660742880961","1.00978715071443","2"
"No","2011","Not Employed","inadequately","124","0.873604749886091","0.818363491770395","0.928846008001788","2"
"No","2011","Not Employed","higher vocational","445","0.918656874332535","0.894073676335153","0.943240072329917","2"
"No","2011","Employed","general elemantary","861","0.945998878781608","0.931321935973047","0.960675821590168","2"
"No","2011","Not Employed","general elemantary","1172","0.928789617151703","0.914684296001255","0.94289493830215","2"
"No","2011","Not Employed","middle vocational","3975","0.927969224410225","0.920208249903163","0.935730198917287","2"
