"ple0019","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Not Employed","lower secondary degree","191","1","1","1"
"Yes","2009","Not Employed","secondary school degree","107","1","1","1"
"Yes","2009","Not Employed","college entrance qualification","65","1","1","1"
"Yes","2009","Not Employed","Other degree","37","1","1","1"
"Yes","2009","Not Employed","no degree/no degree yet","17","","",""
"Yes","2009","Employed","lower secondary degree","111","1","1","1"
"Yes","2009","Employed","secondary school degree","172","1","1","1"
"Yes","2009","Employed","college entrance qualification","158","1","1","1"
"Yes","2009","Employed","Other degree","20","","",""
"Yes","2009","Employed","no degree/no degree yet","6","","",""
"Yes","2010","Not Employed","lower secondary degree","","","",""
"Yes","2010","Not Employed","secondary school degree","","","",""
"Yes","2010","Not Employed","college entrance qualification","","","",""
"Yes","2010","Not Employed","Other degree","","","",""
"Yes","2010","Not Employed","no degree/no degree yet","","","",""
"Yes","2010","Employed","lower secondary degree","","","",""
"Yes","2010","Employed","secondary school degree","","","",""
"Yes","2010","Employed","college entrance qualification","","","",""
"Yes","2010","Employed","Other degree","","","",""
"Yes","2010","Employed","no degree/no degree yet","","","",""
"Yes","2011","Not Employed","lower secondary degree","255","1","1","1"
"Yes","2011","Not Employed","secondary school degree","141","1","1","1"
"Yes","2011","Not Employed","college entrance qualification","88","1","1","1"
"Yes","2011","Not Employed","Other degree","37","1","1","1"
"Yes","2011","Not Employed","no degree/no degree yet","20","","",""
"Yes","2011","Employed","lower secondary degree","168","1","1","1"
"Yes","2011","Employed","secondary school degree","259","1","1","1"
"Yes","2011","Employed","college entrance qualification","222","1","1","1"
"Yes","2011","Employed","Other degree","28","","",""
"Yes","2011","Employed","no degree/no degree yet","5","","",""
"Yes","2012","Not Employed","lower secondary degree","","","",""
"Yes","2012","Not Employed","secondary school degree","","","",""
"Yes","2012","Not Employed","college entrance qualification","","","",""
"Yes","2012","Not Employed","Other degree","","","",""
"Yes","2012","Not Employed","no degree/no degree yet","","","",""
"Yes","2012","Employed","lower secondary degree","","","",""
"Yes","2012","Employed","secondary school degree","","","",""
"Yes","2012","Employed","college entrance qualification","","","",""
"Yes","2012","Employed","Other degree","","","",""
"Yes","2012","Employed","no degree/no degree yet","","","",""
"Yes","2013","Not Employed","lower secondary degree","283","1","1","1"
"Yes","2013","Not Employed","secondary school degree","172","1","1","1"
"Yes","2013","Not Employed","college entrance qualification","105","1","1","1"
"Yes","2013","Not Employed","Other degree","38","1","1","1"
"Yes","2013","Not Employed","no degree/no degree yet","25","","",""
"Yes","2013","Employed","lower secondary degree","160","1","1","1"
"Yes","2013","Employed","secondary school degree","271","1","1","1"
"Yes","2013","Employed","college entrance qualification","243","1","1","1"
"Yes","2013","Employed","Other degree","34","1","1","1"
"Yes","2013","Employed","no degree/no degree yet","7","","",""
"Yes","2014","Not Employed","lower secondary degree","","","",""
"Yes","2014","Not Employed","secondary school degree","","","",""
"Yes","2014","Not Employed","college entrance qualification","","","",""
"Yes","2014","Not Employed","Other degree","","","",""
"Yes","2014","Not Employed","no degree/no degree yet","","","",""
"Yes","2014","Employed","lower secondary degree","","","",""
"Yes","2014","Employed","secondary school degree","","","",""
"Yes","2014","Employed","college entrance qualification","","","",""
"Yes","2014","Employed","Other degree","","","",""
"Yes","2014","Employed","no degree/no degree yet","","","",""
"Yes","2015","Not Employed","lower secondary degree","308","1","1","1"
"Yes","2015","Not Employed","secondary school degree","229","1","1","1"
"Yes","2015","Not Employed","college entrance qualification","133","1","1","1"
"Yes","2015","Not Employed","Other degree","85","1","1","1"
"Yes","2015","Not Employed","no degree/no degree yet","42","1","1","1"
"Yes","2015","Employed","lower secondary degree","197","1","1","1"
"Yes","2015","Employed","secondary school degree","394","1","1","1"
"Yes","2015","Employed","college entrance qualification","353","1","1","1"
"Yes","2015","Employed","Other degree","87","1","1","1"
"Yes","2015","Employed","no degree/no degree yet","12","","",""
"Yes","2016","Not Employed","lower secondary degree","","","",""
"Yes","2016","Not Employed","secondary school degree","","","",""
"Yes","2016","Not Employed","college entrance qualification","","","",""
"Yes","2016","Not Employed","Other degree","","","",""
"Yes","2016","Not Employed","no degree/no degree yet","","","",""
"Yes","2016","Employed","lower secondary degree","","","",""
"Yes","2016","Employed","secondary school degree","","","",""
"Yes","2016","Employed","college entrance qualification","","","",""
"Yes","2016","Employed","Other degree","","","",""
"Yes","2016","Employed","no degree/no degree yet","","","",""
"Yes","2017","Not Employed","lower secondary degree","278","1","1","1"
"Yes","2017","Not Employed","secondary school degree","256","1","1","1"
"Yes","2017","Not Employed","college entrance qualification","158","1","1","1"
"Yes","2017","Not Employed","Other degree","94","1","1","1"
"Yes","2017","Not Employed","no degree/no degree yet","55","1","1","1"
"Yes","2017","Employed","lower secondary degree","220","1","1","1"
"Yes","2017","Employed","secondary school degree","432","1","1","1"
"Yes","2017","Employed","college entrance qualification","382","1","1","1"
"Yes","2017","Employed","Other degree","110","1","1","1"
"Yes","2017","Employed","no degree/no degree yet","30","1","1","1"
"Yes","2018","Not Employed","lower secondary degree","","","",""
"Yes","2018","Not Employed","secondary school degree","","","",""
"Yes","2018","Not Employed","college entrance qualification","","","",""
"Yes","2018","Not Employed","Other degree","","","",""
"Yes","2018","Not Employed","no degree/no degree yet","","","",""
"Yes","2018","Employed","lower secondary degree","","","",""
"Yes","2018","Employed","secondary school degree","","","",""
"Yes","2018","Employed","college entrance qualification","","","",""
"Yes","2018","Employed","Other degree","","","",""
"Yes","2018","Employed","no degree/no degree yet","","","",""
"Yes","2019","Not Employed","lower secondary degree","318","1","1","1"
"Yes","2019","Not Employed","secondary school degree","284","1","1","1"
"Yes","2019","Not Employed","college entrance qualification","179","1","1","1"
"Yes","2019","Not Employed","Other degree","94","1","1","1"
"Yes","2019","Not Employed","no degree/no degree yet","63","1","1","1"
"Yes","2019","Employed","lower secondary degree","225","1","1","1"
"Yes","2019","Employed","secondary school degree","481","1","1","1"
"Yes","2019","Employed","college entrance qualification","522","1","1","1"
"Yes","2019","Employed","Other degree","89","1","1","1"
"Yes","2019","Employed","no degree/no degree yet","21","","",""
