"ple0019","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2009","16-34 y.","no migration background","74","1","1","1"
"Yes","2009","16-34 y.","direct migration background","6","","",""
"Yes","2009","16-34 y.","indirect migration background","13","","",""
"Yes","2009","35-65 y.","no migration background","535","1","1","1"
"Yes","2009","35-65 y.","direct migration background","81","1","1","1"
"Yes","2009","35-65 y.","indirect migration background","8","","",""
"Yes","2009","66 and older","no migration background","160","1","1","1"
"Yes","2009","66 and older","direct migration background","17","","",""
"Yes","2009","66 and older","indirect migration background","","","",""
"Yes","2010","16-34 y.","no migration background","","","",""
"Yes","2010","16-34 y.","direct migration background","","","",""
"Yes","2010","16-34 y.","indirect migration background","","","",""
"Yes","2010","35-65 y.","no migration background","","","",""
"Yes","2010","35-65 y.","direct migration background","","","",""
"Yes","2010","35-65 y.","indirect migration background","","","",""
"Yes","2010","66 and older","no migration background","","","",""
"Yes","2010","66 and older","direct migration background","","","",""
"Yes","2010","66 and older","indirect migration background","","","",""
"Yes","2011","16-34 y.","no migration background","133","1","1","1"
"Yes","2011","16-34 y.","direct migration background","10","","",""
"Yes","2011","16-34 y.","indirect migration background","22","","",""
"Yes","2011","35-65 y.","no migration background","776","1","1","1"
"Yes","2011","35-65 y.","direct migration background","82","1","1","1"
"Yes","2011","35-65 y.","indirect migration background","24","","",""
"Yes","2011","66 and older","no migration background","175","1","1","1"
"Yes","2011","66 and older","direct migration background","23","","",""
"Yes","2011","66 and older","indirect migration background","","","",""
"Yes","2012","16-34 y.","no migration background","","","",""
"Yes","2012","16-34 y.","direct migration background","","","",""
"Yes","2012","16-34 y.","indirect migration background","","","",""
"Yes","2012","35-65 y.","no migration background","","","",""
"Yes","2012","35-65 y.","direct migration background","","","",""
"Yes","2012","35-65 y.","indirect migration background","","","",""
"Yes","2012","66 and older","no migration background","","","",""
"Yes","2012","66 and older","direct migration background","","","",""
"Yes","2012","66 and older","indirect migration background","","","",""
"Yes","2013","16-34 y.","no migration background","133","1","1","1"
"Yes","2013","16-34 y.","direct migration background","7","","",""
"Yes","2013","16-34 y.","indirect migration background","20","","",""
"Yes","2013","35-65 y.","no migration background","816","1","1","1"
"Yes","2013","35-65 y.","direct migration background","85","1","1","1"
"Yes","2013","35-65 y.","indirect migration background","33","1","1","1"
"Yes","2013","66 and older","no migration background","242","1","1","1"
"Yes","2013","66 and older","direct migration background","21","","",""
"Yes","2013","66 and older","indirect migration background","","","",""
"Yes","2014","16-34 y.","no migration background","","","",""
"Yes","2014","16-34 y.","direct migration background","","","",""
"Yes","2014","16-34 y.","indirect migration background","","","",""
"Yes","2014","35-65 y.","no migration background","","","",""
"Yes","2014","35-65 y.","direct migration background","","","",""
"Yes","2014","35-65 y.","indirect migration background","","","",""
"Yes","2014","66 and older","no migration background","","","",""
"Yes","2014","66 and older","direct migration background","","","",""
"Yes","2014","66 and older","indirect migration background","","","",""
"Yes","2015","16-34 y.","no migration background","239","1","1","1"
"Yes","2015","16-34 y.","direct migration background","28","","",""
"Yes","2015","16-34 y.","indirect migration background","43","1","1","1"
"Yes","2015","35-65 y.","no migration background","1060","1","1","1"
"Yes","2015","35-65 y.","direct migration background","207","1","1","1"
"Yes","2015","35-65 y.","indirect migration background","56","1","1","1"
"Yes","2015","66 and older","no migration background","247","1","1","1"
"Yes","2015","66 and older","direct migration background","20","","",""
"Yes","2015","66 and older","indirect migration background","","","",""
"Yes","2016","16-34 y.","no migration background","","","",""
"Yes","2016","16-34 y.","direct migration background","","","",""
"Yes","2016","16-34 y.","indirect migration background","","","",""
"Yes","2016","35-65 y.","no migration background","","","",""
"Yes","2016","35-65 y.","direct migration background","","","",""
"Yes","2016","35-65 y.","indirect migration background","","","",""
"Yes","2016","66 and older","no migration background","","","",""
"Yes","2016","66 and older","direct migration background","","","",""
"Yes","2016","66 and older","indirect migration background","","","",""
"Yes","2017","16-34 y.","no migration background","288","1","1","1"
"Yes","2017","16-34 y.","direct migration background","37","1","1","1"
"Yes","2017","16-34 y.","indirect migration background","39","1","1","1"
"Yes","2017","35-65 y.","no migration background","1135","1","1","1"
"Yes","2017","35-65 y.","direct migration background","248","1","1","1"
"Yes","2017","35-65 y.","indirect migration background","65","1","1","1"
"Yes","2017","66 and older","no migration background","238","1","1","1"
"Yes","2017","66 and older","direct migration background","33","1","1","1"
"Yes","2017","66 and older","indirect migration background","3","","",""
"Yes","2018","16-34 y.","no migration background","","","",""
"Yes","2018","16-34 y.","direct migration background","","","",""
"Yes","2018","16-34 y.","indirect migration background","","","",""
"Yes","2018","35-65 y.","no migration background","","","",""
"Yes","2018","35-65 y.","direct migration background","","","",""
"Yes","2018","35-65 y.","indirect migration background","","","",""
"Yes","2018","66 and older","no migration background","","","",""
"Yes","2018","66 and older","direct migration background","","","",""
"Yes","2018","66 and older","indirect migration background","","","",""
"Yes","2019","16-34 y.","no migration background","353","1","1","1"
"Yes","2019","16-34 y.","direct migration background","38","1","1","1"
"Yes","2019","16-34 y.","indirect migration background","65","1","1","1"
"Yes","2019","35-65 y.","no migration background","1270","1","1","1"
"Yes","2019","35-65 y.","direct migration background","204","1","1","1"
"Yes","2019","35-65 y.","indirect migration background","93","1","1","1"
"Yes","2019","66 and older","no migration background","321","1","1","1"
"Yes","2019","66 and older","direct migration background","36","1","1","1"
"Yes","2019","66 and older","indirect migration background","","","",""
