"ple0019","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2009","16-34 y.","1-pers.-HH","22","","",""
"Yes","2009","16-34 y.","(Married) couple without C. ","25","","",""
"Yes","2009","16-34 y.","Single parent ","9","","",""
"Yes","2009","16-34 y.","Couple + C. LE 16 ","15","","",""
"Yes","2009","16-34 y.","Couple + C. GT 16 ","17","","",""
"Yes","2009","16-34 y.","Couple + C. LE and GT 16","3","","",""
"Yes","2009","35-65 y.","1-pers.-HH","138","0.132866453777097","0.113491447393399","0.152241460160796"
"Yes","2009","35-65 y.","(Married) couple without C. ","197","0.0593261245113712","0.0511691735030347","0.0674830755197076"
"Yes","2009","35-65 y.","Single parent ","59","0.125148128921364","0.0970044884959033","0.153291769346824"
"Yes","2009","35-65 y.","Couple + C. LE 16 ","80","0.0426517339158734","0.0340009438076031","0.0513025240241436"
"Yes","2009","35-65 y.","Couple + C. GT 16 ","91","0.052250042524109","0.0422545354716299","0.0622455495765881"
"Yes","2009","35-65 y.","Couple + C. LE and GT 16","41","0.0530825288529986","0.0376142073298752","0.0685508503761221"
"Yes","2009","66 and older","1-pers.-HH","54","0.0488937908439691","0.0365845136387311","0.0612030680492071"
"Yes","2009","66 and older","(Married) couple without C. ","108","0.046154267051243","0.0382618836603543","0.0540466504421317"
"Yes","2009","66 and older","Single parent ","2","","",""
"Yes","2009","66 and older","Couple + C. LE 16 ","","","",""
"Yes","2009","66 and older","Couple + C. GT 16 ","3","","",""
"Yes","2009","66 and older","Couple + C. LE and GT 16","","","",""
"No","2009","16-34 y.","1-pers.-HH","530","0.96797887327753","0.953291984833659","0.982665761721401"
"No","2009","16-34 y.","(Married) couple without C. ","719","0.935683427954713","0.918056057295763","0.953310798613664"
"No","2009","16-34 y.","Single parent ","394","0.972027427964656","0.955928349085317","0.988126506843995"
"No","2009","16-34 y.","Couple + C. LE 16 ","744","0.978454668053421","0.968125290479866","0.988784045626975"
"No","2009","16-34 y.","Couple + C. GT 16 ","1064","0.992705163069968","0.987632299548188","0.997778026591747"
"No","2009","16-34 y.","Couple + C. LE and GT 16","369","0.992686548752748","0.98402802455603","1.00134507294947"
"No","2009","35-65 y.","1-pers.-HH","1041","0.867133546222903","0.847758539839204","0.886508552606602"
"No","2009","35-65 y.","(Married) couple without C. ","3025","0.940673875488629","0.932516924480292","0.948830826496965"
"No","2009","35-65 y.","Single parent ","472","0.874851871078636","0.846708230653176","0.902995511504097"
"No","2009","35-65 y.","Couple + C. LE 16 ","2016","0.957348266084127","0.948697475975856","0.965999056192397"
"No","2009","35-65 y.","Couple + C. GT 16 ","1813","0.947749957475891","0.937754450423412","0.95774546452837"
