"ple0019","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Yes","2009","16-34 y.","93","0.0275587445339332","0.0224893741801868","0.0326281148876797"
"Yes","2009","35-65 y.","624","0.0737263569060664","0.0685789369590937","0.0788737768530392"
"Yes","2009","66 and older","177","0.0470452445957449","0.040656179183211","0.0534343100082788"
"No","2009","16-34 y.","3913","0.972441255466067","0.96737188511232","0.977510625819813"
"No","2009","35-65 y.","9277","0.926273643093934","0.921126223146961","0.931421063040906"
"No","2009","66 and older","4042","0.952954755404255","0.946565689991721","0.959343820816789"
"Yes","2010","16-34 y.","","","",""
"Yes","2010","35-65 y.","","","",""
"Yes","2010","66 and older","","","",""
"No","2010","16-34 y.","","","",""
"No","2010","35-65 y.","","","",""
"No","2010","66 and older","","","",""
"Yes","2011","16-34 y.","165","0.0396045097082365","0.0337800179939145","0.0454290014225585"
"Yes","2011","35-65 y.","882","0.0856645768491612","0.0805187520286292","0.0908104016696931"
"Yes","2011","66 and older","198","0.0378657079497633","0.0326728636685882","0.0430585522309383"
"No","2011","16-34 y.","4142","0.960395490291763","0.954570998577441","0.966219982006085"
"No","2011","35-65 y.","10481","0.914335423150839","0.909189598330307","0.919481247971371"
"No","2011","66 and older","4992","0.962134292050237","0.956941447769062","0.967327136331412"
"Yes","2012","16-34 y.","","","",""
"Yes","2012","35-65 y.","","","",""
"Yes","2012","66 and older","","","",""
"No","2012","16-34 y.","","","",""
"No","2012","35-65 y.","","","",""
"No","2012","66 and older","","","",""
"Yes","2013","16-34 y.","160","0.0415287214753284","0.0351080047983435","0.0479494381523132"
"Yes","2013","35-65 y.","934","0.100201096827761","0.0943909998939613","0.106011193761562"
"Yes","2013","66 and older","263","0.0579047414276545","0.0514321123539243","0.0643773705013846"
"No","2013","16-34 y.","3549","0.958471278524672","0.952050561847687","0.964891995201656"
"No","2013","35-65 y.","9326","0.899798903172239","0.893988806238438","0.905609000106039"
"No","2013","66 and older","4739","0.942095258572346","0.935622629498615","0.948567887646076"
"Yes","2014","16-34 y.","","","",""
"Yes","2014","35-65 y.","","","",""
"Yes","2014","66 and older","","","",""
"No","2014","16-34 y.","","","",""
"No","2014","35-65 y.","","","",""
"No","2014","66 and older","","","",""
"Yes","2015","16-34 y.","310","0.0560904685539177","0.0501534295212404","0.062027507586595"
"Yes","2015","35-65 y.","1323","0.104207802198191","0.0992260404749693","0.109189563921413"
"Yes","2015","66 and older","267","0.0611396240626846","0.0544659726998786","0.0678132754254906"
"No","2015","16-34 y.","5460","0.943909531446082","0.937972492413405","0.94984657047876"
"No","2015","35-65 y.","13126","0.895792197801809","0.890810436078587","0.900773959525031"
"No","2015","66 and older","4684","0.938860375937315","0.932186724574509","0.945534027300121"
"Yes","2016","16-34 y.","","","",""
"Yes","2016","35-65 y.","","","",""
"Yes","2016","66 and older","","","",""
"No","2016","16-34 y.","","","",""
"No","2016","35-65 y.","","","",""
"No","2016","66 and older","","","",""
"Yes","2017","16-34 y.","364","0.0644398061843285","0.0583501208832354","0.0705294914854216"
"Yes","2017","35-65 y.","1448","0.106269296523593","0.101409015550575","0.11112957749661"
"Yes","2017","66 and older","274","0.060653644244068","0.0540592341279709","0.0672480543601652"
"No","2017","16-34 y.","5881","0.935560193815672","0.929470508514578","0.941649879116765"
"No","2017","35-65 y.","13997","0.893730703476407","0.888870422503389","0.898590984449425"
"No","2017","66 and older","4759","0.939346355755932","0.932751945639835","0.945940765872029"
"Yes","2018","16-34 y.","","","",""
"Yes","2018","35-65 y.","","","",""
"Yes","2018","66 and older","","","",""
"No","2018","16-34 y.","","","",""
"No","2018","35-65 y.","","","",""
"No","2018","66 and older","","","",""
"Yes","2019","16-34 y.","456","0.0822052300115387","0.0749168094626942","0.0894936505603832"
"Yes","2019","35-65 y.","1567","0.115570742354381","0.110484341003675","0.120657143705086"
"Yes","2019","66 and older","357","0.0740404415126954","0.0669557153535979","0.081125167671793"
"No","2019","16-34 y.","5000","0.917794769988461","0.910506349439617","0.925083190537306"
"No","2019","35-65 y.","13610","0.884429257645619","0.879342856294914","0.889515658996325"
"No","2019","66 and older","4890","0.925959558487304","0.918874832328207","0.933044284646402"
