"ple0019","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Couple + C. GT 16 ","3054","0.967366469577454","0.961176496233081","0.973556442921827","2"
"No","2009","1-pers.-HH","2696","0.919405723381175","0.909515472715842","0.929295974046507","2"
"No","2009","(Married) couple without C. ","6351","0.945150727126067","0.939691095651009","0.950610358601125","2"
"No","2009","Couple + C. LE and GT 16","1137","0.963363241321791","0.952648623134313","0.97407785950927","2"
"No","2009","Single parent ","926","0.925122440510796","0.908777103849692","0.9414677771719","2"
"No","2009","Couple + C. LE 16 ","2765","0.963476340998763","0.956601340381867","0.970351341615659","2"
"Yes","2009","1-pers.-HH","214","0.0805942766188254","0.0707040259534927","0.0904845272841582","1"
"Yes","2009","(Married) couple without C. ","330","0.0548492728739331","0.0493896413988747","0.0603089043489916","1"
"Yes","2009","Single parent ","70","0.074877559489204","0.0585322228281003","0.0912228961503077","1"
"Yes","2009","Couple + C. LE 16 ","95","0.0365236590012372","0.0296486583843411","0.0433986596181333","1"
"Yes","2009","Couple + C. GT 16 ","111","0.0326335304225463","0.0264435570781734","0.0388235037669191","1"
"Yes","2009","Couple + C. LE and GT 16","44","0.0366367586782088","0.02592214049073","0.0473513768656876","1"
"No","2010","Couple + C. GT 16 ","","","","","2"
"No","2010","1-pers.-HH","","","","","2"
"No","2010","Couple + C. LE and GT 16","","","","","2"
"No","2010","(Married) couple without C. ","","","","","2"
"No","2010","Single parent ","","","","","2"
"No","2010","Couple + C. LE 16 ","","","","","2"
"Yes","2010","1-pers.-HH","","","","","1"
"Yes","2010","(Married) couple without C. ","","","","","1"
"Yes","2010","Single parent ","","","","","1"
"Yes","2010","Couple + C. LE 16 ","","","","","1"
"Yes","2010","Couple + C. GT 16 ","","","","","1"
"Yes","2010","Couple + C. LE and GT 16","","","","","1"
"No","2011","1-pers.-HH","3276","0.917088604412875","0.908048289103459","0.926128919722291","2"
"No","2011","Couple + C. GT 16 ","3047","0.953326446078993","0.946019069145384","0.960633823012601","2"
"No","2011","Couple + C. LE and GT 16","1190","0.957569728857417","0.946323326449825","0.968816131265009","2"
"No","2011","(Married) couple without C. ","7668","0.940756724245541","0.935629754621811","0.945883693869271","2"
"No","2011","Single parent ","1080","0.922652926556788","0.907371807216943","0.937934045896632","2"
"No","2011","Couple + C. LE 16 ","2974","0.953111515559412","0.945690135961812","0.960532895157012","2"
"Yes","2011","1-pers.-HH","298","0.0829113955871251","0.0738710802777095","0.0919517108965407","1"
"Yes","2011","(Married) couple without C. ","477","0.0592432757544589","0.054116306130729","0.0643702453781888","1"
"Yes","2011","Single parent ","94","0.0773470734432122","0.0620659541033678","0.0926281927830566","1"
"Yes","2011","Couple + C. LE 16 ","143","0.046888484440588","0.0394671048429882","0.0543098640381878","1"
"Yes","2011","Couple + C. GT 16 ","154","0.046673553921007","0.0393661769873984","0.0539809308546156","1"
"Yes","2011","Couple + C. LE and GT 16","44","0.0424302711425829","0.0311838687349907","0.0536766735501751","1"
"No","2012","1-pers.-HH","","","","","2"
"No","2012","(Married) couple without C. ","","","","","2"
"No","2012","Couple + C. GT 16 ","","","","","2"
"No","2012","Couple + C. LE and GT 16","","","","","2"
"No","2012","Single parent ","","","","","2"
"No","2012","Couple + C. LE 16 ","","","","","2"
"Yes","2012","1-pers.-HH","","","","","1"
"Yes","2012","(Married) couple without C. ","","","","","1"
"Yes","2012","Single parent ","","","","","1"
"Yes","2012","Couple + C. LE 16 ","","","","","1"
"Yes","2012","Couple + C. GT 16 ","","","","","1"
"Yes","2012","Couple + C. LE and GT 16","","","","","1"
"No","2013","1-pers.-HH","3092","0.893091970116037","0.882815381895209","0.903368558336864","2"
"No","2013","(Married) couple without C. ","7137","0.92835974381854","0.92258261291089","0.93413687472619","2"
"No","2013","Single parent ","1017","0.921365982596518","0.90557397614455","0.937157989048487","2"
"No","2013","Couple + C. LE 16 ","2630","0.947555356074778","0.939258261848754","0.955852450300802","2"
"No","2013","Couple + C. GT 16 ","2485","0.944462830468418","0.935716527598904","0.953209133337932","2"
"No","2013","Couple + C. LE and GT 16","897","0.954907536162937","0.941656333903777","0.968158738422097","2"
"Yes","2013","1-pers.-HH","381","0.106908029883963","0.0966314416631358","0.117184618104791","1"
"Yes","2013","(Married) couple without C. ","518","0.0716402561814597","0.0658631252738098","0.0774173870891097","1"
"Yes","2013","Single parent ","99","0.078634017403482","0.0628420109515135","0.0944260238554504","1"
"Yes","2013","Couple + C. LE 16 ","143","0.0524446439252222","0.044147549699198","0.0607417381512464","1"
"Yes","2013","Couple + C. GT 16 ","149","0.0555371695315817","0.0467908666620675","0.0642834724010959","1"
"Yes","2013","Couple + C. LE and GT 16","45","0.0450924638370633","0.0318412615779034","0.0583436660962232","1"
"No","2014","1-pers.-HH","","","","","2"
"No","2014","(Married) couple without C. ","","","","","2"
"No","2014","Single parent ","","","","","2"
"No","2014","Couple + C. LE 16 ","","","","","2"
"No","2014","Couple + C. GT 16 ","","","","","2"
"No","2014","Couple + C. LE and GT 16","","","","","2"
"Yes","2014","1-pers.-HH","","","","","1"
"Yes","2014","(Married) couple without C. ","","","","","1"
"Yes","2014","Single parent ","","","","","1"
"Yes","2014","Couple + C. LE 16 ","","","","","1"
"Yes","2014","Couple + C. GT 16 ","","","","","1"
"Yes","2014","Couple + C. LE and GT 16","","","","","1"
"No","2015","1-pers.-HH","3118","0.884099617347956","0.873527877888276","0.894671356807635","2"
"No","2015","(Married) couple without C. ","6966","0.923614230693843","0.917603723830077","0.92962473755761","2"
"No","2015","Single parent ","2045","0.883115973615694","0.870070598174599","0.896161349056788","2"
"No","2015","Couple + C. LE 16 ","5747","0.945107746656348","0.939384404903573","0.950831088409122","2"
"No","2015","Couple + C. GT 16 ","2711","0.934035947028243","0.925008078076839","0.943063815979648","2"
"No","2015","Couple + C. LE and GT 16","2050","0.950290256705726","0.941120215877799","0.959460297533652","2"
"Yes","2015","1-pers.-HH","404","0.115900382652044","0.105328643192365","0.126472122111724","1"
"Yes","2015","(Married) couple without C. ","536","0.0763857693061566","0.0703752624423905","0.0823962761699227","1"
"Yes","2015","Single parent ","285","0.116884026384306","0.103838650943212","0.129929401825401","1"
"Yes","2015","Couple + C. LE 16 ","337","0.0548922533436522","0.0491689115908777","0.0606155950964268","1"
"Yes","2015","Couple + C. GT 16 ","193","0.0659640529717567","0.0569361840203521","0.0749919219231612","1"
"Yes","2015","Couple + C. LE and GT 16","108","0.0497097432942743","0.0405397024663476","0.0588797841222011","1"
"No","2016","1-pers.-HH","","","","","2"
"No","2016","(Married) couple without C. ","","","","","2"
"No","2016","Single parent ","","","","","2"
"No","2016","Couple + C. LE 16 ","","","","","2"
"No","2016","Couple + C. GT 16 ","","","","","2"
"No","2016","Couple + C. LE and GT 16","","","","","2"
"Yes","2016","Single parent ","","","","","1"
"Yes","2016","Couple + C. LE 16 ","","","","","1"
"Yes","2016","1-pers.-HH","","","","","1"
"Yes","2016","(Married) couple without C. ","","","","","1"
"Yes","2016","Couple + C. GT 16 ","","","","","1"
"Yes","2016","Couple + C. LE and GT 16","","","","","1"
"No","2017","1-pers.-HH","3469","0.881857619536949","0.871794289465273","0.891920949608624","2"
"No","2017","(Married) couple without C. ","7634","0.920230476804956","0.914386917498847","0.926074036111065","2"
"No","2017","Single parent ","1938","0.852401579695266","0.837725852086115","0.867077307304416","2"
"No","2017","Couple + C. LE 16 ","5674","0.951849654590707","0.946413169857912","0.957286139323501","2"
"No","2017","Couple + C. GT 16 ","3062","0.936577821229825","0.928224354869806","0.944931287589845","2"
"No","2017","Couple + C. LE and GT 16","2125","0.949116322368589","0.940029845566179","0.958202799170999","2"
"Yes","2017","Single parent ","306","0.147598420304734","0.132922692695584","0.162274147913885","1"
"Yes","2017","Couple + C. LE 16 ","283","0.0481503454092934","0.0427138606764989","0.0535868301420879","1"
"Yes","2017","Couple + C. GT 16 ","208","0.0634221787701748","0.0550687124101555","0.071775645130194","1"
"Yes","2017","1-pers.-HH","483","0.118142380463051","0.108079050391376","0.128205710534727","1"
"Yes","2017","(Married) couple without C. ","624","0.0797695231950439","0.0739259638889352","0.0856130825011526","1"
"Yes","2017","Couple + C. LE and GT 16","122","0.0508836776314113","0.0417972008290013","0.0599701544338212","1"
"No","2018","1-pers.-HH","","","","","2"
"No","2018","(Married) couple without C. ","","","","","2"
"No","2018","Single parent ","","","","","2"
"No","2018","Couple + C. LE 16 ","","","","","2"
"No","2018","Couple + C. GT 16 ","","","","","2"
"No","2018","Couple + C. LE and GT 16","","","","","2"
"Yes","2018","Single parent ","","","","","1"
"Yes","2018","Couple + C. LE 16 ","","","","","1"
"Yes","2018","Couple + C. GT 16 ","","","","","1"
"Yes","2018","1-pers.-HH","","","","","1"
"Yes","2018","Couple + C. LE and GT 16","","","","","1"
"Yes","2018","(Married) couple without C. ","","","","","1"
"No","2019","1-pers.-HH","3648","0.869858311283584","0.859755905669975","0.879960716897193","2"
"No","2019","(Married) couple without C. ","7811","0.902745538675315","0.896466387923834","0.909024689426797","2"
"No","2019","Single parent ","1770","0.840287648580274","0.82450241228072","0.856072884879828","2"
"No","2019","Couple + C. LE 16 ","4908","0.943632160932139","0.937366072682012","0.949898249182266","2"
"No","2019","Couple + C. GT 16 ","2743","0.929474473157188","0.920278924487668","0.938670021826708","2"
"No","2019","Couple + C. LE and GT 16","2059","0.94977931087608","0.940630220942051","0.95892840081011","2"
"Yes","2019","Single parent ","299","0.159712351419726","0.143927115120172","0.17549758771928","1"
"Yes","2019","Couple + C. LE 16 ","296","0.0563678390678612","0.0501017508177339","0.0626339273179885","1"
"Yes","2019","1-pers.-HH","613","0.130141688716416","0.120039283102807","0.140244094330025","1"
"Yes","2019","Couple + C. GT 16 ","235","0.0705255268428118","0.0613299781732915","0.0797210755123321","1"
"Yes","2019","Couple + C. LE and GT 16","130","0.0502206891239196","0.0410715991898898","0.0593697790579494","1"
"Yes","2019","(Married) couple without C. ","743","0.0972544613246848","0.0909753105732034","0.103533612076166","1"
