"ple0019","year","education","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","302","1","1","1"
"Yes","2009","secondary school degree","279","1","1","1"
"Yes","2009","college entrance qualification","223","1","1","1"
"Yes","2009","Other degree","57","1","1","1"
"Yes","2009","no degree/no degree yet","23","","",""
"Yes","2010","lower secondary degree","","","",""
"Yes","2010","secondary school degree","","","",""
"Yes","2010","college entrance qualification","","","",""
"Yes","2010","Other degree","","","",""
"Yes","2010","no degree/no degree yet","","","",""
"Yes","2011","lower secondary degree","423","1","1","1"
"Yes","2011","secondary school degree","400","1","1","1"
"Yes","2011","college entrance qualification","310","1","1","1"
"Yes","2011","Other degree","65","1","1","1"
"Yes","2011","no degree/no degree yet","25","","",""
"Yes","2012","lower secondary degree","","","",""
"Yes","2012","secondary school degree","","","",""
"Yes","2012","college entrance qualification","","","",""
"Yes","2012","Other degree","","","",""
"Yes","2012","no degree/no degree yet","","","",""
"Yes","2013","lower secondary degree","443","1","1","1"
"Yes","2013","secondary school degree","443","1","1","1"
"Yes","2013","college entrance qualification","348","1","1","1"
"Yes","2013","Other degree","72","1","1","1"
"Yes","2013","no degree/no degree yet","32","1","1","1"
"Yes","2014","lower secondary degree","","","",""
"Yes","2014","secondary school degree","","","",""
"Yes","2014","college entrance qualification","","","",""
"Yes","2014","Other degree","","","",""
"Yes","2014","no degree/no degree yet","","","",""
"Yes","2015","lower secondary degree","505","1","1","1"
"Yes","2015","secondary school degree","623","1","1","1"
"Yes","2015","college entrance qualification","486","1","1","1"
"Yes","2015","Other degree","172","1","1","1"
"Yes","2015","no degree/no degree yet","54","1","1","1"
"Yes","2016","lower secondary degree","","","",""
"Yes","2016","secondary school degree","","","",""
"Yes","2016","college entrance qualification","","","",""
"Yes","2016","Other degree","","","",""
"Yes","2016","no degree/no degree yet","","","",""
"Yes","2017","lower secondary degree","498","1","1","1"
"Yes","2017","secondary school degree","688","1","1","1"
"Yes","2017","college entrance qualification","540","1","1","1"
"Yes","2017","Other degree","204","1","1","1"
"Yes","2017","no degree/no degree yet","85","1","1","1"
"Yes","2018","lower secondary degree","","","",""
"Yes","2018","secondary school degree","","","",""
"Yes","2018","college entrance qualification","","","",""
"Yes","2018","Other degree","","","",""
"Yes","2018","no degree/no degree yet","","","",""
"Yes","2019","lower secondary degree","543","1","1","1"
"Yes","2019","secondary school degree","765","1","1","1"
"Yes","2019","college entrance qualification","701","1","1","1"
"Yes","2019","Other degree","183","1","1","1"
"Yes","2019","no degree/no degree yet","84","1","1","1"
