"ple0019","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","in school","","","",""
"Yes","2009","lower secondary degree","inadequately","","","",""
"Yes","2009","lower secondary degree","general elemantary","65","1","1","1"
"Yes","2009","lower secondary degree","middle vocational","220","1","1","1"
"Yes","2009","lower secondary degree","vocational + Abi","","","",""
"Yes","2009","lower secondary degree","higher vocational","13","","",""
"Yes","2009","lower secondary degree","higher education","4","","",""
"Yes","2009","secondary school degree","in school","","","",""
"Yes","2009","secondary school degree","inadequately","","","",""
"Yes","2009","secondary school degree","general elemantary","14","","",""
"Yes","2009","secondary school degree","middle vocational","201","1","1","1"
"Yes","2009","secondary school degree","vocational + Abi","2","","",""
"Yes","2009","secondary school degree","higher vocational","37","1","1","1"
"Yes","2009","secondary school degree","higher education","25","","",""
"Yes","2009","college entrance qualification","in school","","","",""
"Yes","2009","college entrance qualification","inadequately","","","",""
"Yes","2009","college entrance qualification","general elemantary","","","",""
"Yes","2009","college entrance qualification","middle vocational","19","","",""
"Yes","2009","college entrance qualification","vocational + Abi","45","1","1","1"
"Yes","2009","college entrance qualification","higher vocational","16","","",""
"Yes","2009","college entrance qualification","higher education","143","1","1","1"
"Yes","2009","Other degree","in school","","","",""
"Yes","2009","Other degree","inadequately","4","","",""
"Yes","2009","Other degree","general elemantary","17","","",""
"Yes","2009","Other degree","middle vocational","15","","",""
"Yes","2009","Other degree","vocational + Abi","6","","",""
"Yes","2009","Other degree","higher vocational","5","","",""
"Yes","2009","Other degree","higher education","10","","",""
"Yes","2009","no degree/no degree yet","in school","5","","",""
"Yes","2009","no degree/no degree yet","inadequately","13","","",""
"Yes","2009","no degree/no degree yet","general elemantary","","","",""
"Yes","2009","no degree/no degree yet","middle vocational","5","","",""
"Yes","2009","no degree/no degree yet","vocational + Abi","","","",""
"Yes","2009","no degree/no degree yet","higher vocational","","","",""
"Yes","2009","no degree/no degree yet","higher education","","","",""
"Yes","2010","lower secondary degree","in school","","","",""
"Yes","2010","lower secondary degree","inadequately","","","",""
"Yes","2010","lower secondary degree","general elemantary","","","",""
"Yes","2010","lower secondary degree","middle vocational","","","",""
"Yes","2010","lower secondary degree","vocational + Abi","","","",""
"Yes","2010","lower secondary degree","higher vocational","","","",""
"Yes","2010","lower secondary degree","higher education","","","",""
"Yes","2010","secondary school degree","in school","","","",""
"Yes","2010","secondary school degree","inadequately","","","",""
"Yes","2010","secondary school degree","general elemantary","","","",""
"Yes","2010","secondary school degree","middle vocational","","","",""
"Yes","2010","secondary school degree","vocational + Abi","","","",""
"Yes","2010","secondary school degree","higher vocational","","","",""
"Yes","2010","secondary school degree","higher education","","","",""
"Yes","2010","college entrance qualification","in school","","","",""
"Yes","2010","college entrance qualification","inadequately","","","",""
"Yes","2010","college entrance qualification","general elemantary","","","",""
"Yes","2010","college entrance qualification","middle vocational","","","",""
"Yes","2010","college entrance qualification","vocational + Abi","","","",""
"Yes","2010","college entrance qualification","higher vocational","","","",""
"Yes","2010","college entrance qualification","higher education","","","",""
"Yes","2010","Other degree","in school","","","",""
"Yes","2010","Other degree","inadequately","","","",""
"Yes","2010","Other degree","general elemantary","","","",""
"Yes","2010","Other degree","middle vocational","","","",""
"Yes","2010","Other degree","vocational + Abi","","","",""
"Yes","2010","Other degree","higher vocational","","","",""
