"ple0019","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2009","indirect migration background","inadequately","9","","","","2"
"No","2009","indirect migration background","vocational + Abi","34","0.882857944265266","0.779236637645565","0.986479250884967","2"
"No","2009","indirect migration background","higher vocational","30","1","1","1","2"
"No","2009","indirect migration background","middle vocational","277","0.959610353668312","0.936873292253051","0.982347415083573","2"
"No","2009","indirect migration background","general elemantary","140","0.964380430621811","0.934316885615583","0.99444397562804","2"
"No","2009","direct migration background","higher vocational","87","0.860796531919993","0.791551637654446","0.930041426185539","2"
"No","2009","direct migration background","higher education","277","0.941558059969441","0.914744141122012","0.968371978816869","2"
"No","2009","indirect migration background","higher education","88","1","1","1","2"
"No","2009","direct migration background","middle vocational","584","0.939121119730579","0.920254259127333","0.957987980333826","2"
"No","2009","direct migration background","vocational + Abi","161","0.959829263564927","0.930312038926708","0.989346488203145","2"
"No","2009","indirect migration background","in school","48","0.967873353615263","0.918500069662145","1.01724663756838","2"
"No","2009","direct migration background","in school","11","","","","2"
"No","2009","direct migration background","inadequately","81","0.852264377939114","0.779756706479273","0.924772049398956","2"
"No","2009","direct migration background","general elemantary","339","0.934928387808822","0.909554925335943","0.960301850281702","2"
"No","2009","no migration background","higher vocational","1150","0.950317065443187","0.938084017856796","0.962550113029578","2"
"No","2009","no migration background","higher education","3502","0.945027805698444","0.937650692187214","0.952404919209673","2"
"No","2009","no migration background","general elemantary","1237","0.953106078470618","0.941627059357928","0.964585097583308","2"
"No","2009","no migration background","middle vocational","7785","0.93953186809683","0.934374817785034","0.944688918408626","2"
"No","2009","no migration background","vocational + Abi","755","0.932592310738254","0.915174555145279","0.950010066331229","2"
"No","2009","no migration background","in school","249","0.996752869238787","0.989742652158819","1.00376308631876","2"
"No","2009","no migration background","inadequately","62","0.927737877051931","0.866197289707881","0.989278464395981","2"
"Yes","2009","no migration background","in school","4","","","","1"
"Yes","2009","no migration background","inadequately","6","","","","1"
"Yes","2009","no migration background","general elemantary","66","0.0468939215293822","0.0354149024166925","0.0583729406420719","1"
"Yes","2009","no migration background","middle vocational","421","0.0604681319031699","0.0553110815913737","0.0656251822149662","1"
"Yes","2009","no migration background","vocational + Abi","41","0.0674076892617457","0.0499899336687708","0.0848254448547205","1"
"Yes","2009","no migration background","higher vocational","62","0.0496829345568129","0.0374498869704222","0.0619159821432037","1"
"Yes","2009","no migration background","higher education","165","0.0549721943015565","0.0475950807903271","0.0623493078127859","1"
"Yes","2009","direct migration background","in school","","","","","1"
"Yes","2009","direct migration background","inadequately","11","","","","1"
"Yes","2009","direct migration background","general elemantary","24","","","","1"
"Yes","2009","direct migration background","middle vocational","33","0.0608788802694206","0.0420120196661738","0.0797457408726674","1"
"Yes","2009","direct migration background","vocational + Abi","9","","","","1"
"Yes","2009","direct migration background","higher vocational","9","","","","1"
"Yes","2009","direct migration background","higher education","17","","","","1"
"Yes","2009","indirect migration background","in school","1","","","","1"
"Yes","2009","indirect migration background","inadequately","","","","","1"
"Yes","2009","indirect migration background","general elemantary","6","","","","1"
"Yes","2009","indirect migration background","middle vocational","11","","","","1"
"Yes","2009","indirect migration background","vocational + Abi","3","","","","1"
"Yes","2009","indirect migration background","higher vocational","","","","","1"
"Yes","2009","indirect migration background","higher education","","","","","1"
"No","2010","indirect migration background","inadequately","","","","","2"
"No","2010","indirect migration background","vocational + Abi","","","","","2"
"No","2010","indirect migration background","general elemantary","","","","","2"
"No","2010","indirect migration background","middle vocational","","","","","2"
"No","2010","direct migration background","middle vocational","","","","","2"
"No","2010","direct migration background","vocational + Abi","","","","","2"
"No","2010","indirect migration background","higher vocational","","","","","2"
"No","2010","direct migration background","higher vocational","","","","","2"
"No","2010","indirect migration background","higher education","","","","","2"
"No","2010","direct migration background","higher education","","","","","2"
"No","2010","indirect migration background","in school","","","","","2"
"No","2010","no migration background","higher vocational","","","","","2"
"No","2010","no migration background","higher education","","","","","2"
"No","2010","direct migration background","in school","","","","","2"
"No","2010","direct migration background","inadequately","","","","","2"
"No","2010","direct migration background","general elemantary","","","","","2"
"No","2010","no migration background","in school","","","","","2"
