"ple0019","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2009","indirect migration background","Male","340","0.97969293497821","0.964809365084484","0.994576504871936","2"
"No","2009","no migration background","Male","7287","0.960752925595968","0.95636875799538","0.965137093196556","2"
"No","2009","no migration background","Female","7687","0.927865238769533","0.92226804134032","0.933462436198747","2"
"No","2009","indirect migration background","Female","354","0.956154427946711","0.935291554693452","0.97701730119997","2"
"No","2009","direct migration background","Male","728","0.949670731342923","0.934158200480855","0.965183262204991","2"
"No","2009","direct migration background","Female","836","0.918135103142714","0.900273272923751","0.935996933361677","2"
"Yes","2009","no migration background","Male","249","0.039247074404032","0.0348629068034439","0.0436312420046202","1"
"Yes","2009","no migration background","Female","520","0.0721347612304668","0.0665375638012534","0.0777319586596802","1"
"Yes","2009","direct migration background","Male","35","0.0503292686570774","0.0348167377950093","0.0658417995191455","1"
"Yes","2009","direct migration background","Female","69","0.0818648968572864","0.0640030666383235","0.0997267270762493","1"
"Yes","2009","indirect migration background","Male","5","","","","1"
"Yes","2009","indirect migration background","Female","16","","","","1"
"No","2010","indirect migration background","Male","","","","","2"
"No","2010","no migration background","Male","","","","","2"
"No","2010","indirect migration background","Female","","","","","2"
"No","2010","no migration background","Female","","","","","2"
"No","2010","direct migration background","Male","","","","","2"
"No","2010","direct migration background","Female","","","","","2"
"Yes","2010","no migration background","Male","","","","","1"
"Yes","2010","no migration background","Female","","","","","1"
"Yes","2010","direct migration background","Male","","","","","1"
"Yes","2010","direct migration background","Female","","","","","1"
"Yes","2010","indirect migration background","Male","","","","","1"
"Yes","2010","indirect migration background","Female","","","","","1"
"No","2011","no migration background","Male","8204","0.952797799093048","0.94830630059414","0.957289297591957","2"
"No","2011","indirect migration background","Male","371","0.967500710108016","0.949695455623101","0.985305964592931","2"
"No","2011","indirect migration background","Female","382","0.926896370277297","0.901942092140945","0.951850648413648","2"
"No","2011","no migration background","Female","8753","0.921164354164264","0.915738819687409","0.926589888641119","2"
"No","2011","direct migration background","Male","856","0.962313137556036","0.94982974779876","0.974796527313312","2"
"No","2011","direct migration background","Female","1049","0.917644434961467","0.901587502192746","0.933701367730189","2"
"Yes","2011","no migration background","Male","360","0.0472022009069516","0.0427107024080432","0.05169369940586","1"
"Yes","2011","no migration background","Female","724","0.0788356458357355","0.0734101113588805","0.0842611803125905","1"
"Yes","2011","direct migration background","Male","38","0.0376868624439643","0.0252034726866884","0.0501702522012401","1"
"Yes","2011","direct migration background","Female","77","0.0823555650385326","0.0662986322698107","0.0984124978072544","1"
"Yes","2011","indirect migration background","Male","10","","","","1"
"Yes","2011","indirect migration background","Female","36","0.0731036297227034","0.0481493515863521","0.0980579078590547","1"
"No","2012","no migration background","Male","","","","","2"
"No","2012","no migration background","Female","","","","","2"
"No","2012","indirect migration background","Male","","","","","2"
"No","2012","indirect migration background","Female","","","","","2"
"No","2012","direct migration background","Male","","","","","2"
"No","2012","direct migration background","Female","","","","","2"
"Yes","2012","no migration background","Male","","","","","1"
"Yes","2012","no migration background","Female","","","","","1"
"Yes","2012","direct migration background","Male","","","","","1"
"Yes","2012","direct migration background","Female","","","","","1"
"Yes","2012","indirect migration background","Male","","","","","1"
"Yes","2012","indirect migration background","Female","","","","","1"
"No","2013","no migration background","Male","7387","0.941143016349925","0.935917915190857","0.946368117508992","2"
"No","2013","no migration background","Female","7981","0.905855028491747","0.899741385917252","0.911968671066243","2"
"No","2013","direct migration background","Male","701","0.94916044359356","0.93327954352061","0.96504134366651","2"
"No","2013","direct migration background","Female","882","0.911057483892585","0.893059908863995","0.929055058921175","2"
"No","2013","indirect migration background","Male","327","0.961662747805182","0.941401768597103","0.98192372701326","2"
"No","2013","indirect migration background","Female","336","0.892954821642436","0.861494769753359","0.924414873531514","2"
"Yes","2013","no migration background","Male","407","0.0588569836500751","0.0536318824910076","0.0640820848091425","1"
"Yes","2013","no migration background","Female","784","0.0941449715082527","0.0880313289337573","0.100258614082748","1"
"Yes","2013","direct migration background","Male","34","0.0508395564064399","0.03495865633349","0.0667204564793898","1"
"Yes","2013","direct migration background","Female","79","0.088942516107415","0.0709449410788252","0.106940091136005","1"
"Yes","2013","indirect migration background","Male","18","","","","1"
"Yes","2013","indirect migration background","Female","35","0.107045178357564","0.0755851264684864","0.138505230246641","1"
"No","2014","no migration background","Male","","","","","2"
"No","2014","no migration background","Female","","","","","2"
"No","2014","direct migration background","Male","","","","","2"
"No","2014","direct migration background","Female","","","","","2"
"No","2014","indirect migration background","Male","","","","","2"
"No","2014","indirect migration background","Female","","","","","2"
"Yes","2014","no migration background","Male","","","","","1"
"Yes","2014","no migration background","Female","","","","","1"
"Yes","2014","direct migration background","Male","","","","","1"
"Yes","2014","direct migration background","Female","","","","","1"
"Yes","2014","indirect migration background","Male","","","","","1"
"Yes","2014","indirect migration background","Female","","","","","1"
"No","2015","no migration background","Male","8325","0.935215693028146","0.930078169246092","0.940353216810199","2"
"No","2015","no migration background","Female","9345","0.895718720784375","0.889844338776076","0.901593102792673","2"
"No","2015","direct migration background","Male","1871","0.939781472432658","0.929211954534515","0.950350990330801","2"
"No","2015","direct migration background","Female","2195","0.909166890453865","0.897609489487618","0.920724291420112","2"
"No","2015","indirect migration background","Male","722","0.967069679777452","0.95432357560834","0.979815783946563","2"
"No","2015","indirect migration background","Female","812","0.919156553180187","0.901146130313729","0.937166976046644","2"
