"ple0019","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Couple + C. GT 16 ","Female","1398","0.959084508476136","0.948944147148231","0.969224869804042","2"
"No","2009","(Married) couple without C. ","Male","3194","0.963538884727325","0.9571525848921","0.96992518456255","2"
"No","2009","(Married) couple without C. ","Female","3157","0.926359534067617","0.917543924253967","0.935175143881266","2"
"No","2009","1-pers.-HH","Female","1545","0.914355095680613","0.901001483512887","0.92770870784834","2"
"No","2009","Couple + C. GT 16 ","Male","1656","0.973948943250807","0.966374823462432","0.981523063039182","2"
"No","2009","Couple + C. LE and GT 16","Male","582","0.97221273454254","0.959006069415661","0.98541939966942","2"
"No","2009","Couple + C. LE and GT 16","Female","555","0.953110477636597","0.935994220220103","0.970226735053091","2"
"No","2009","1-pers.-HH","Male","1151","0.925613585612825","0.910907518783572","0.940319652442078","2"
"No","2009","Single parent ","Male","283","0.974369510623928","0.95618132473345","0.992557696514406","2"
"No","2009","Single parent ","Female","643","0.905214506870175","0.883607608455979","0.926821405284371","2"
"No","2009","Couple + C. LE 16 ","Male","1354","0.981334456805561","0.974209285397785","0.988459628213338","2"
"No","2009","Couple + C. LE 16 ","Female","1411","0.945144285553828","0.933520185390499","0.956768385717157","2"
"Yes","2009","1-pers.-HH","Male","72","0.0743864143871749","0.0596803475579218","0.0890924812164279","1"
"Yes","2009","1-pers.-HH","Female","142","0.0856449043193866","0.0722912921516602","0.0989985164871129","1"
"Yes","2009","(Married) couple without C. ","Male","115","0.036461115272675","0.03007481543745","0.0428474151079","1"
"Yes","2009","(Married) couple without C. ","Female","215","0.0736404659323834","0.0648248561187336","0.0824560757460331","1"
"Yes","2009","Single parent ","Male","7","","","","1"
"Yes","2009","Single parent ","Female","63","0.0947854931298252","0.073178594715629","0.116392391544021","1"
"Yes","2009","Couple + C. LE 16 ","Male","32","0.0186655431944386","0.0115403717866623","0.0257907146022149","1"
"Yes","2009","Couple + C. LE 16 ","Female","63","0.0548557144461722","0.0432316142828429","0.0664798146095015","1"
"Yes","2009","Couple + C. GT 16 ","Male","43","0.0260510567491929","0.0184769369608179","0.0336251765375678","1"
"Yes","2009","Couple + C. GT 16 ","Female","68","0.0409154915238635","0.0307751301959581","0.051055852851769","1"
"Yes","2009","Couple + C. LE and GT 16","Male","13","","","","1"
"Yes","2009","Couple + C. LE and GT 16","Female","31","0.046889522363403","0.0297732649469093","0.0640057797798966","1"
"No","2010","Couple + C. GT 16 ","Female","","","","","2"
"No","2010","Couple + C. LE and GT 16","Female","","","","","2"
"No","2010","1-pers.-HH","Female","","","","","2"
"No","2010","(Married) couple without C. ","Female","","","","","2"
"No","2010","Couple + C. GT 16 ","Male","","","","","2"
"No","2010","Couple + C. LE and GT 16","Male","","","","","2"
"No","2010","1-pers.-HH","Male","","","","","2"
"No","2010","(Married) couple without C. ","Male","","","","","2"
"No","2010","Single parent ","Male","","","","","2"
"No","2010","Single parent ","Female","","","","","2"
"No","2010","Couple + C. LE 16 ","Male","","","","","2"
"No","2010","Couple + C. LE 16 ","Female","","","","","2"
"Yes","2010","1-pers.-HH","Male","","","","","1"
"Yes","2010","1-pers.-HH","Female","","","","","1"
"Yes","2010","(Married) couple without C. ","Male","","","","","1"
"Yes","2010","(Married) couple without C. ","Female","","","","","1"
"Yes","2010","Single parent ","Male","","","","","1"
"Yes","2010","Single parent ","Female","","","","","1"
"Yes","2010","Couple + C. LE 16 ","Male","","","","","1"
"Yes","2010","Couple + C. LE 16 ","Female","","","","","1"
"Yes","2010","Couple + C. GT 16 ","Male","","","","","1"
"Yes","2010","Couple + C. GT 16 ","Female","","","","","1"
"Yes","2010","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","2010","Couple + C. LE and GT 16","Female","","","","","1"
"No","2011","Couple + C. GT 16 ","Female","1422","0.944506503748839","0.932985804994427","0.956027202503251","2"
"No","2011","Couple + C. LE and GT 16","Female","581","0.938481194018386","0.919350597377111","0.957611790659661","2"
"No","2011","Couple + C. GT 16 ","Male","1625","0.960652983256706","0.951367249647732","0.96993871686568","2"
"No","2011","Couple + C. LE and GT 16","Male","609","0.973495558902702","0.960932523553479","0.986058594251924","2"
"No","2011","1-pers.-HH","Male","1381","0.928537722330185","0.915405171907469","0.941670272752902","2"
"No","2011","1-pers.-HH","Female","1895","0.908257846353668","0.895900036841872","0.920615655865465","2"
"No","2011","(Married) couple without C. ","Female","3778","0.917836069360886","0.909426160660475","0.926245978061297","2"
"No","2011","(Married) couple without C. ","Male","3890","0.963239362313256","0.957443302859686","0.969035421766826","2"
"No","2011","Single parent ","Male","320","0.93151125532641","0.904382514864798","0.958639995788023","2"
"No","2011","Single parent ","Female","760","0.91699107957958","0.898344678077455","0.935637481081705","2"
"No","2011","Couple + C. LE 16 ","Male","1438","0.965859988747928","0.956645895624496","0.97507408187136","2"
"No","2011","Couple + C. LE 16 ","Female","1536","0.939969935082844","0.928420445371063","0.951519424794625","2"
"Yes","2011","Single parent ","Male","13","","","","1"
"Yes","2011","Single parent ","Female","81","0.08300892042042","0.0643625189182949","0.101655321922545","1"
"Yes","2011","Couple + C. LE 16 ","Male","54","0.0341400112520717","0.0249259181286396","0.0433541043755038","1"
"Yes","2011","Couple + C. LE 16 ","Female","89","0.0600300649171561","0.0484805752053752","0.071579554628937","1"
"Yes","2011","Couple + C. GT 16 ","Male","59","0.039347016743294","0.0300612831343201","0.048632750352268","1"
"Yes","2011","Couple + C. GT 16 ","Female","95","0.0554934962511606","0.0439727974967485","0.0670141950055727","1"
"Yes","2011","Couple + C. LE and GT 16","Male","19","","","","1"
"Yes","2011","Couple + C. LE and GT 16","Female","25","","","","1"
"Yes","2011","1-pers.-HH","Male","97","0.0714622776698146","0.0583297272470982","0.084594828092531","1"
"Yes","2011","1-pers.-HH","Female","201","0.0917421536463315","0.0793843441345349","0.104099963158128","1"
"Yes","2011","(Married) couple without C. ","Male","159","0.0367606376867443","0.0309645782331744","0.0425566971403142","1"
