"ple0019","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","Male","99","1","1","1"
"Yes","2009","lower secondary degree","Female","203","1","1","1"
"Yes","2009","secondary school degree","Male","69","1","1","1"
"Yes","2009","secondary school degree","Female","210","1","1","1"
"Yes","2009","college entrance qualification","Male","90","1","1","1"
"Yes","2009","college entrance qualification","Female","133","1","1","1"
"Yes","2009","Other degree","Male","24","","",""
"Yes","2009","Other degree","Female","33","1","1","1"
"Yes","2009","no degree/no degree yet","Male","4","","",""
"Yes","2009","no degree/no degree yet","Female","19","","",""
"Yes","2010","lower secondary degree","Male","","","",""
"Yes","2010","lower secondary degree","Female","","","",""
"Yes","2010","secondary school degree","Male","","","",""
"Yes","2010","secondary school degree","Female","","","",""
"Yes","2010","college entrance qualification","Male","","","",""
"Yes","2010","college entrance qualification","Female","","","",""
"Yes","2010","Other degree","Male","","","",""
"Yes","2010","Other degree","Female","","","",""
"Yes","2010","no degree/no degree yet","Male","","","",""
"Yes","2010","no degree/no degree yet","Female","","","",""
"Yes","2011","lower secondary degree","Male","144","1","1","1"
"Yes","2011","lower secondary degree","Female","279","1","1","1"
"Yes","2011","secondary school degree","Male","109","1","1","1"
"Yes","2011","secondary school degree","Female","291","1","1","1"
"Yes","2011","college entrance qualification","Male","122","1","1","1"
"Yes","2011","college entrance qualification","Female","188","1","1","1"
"Yes","2011","Other degree","Male","22","","",""
"Yes","2011","Other degree","Female","43","1","1","1"
"Yes","2011","no degree/no degree yet","Male","5","","",""
"Yes","2011","no degree/no degree yet","Female","20","","",""
"Yes","2012","lower secondary degree","Male","","","",""
"Yes","2012","lower secondary degree","Female","","","",""
"Yes","2012","secondary school degree","Male","","","",""
"Yes","2012","secondary school degree","Female","","","",""
"Yes","2012","college entrance qualification","Male","","","",""
"Yes","2012","college entrance qualification","Female","","","",""
"Yes","2012","Other degree","Male","","","",""
"Yes","2012","Other degree","Female","","","",""
"Yes","2012","no degree/no degree yet","Male","","","",""
"Yes","2012","no degree/no degree yet","Female","","","",""
