"year","migback","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","direct migration background","general elemantary","4.69","5","565","3","4","6","7","4.56","4.82","5","5"
"2005","direct migration background","higher education","4.91","5","338","3","4","6","7","4.74","5.08","5","5"
"2005","direct migration background","higher vocational","5.07","5","132","3","4","6","7","4.8","5.34","5","6"
"2005","direct migration background","in school","5.74","6","55","4","5","7","7","5.37","6.11","5","6"
"2005","direct migration background","inadequately","4.45","4","148","2","4","5","7","4.18","4.72","4","5"
"2005","direct migration background","middle vocational","5.01","5","869","3","4","6","7","4.91","5.11","5","5"
"2005","direct migration background","vocational + Abi","4.95","5","216","3","4","6","7","4.77","5.13","5","5"
"2005","indirect migration background","general elemantary","5.18","5","182","3","4","7","7","4.97","5.39","5","6"
"2005","indirect migration background","higher education","5.24","5","69","4","4","6","7","4.93","5.55","5","6"
"2005","indirect migration background","higher vocational","5.21","5","41","4","4","6","7","4.81","5.61","4","6"
"2005","indirect migration background","in school","5.48","5","90","4","5","7","7","5.21","5.75","5","6"
"2005","indirect migration background","inadequately","","","","","","","","","","",""
"2005","indirect migration background","middle vocational","5.48","6","336","4","5","6","7","5.34","5.62","5","6"
"2005","indirect migration background","vocational + Abi","5.62","6","46","4","5","6","7","5.25","5.99","5","6"
"2005","no migration background","general elemantary","5.03","5","1652","3","4","6","7","4.96","5.1","5","5"
"2005","no migration background","higher education","4.99","5","3760","3","4","6","7","4.95","5.03","5","5"
"2005","no migration background","higher vocational","5.05","5","1381","3","4","6","7","4.97","5.13","5","5"
"2005","no migration background","in school","5.31","6","505","3","4","6","7","5.19","5.43","5","6"
"2005","no migration background","inadequately","5.18","5","81","3","4","7","7","4.74","5.62","4","6"
"2005","no migration background","middle vocational","5.11","5","9037","3","4","6","7","5.08","5.14","5","5"
"2005","no migration background","vocational + Abi","5.21","5","872","3","4","6","7","5.12","5.3","5","6"
"2006","direct migration background","general elemantary","","","","","","","","","","",""
"2006","direct migration background","higher education","","","","","","","","","","",""
"2006","direct migration background","higher vocational","","","","","","","","","","",""
"2006","direct migration background","in school","","","","","","","","","","",""
"2006","direct migration background","inadequately","","","","","","","","","","",""
"2006","direct migration background","middle vocational","","","","","","","","","","",""
"2006","direct migration background","vocational + Abi","","","","","","","","","","",""
"2006","indirect migration background","general elemantary","","","","","","","","","","",""
"2006","indirect migration background","higher education","","","","","","","","","","",""
"2006","indirect migration background","higher vocational","","","","","","","","","","",""
"2006","indirect migration background","in school","","","","","","","","","","",""
"2006","indirect migration background","inadequately","","","","","","","","","","",""
"2006","indirect migration background","middle vocational","","","","","","","","","","",""
