"year","education","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","college entrance qualification","Ostdeutschland, neue Bundeslaender","5.06","5","1126","3","4","6","7","4.98","5.14","5","5"
"2005","college entrance qualification","Westdeutschland, alte Bundeslaender","5.06","5","4065","3","4","6","7","5.02","5.1","5","5"
"2005","lower secondary degree","Ostdeutschland, neue Bundeslaender","4.98","5","1387","3","4","6","7","4.9","5.06","5","5"
"2005","lower secondary degree","Westdeutschland, alte Bundeslaender","5.06","5","5693","3","4","6","7","5.02","5.1","5","5"
"2005","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","5.19","5","167","3","4","6","7","4.97","5.41","5","6"
"2005","no degree/no degree yet","Westdeutschland, alte Bundeslaender","5.11","5","736","3","4","6","7","5","5.22","5","5"
"2005","Other degree","Ostdeutschland, neue Bundeslaender","5.35","6","49","3","4","7","7","4.85","5.85","4","6"
"2005","Other degree","Westdeutschland, alte Bundeslaender","4.73","5","1064","3","4","6","7","4.64","4.82","5","5"
"2005","secondary school degree","Ostdeutschland, neue Bundeslaender","5.07","5","2221","3","4","6","7","5.01","5.13","5","5"
"2005","secondary school degree","Westdeutschland, alte Bundeslaender","5.2","5","3791","3","4","6","7","5.16","5.24","5","5"
"2006","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
