"plh0172","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","2008","Schleswig-Holstein","in school","","","","","0"
"0 Completely dissatisfied","2008","Schleswig-Holstein","inadequately","","","","","0"
"0 Completely dissatisfied","2008","Schleswig-Holstein","general elemantary","","","","","0"
"0 Completely dissatisfied","2008","Schleswig-Holstein","middle vocational","3","","","","0"
"0 Completely dissatisfied","2008","Schleswig-Holstein","vocational + Abi","","","","","0"
"0 Completely dissatisfied","2008","Schleswig-Holstein","higher vocational","","","","","0"
"0 Completely dissatisfied","2008","Schleswig-Holstein","higher education","","","","","0"
"0 Completely dissatisfied","2008","Hamburg","in school","","","","","0"
"0 Completely dissatisfied","2008","Hamburg","inadequately","","","","","0"
"0 Completely dissatisfied","2008","Hamburg","general elemantary","","","","","0"
"0 Completely dissatisfied","2008","Hamburg","middle vocational","1","","","","0"
"0 Completely dissatisfied","2008","Hamburg","vocational + Abi","","","","","0"
"0 Completely dissatisfied","2008","Hamburg","higher vocational","","","","","0"
"0 Completely dissatisfied","2008","Hamburg","higher education","","","","","0"
"0 Completely dissatisfied","2008","Lower Saxony","in school","","","","","0"
"0 Completely dissatisfied","2008","Lower Saxony","inadequately","","","","","0"
"0 Completely dissatisfied","2008","Lower Saxony","general elemantary","3","","","","0"
"0 Completely dissatisfied","2008","Lower Saxony","middle vocational","5","","","","0"
"0 Completely dissatisfied","2008","Lower Saxony","vocational + Abi","2","","","","0"
"0 Completely dissatisfied","2008","Lower Saxony","higher vocational","","","","","0"
"0 Completely dissatisfied","2008","Lower Saxony","higher education","2","","","","0"
"0 Completely dissatisfied","2008","Bremen","in school","","","","","0"
"0 Completely dissatisfied","2008","Bremen","inadequately","","","","","0"
"0 Completely dissatisfied","2008","Bremen","general elemantary","1","","","","0"
"0 Completely dissatisfied","2008","Bremen","middle vocational","","","","","0"
"0 Completely dissatisfied","2008","Bremen","vocational + Abi","","","","","0"
"0 Completely dissatisfied","2008","Bremen","higher vocational","","","","","0"
"0 Completely dissatisfied","2008","Bremen","higher education","1","","","","0"
"0 Completely dissatisfied","2008","North Rhine-Westphalia","in school","","","","","0"
"0 Completely dissatisfied","2008","North Rhine-Westphalia","inadequately","1","","","","0"
"0 Completely dissatisfied","2008","North Rhine-Westphalia","general elemantary","3","","","","0"
"0 Completely dissatisfied","2008","North Rhine-Westphalia","middle vocational","11","","","","0"
"0 Completely dissatisfied","2008","North Rhine-Westphalia","vocational + Abi","3","","","","0"
"0 Completely dissatisfied","2008","North Rhine-Westphalia","higher vocational","4","","","","0"
"0 Completely dissatisfied","2008","North Rhine-Westphalia","higher education","3","","","","0"
"0 Completely dissatisfied","2008","Hesse","in school","","","","","0"
"0 Completely dissatisfied","2008","Hesse","inadequately","","","","","0"
"0 Completely dissatisfied","2008","Hesse","general elemantary","2","","","","0"
"0 Completely dissatisfied","2008","Hesse","middle vocational","6","","","","0"
"0 Completely dissatisfied","2008","Hesse","vocational + Abi","","","","","0"
"0 Completely dissatisfied","2008","Hesse","higher vocational","","","","","0"
"0 Completely dissatisfied","2008","Hesse","higher education","1","","","","0"
"0 Completely dissatisfied","2008","Rhineland-Palatinate,Saarland","in school","","","","","0"
"0 Completely dissatisfied","2008","Rhineland-Palatinate,Saarland","inadequately","","","","","0"
"0 Completely dissatisfied","2008","Rhineland-Palatinate,Saarland","general elemantary","2","","","","0"
"0 Completely dissatisfied","2008","Rhineland-Palatinate,Saarland","middle vocational","1","","","","0"
"0 Completely dissatisfied","2008","Rhineland-Palatinate,Saarland","vocational + Abi","","","","","0"
"0 Completely dissatisfied","2008","Rhineland-Palatinate,Saarland","higher vocational","","","","","0"
"0 Completely dissatisfied","2008","Rhineland-Palatinate,Saarland","higher education","","","","","0"
"0 Completely dissatisfied","2008","Baden-Württemberg","in school","","","","","0"
"0 Completely dissatisfied","2008","Baden-Württemberg","inadequately","1","","","","0"
"0 Completely dissatisfied","2008","Baden-Württemberg","general elemantary","1","","","","0"
"0 Completely dissatisfied","2008","Baden-Württemberg","middle vocational","4","","","","0"
"0 Completely dissatisfied","2008","Baden-Württemberg","vocational + Abi","","","","","0"
"0 Completely dissatisfied","2008","Baden-Württemberg","higher vocational","","","","","0"
"0 Completely dissatisfied","2008","Baden-Württemberg","higher education","2","","","","0"
"0 Completely dissatisfied","2008","Bavaria","in school","","","","","0"
"0 Completely dissatisfied","2008","Bavaria","inadequately","1","","","","0"
"0 Completely dissatisfied","2008","Bavaria","general elemantary","3","","","","0"
"0 Completely dissatisfied","2008","Bavaria","middle vocational","17","","","","0"
"0 Completely dissatisfied","2008","Bavaria","vocational + Abi","","","","","0"
"0 Completely dissatisfied","2008","Bavaria","higher vocational","4","","","","0"
"0 Completely dissatisfied","2008","Bavaria","higher education","3","","","","0"
"0 Completely dissatisfied","2008","Berlin","in school","","","","","0"
"0 Completely dissatisfied","2008","Berlin","inadequately","1","","","","0"
"0 Completely dissatisfied","2008","Berlin","general elemantary","1","","","","0"
"0 Completely dissatisfied","2008","Berlin","middle vocational","2","","","","0"
"0 Completely dissatisfied","2008","Berlin","vocational + Abi","","","","","0"
"0 Completely dissatisfied","2008","Berlin","higher vocational","","","","","0"
"0 Completely dissatisfied","2008","Berlin","higher education","1","","","","0"
"0 Completely dissatisfied","2008","Brandenburg","in school","","","","","0"
"0 Completely dissatisfied","2008","Brandenburg","inadequately","","","","","0"
"0 Completely dissatisfied","2008","Brandenburg","general elemantary","","","","","0"
"0 Completely dissatisfied","2008","Brandenburg","middle vocational","2","","","","0"
"0 Completely dissatisfied","2008","Brandenburg","vocational + Abi","","","","","0"
"0 Completely dissatisfied","2008","Brandenburg","higher vocational","","","","","0"
"0 Completely dissatisfied","2008","Brandenburg","higher education","","","","","0"
"0 Completely dissatisfied","2008","Mecklenburg-Western Pomerania","in school","","","","","0"
"0 Completely dissatisfied","2008","Mecklenburg-Western Pomerania","inadequately","","","","","0"
"0 Completely dissatisfied","2008","Mecklenburg-Western Pomerania","general elemantary","","","","","0"
"0 Completely dissatisfied","2008","Mecklenburg-Western Pomerania","middle vocational","2","","","","0"
"0 Completely dissatisfied","2008","Mecklenburg-Western Pomerania","vocational + Abi","","","","","0"
"0 Completely dissatisfied","2008","Mecklenburg-Western Pomerania","higher vocational","","","","","0"
"0 Completely dissatisfied","2008","Mecklenburg-Western Pomerania","higher education","1","","","","0"
"0 Completely dissatisfied","2008","Saxony","in school","","","","","0"
"0 Completely dissatisfied","2008","Saxony","inadequately","","","","","0"
"0 Completely dissatisfied","2008","Saxony","general elemantary","1","","","","0"
"0 Completely dissatisfied","2008","Saxony","middle vocational","5","","","","0"
"0 Completely dissatisfied","2008","Saxony","vocational + Abi","","","","","0"
"0 Completely dissatisfied","2008","Saxony","higher vocational","","","","","0"
