"transab_cat2","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","lower secondary degree","no migration background","5114","0.945561049570644","0.939518664175657","0.951603434965631"
"Very low transfer dependency","1984","lower secondary degree","direct migration background","545","0.941060801007291","0.922232037029217","0.959889564985365"
"Very low transfer dependency","1984","lower secondary degree","indirect migration background","62","0.968926659100911","0.92798523235399","1.00986808584783"
"Very low transfer dependency","1984","secondary school degree","no migration background","1716","0.967051785863559","0.958754749026217","0.9753488227009"
"Very low transfer dependency","1984","secondary school degree","direct migration background","133","0.904902449183673","0.857318858504358","0.952486039862989"
"Very low transfer dependency","1984","secondary school degree","indirect migration background","24","","",""
"Very low transfer dependency","1984","college entrance qualification","no migration background","1090","0.942353116630615","0.928923111969204","0.955783121292027"
"Very low transfer dependency","1984","college entrance qualification","direct migration background","105","0.855345121719808","0.792670367524788","0.918019875914828"
"Very low transfer dependency","1984","college entrance qualification","indirect migration background","8","","",""
"Very low transfer dependency","1984","Other degree","no migration background","32","0.87356352422919","0.766478024958869","0.98064902349951"
"Very low transfer dependency","1984","Other degree","direct migration background","1246","0.880793062085413","0.863770842754362","0.897815281416463"
"Very low transfer dependency","1984","Other degree","indirect migration background","7","","",""
"Very low transfer dependency","1984","no degree/no degree yet","no migration background","195","0.865789664315687","0.821347719963922","0.910231608667451"
"Very low transfer dependency","1984","no degree/no degree yet","direct migration background","915","0.842931045887773","0.820911845305563","0.864950246469984"
"Very low transfer dependency","1984","no degree/no degree yet","indirect migration background","13","","",""
"Low transfer dependency","1984","lower secondary degree","no migration background","170","0.0293276072431676","0.0248341209848292","0.033821093501506"
"Low transfer dependency","1984","lower secondary degree","direct migration background","33","0.02389704768695","0.0116866223244144","0.0361074730494856"
"Low transfer dependency","1984","lower secondary degree","indirect migration background","4","","",""
"Low transfer dependency","1984","secondary school degree","no migration background","39","0.0210910656488455","0.0144122013342973","0.0277699299633937"
"Low transfer dependency","1984","secondary school degree","direct migration background","5","","",""
"Low transfer dependency","1984","secondary school degree","indirect migration background","4","","",""
"Low transfer dependency","1984","college entrance qualification","no migration background","33","0.0268155587806104","0.0175072149752559","0.0361239025859648"
"Low transfer dependency","1984","college entrance qualification","direct migration background","1","","",""
"Low transfer dependency","1984","college entrance qualification","indirect migration background","","","",""
"Low transfer dependency","1984","Other degree","no migration background","3","","",""
"Low transfer dependency","1984","Other degree","direct migration background","98","0.0774871133305801","0.0634418645794509","0.0915323620817094"
"Low transfer dependency","1984","Other degree","indirect migration background","","","",""
"Low transfer dependency","1984","no degree/no degree yet","no migration background","23","","",""
"Low transfer dependency","1984","no degree/no degree yet","direct migration background","85","0.0942441442759207","0.0765637026030358","0.111924585948806"
"Low transfer dependency","1984","no degree/no degree yet","indirect migration background","1","","",""
"High transfer dependency","1984","lower secondary degree","no migration background","49","0.00919952925469968","0.00665689046764103","0.0117421680417583"
"High transfer dependency","1984","lower secondary degree","direct migration background","5","","",""
"High transfer dependency","1984","lower secondary degree","indirect migration background","","","",""
"High transfer dependency","1984","secondary school degree","no migration background","7","","",""
"High transfer dependency","1984","secondary school degree","direct migration background","5","","",""
"High transfer dependency","1984","secondary school degree","indirect migration background","","","",""
"High transfer dependency","1984","college entrance qualification","no migration background","12","","",""
"High transfer dependency","1984","college entrance qualification","direct migration background","5","","",""
"High transfer dependency","1984","college entrance qualification","indirect migration background","","","",""
"High transfer dependency","1984","Other degree","no migration background","","","",""
"High transfer dependency","1984","Other degree","direct migration background","30","0.0215357345971227","0.0139100155032418","0.0291614536910036"
"High transfer dependency","1984","Other degree","indirect migration background","","","",""
"High transfer dependency","1984","no degree/no degree yet","no migration background","2","","",""
"High transfer dependency","1984","no degree/no degree yet","direct migration background","16","","",""
"High transfer dependency","1984","no degree/no degree yet","indirect migration background","","","",""
"Very high transfer dependency","1984","lower secondary degree","no migration background","83","0.0159118139314888","0.0125791952992825","0.019244432563695"
"Very high transfer dependency","1984","lower secondary degree","direct migration background","18","","",""
"Very high transfer dependency","1984","lower secondary degree","indirect migration background","3","","",""
"Very high transfer dependency","1984","secondary school degree","no migration background","16","","",""
"Very high transfer dependency","1984","secondary school degree","direct migration background","3","","",""
"Very high transfer dependency","1984","secondary school degree","indirect migration background","","","",""
"Very high transfer dependency","1984","college entrance qualification","no migration background","22","","",""
"Very high transfer dependency","1984","college entrance qualification","direct migration background","10","","",""
"Very high transfer dependency","1984","college entrance qualification","indirect migration background","","","",""
"Very high transfer dependency","1984","Other degree","no migration background","2","","",""
"Very high transfer dependency","1984","Other degree","direct migration background","18","","",""
"Very high transfer dependency","1984","Other degree","indirect migration background","","","",""
"Very high transfer dependency","1984","no degree/no degree yet","no migration background","6","","",""
"Very high transfer dependency","1984","no degree/no degree yet","direct migration background","33","0.0345100043516476","0.0234639610097562","0.0455560476935391"
"Very high transfer dependency","1984","no degree/no degree yet","indirect migration background","","","",""
"Very low transfer dependency","1985","lower secondary degree","no migration background","4575","0.945551687101031","0.939156698191878","0.951946676010185"
"Very low transfer dependency","1985","lower secondary degree","direct migration background","521","0.942361705764412","0.923161572189953","0.961561839338872"
"Very low transfer dependency","1985","lower secondary degree","indirect migration background","72","0.950096460008093","0.901461086503601","0.998731833512585"
"Very low transfer dependency","1985","secondary school degree","no migration background","1654","0.973047389709063","0.965362706136829","0.980732073281296"
"Very low transfer dependency","1985","secondary school degree","direct migration background","125","0.905347025610996","0.85719898797725","0.953495063244741"
"Very low transfer dependency","1985","secondary school degree","indirect migration background","30","0.903276381955404","0.799225961803691","1.00732680210712"
"Very low transfer dependency","1985","college entrance qualification","no migration background","1055","0.952929409262109","0.940475770874601","0.965383047649617"
"Very low transfer dependency","1985","college entrance qualification","direct migration background","93","0.831348223280513","0.761689814671948","0.901006631889078"
"Very low transfer dependency","1985","college entrance qualification","indirect migration background","6","","",""
"Very low transfer dependency","1985","Other degree","no migration background","35","0.877681927534838","0.774849596706736","0.980514258362941"
"Very low transfer dependency","1985","Other degree","direct migration background","1076","0.913961138372613","0.89790668667047","0.930015590074757"
"Very low transfer dependency","1985","Other degree","indirect migration background","4","","",""
"Very low transfer dependency","1985","no degree/no degree yet","no migration background","200","0.889654336392409","0.848805267961567","0.93050340482325"
"Very low transfer dependency","1985","no degree/no degree yet","direct migration background","768","0.894076770595804","0.873364239321679","0.914789301869929"
"Very low transfer dependency","1985","no degree/no degree yet","indirect migration background","17","","",""
"Low transfer dependency","1985","lower secondary degree","no migration background","133","0.026314964687724","0.0218035205061075","0.0308264088693405"
"Low transfer dependency","1985","lower secondary degree","direct migration background","23","","",""
"Low transfer dependency","1985","lower secondary degree","indirect migration background","3","","",""
"Low transfer dependency","1985","secondary school degree","no migration background","25","","",""
"Low transfer dependency","1985","secondary school degree","direct migration background","9","","",""
