"transab_cat2","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","1-pers.-HH","(0) in school","","","",""
"Very low transfer dependency","1984","1-pers.-HH","(1a) inadequately completed","65","0.860201999342981","0.78421246179734","0.936191536888623"
"Very low transfer dependency","1984","1-pers.-HH","(1b) general elementary school","320","0.918536994718628","0.890121734851514","0.946952254585741"
"Very low transfer dependency","1984","1-pers.-HH","(1c) basic vocational qualification","367","0.921524309736764","0.89526903674135","0.947779582732177"
"Very low transfer dependency","1984","1-pers.-HH","(2b) intermediate general qualification","34","1","1","1"
"Very low transfer dependency","1984","1-pers.-HH","(2a) intermediate vocational","189","0.970819738953506","0.947316437910701","0.994323039996311"
"Very low transfer dependency","1984","1-pers.-HH","(2c_gen) general maturity certificate","36","0.711025252422648","0.584107459812069","0.837943045033227"
"Very low transfer dependency","1984","1-pers.-HH","(2c_voc) vocational maturity certificate","60","0.820356998285051","0.732294042904661","0.908419953665441"
"Very low transfer dependency","1984","1-pers.-HH","(3a) lower tertiary education","28","","",""
"Very low transfer dependency","1984","1-pers.-HH","(3b) higher tertiary education","78","0.934382088721786","0.881742549194614","0.987021628248958"
"Very low transfer dependency","1984","(Married) couple without C. ","(0) in school","1","","",""
"Very low transfer dependency","1984","(Married) couple without C. ","(1a) inadequately completed","128","0.891126839821257","0.84007513505987","0.942178544582643"
"Very low transfer dependency","1984","(Married) couple without C. ","(1b) general elementary school","620","0.961532519184738","0.946747555096243","0.976317483273233"
"Very low transfer dependency","1984","(Married) couple without C. ","(1c) basic vocational qualification","1076","0.974977755949501","0.965780914650916","0.984174597248086"
"Very low transfer dependency","1984","(Married) couple without C. ","(2b) intermediate general qualification","46","0.983076771820965","0.946201563329843","1.01995198031209"
"Very low transfer dependency","1984","(Married) couple without C. ","(2a) intermediate vocational","347","0.980949856177949","0.966709560943473","0.995190151412424"
"Very low transfer dependency","1984","(Married) couple without C. ","(2c_gen) general maturity certificate","44","0.88921368851002","0.802215700219521","0.976211676800519"
"Very low transfer dependency","1984","(Married) couple without C. ","(2c_voc) vocational maturity certificate","118","0.943089813843397","0.902638340098235","0.983541287588558"
"Very low transfer dependency","1984","(Married) couple without C. ","(3a) lower tertiary education","86","0.9775546618923","0.946606108317877","1.00850321546672"
"Very low transfer dependency","1984","(Married) couple without C. ","(3b) higher tertiary education","112","0.966270326712169","0.933417368206215","0.999123285218124"
"Very low transfer dependency","1984","Single parent ","(0) in school","13","","",""
"Very low transfer dependency","1984","Single parent ","(1a) inadequately completed","34","0.628098830928995","0.486887483047887","0.769310178810104"
"Very low transfer dependency","1984","Single parent ","(1b) general elementary school","132","0.811608006109404","0.751394354383725","0.871821657835083"
"Very low transfer dependency","1984","Single parent ","(1c) basic vocational qualification","155","0.845354485049361","0.793670348942689","0.897038621156032"
"Very low transfer dependency","1984","Single parent ","(2b) intermediate general qualification","36","0.92819477686018","0.847170835436713","1.00921871828365"
"Very low transfer dependency","1984","Single parent ","(2a) intermediate vocational","48","0.821269186102707","0.722669263282492","0.919869108922922"
"Very low transfer dependency","1984","Single parent ","(2c_gen) general maturity certificate","26","","",""
"Very low transfer dependency","1984","Single parent ","(2c_voc) vocational maturity certificate","10","","",""
"Very low transfer dependency","1984","Single parent ","(3a) lower tertiary education","3","","",""
"Very low transfer dependency","1984","Single parent ","(3b) higher tertiary education","12","","",""
"Very low transfer dependency","1984","Couple + C. LE 16 ","(0) in school","1","","",""
"Very low transfer dependency","1984","Couple + C. LE 16 ","(1a) inadequately completed","309","0.800335932453458","0.758516257992194","0.842155606914722"
"Very low transfer dependency","1984","Couple + C. LE 16 ","(1b) general elementary school","566","0.895005829994389","0.870895796403928","0.91911586358485"
"Very low transfer dependency","1984","Couple + C. LE 16 ","(1c) basic vocational qualification","1097","0.94438114399124","0.931220722223713","0.957541565758767"
"Very low transfer dependency","1984","Couple + C. LE 16 ","(2b) intermediate general qualification","44","0.943452940001391","0.87670554647536","1.01020033352742"
"Very low transfer dependency","1984","Couple + C. LE 16 ","(2a) intermediate vocational","372","0.954637932560967","0.933985008365899","0.975290856756035"
"Very low transfer dependency","1984","Couple + C. LE 16 ","(2c_gen) general maturity certificate","51","0.922393390199848","0.85231864543716","0.992468134962536"
"Very low transfer dependency","1984","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","111","0.942360075161972","0.901172551894019","0.983547598429925"
"Very low transfer dependency","1984","Couple + C. LE 16 ","(3a) lower tertiary education","74","0.942601605708631","0.890981992152554","0.994221219264708"
"Very low transfer dependency","1984","Couple + C. LE 16 ","(3b) higher tertiary education","182","0.970340379237997","0.946090252350661","0.994590506125332"
"Very low transfer dependency","1984","Couple + C. GT 16 ","(0) in school","77","0.997328260862857","0.985945420784354","1.00871110094136"
"Very low transfer dependency","1984","Couple + C. GT 16 ","(1a) inadequately completed","148","0.924378955008564","0.883153457107716","0.965604452909412"
"Very low transfer dependency","1984","Couple + C. GT 16 ","(1b) general elementary school","422","0.962635488131929","0.945014564211318","0.98025641205254"
"Very low transfer dependency","1984","Couple + C. GT 16 ","(1c) basic vocational qualification","645","0.962252724863846","0.947810888818028","0.976694560909664"
"Very low transfer dependency","1984","Couple + C. GT 16 ","(2b) intermediate general qualification","140","0.979828971560346","0.956867167636355","1.00279077548434"
"Very low transfer dependency","1984","Couple + C. GT 16 ","(2a) intermediate vocational","214","0.968429864713801","0.94532470052515","0.991535028902452"
"Very low transfer dependency","1984","Couple + C. GT 16 ","(2c_gen) general maturity certificate","99","0.95723327973511","0.919593379022118","0.994873180448101"
"Very low transfer dependency","1984","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","50","0.9521074531756","0.894067992535222","1.01014691381598"
"Very low transfer dependency","1984","Couple + C. GT 16 ","(3a) lower tertiary education","37","1","1","1"
"Very low transfer dependency","1984","Couple + C. GT 16 ","(3b) higher tertiary education","60","1","1","1"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","(0) in school","72","0.92062529671286","0.860634683784063","0.980615909641657"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","(1a) inadequately completed","190","0.82711693650207","0.778666260147007","0.875567612857134"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","(1b) general elementary school","414","0.946992962477513","0.926585089722369","0.967400835232657"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","(1c) basic vocational qualification","482","0.962059679202859","0.945543178600583","0.978576179805134"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","(2b) intermediate general qualification","120","0.953841581074024","0.917491390354882","0.990191771793165"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","(2a) intermediate vocational","126","0.994603196170011","0.98186114127333","1.00734525106669"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","58","1","1","1"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","25","","",""
"Very low transfer dependency","1984","Couple + C. LE and GT 16","(3a) lower tertiary education","18","","",""
"Very low transfer dependency","1984","Couple + C. LE and GT 16","(3b) higher tertiary education","41","1","1","1"
"Low transfer dependency","1984","1-pers.-HH","(0) in school","","","",""
"Low transfer dependency","1984","1-pers.-HH","(1a) inadequately completed","6","","",""
"Low transfer dependency","1984","1-pers.-HH","(1b) general elementary school","11","","",""
"Low transfer dependency","1984","1-pers.-HH","(1c) basic vocational qualification","11","","",""
"Low transfer dependency","1984","1-pers.-HH","(2b) intermediate general qualification","","","",""
"Low transfer dependency","1984","1-pers.-HH","(2a) intermediate vocational","3","","",""
"Low transfer dependency","1984","1-pers.-HH","(2c_gen) general maturity certificate","2","","",""
"Low transfer dependency","1984","1-pers.-HH","(2c_voc) vocational maturity certificate","4","","",""
"Low transfer dependency","1984","1-pers.-HH","(3a) lower tertiary education","1","","",""
"Low transfer dependency","1984","1-pers.-HH","(3b) higher tertiary education","3","","",""
"Low transfer dependency","1984","(Married) couple without C. ","(0) in school","1","","",""
"Low transfer dependency","1984","(Married) couple without C. ","(1a) inadequately completed","10","","",""
"Low transfer dependency","1984","(Married) couple without C. ","(1b) general elementary school","18","","",""
"Low transfer dependency","1984","(Married) couple without C. ","(1c) basic vocational qualification","25","","",""
"Low transfer dependency","1984","(Married) couple without C. ","(2b) intermediate general qualification","1","","",""
"Low transfer dependency","1984","(Married) couple without C. ","(2a) intermediate vocational","7","","",""
"Low transfer dependency","1984","(Married) couple without C. ","(2c_gen) general maturity certificate","2","","",""
"Low transfer dependency","1984","(Married) couple without C. ","(2c_voc) vocational maturity certificate","2","","",""
"Low transfer dependency","1984","(Married) couple without C. ","(3a) lower tertiary education","1","","",""
"Low transfer dependency","1984","(Married) couple without C. ","(3b) higher tertiary education","3","","",""
"Low transfer dependency","1984","Single parent ","(0) in school","4","","",""
"Low transfer dependency","1984","Single parent ","(1a) inadequately completed","6","","",""
