"transab_cat2","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","no migration background","(0) in school","142","0.902941949844535","0.856782008965607","0.949101890723463"
"Very low transfer dependency","1984","no migration background","(1a) inadequately completed","53","0.786095989469504","0.6886327396057","0.883559239333307"
"Very low transfer dependency","1984","no migration background","(1b) general elementary school","1802","0.934182851222897","0.923134611625947","0.945231090819846"
"Very low transfer dependency","1984","no migration background","(1c) basic vocational qualification","3319","0.951142933054843","0.943994096191573","0.958291769918114"
"Very low transfer dependency","1984","no migration background","(2b) intermediate general qualification","387","0.956728835647297","0.936937331721344","0.976520339573251"
"Very low transfer dependency","1984","no migration background","(2a) intermediate vocational","1265","0.969435808931175","0.960103775648833","0.978767842213518"
"Very low transfer dependency","1984","no migration background","(2c_gen) general maturity certificate","243","0.886001106837725","0.848370583416205","0.923631630259245"
"Very low transfer dependency","1984","no migration background","(2c_voc) vocational maturity certificate","287","0.937981902207846","0.910958263371501","0.965005541044191"
"Very low transfer dependency","1984","no migration background","(3a) lower tertiary education","236","0.969247366400034","0.947540185476889","0.990954547323179"
"Very low transfer dependency","1984","no migration background","(3b) higher tertiary education","413","0.97583680864621","0.961220728789482","0.990452888502938"
"Very low transfer dependency","1984","direct migration background","(0) in school","19","","",""
"Very low transfer dependency","1984","direct migration background","(1a) inadequately completed","895","0.840345414889189","0.817943637131591","0.862747192646787"
"Very low transfer dependency","1984","direct migration background","(1b) general elementary school","908","0.912008173931519","0.89454621172678","0.929470136136259"
"Very low transfer dependency","1984","direct migration background","(1c) basic vocational qualification","654","0.932495726583682","0.914105624976328","0.950885828191036"
"Very low transfer dependency","1984","direct migration background","(2b) intermediate general qualification","51","0.995020742453309","0.975889429260644","1.01415205564597"
"Very low transfer dependency","1984","direct migration background","(2a) intermediate vocational","78","0.869081394363114","0.798605975333136","0.939556813393093"
"Very low transfer dependency","1984","direct migration background","(2c_gen) general maturity certificate","108","0.904510761098152","0.853795657051259","0.955225865145044"
"Very low transfer dependency","1984","direct migration background","(2c_voc) vocational maturity certificate","121","0.806069224679877","0.741492445265586","0.870646004094168"
"Very low transfer dependency","1984","direct migration background","(3a) lower tertiary education","18","","",""
"Very low transfer dependency","1984","direct migration background","(3b) higher tertiary education","92","0.889960071176786","0.828625052413686","0.951295089939885"
"Very low transfer dependency","1984","indirect migration background","(0) in school","8","","",""
"Very low transfer dependency","1984","indirect migration background","(1a) inadequately completed","5","","",""
"Very low transfer dependency","1984","indirect migration background","(1b) general elementary school","31","0.950584349530307","0.879785788836009","1.02138291022461"
"Very low transfer dependency","1984","indirect migration background","(1c) basic vocational qualification","36","0.980002043508389","0.935491531202345","1.02451255581443"
"Very low transfer dependency","1984","indirect migration background","(2b) intermediate general qualification","13","","",""
"Very low transfer dependency","1984","indirect migration background","(2a) intermediate vocational","11","","",""
"Very low transfer dependency","1984","indirect migration background","(2c_gen) general maturity certificate","6","","",""
