"transab_cat2","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","1984","Not Employed","in school","1","","","","2"
"High transfer dependency","1984","Not Employed","inadequately","8","","","","2"
"High transfer dependency","1984","Not Employed","general elemantary","26","","","","2"
"High transfer dependency","1984","Not Employed","middle vocational","28","","","","2"
"High transfer dependency","1984","Not Employed","vocational + Abi","3","","","","2"
"High transfer dependency","1984","Not Employed","higher vocational","2","","","","2"
"High transfer dependency","1984","Not Employed","higher education","3","","","","2"
"High transfer dependency","1984","Employed","in school","","","","","2"
"High transfer dependency","1984","Employed","inadequately","8","","","","2"
"High transfer dependency","1984","Employed","general elemantary","20","","","","2"
"High transfer dependency","1984","Employed","middle vocational","22","","","","2"
"High transfer dependency","1984","Employed","vocational + Abi","6","","","","2"
"High transfer dependency","1984","Employed","higher vocational","3","","","","2"
"High transfer dependency","1984","Employed","higher education","1","","","","2"
"Low transfer dependency","1984","Not Employed","inadequately","49","0.141734510936958","0.106244203138972","0.177224818734945","1"
"Low transfer dependency","1984","Not Employed","general elemantary","82","0.0320027191987594","0.0237232262670046","0.0402822121305142","1"
"Low transfer dependency","1984","Employed","vocational + Abi","14","","","","1"
"Low transfer dependency","1984","Not Employed","vocational + Abi","3","","","","1"
"Low transfer dependency","1984","Not Employed","middle vocational","80","0.0320334011194254","0.0240523700858409","0.04001443215301","1"
"Low transfer dependency","1984","Not Employed","in school","15","","","","1"
"Low transfer dependency","1984","Employed","higher vocational","9","","","","1"
"Low transfer dependency","1984","Employed","higher education","13","","","","1"
"Low transfer dependency","1984","Employed","middle vocational","126","0.027478292571547","0.0222963754151646","0.0326602097279294","1"
"Low transfer dependency","1984","Not Employed","higher vocational","4","","","","1"
"Low transfer dependency","1984","Not Employed","higher education","5","","","","1"
"Low transfer dependency","1984","Employed","in school","","","","","1"
"Low transfer dependency","1984","Employed","inadequately","36","0.0817837291642538","0.060452817904317","0.103114640424191","1"
"Low transfer dependency","1984","Employed","general elemantary","65","0.0309898725962372","0.0227426214402417","0.0392371237522328","1"
"Very high transfer dependency","1984","Not Employed","general elemantary","63","0.0317647802870165","0.0235151099052134","0.0400144506688197","3"
"Very high transfer dependency","1984","Not Employed","inadequately","32","0.0972121955504604","0.0670672603971553","0.127357130703765","3"
"Very high transfer dependency","1984","Not Employed","middle vocational","74","0.0357429363829526","0.0273286204145676","0.0441572523513376","3"
"Very high transfer dependency","1984","Not Employed","vocational + Abi","6","","","","3"
"Very high transfer dependency","1984","Employed","vocational + Abi","1","","","","3"
"Very high transfer dependency","1984","Employed","higher vocational","1","","","","3"
"Very high transfer dependency","1984","Employed","higher education","1","","","","3"
"Very high transfer dependency","1984","Not Employed","higher vocational","13","","","","3"
"Very high transfer dependency","1984","Not Employed","in school","2","","","","3"
"Very high transfer dependency","1984","Employed","middle vocational","9","","","","3"
"Very high transfer dependency","1984","Not Employed","higher education","7","","","","3"
"Very high transfer dependency","1984","Employed","in school","","","","","3"
"Very high transfer dependency","1984","Employed","inadequately","2","","","","3"
"Very high transfer dependency","1984","Employed","general elemantary","3","","","","3"
"Very low transfer dependency","1984","Not Employed","in school","159","0.899476502029471","0.855177885286366","0.943775118772577","0"
"Very low transfer dependency","1984","Not Employed","inadequately","282","0.730609606444619","0.685466142765877","0.775753070123361","0"
"Very low transfer dependency","1984","Not Employed","general elemantary","1565","0.924721657412321","0.912310457544675","0.937132857279968","0"
"Very low transfer dependency","1984","Not Employed","middle vocational","1688","0.921993977146946","0.909838964984507","0.934148989309386","0"
"Very low transfer dependency","1984","Not Employed","vocational + Abi","66","0.850881846040489","0.771832063799496","0.929931628281481","0"
"Very low transfer dependency","1984","Not Employed","higher vocational","166","0.907062709930504","0.865224231118657","0.948901188742351","0"
"Very low transfer dependency","1984","Not Employed","higher education","144","0.913192899863725","0.869429765792134","0.956956033935317","0"
