"transab_cat2","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","16-34 y.","lower secondary degree","1641","0.910740090977073","0.897619454683004","0.923860727271142"
"Very low transfer dependency","1984","16-34 y.","secondary school degree","957","0.941193958845143","0.926749158739154","0.955638758951133"
"Very low transfer dependency","1984","16-34 y.","college entrance qualification","593","0.890293737395558","0.866504873801618","0.914082600989498"
"Very low transfer dependency","1984","16-34 y.","Other degree","469","0.882860490108977","0.855166792021478","0.910554188196476"
"Very low transfer dependency","1984","16-34 y.","no degree/no degree yet","453","0.867854643484608","0.83857835750928","0.897130929459936"
"Very low transfer dependency","1984","35-65 y.","lower secondary degree","3132","0.948068648610256","0.940498126610794","0.955639170609718"
"Very low transfer dependency","1984","35-65 y.","secondary school degree","739","0.979399967309166","0.969268120550618","0.989531814067715"
"Very low transfer dependency","1984","35-65 y.","college entrance qualification","513","0.972518407958028","0.958547485625017","0.986489330291038"
"Very low transfer dependency","1984","35-65 y.","Other degree","810","0.875329343002964","0.853877887233819","0.896780798772109"
"Very low transfer dependency","1984","35-65 y.","no degree/no degree yet","654","0.820267226477043","0.792915076492812","0.847619376461273"
"Very low transfer dependency","1984","66 and older","lower secondary degree","948","0.975154611386916","0.965369301245636","0.984939921528196"
"Very low transfer dependency","1984","66 and older","secondary school degree","177","0.994480613323154","0.983596785546923","1.00536444109938"
"Very low transfer dependency","1984","66 and older","college entrance qualification","97","1","1","1"
"Very low transfer dependency","1984","66 and older","Other degree","6","","",""
"Very low transfer dependency","1984","66 and older","no degree/no degree yet","16","","",""
"Low transfer dependency","1984","16-34 y.","lower secondary degree","98","0.0459700410830528","0.0363329069870859","0.0556071751790197"
"Low transfer dependency","1984","16-34 y.","secondary school degree","37","0.0338032179592977","0.0227070552803862","0.0448993806382091"
"Low transfer dependency","1984","16-34 y.","college entrance qualification","28","","",""
"Low transfer dependency","1984","16-34 y.","Other degree","27","","",""
"Low transfer dependency","1984","16-34 y.","no degree/no degree yet","42","0.100029507342124","0.0740910148639192","0.125967999820328"
"Low transfer dependency","1984","35-65 y.","lower secondary degree","93","0.0273042929540725","0.0217440331041357","0.0328645528040093"
"Low transfer dependency","1984","35-65 y.","secondary school degree","10","","",""
"Low transfer dependency","1984","35-65 y.","college entrance qualification","6","","",""
"Low transfer dependency","1984","35-65 y.","Other degree","74","0.0904248794426155","0.0718017716047203","0.109047987280511"
"Low transfer dependency","1984","35-65 y.","no degree/no degree yet","66","0.106013304328189","0.0840829390874576","0.12794366956892"
"Low transfer dependency","1984","66 and older","lower secondary degree","16","","",""
"Low transfer dependency","1984","66 and older","secondary school degree","1","","",""
"Low transfer dependency","1984","66 and older","college entrance qualification","","","",""
"Low transfer dependency","1984","66 and older","Other degree","","","",""
"Low transfer dependency","1984","66 and older","no degree/no degree yet","1","","",""
"High transfer dependency","1984","16-34 y.","lower secondary degree","25","","",""
"High transfer dependency","1984","16-34 y.","secondary school degree","10","","",""
"High transfer dependency","1984","16-34 y.","college entrance qualification","17","","",""
"High transfer dependency","1984","16-34 y.","Other degree","12","","",""
"High transfer dependency","1984","16-34 y.","no degree/no degree yet","4","","",""
"High transfer dependency","1984","35-65 y.","lower secondary degree","25","","",""
"High transfer dependency","1984","35-65 y.","secondary school degree","2","","",""
"High transfer dependency","1984","35-65 y.","college entrance qualification","","","",""
"High transfer dependency","1984","35-65 y.","Other degree","18","","",""
"High transfer dependency","1984","35-65 y.","no degree/no degree yet","14","","",""
"High transfer dependency","1984","66 and older","lower secondary degree","4","","",""
"High transfer dependency","1984","66 and older","secondary school degree","","","",""
"High transfer dependency","1984","66 and older","college entrance qualification","","","",""
"High transfer dependency","1984","66 and older","Other degree","","","",""
"High transfer dependency","1984","66 and older","no degree/no degree yet","","","",""
"Very high transfer dependency","1984","16-34 y.","lower secondary degree","50","0.0289071101800375","0.0211969717476877","0.0366172486123872"
"Very high transfer dependency","1984","16-34 y.","secondary school degree","15","","",""
"Very high transfer dependency","1984","16-34 y.","college entrance qualification","25","","",""
"Very high transfer dependency","1984","16-34 y.","Other degree","10","","",""
"Very high transfer dependency","1984","16-34 y.","no degree/no degree yet","15","","",""
"Very high transfer dependency","1984","35-65 y.","lower secondary degree","50","0.0163961424058166","0.0120633081768128","0.0207289766348203"
"Very high transfer dependency","1984","35-65 y.","secondary school degree","4","","",""
"Very high transfer dependency","1984","35-65 y.","college entrance qualification","7","","",""
"Very high transfer dependency","1984","35-65 y.","Other degree","9","","",""
"Very high transfer dependency","1984","35-65 y.","no degree/no degree yet","23","","",""
"Very high transfer dependency","1984","66 and older","lower secondary degree","4","","",""
"Very high transfer dependency","1984","66 and older","secondary school degree","","","",""
"Very high transfer dependency","1984","66 and older","college entrance qualification","","","",""
"Very high transfer dependency","1984","66 and older","Other degree","1","","",""
"Very high transfer dependency","1984","66 and older","no degree/no degree yet","1","","",""
