"transab_cat2","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","lower secondary degree","in school","","","",""
"Very low transfer dependency","1984","lower secondary degree","inadequately","","","",""
"Very low transfer dependency","1984","lower secondary degree","general elemantary","2078","0.935195822059207","0.925007885401292","0.945383758717122"
"Very low transfer dependency","1984","lower secondary degree","middle vocational","3323","0.949544920442198","0.942307939690442","0.956781901193954"
"Very low transfer dependency","1984","lower secondary degree","vocational + Abi","5","","",""
"Very low transfer dependency","1984","lower secondary degree","higher vocational","289","0.969552615266209","0.950012345508702","0.989092885023717"
"Very low transfer dependency","1984","lower secondary degree","higher education","26","","",""
"Very low transfer dependency","1984","secondary school degree","in school","","","",""
"Very low transfer dependency","1984","secondary school degree","inadequately","","","",""
"Very low transfer dependency","1984","secondary school degree","general elemantary","451","0.958676547063854","0.940758392711794","0.976594701415914"
"Very low transfer dependency","1984","secondary school degree","middle vocational","1159","0.968827005943522","0.958990273112914","0.978663738774131"
"Very low transfer dependency","1984","secondary school degree","vocational + Abi","1","","",""
"Very low transfer dependency","1984","secondary school degree","higher vocational","196","0.934190912616621","0.900655844182448","0.967725981050794"
"Very low transfer dependency","1984","secondary school degree","higher education","66","0.984923276135929","0.955744613649761","1.0141019386221"
"Very low transfer dependency","1984","college entrance qualification","in school","","","",""
"Very low transfer dependency","1984","college entrance qualification","inadequately","","","",""
"Very low transfer dependency","1984","college entrance qualification","general elemantary","","","",""
"Very low transfer dependency","1984","college entrance qualification","middle vocational","275","0.893022936631659","0.858560538606311","0.927485334657006"
"Very low transfer dependency","1984","college entrance qualification","vocational + Abi","183","0.923083607884683","0.88596894948502","0.960198266284346"
"Very low transfer dependency","1984","college entrance qualification","higher vocational","131","0.93661519130408","0.896254623826348","0.976975758781813"
"Very low transfer dependency","1984","college entrance qualification","higher education","614","0.959138464799138","0.943788914523268","0.974488015075008"
"Very low transfer dependency","1984","Other degree","in school","","","",""
"Very low transfer dependency","1984","Other degree","inadequately","19","","",""
"Very low transfer dependency","1984","Other degree","general elemantary","644","0.894512446304218","0.871996568944035","0.9170283236644"
"Very low transfer dependency","1984","Other degree","middle vocational","476","0.890423045223236","0.86383000653195","0.917016083914521"
"Very low transfer dependency","1984","Other degree","vocational + Abi","85","0.768455601112288","0.686190822321772","0.850720379902803"
"Very low transfer dependency","1984","Other degree","higher vocational","6","","",""
"Very low transfer dependency","1984","Other degree","higher education","55","0.962609431696113","0.914200201722071","1.01101866167015"
"Very low transfer dependency","1984","no degree/no degree yet","in school","168","0.905266885277426","0.863181544870041","0.94735222568481"
"Very low transfer dependency","1984","no degree/no degree yet","inadequately","851","0.821782628722811","0.797834748219096","0.845730509226526"
"Very low transfer dependency","1984","no degree/no degree yet","general elemantary","","","",""
"Very low transfer dependency","1984","no degree/no degree yet","middle vocational","100","0.83280326916647","0.765475815642219","0.900130722690721"
"Very low transfer dependency","1984","no degree/no degree yet","vocational + Abi","","","",""
"Very low transfer dependency","1984","no degree/no degree yet","higher vocational","3","","",""
"Very low transfer dependency","1984","no degree/no degree yet","higher education","1","","",""
"Low transfer dependency","1984","lower secondary degree","in school","","","",""
"Low transfer dependency","1984","lower secondary degree","inadequately","","","",""
"Low transfer dependency","1984","lower secondary degree","general elemantary","82","0.0305060843754972","0.0233890472430259","0.0376231215079685"
