"transab_cat2","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","(0) in school","Male","87","0.917049988656341","0.861588564394229","0.972511412918453"
"Very low transfer dependency","1984","(0) in school","Female","82","0.893058369974725","0.829909221372369","0.956207518577082"
"Very low transfer dependency","1984","(1a) inadequately completed","Male","425","0.826819386276617","0.793314741821832","0.860324030731401"
"Very low transfer dependency","1984","(1a) inadequately completed","Female","528","0.822579802558649","0.792288493931391","0.852871111185907"
"Very low transfer dependency","1984","(1b) general elementary school","Male","887","0.917782691773286","0.900531457571475","0.935033925975096"
"Very low transfer dependency","1984","(1b) general elementary school","Female","1854","0.936527954370727","0.925864010340332","0.947191898401122"
"Very low transfer dependency","1984","(1c) basic vocational qualification","Male","2384","0.953197878634459","0.944951331920863","0.961444425348054"
"Very low transfer dependency","1984","(1c) basic vocational qualification","Female","1625","0.945671978374895","0.934978723935346","0.956365232814445"
"Very low transfer dependency","1984","(2b) intermediate general qualification","Male","170","0.95829704653585","0.928929235883452","0.987664857188247"
"Very low transfer dependency","1984","(2b) intermediate general qualification","Female","281","0.958871036628467","0.936247722927749","0.981494350329185"
"Very low transfer dependency","1984","(2a) intermediate vocational","Male","585","0.966604372587148","0.952311387955883","0.980897357218413"
"Very low transfer dependency","1984","(2a) intermediate vocational","Female","769","0.961765799805899","0.948477672897017","0.975053926714781"
"Very low transfer dependency","1984","(2c_gen) general maturity certificate","Male","209","0.903087500885453","0.865263368741353","0.940911633029553"
"Very low transfer dependency","1984","(2c_gen) general maturity certificate","Female","148","0.868791298332241","0.818624946791083","0.918957649873398"
"Very low transfer dependency","1984","(2c_voc) vocational maturity certificate","Male","255","0.928209630649838","0.89791943222553","0.958499829074147"
"Very low transfer dependency","1984","(2c_voc) vocational maturity certificate","Female","154","0.90583688710891","0.862190402324024","0.949483371893796"
"Very low transfer dependency","1984","(3a) lower tertiary education","Male","184","0.956050711029341","0.927056328275494","0.985045093783188"
"Very low transfer dependency","1984","(3a) lower tertiary education","Female","71","0.951941354643728","0.903208360999859","1.0006743482876"
"Very low transfer dependency","1984","(3b) higher tertiary education","Male","333","0.975234783989464","0.958835903714526","0.991633664264403"
"Very low transfer dependency","1984","(3b) higher tertiary education","Female","174","0.953999556593545","0.923481006351366","0.984518106835724"
"Low transfer dependency","1984","(0) in school","Male","7","","",""
"Low transfer dependency","1984","(0) in school","Female","8","","",""
"Low transfer dependency","1984","(1a) inadequately completed","Male","38","0.0972441238879068","0.0710099799550031","0.123478267820811"
"Low transfer dependency","1984","(1a) inadequately completed","Female","56","0.113889924501153","0.0887007476370381","0.139079101365268"
"Low transfer dependency","1984","(1b) general elementary school","Male","49","0.0364221641687065","0.0246570840970148","0.0481872442403981"
"Low transfer dependency","1984","(1b) general elementary school","Female","86","0.0324000886667618","0.0246556981214154","0.0401444792121082"
"Low transfer dependency","1984","(1c) basic vocational qualification","Male","95","0.0310693082115566","0.0242950777294338","0.0378435386936794"
"Low transfer dependency","1984","(1c) basic vocational qualification","Female","56","0.0269502841920294","0.0193105739854858","0.0345899943985729"
"Low transfer dependency","1984","(2b) intermediate general qualification","Male","8","","",""
"Low transfer dependency","1984","(2b) intermediate general qualification","Female","7","","",""
"Low transfer dependency","1984","(2a) intermediate vocational","Male","16","","",""
"Low transfer dependency","1984","(2a) intermediate vocational","Female","16","","",""
"Low transfer dependency","1984","(2c_gen) general maturity certificate","Male","11","","",""
"Low transfer dependency","1984","(2c_gen) general maturity certificate","Female","9","","",""
"Low transfer dependency","1984","(2c_voc) vocational maturity certificate","Male","11","","",""
"Low transfer dependency","1984","(2c_voc) vocational maturity certificate","Female","8","","",""
"Low transfer dependency","1984","(3a) lower tertiary education","Male","4","","",""
"Low transfer dependency","1984","(3a) lower tertiary education","Female","2","","",""
"Low transfer dependency","1984","(3b) higher tertiary education","Male","8","","",""
"Low transfer dependency","1984","(3b) higher tertiary education","Female","4","","",""
"High transfer dependency","1984","(0) in school","Male","","","",""
"High transfer dependency","1984","(0) in school","Female","1","","",""
