"transab_cat2","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","1984","16-34 y.","Not Employed","32","0.0215855702557721","0.0141183358918158","0.0290528046197285","2"
"High transfer dependency","1984","16-34 y.","Employed","36","0.0110865602237668","0.00740124401107723","0.0147718764364564","2"
"High transfer dependency","1984","35-65 y.","Employed","25","","","","2"
"High transfer dependency","1984","35-65 y.","Not Employed","36","0.013536769307078","0.00839461398132502","0.0186789246328309","2"
"High transfer dependency","1984","66 and older","Not Employed","4","","","","2"
"High transfer dependency","1984","66 and older","Employed","","","","","2"
"Low transfer dependency","1984","16-34 y.","Employed","111","0.0332054961243163","0.0268992737506012","0.0395117184980314","1"
"Low transfer dependency","1984","16-34 y.","Not Employed","123","0.0781929384143842","0.0643979806028326","0.0919878962259358","1"
"Low transfer dependency","1984","35-65 y.","Not Employed","102","0.0333200943046343","0.0253338667137128","0.0413063218955559","1"
"Low transfer dependency","1984","35-65 y.","Employed","152","0.0252912455920989","0.0206361359401828","0.029946355244015","1"
"Low transfer dependency","1984","66 and older","Not Employed","16","","","","1"
"Low transfer dependency","1984","66 and older","Employed","2","","","","1"
"Very high transfer dependency","1984","16-34 y.","Not Employed","102","0.0826481928397799","0.0684999913637645","0.0967963943157953","3"
"Very high transfer dependency","1984","16-34 y.","Employed","16","","","","3"
"Very high transfer dependency","1984","35-65 y.","Not Employed","92","0.0430950348522513","0.0340586389863829","0.0521314307181196","3"
"Very high transfer dependency","1984","66 and older","Not Employed","6","","","","3"
"Very high transfer dependency","1984","35-65 y.","Employed","1","","","","3"
"Very high transfer dependency","1984","66 and older","Employed","","","","","3"
"Very low transfer dependency","1984","16-34 y.","Not Employed","1198","0.817573298490064","0.797729530222065","0.837417066758063","0"
"Very low transfer dependency","1984","16-34 y.","Employed","2938","0.951980110325561","0.944454846604817","0.959505374046306","0"
"Very low transfer dependency","1984","35-65 y.","Not Employed","1710","0.910048101536036","0.897316455177265","0.922779747894808","0"
"Very low transfer dependency","1984","35-65 y.","Employed","4192","0.969651234448364","0.964565125425624","0.974737343471103","0"
"Very low transfer dependency","1984","66 and older","Not Employed","1184","0.979553895316291","0.971579920423729","0.987527870208854","0"
"Very low transfer dependency","1984","66 and older","Employed","62","0.980775664663247","0.947134686781426","1.01441664254507","0"
"High transfer dependency","1985","16-34 y.","Not Employed","34","0.021919125462689","0.0140882723217613","0.0297499786036167","2"
"High transfer dependency","1985","16-34 y.","Employed","37","0.0128064596660254","0.00865727997575418","0.0169556393562965","2"
"High transfer dependency","1985","35-65 y.","Not Employed","36","0.0159423199576034","0.0101431594868277","0.021741480428379","2"
"High transfer dependency","1985","35-65 y.","Employed","17","","","","2"
"High transfer dependency","1985","66 and older","Not Employed","9","","","","2"
"High transfer dependency","1985","66 and older","Employed","1","","","","2"
"Low transfer dependency","1985","16-34 y.","Not Employed","87","0.0513515345485457","0.0395472559194074","0.0631558131776839","1"
"Low transfer dependency","1985","16-34 y.","Employed","83","0.0256508434721258","0.0198170012414871","0.0314846857027646","1"
"Low transfer dependency","1985","35-65 y.","Employed","96","0.019499245169883","0.0151997083290563","0.0237987820107096","1"
"Low transfer dependency","1985","35-65 y.","Not Employed","79","0.0327167773356481","0.0244803063092669","0.0409532483620293","1"
"Low transfer dependency","1985","66 and older","Not Employed","11","","","","1"
"Low transfer dependency","1985","66 and older","Employed","","","","","1"
"Very high transfer dependency","1985","16-34 y.","Not Employed","93","0.0832359803198365","0.0684621055238242","0.0980098551158488","3"
"Very high transfer dependency","1985","16-34 y.","Employed","5","","","","3"
"Very high transfer dependency","1985","35-65 y.","Not Employed","81","0.0450255107445381","0.0354247798347687","0.0546262416543075","3"
"Very high transfer dependency","1985","66 and older","Not Employed","6","","","","3"
"Very high transfer dependency","1985","35-65 y.","Employed","5","","","","3"
"Very high transfer dependency","1985","66 and older","Employed","","","","","3"
"Very low transfer dependency","1985","16-34 y.","Not Employed","1129","0.843493359668929","0.824061368562313","0.862925350775545","0"
"Very low transfer dependency","1985","16-34 y.","Employed","2696","0.959334054878482","0.952045407935312","0.966622701821652","0"
"Very low transfer dependency","1985","35-65 y.","Not Employed","1596","0.90631539196221","0.892824120273305","0.919806663651116","0"
"Very low transfer dependency","1985","35-65 y.","Employed","3855","0.974907370903462","0.970043930828684","0.97977081097824","0"
"Very low transfer dependency","1985","66 and older","Not Employed","1045","0.975456035410139","0.966189240242137","0.984722830578141","0"
"Very low transfer dependency","1985","66 and older","Employed","44","0.963744753174182","0.909130213116525","1.01835929323184","0"
"High transfer dependency","1986","16-34 y.","Not Employed","28","","","","2"
"High transfer dependency","1986","16-34 y.","Employed","28","","","","2"
"High transfer dependency","1986","35-65 y.","Not Employed","35","0.0148414145732455","0.00906620473033326","0.0206166244161577","2"
"High transfer dependency","1986","35-65 y.","Employed","23","","","","2"
"High transfer dependency","1986","66 and older","Not Employed","8","","","","2"
"High transfer dependency","1986","66 and older","Employed","","","","","2"
"Low transfer dependency","1986","16-34 y.","Not Employed","73","0.0564366909084035","0.0435561872326898","0.0693171945841172","1"
"Low transfer dependency","1986","16-34 y.","Employed","88","0.0302314345783632","0.0239352724372969","0.0365275967194294","1"
"Low transfer dependency","1986","35-65 y.","Not Employed","68","0.0319685802984116","0.0235665653626685","0.0403705952341548","1"
"Low transfer dependency","1986","35-65 y.","Employed","92","0.022602294029603","0.0178690922003706","0.0273354958588355","1"
"Low transfer dependency","1986","66 and older","Not Employed","8","","","","1"
"Low transfer dependency","1986","66 and older","Employed","","","","","1"
"Very high transfer dependency","1986","16-34 y.","Not Employed","78","0.0818302806634113","0.0665305052422827","0.0971300560845399","3"
"Very high transfer dependency","1986","16-34 y.","Employed","9","","","","3"
"Very high transfer dependency","1986","35-65 y.","Not Employed","77","0.047557533045172","0.0373925634900587","0.0577225026002853","3"
"Very high transfer dependency","1986","66 and older","Not Employed","2","","","","3"
"Very high transfer dependency","1986","35-65 y.","Employed","4","","","","3"
"Very high transfer dependency","1986","66 and older","Employed","","","","","3"
"Very low transfer dependency","1986","16-34 y.","Not Employed","1054","0.839640844910004","0.819159417958069","0.860122271861939","0"
"Very low transfer dependency","1986","16-34 y.","Employed","2716","0.957205258020783","0.949762905830186","0.964647610211379","0"
"Very low transfer dependency","1986","35-65 y.","Not Employed","1504","0.905632472083171","0.89166993532044","0.919595008845901","0"
"Very low transfer dependency","1986","35-65 y.","Employed","3669","0.969097363621282","0.96358643764225","0.974608289600314","0"
"Very low transfer dependency","1986","66 and older","Not Employed","984","0.981360331835238","0.972986050093628","0.989734613576848","0"
"Very low transfer dependency","1986","66 and older","Employed","41","1","1","1","0"
"High transfer dependency","1987","16-34 y.","Employed","30","0.0101696836901287","0.00651808375880581","0.0138212836214516","2"
"High transfer dependency","1987","16-34 y.","Not Employed","18","","","","2"
"High transfer dependency","1987","35-65 y.","Employed","19","","","","2"
"High transfer dependency","1987","35-65 y.","Not Employed","42","0.0190649618550983","0.0123870848649932","0.0257428388452034","2"
"High transfer dependency","1987","66 and older","Not Employed","4","","","","2"
"High transfer dependency","1987","66 and older","Employed","","","","","2"
"Low transfer dependency","1987","16-34 y.","Employed","90","0.0291356145066967","0.0230143595562576","0.0352568694571358","1"
"Low transfer dependency","1987","16-34 y.","Not Employed","80","0.0691802111550868","0.0543517673652019","0.0840086549449717","1"
"Low transfer dependency","1987","35-65 y.","Employed","85","0.0210765123892045","0.0164852943616292","0.0256677304167797","1"
