"transab_cat2","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","16-34 y.","Full Time","2164","0.980143560454937","0.974335130621431","0.985951990288443"
"Very low transfer dependency","1984","16-34 y.","Part Time","774","0.885273345796869","0.864276826081196","0.906269865512541"
"Very low transfer dependency","1984","16-34 y.","Not Working","1198","0.817573298490064","0.797729530222065","0.837417066758063"
"Very low transfer dependency","1984","35-65 y.","Full Time","3340","0.983811786900905","0.979585360892677","0.988038212909133"
"Very low transfer dependency","1984","35-65 y.","Part Time","852","0.924028322046405","0.907135559109559","0.940921084983251"
"Very low transfer dependency","1984","35-65 y.","Not Working","1710","0.910048101536036","0.897316455177265","0.922779747894808"
"Very low transfer dependency","1984","66 and older","Full Time","21","","",""
"Very low transfer dependency","1984","66 and older","Part Time","41","0.977209932793379","0.932077350250033","1.02234251533672"
"Very low transfer dependency","1984","66 and older","Not Working","1184","0.979553895316291","0.971579920423729","0.987527870208854"
"Low transfer dependency","1984","16-34 y.","Full Time","42","0.0166579737387178","0.0113292083505346","0.021986739126901"
"Low transfer dependency","1984","16-34 y.","Part Time","69","0.0723992623084543","0.0553257029453692","0.0894728216715394"
"Low transfer dependency","1984","16-34 y.","Not Working","123","0.0781929384143842","0.0643979806028326","0.0919878962259358"
"Low transfer dependency","1984","35-65 y.","Full Time","84","0.0161354936110082","0.0119158421743155","0.0203551450477009"
"Low transfer dependency","1984","35-65 y.","Part Time","68","0.0547895347306974","0.0402802750460509","0.069298794415344"
"Low transfer dependency","1984","35-65 y.","Not Working","102","0.0333200943046343","0.0253338667137128","0.0413063218955559"
"Low transfer dependency","1984","66 and older","Full Time","1","","",""
"Low transfer dependency","1984","66 and older","Part Time","1","","",""
"Low transfer dependency","1984","66 and older","Not Working","16","","",""
"High transfer dependency","1984","16-34 y.","Full Time","8","","",""
"High transfer dependency","1984","16-34 y.","Part Time","28","","",""
"High transfer dependency","1984","16-34 y.","Not Working","32","0.0215855702557721","0.0141183358918158","0.0290528046197285"
"High transfer dependency","1984","35-65 y.","Full Time","1","","",""
"High transfer dependency","1984","35-65 y.","Part Time","24","","",""
"High transfer dependency","1984","35-65 y.","Not Working","36","0.013536769307078","0.00839461398132502","0.0186789246328309"
"High transfer dependency","1984","66 and older","Full Time","","","",""
"High transfer dependency","1984","66 and older","Part Time","","","",""
"High transfer dependency","1984","66 and older","Not Working","4","","",""
"Very high transfer dependency","1984","16-34 y.","Full Time","2","","",""
"Very high transfer dependency","1984","16-34 y.","Part Time","14","","",""
"Very high transfer dependency","1984","16-34 y.","Not Working","102","0.0826481928397799","0.0684999913637645","0.0967963943157953"
"Very high transfer dependency","1984","35-65 y.","Full Time","","","",""
"Very high transfer dependency","1984","35-65 y.","Part Time","1","","",""
"Very high transfer dependency","1984","35-65 y.","Not Working","92","0.0430950348522513","0.0340586389863829","0.0521314307181196"
"Very high transfer dependency","1984","66 and older","Full Time","","","",""
"Very high transfer dependency","1984","66 and older","Part Time","","","",""
"Very high transfer dependency","1984","66 and older","Not Working","6","","",""
"Very low transfer dependency","1985","16-34 y.","Full Time","1901","0.984562148019789","0.979073236773116","0.990051059266463"
"Very low transfer dependency","1985","16-34 y.","Part Time","795","0.903858693810709","0.88441525766469","0.923302129956728"
"Very low transfer dependency","1985","16-34 y.","Not Working","1129","0.843493359668929","0.824061368562313","0.862925350775545"
"Very low transfer dependency","1985","35-65 y.","Full Time","2966","0.988199471208372","0.984348717242349","0.992050225174395"
"Very low transfer dependency","1985","35-65 y.","Part Time","889","0.93785334342935","0.922517560000702","0.953189126857998"
"Very low transfer dependency","1985","35-65 y.","Not Working","1596","0.90631539196221","0.892824120273305","0.919806663651116"
"Very low transfer dependency","1985","66 and older","Full Time","18","","",""
"Very low transfer dependency","1985","66 and older","Part Time","26","","",""
"Very low transfer dependency","1985","66 and older","Not Working","1045","0.975456035410139","0.966189240242137","0.984722830578141"
"Low transfer dependency","1985","16-34 y.","Full Time","29","","",""
"Low transfer dependency","1985","16-34 y.","Part Time","54","0.0538805267060862","0.0389884026232862","0.0687726507888863"
"Low transfer dependency","1985","16-34 y.","Not Working","87","0.0513515345485457","0.0395472559194074","0.0631558131776839"
"Low transfer dependency","1985","35-65 y.","Full Time","53","0.0116600795356561","0.00783203789276474","0.0154881211785475"
"Low transfer dependency","1985","35-65 y.","Part Time","43","0.0413522745724264","0.0287046536215819","0.0539998955232709"
"Low transfer dependency","1985","35-65 y.","Not Working","79","0.0327167773356481","0.0244803063092669","0.0409532483620293"
"Low transfer dependency","1985","66 and older","Full Time","","","",""
"Low transfer dependency","1985","66 and older","Part Time","","","",""
"Low transfer dependency","1985","66 and older","Not Working","11","","",""
"High transfer dependency","1985","16-34 y.","Full Time","8","","",""
"High transfer dependency","1985","16-34 y.","Part Time","29","","",""
"High transfer dependency","1985","16-34 y.","Not Working","34","0.021919125462689","0.0140882723217613","0.0297499786036167"
"High transfer dependency","1985","35-65 y.","Full Time","2","","",""
"High transfer dependency","1985","35-65 y.","Part Time","15","","",""
"High transfer dependency","1985","35-65 y.","Not Working","36","0.0159423199576034","0.0101431594868277","0.021741480428379"
"High transfer dependency","1985","66 and older","Full Time","","","",""
"High transfer dependency","1985","66 and older","Part Time","1","","",""
"High transfer dependency","1985","66 and older","Not Working","9","","",""
"Very high transfer dependency","1985","16-34 y.","Full Time","","","",""
"Very high transfer dependency","1985","16-34 y.","Part Time","5","","",""
"Very high transfer dependency","1985","16-34 y.","Not Working","93","0.0832359803198365","0.0684621055238242","0.0980098551158488"
"Very high transfer dependency","1985","35-65 y.","Full Time","","","",""
"Very high transfer dependency","1985","35-65 y.","Part Time","5","","",""
"Very high transfer dependency","1985","35-65 y.","Not Working","81","0.0450255107445381","0.0354247798347687","0.0546262416543075"
"Very high transfer dependency","1985","66 and older","Full Time","","","",""
"Very high transfer dependency","1985","66 and older","Part Time","","","",""
"Very high transfer dependency","1985","66 and older","Not Working","6","","",""
"Very low transfer dependency","1986","16-34 y.","Full Time","1920","0.981681734308838","0.975746514244006","0.98761695437367"
"Very low transfer dependency","1986","16-34 y.","Part Time","796","0.903335355745244","0.883811522588998","0.92285918890149"
"Very low transfer dependency","1986","16-34 y.","Not Working","1054","0.839640844910004","0.819159417958069","0.860122271861939"
"Very low transfer dependency","1986","35-65 y.","Full Time","2838","0.989899678963274","0.986245907826251","0.993553450100296"
"Very low transfer dependency","1986","35-65 y.","Part Time","831","0.908820395745341","0.890127491278616","0.927513300212066"
"Very low transfer dependency","1986","35-65 y.","Not Working","1504","0.905632472083171","0.89166993532044","0.919595008845901"
"Very low transfer dependency","1986","66 and older","Full Time","14","","",""
"Very low transfer dependency","1986","66 and older","Part Time","27","","",""
"Very low transfer dependency","1986","66 and older","Not Working","984","0.981360331835238","0.972986050093628","0.989734613576848"
"Low transfer dependency","1986","16-34 y.","Full Time","35","0.0156910819464499","0.010190591060613","0.0211915728322868"
"Low transfer dependency","1986","16-34 y.","Part Time","53","0.0622330742798788","0.046271900047476","0.0781942485122816"
"Low transfer dependency","1986","16-34 y.","Not Working","73","0.0564366909084035","0.0435561872326898","0.0693171945841172"
"Low transfer dependency","1986","35-65 y.","Full Time","37","0.00961650754302769","0.00605044837371534","0.01318256671234"
"Low transfer dependency","1986","35-65 y.","Part Time","55","0.0602300206565081","0.0447808136519042","0.0756792276611119"
"Low transfer dependency","1986","35-65 y.","Not Working","68","0.0319685802984116","0.0235665653626685","0.0403705952341548"
"Low transfer dependency","1986","66 and older","Full Time","","","",""
"Low transfer dependency","1986","66 and older","Part Time","","","",""
"Low transfer dependency","1986","66 and older","Not Working","8","","",""
"High transfer dependency","1986","16-34 y.","Full Time","4","","",""
"High transfer dependency","1986","16-34 y.","Part Time","24","","",""
"High transfer dependency","1986","16-34 y.","Not Working","28","","",""
"High transfer dependency","1986","35-65 y.","Full Time","2","","",""
"High transfer dependency","1986","35-65 y.","Part Time","21","","",""
"High transfer dependency","1986","35-65 y.","Not Working","35","0.0148414145732455","0.00906620473033326","0.0206166244161577"
"High transfer dependency","1986","66 and older","Full Time","","","",""
"High transfer dependency","1986","66 and older","Part Time","","","",""
"High transfer dependency","1986","66 and older","Not Working","8","","",""
"Very high transfer dependency","1986","16-34 y.","Full Time","2","","",""
"Very high transfer dependency","1986","16-34 y.","Part Time","7","","",""
"Very high transfer dependency","1986","16-34 y.","Not Working","78","0.0818302806634113","0.0665305052422827","0.0971300560845399"
"Very high transfer dependency","1986","35-65 y.","Full Time","","","",""
"Very high transfer dependency","1986","35-65 y.","Part Time","4","","",""
"Very high transfer dependency","1986","35-65 y.","Not Working","77","0.047557533045172","0.0373925634900587","0.0577225026002853"
"Very high transfer dependency","1986","66 and older","Full Time","","","",""
"Very high transfer dependency","1986","66 and older","Part Time","","","",""
"Very high transfer dependency","1986","66 and older","Not Working","2","","",""
"Very low transfer dependency","1987","16-34 y.","Full Time","1942","0.976805495519944","0.970188870885158","0.983422120154731"
"Very low transfer dependency","1987","16-34 y.","Part Time","828","0.910697261640749","0.892188810564386","0.929205712717113"
"Very low transfer dependency","1987","16-34 y.","Not Working","969","0.84708502163892","0.826054001228968","0.868116042048872"
"Very low transfer dependency","1987","35-65 y.","Full Time","2854","0.989534387209467","0.985824832146565","0.99324394227237"
"Very low transfer dependency","1987","35-65 y.","Part Time","799","0.923700486177137","0.906049674788484","0.94135129756579"
"Very low transfer dependency","1987","35-65 y.","Not Working","1424","0.892733757450195","0.877622770399297","0.907844744501093"
"Very low transfer dependency","1987","66 and older","Full Time","18","","",""
"Very low transfer dependency","1987","66 and older","Part Time","26","","",""
"Very low transfer dependency","1987","66 and older","Not Working","1020","0.979044366973391","0.970339081849289","0.987749652097493"
"Low transfer dependency","1987","16-34 y.","Full Time","35","0.0165546284851212","0.0109457666661361","0.0221634903041063"
"Low transfer dependency","1987","16-34 y.","Part Time","55","0.0570454044349959","0.0419929821266331","0.0720978267433588"
"Low transfer dependency","1987","16-34 y.","Not Working","80","0.0691802111550868","0.0543517673652019","0.0840086549449717"
"Low transfer dependency","1987","35-65 y.","Full Time","36","0.0103810336529542","0.00668634072163975","0.0140757265842687"
