"transab_cat2","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","Not Employed","lower secondary degree","2376","0.924421125307951","0.914264964085758","0.934577286530144"
"Very low transfer dependency","1984","Not Employed","secondary school degree","613","0.940592575341198","0.922544681830379","0.958640468852018"
"Very low transfer dependency","1984","Not Employed","college entrance qualification","380","0.888711192140595","0.858882087104662","0.918540297176528"
"Very low transfer dependency","1984","Not Employed","Other degree","239","0.767737300183902","0.720881123402079","0.814593476965725"
"Very low transfer dependency","1984","Not Employed","no degree/no degree yet","452","0.828012085395326","0.796923054923123","0.85910111586753"
"Very low transfer dependency","1984","Employed","lower secondary degree","3345","0.964308849586604","0.958148613346757","0.970469085826451"
"Very low transfer dependency","1984","Employed","secondary school degree","1260","0.976369029770717","0.968089672899265","0.98464838664217"
"Very low transfer dependency","1984","Employed","college entrance qualification","823","0.960807001344272","0.947830015378628","0.973783987309916"
"Very low transfer dependency","1984","Employed","Other degree","1046","0.915185843493657","0.898898368727732","0.931473318259582"
"Very low transfer dependency","1984","Employed","no degree/no degree yet","671","0.905331146656127","0.8839915487579","0.926670744554354"
"Low transfer dependency","1984","Not Employed","lower secondary degree","100","0.0307057283089047","0.0240769732827715","0.0373344833350379"
"Low transfer dependency","1984","Not Employed","secondary school degree","22","","",""
"Low transfer dependency","1984","Not Employed","college entrance qualification","14","","",""
"Low transfer dependency","1984","Not Employed","Other degree","36","0.0990051352583634","0.0658645012503005","0.132145769266426"
"Low transfer dependency","1984","Not Employed","no degree/no degree yet","66","0.111171150686018","0.0852744166194433","0.137067884752593"
"Low transfer dependency","1984","Employed","lower secondary degree","107","0.0275021558371987","0.0220716946906571","0.0329326169837403"
"Low transfer dependency","1984","Employed","secondary school degree","26","","",""
"Low transfer dependency","1984","Employed","college entrance qualification","20","","",""
"Low transfer dependency","1984","Employed","Other degree","65","0.0696730660821904","0.05478921918425","0.0845569129801308"
"Low transfer dependency","1984","Employed","no degree/no degree yet","43","0.0765699310482877","0.0571874183841511","0.0959524437124243"
"High transfer dependency","1984","Not Employed","lower secondary degree","30","0.0106850420433085","0.00673456219918713","0.0146355218874299"
