"transab_cat2","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","in school","168","0.905266885277426","0.863181544870041","0.94735222568481"
"Very low transfer dependency","1984","inadequately","870","0.819758340523636","0.795993463527194","0.843523217520077"
"Very low transfer dependency","1984","general elemantary","3173","0.937168889212556","0.929050483487638","0.945287294937474"
"Very low transfer dependency","1984","middle vocational","5354","0.948880696864055","0.943159646546688","0.954601747181421"
"Very low transfer dependency","1984","vocational + Abi","274","0.907594648857588","0.875199988760074","0.939989308955102"
"Very low transfer dependency","1984","higher vocational","627","0.951543594117709","0.935149201636112","0.967937986599305"
"Very low transfer dependency","1984","higher education","762","0.963026075173878","0.949884352433375","0.97616779791438"
"Low transfer dependency","1984","in school","15","","",""
"Low transfer dependency","1984","inadequately","85","0.108479656608998","0.0892529526271506","0.127706360590846"
"Low transfer dependency","1984","general elemantary","147","0.0316041834002852","0.0257512552819633","0.0374571115186072"
"Low transfer dependency","1984","middle vocational","206","0.0292014927039417","0.0248278371725487","0.0335751482353347"
"Low transfer dependency","1984","vocational + Abi","17","","",""
"Low transfer dependency","1984","higher vocational","13","","",""
"Low transfer dependency","1984","higher education","18","","",""
"High transfer dependency","1984","in school","1","","",""
"High transfer dependency","1984","inadequately","16","","",""
"High transfer dependency","1984","general elemantary","46","0.0115536060843341","0.00797832830046698","0.0151288838682011"
"High transfer dependency","1984","middle vocational","50","0.00757366264256907","0.00532160440096948","0.00982572088416865"
"High transfer dependency","1984","vocational + Abi","9","","",""
"High transfer dependency","1984","higher vocational","5","","",""
"High transfer dependency","1984","higher education","4","","",""
"Very high transfer dependency","1984","in school","2","","",""
"Very high transfer dependency","1984","inadequately","34","0.0476179762891349","0.0344519074315696","0.0607840451467001"
"Very high transfer dependency","1984","general elemantary","66","0.0196733213028246","0.0150271126987041","0.024319529906945"
"Very high transfer dependency","1984","middle vocational","83","0.0143441477894347","0.0112554349948024","0.0174328605840669"
"Very high transfer dependency","1984","vocational + Abi","7","","",""
"Very high transfer dependency","1984","higher vocational","14","","",""
"Very high transfer dependency","1984","higher education","8","","",""
"Very low transfer dependency","1985","in school","173","0.929543847590316","0.892864492637389","0.966223202543242"
"Very low transfer dependency","1985","inadequately","746","0.846840703685668","0.822413295104685","0.871268112266651"
"Very low transfer dependency","1985","general elemantary","2846","0.934064053381016","0.925285390822914","0.942842715939117"
