"transab_cat2","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","1985","Hamburg","Urban Area","10","","","","2"
"High transfer dependency","1985","Lower Saxony","Urban Area","4","","","","2"
"High transfer dependency","1985","Hamburg","Rural Area","","","","","2"
"High transfer dependency","1985","Bremen","Urban Area","4","","","","2"
"High transfer dependency","1985","Lower Saxony","Rural Area","5","","","","2"
"High transfer dependency","1985","Schleswig-Holstein","Rural Area","","","","","2"
"High transfer dependency","1985","Schleswig-Holstein","Urban Area","2","","","","2"
"High transfer dependency","1985","North Rhine-Westphalia","Urban Area","48","0.0128261450806407","0.00871942256450156","0.0169328675967798","2"
"High transfer dependency","1985","Hesse","Urban Area","15","","","","2"
"High transfer dependency","1985","Bremen","Rural Area","","","","","2"
"High transfer dependency","1985","North Rhine-Westphalia","Rural Area","","","","","2"
"High transfer dependency","1985","Hesse","Rural Area","","","","","2"
"High transfer dependency","1985","Rhineland-Palatinate,Saarland","Urban Area","5","","","","2"
"High transfer dependency","1985","Baden-Württemberg","Urban Area","14","","","","2"
"High transfer dependency","1985","Rhineland-Palatinate,Saarland","Rural Area","3","","","","2"
"High transfer dependency","1985","Saxony-Anhalt","Rural Area","","","","","2"
"High transfer dependency","1985","Saxony-Anhalt","Urban Area","","","","","2"
"High transfer dependency","1985","Thuringia","Urban Area","","","","","2"
"High transfer dependency","1985","Thuringia","Rural Area","","","","","2"
"High transfer dependency","1985","Bavaria","Urban Area","13","","","","2"
"High transfer dependency","1985","Baden-Württemberg","Rural Area","4","","","","2"
"High transfer dependency","1985","Bavaria","Rural Area","3","","","","2"
"High transfer dependency","1985","Berlin","Urban Area","4","","","","2"
"High transfer dependency","1985","Berlin","Rural Area","","","","","2"
"High transfer dependency","1985","Brandenburg","Urban Area","","","","","2"
"High transfer dependency","1985","Brandenburg","Rural Area","","","","","2"
"High transfer dependency","1985","Mecklenburg-Western Pomerania","Urban Area","","","","","2"
"High transfer dependency","1985","Mecklenburg-Western Pomerania","Rural Area","","","","","2"
"High transfer dependency","1985","Saxony","Urban Area","","","","","2"
"High transfer dependency","1985","Saxony","Rural Area","","","","","2"
"Low transfer dependency","1985","Lower Saxony","Rural Area","27","","","","1"
"Low transfer dependency","1985","Hamburg","Urban Area","14","","","","1"
"Low transfer dependency","1985","Lower Saxony","Urban Area","34","0.0436987905517688","0.0269899532658486","0.060407627837689","1"
"Low transfer dependency","1985","Bremen","Urban Area","23","","","","1"
"Low transfer dependency","1985","Hamburg","Rural Area","","","","","1"
"Low transfer dependency","1985","Bremen","Rural Area","","","","","1"
"Low transfer dependency","1985","Schleswig-Holstein","Urban Area","3","","","","1"
"Low transfer dependency","1985","Schleswig-Holstein","Rural Area","8","","","","1"
"Low transfer dependency","1985","Hesse","Urban Area","25","","","","1"
"Low transfer dependency","1985","North Rhine-Westphalia","Urban Area","96","0.0225417008560875","0.0171242756607851","0.0279591260513899","1"
"Low transfer dependency","1985","North Rhine-Westphalia","Rural Area","2","","","","1"
"Low transfer dependency","1985","Hesse","Rural Area","11","","","","1"
"Low transfer dependency","1985","Rhineland-Palatinate,Saarland","Urban Area","9","","","","1"
"Low transfer dependency","1985","Rhineland-Palatinate,Saarland","Rural Area","5","","","","1"
"Low transfer dependency","1985","Baden-Württemberg","Urban Area","34","0.00959739884159633","0.00503736051352396","0.0141574371696687","1"
"Low transfer dependency","1985","Baden-Württemberg","Rural Area","6","","","","1"
"Low transfer dependency","1985","Bavaria","Rural Area","28","","","","1"
"Low transfer dependency","1985","Berlin","Urban Area","21","","","","1"
"Low transfer dependency","1985","Bavaria","Urban Area","10","","","","1"
"Low transfer dependency","1985","Berlin","Rural Area","","","","","1"
"Low transfer dependency","1985","Brandenburg","Urban Area","","","","","1"
"Low transfer dependency","1985","Brandenburg","Rural Area","","","","","1"
"Low transfer dependency","1985","Mecklenburg-Western Pomerania","Urban Area","","","","","1"
"Low transfer dependency","1985","Mecklenburg-Western Pomerania","Rural Area","","","","","1"
"Low transfer dependency","1985","Saxony-Anhalt","Rural Area","","","","","1"
"Low transfer dependency","1985","Thuringia","Urban Area","","","","","1"
"Low transfer dependency","1985","Saxony","Urban Area","","","","","1"
"Low transfer dependency","1985","Thuringia","Rural Area","","","","","1"
"Low transfer dependency","1985","Saxony","Rural Area","","","","","1"
"Low transfer dependency","1985","Saxony-Anhalt","Urban Area","","","","","1"
"Very high transfer dependency","1985","Hesse","Rural Area","5","","","","3"
"Very high transfer dependency","1985","Schleswig-Holstein","Urban Area","3","","","","3"
"Very high transfer dependency","1985","Schleswig-Holstein","Rural Area","6","","","","3"
"Very high transfer dependency","1985","Hamburg","Urban Area","6","","","","3"
"Very high transfer dependency","1985","Hesse","Urban Area","13","","","","3"
"Very high transfer dependency","1985","Rhineland-Palatinate,Saarland","Urban Area","8","","","","3"
"Very high transfer dependency","1985","Hamburg","Rural Area","","","","","3"
"Very high transfer dependency","1985","Rhineland-Palatinate,Saarland","Rural Area","","","","","3"
"Very high transfer dependency","1985","Baden-Württemberg","Urban Area","11","","","","3"
"Very high transfer dependency","1985","Lower Saxony","Rural Area","20","","","","3"
"Very high transfer dependency","1985","Baden-Württemberg","Rural Area","3","","","","3"
"Very high transfer dependency","1985","Bavaria","Urban Area","13","","","","3"
"Very high transfer dependency","1985","Lower Saxony","Urban Area","11","","","","3"
"Very high transfer dependency","1985","Bremen","Urban Area","3","","","","3"
"Very high transfer dependency","1985","Bremen","Rural Area","","","","","3"
"Very high transfer dependency","1985","North Rhine-Westphalia","Urban Area","74","0.0263495022879692","0.0205037795059333","0.0321952250700051","3"
"Very high transfer dependency","1985","Bavaria","Rural Area","9","","","","3"
"Very high transfer dependency","1985","Berlin","Urban Area","3","","","","3"
"Very high transfer dependency","1985","Berlin","Rural Area","","","","","3"
"Very high transfer dependency","1985","Brandenburg","Urban Area","","","","","3"
"Very high transfer dependency","1985","Brandenburg","Rural Area","","","","","3"
"Very high transfer dependency","1985","North Rhine-Westphalia","Rural Area","2","","","","3"
"Very high transfer dependency","1985","Mecklenburg-Western Pomerania","Urban Area","","","","","3"
"Very high transfer dependency","1985","Mecklenburg-Western Pomerania","Rural Area","","","","","3"
"Very high transfer dependency","1985","Saxony","Urban Area","","","","","3"
"Very high transfer dependency","1985","Saxony","Rural Area","","","","","3"
"Very high transfer dependency","1985","Saxony-Anhalt","Urban Area","","","","","3"
"Very high transfer dependency","1985","Saxony-Anhalt","Rural Area","","","","","3"
"Very high transfer dependency","1985","Thuringia","Urban Area","","","","","3"
"Very high transfer dependency","1985","Thuringia","Rural Area","","","","","3"
"Very low transfer dependency","1985","Schleswig-Holstein","Urban Area","157","0.966026090464341","0.938383845590171","0.993668335338511","0"
"Very low transfer dependency","1985","Schleswig-Holstein","Rural Area","171","0.934196224938028","0.898468391145103","0.969924058730953","0"
"Very low transfer dependency","1985","Hamburg","Urban Area","245","0.913844136521138","0.880680646457185","0.94700762658509","0"
"Very low transfer dependency","1985","Hamburg","Rural Area","6","","","","0"
"Very low transfer dependency","1985","Lower Saxony","Urban Area","526","0.927151626120058","0.905909426692285","0.948393825547831","0"
"Very low transfer dependency","1985","Lower Saxony","Rural Area","475","0.912665451444163","0.888561312135776","0.93676959075255","0"
"Very low transfer dependency","1985","Bremen","Urban Area","86","0.827737496695572","0.759021035143417","0.896453958247727","0"
"Very low transfer dependency","1985","Bremen","Rural Area","","","","","0"
"Very low transfer dependency","1985","North Rhine-Westphalia","Urban Area","2666","0.938282651775303","0.929500095623965","0.94706520792664","0"
"Very low transfer dependency","1985","North Rhine-Westphalia","Rural Area","69","0.91216425906568","0.847232252894925","0.977096265236434","0"
"Very low transfer dependency","1985","Hesse","Urban Area","927","0.958839184500248","0.946401202458613","0.971277166541884","0"
"Very low transfer dependency","1985","Hesse","Rural Area","139","0.929449432791543","0.889136408507712","0.969762457075375","0"
"Very low transfer dependency","1985","Rhineland-Palatinate,Saarland","Urban Area","610","0.958635130687168","0.943110114905004","0.974160146469331","0"
"Very low transfer dependency","1985","Rhineland-Palatinate,Saarland","Rural Area","132","0.952648420619692","0.917466654785547","0.987830186453836","0"
"Very low transfer dependency","1985","Baden-Württemberg","Urban Area","1697","0.977854808980247","0.970972047197475","0.984737570763018","0"
"Very low transfer dependency","1985","Baden-Württemberg","Rural Area","285","0.96518784896032","0.944375969040129","0.98599972888051","0"
"Very low transfer dependency","1985","Bavaria","Urban Area","976","0.958537604359477","0.94625502417142","0.970820184547534","0"
"Very low transfer dependency","1985","Bavaria","Rural Area","858","0.955050893096235","0.941499507164923","0.968602279027547","0"
"Very low transfer dependency","1985","Berlin","Urban Area","340","0.947213660829992","0.924367726185042","0.970059595474942","0"
"Very low transfer dependency","1985","Berlin","Rural Area","","","","","0"
"Very low transfer dependency","1985","Brandenburg","Urban Area","","","","","0"
"Very low transfer dependency","1985","Brandenburg","Rural Area","","","","","0"
"Very low transfer dependency","1985","Mecklenburg-Western Pomerania","Urban Area","","","","","0"
"Very low transfer dependency","1985","Mecklenburg-Western Pomerania","Rural Area","","","","","0"
"Very low transfer dependency","1985","Saxony","Urban Area","","","","","0"
"Very low transfer dependency","1985","Saxony","Rural Area","","","","","0"
"Very low transfer dependency","1985","Saxony-Anhalt","Urban Area","","","","","0"
"Very low transfer dependency","1985","Saxony-Anhalt","Rural Area","","","","","0"
"Very low transfer dependency","1985","Thuringia","Urban Area","","","","","0"
"Very low transfer dependency","1985","Thuringia","Rural Area","","","","","0"
"High transfer dependency","1986","Lower Saxony","Urban Area","7","","","","2"
"High transfer dependency","1986","Hamburg","Rural Area","","","","","2"
"High transfer dependency","1986","Bremen","Urban Area","5","","","","2"
"High transfer dependency","1986","Schleswig-Holstein","Urban Area","","","","","2"
"High transfer dependency","1986","Hamburg","Urban Area","","","","","2"
"High transfer dependency","1986","Lower Saxony","Rural Area","3","","","","2"
"High transfer dependency","1986","Schleswig-Holstein","Rural Area","1","","","","2"
"High transfer dependency","1986","Bremen","Rural Area","","","","","2"
"High transfer dependency","1986","North Rhine-Westphalia","Urban Area","36","0.00967750297076529","0.00604035083688254","0.013314655104648","2"
"High transfer dependency","1986","North Rhine-Westphalia","Rural Area","5","","","","2"
"High transfer dependency","1986","Hesse","Urban Area","9","","","","2"
"High transfer dependency","1986","Hesse","Rural Area","2","","","","2"
"High transfer dependency","1986","Rhineland-Palatinate,Saarland","Urban Area","8","","","","2"
"High transfer dependency","1986","Saxony-Anhalt","Rural Area","","","","","2"
"High transfer dependency","1986","Rhineland-Palatinate,Saarland","Rural Area","3","","","","2"
"High transfer dependency","1986","Baden-Württemberg","Urban Area","15","","","","2"
"High transfer dependency","1986","Thuringia","Urban Area","","","","","2"
"High transfer dependency","1986","Baden-Württemberg","Rural Area","2","","","","2"
"High transfer dependency","1986","Thuringia","Rural Area","","","","","2"
