"transab_cat2","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","Full Time","in school","1","","",""
"Very low transfer dependency","1984","Full Time","inadequately","495","0.957944324483947","0.940575443094648","0.975313205873247"
"Very low transfer dependency","1984","Full Time","general elemantary","1121","0.97589526380991","0.967053844850713","0.984736682769107"
"Very low transfer dependency","1984","Full Time","middle vocational","2884","0.983287218728789","0.978660476902061","0.987913960555517"
"Very low transfer dependency","1984","Full Time","vocational + Abi","167","0.957105200822416","0.927422478245276","0.986787923399556"
"Very low transfer dependency","1984","Full Time","higher vocational","362","0.990193397954286","0.980097921099353","1.00028887480922"
"Very low transfer dependency","1984","Full Time","higher education","466","0.995298917059507","0.989101640363343","1.00149619375567"
"Very low transfer dependency","1984","Part Time","in school","8","","",""
"Very low transfer dependency","1984","Part Time","inadequately","93","0.698697928538365","0.616945400276849","0.78045045679988"
"Very low transfer dependency","1984","Part Time","general elemantary","487","0.924168713302143","0.901840650007326","0.94649677659696"
"Very low transfer dependency","1984","Part Time","middle vocational","782","0.907292275377982","0.888064725686722","0.926519825069241"
"Very low transfer dependency","1984","Part Time","vocational + Abi","41","0.850666666029793","0.751874802674929","0.949458529384657"
"Very low transfer dependency","1984","Part Time","higher vocational","99","0.910405773530822","0.856542378087587","0.964269168974058"
"Very low transfer dependency","1984","Part Time","higher education","152","0.927033466488257","0.887349444423333","0.966717488553182"
"Very low transfer dependency","1984","Not Working","in school","159","0.899476502029471","0.855177885286366","0.943775118772577"
"Very low transfer dependency","1984","Not Working","inadequately","282","0.730609606444619","0.685466142765877","0.775753070123361"
"Very low transfer dependency","1984","Not Working","general elemantary","1565","0.924721657412321","0.912310457544675","0.937132857279968"
"Very low transfer dependency","1984","Not Working","middle vocational","1688","0.921993977146946","0.909838964984507","0.934148989309386"
"Very low transfer dependency","1984","Not Working","vocational + Abi","66","0.850881846040489","0.771832063799496","0.929931628281481"
"Very low transfer dependency","1984","Not Working","higher vocational","166","0.907062709930504","0.865224231118657","0.948901188742351"
"Very low transfer dependency","1984","Not Working","higher education","144","0.913192899863725","0.869429765792134","0.956956033935317"
"Low transfer dependency","1984","Full Time","in school","","","",""
"Low transfer dependency","1984","Full Time","inadequately","17","","",""
"Low transfer dependency","1984","Full Time","general elemantary","32","0.0223090552938722","0.0137955078549968","0.0308226027327477"
"Low transfer dependency","1984","Full Time","middle vocational","61","0.0156069882590383","0.0111334153725775","0.0200805611454991"
"Low transfer dependency","1984","Full Time","vocational + Abi","9","","",""
"Low transfer dependency","1984","Full Time","higher vocational","4","","",""
"Low transfer dependency","1984","Full Time","higher education","2","","",""
"Low transfer dependency","1984","Part Time","in school","","","",""
"Low transfer dependency","1984","Part Time","inadequately","19","","",""
"Low transfer dependency","1984","Part Time","general elemantary","33","0.045289066462472","0.0277509139023887","0.0628272190225552"
"Low transfer dependency","1984","Part Time","middle vocational","65","0.0655988863344318","0.0491851564678445","0.082012616201019"
"Low transfer dependency","1984","Part Time","vocational + Abi","5","","",""
"Low transfer dependency","1984","Part Time","higher vocational","5","","",""
"Low transfer dependency","1984","Part Time","higher education","11","","",""
"Low transfer dependency","1984","Not Working","in school","15","","",""
"Low transfer dependency","1984","Not Working","inadequately","49","0.141734510936958","0.106244203138972","0.177224818734945"
"Low transfer dependency","1984","Not Working","general elemantary","82","0.0320027191987594","0.0237232262670046","0.0402822121305142"
"Low transfer dependency","1984","Not Working","middle vocational","80","0.0320334011194254","0.0240523700858409","0.04001443215301"
"Low transfer dependency","1984","Not Working","vocational + Abi","3","","",""
"Low transfer dependency","1984","Not Working","higher vocational","4","","",""
"Low transfer dependency","1984","Not Working","higher education","5","","",""
"High transfer dependency","1984","Full Time","in school","","","",""
"High transfer dependency","1984","Full Time","inadequately","1","","",""
"High transfer dependency","1984","Full Time","general elemantary","2","","",""
"High transfer dependency","1984","Full Time","middle vocational","3","","",""
"High transfer dependency","1984","Full Time","vocational + Abi","3","","",""
"High transfer dependency","1984","Full Time","higher vocational","","","",""
"High transfer dependency","1984","Full Time","higher education","","","",""
"High transfer dependency","1984","Part Time","in school","","","",""
"High transfer dependency","1984","Part Time","inadequately","7","","",""
"High transfer dependency","1984","Part Time","general elemantary","18","","",""
"High transfer dependency","1984","Part Time","middle vocational","19","","",""
"High transfer dependency","1984","Part Time","vocational + Abi","3","","",""
"High transfer dependency","1984","Part Time","higher vocational","3","","",""
"High transfer dependency","1984","Part Time","higher education","1","","",""
"High transfer dependency","1984","Not Working","in school","1","","",""
"High transfer dependency","1984","Not Working","inadequately","8","","",""
"High transfer dependency","1984","Not Working","general elemantary","26","","",""
"High transfer dependency","1984","Not Working","middle vocational","28","","",""
"High transfer dependency","1984","Not Working","vocational + Abi","3","","",""
"High transfer dependency","1984","Not Working","higher vocational","2","","",""
"High transfer dependency","1984","Not Working","higher education","3","","",""
"Very high transfer dependency","1984","Full Time","in school","","","",""
"Very high transfer dependency","1984","Full Time","inadequately","","","",""
"Very high transfer dependency","1984","Full Time","general elemantary","1","","",""
"Very high transfer dependency","1984","Full Time","middle vocational","1","","",""
"Very high transfer dependency","1984","Full Time","vocational + Abi","","","",""
"Very high transfer dependency","1984","Full Time","higher vocational","","","",""
"Very high transfer dependency","1984","Full Time","higher education","","","",""
"Very high transfer dependency","1984","Part Time","in school","","","",""
"Very high transfer dependency","1984","Part Time","inadequately","2","","",""
"Very high transfer dependency","1984","Part Time","general elemantary","2","","",""
"Very high transfer dependency","1984","Part Time","middle vocational","8","","",""
"Very high transfer dependency","1984","Part Time","vocational + Abi","1","","",""
"Very high transfer dependency","1984","Part Time","higher vocational","1","","",""
"Very high transfer dependency","1984","Part Time","higher education","1","","",""
"Very high transfer dependency","1984","Not Working","in school","2","","",""
"Very high transfer dependency","1984","Not Working","inadequately","32","0.0972121955504604","0.0670672603971553","0.127357130703765"
"Very high transfer dependency","1984","Not Working","general elemantary","63","0.0317647802870165","0.0235151099052134","0.0400144506688197"
"Very high transfer dependency","1984","Not Working","middle vocational","74","0.0357429363829526","0.0273286204145676","0.0441572523513376"
"Very high transfer dependency","1984","Not Working","vocational + Abi","6","","",""
"Very high transfer dependency","1984","Not Working","higher vocational","13","","",""
"Very high transfer dependency","1984","Not Working","higher education","7","","",""
"Very low transfer dependency","1985","Full Time","in school","","","",""
"Very low transfer dependency","1985","Full Time","inadequately","396","0.986049028897229","0.974597933245313","0.997500124549145"
"Very low transfer dependency","1985","Full Time","general elemantary","970","0.972893794547259","0.962828762302282","0.982958826792236"
"Very low transfer dependency","1985","Full Time","middle vocational","2532","0.989252368562493","0.985265095572754","0.993239641552231"
"Very low transfer dependency","1985","Full Time","vocational + Abi","144","0.98284943095129","0.96207231689121","1.00362654501137"
"Very low transfer dependency","1985","Full Time","higher vocational","343","0.990496756320012","0.980288635179952","1.00070487746007"
"Very low transfer dependency","1985","Full Time","higher education","461","0.997608883412317","0.993160132136949","1.00205763468768"
"Very low transfer dependency","1985","Part Time","in school","7","","",""
"Very low transfer dependency","1985","Part Time","inadequately","88","0.820289212312226","0.744657998990698","0.895920425633754"
"Very low transfer dependency","1985","Part Time","general elemantary","494","0.925362180924094","0.903175667857696","0.947548693990492"
"Very low transfer dependency","1985","Part Time","middle vocational","824","0.92385958078058","0.906503067505481","0.94121609405568"
"Very low transfer dependency","1985","Part Time","vocational + Abi","43","0.887648905061299","0.800115795994993","0.975182014127605"
"Very low transfer dependency","1985","Part Time","higher vocational","93","0.868679547859095","0.804077033021988","0.933282062696202"
"Very low transfer dependency","1985","Part Time","higher education","142","0.970349600565186","0.942741058087501","0.997958143042871"
"Very low transfer dependency","1985","Not Working","in school","166","0.92635374153349","0.888196619381593","0.964510863685388"
"Very low transfer dependency","1985","Not Working","inadequately","262","0.744087081131959","0.697218267389982","0.790955894873936"
"Very low transfer dependency","1985","Not Working","general elemantary","1382","0.920695774275738","0.907160510140835","0.934231038410641"
"Very low transfer dependency","1985","Not Working","middle vocational","1557","0.926301494273605","0.913932106468059","0.938670882079151"
"Very low transfer dependency","1985","Not Working","vocational + Abi","65","0.857277851825719","0.780144707778641","0.934410995872797"
"Very low transfer dependency","1985","Not Working","higher vocational","155","0.923230031072604","0.883092063055318","0.963367999089891"
"Very low transfer dependency","1985","Not Working","higher education","139","0.949529217735435","0.914496272841408","0.984562162629462"
"Low transfer dependency","1985","Full Time","in school","","","",""
"Low transfer dependency","1985","Full Time","inadequately","7","","",""
"Low transfer dependency","1985","Full Time","general elemantary","27","","",""
"Low transfer dependency","1985","Full Time","middle vocational","33","0.0100321285708436","0.00617847089111102","0.0138857862505761"
"Low transfer dependency","1985","Full Time","vocational + Abi","4","","",""
"Low transfer dependency","1985","Full Time","higher vocational","4","","",""
"Low transfer dependency","1985","Full Time","higher education","2","","",""
"Low transfer dependency","1985","Part Time","in school","","","",""
"Low transfer dependency","1985","Part Time","inadequately","10","","",""
"Low transfer dependency","1985","Part Time","general elemantary","33","0.0517794962118191","0.0330732222813577","0.0704857701422805"
"Low transfer dependency","1985","Part Time","middle vocational","41","0.040936710439333","0.0279699354745197","0.0539034854041462"
"Low transfer dependency","1985","Part Time","vocational + Abi","5","","",""
"Low transfer dependency","1985","Part Time","higher vocational","6","","",""
"Low transfer dependency","1985","Part Time","higher education","2","","",""
"Low transfer dependency","1985","Not Working","in school","8","","",""
"Low transfer dependency","1985","Not Working","inadequately","35","0.121370491181043","0.0862964811771513","0.156444501184934"
"Low transfer dependency","1985","Not Working","general elemantary","53","0.0252030737223076","0.0173517239354361","0.0330544235091792"
"Low transfer dependency","1985","Not Working","middle vocational","60","0.0246126518341113","0.0172774774111167","0.0319478262571059"
"Low transfer dependency","1985","Not Working","vocational + Abi","6","","",""
"Low transfer dependency","1985","Not Working","higher vocational","5","","",""
"Low transfer dependency","1985","Not Working","higher education","6","","",""
"High transfer dependency","1985","Full Time","in school","","","",""
"High transfer dependency","1985","Full Time","inadequately","","","",""
"High transfer dependency","1985","Full Time","general elemantary","3","","",""
"High transfer dependency","1985","Full Time","middle vocational","4","","",""
"High transfer dependency","1985","Full Time","vocational + Abi","2","","",""
"High transfer dependency","1985","Full Time","higher vocational","","","",""
"High transfer dependency","1985","Full Time","higher education","","","",""
"High transfer dependency","1985","Part Time","in school","","","",""
"High transfer dependency","1985","Part Time","inadequately","1","","",""
"High transfer dependency","1985","Part Time","general elemantary","10","","",""
"High transfer dependency","1985","Part Time","middle vocational","25","","",""
"High transfer dependency","1985","Part Time","vocational + Abi","2","","",""
"High transfer dependency","1985","Part Time","higher vocational","6","","",""
"High transfer dependency","1985","Part Time","higher education","1","","",""
"High transfer dependency","1985","Not Working","in school","2","","",""
"High transfer dependency","1985","Not Working","inadequately","10","","",""
"High transfer dependency","1985","Not Working","general elemantary","30","0.0166867864319497","0.0102703663845463","0.023103206479353"
"High transfer dependency","1985","Not Working","middle vocational","28","","",""
"High transfer dependency","1985","Not Working","vocational + Abi","2","","",""
"High transfer dependency","1985","Not Working","higher vocational","4","","",""
"High transfer dependency","1985","Not Working","higher education","3","","",""
"Very high transfer dependency","1985","Full Time","in school","","","",""
"Very high transfer dependency","1985","Full Time","inadequately","","","",""
"Very high transfer dependency","1985","Full Time","general elemantary","","","",""
"Very high transfer dependency","1985","Full Time","middle vocational","","","",""
"Very high transfer dependency","1985","Full Time","vocational + Abi","","","",""
"Very high transfer dependency","1985","Full Time","higher vocational","","","",""
"Very high transfer dependency","1985","Full Time","higher education","","","",""
"Very high transfer dependency","1985","Part Time","in school","","","",""
"Very high transfer dependency","1985","Part Time","inadequately","","","",""
"Very high transfer dependency","1985","Part Time","general elemantary","2","","",""
"Very high transfer dependency","1985","Part Time","middle vocational","7","","",""
"Very high transfer dependency","1985","Part Time","vocational + Abi","","","",""
"Very high transfer dependency","1985","Part Time","higher vocational","","","",""
"Very high transfer dependency","1985","Part Time","higher education","","","",""
"Very high transfer dependency","1985","Not Working","in school","4","","",""
"Very high transfer dependency","1985","Not Working","inadequately","26","","",""
"Very high transfer dependency","1985","Not Working","general elemantary","66","0.0374143655700048","0.0279083312841887","0.0469203998558209"
"Very high transfer dependency","1985","Not Working","middle vocational","69","0.0367452251484026","0.0278385887362129","0.0456518615605922"
"Very high transfer dependency","1985","Not Working","vocational + Abi","6","","",""
"Very high transfer dependency","1985","Not Working","higher vocational","5","","",""
"Very high transfer dependency","1985","Not Working","higher education","2","","",""
"Very low transfer dependency","1986","Full Time","in school","","","",""
