"transab_cat2","year","education","sex","n","percent","lower_confidence","upper_confidence"
"High transfer dependency","1984","college entrance qualification","Female","8","","",""
"High transfer dependency","1984","college entrance qualification","Male","9","","",""
"High transfer dependency","1984","lower secondary degree","Female","35","0.0105497511920452","0.00703988399619712","0.0140596183878933"
"High transfer dependency","1984","lower secondary degree","Male","19","","",""
"High transfer dependency","1984","no degree/no degree yet","Female","8","","",""
"High transfer dependency","1984","no degree/no degree yet","Male","10","","",""
"High transfer dependency","1984","Other degree","Female","14","","",""
"High transfer dependency","1984","Other degree","Male","16","","",""
"High transfer dependency","1984","secondary school degree","Female","7","","",""
"High transfer dependency","1984","secondary school degree","Male","5","","",""
"Low transfer dependency","1984","college entrance qualification","Female","14","","",""
"Low transfer dependency","1984","college entrance qualification","Male","20","","",""
"Low transfer dependency","1984","lower secondary degree","Female","110","0.0284593561917678","0.0227469955648738","0.0341717168186617"
"Low transfer dependency","1984","lower secondary degree","Male","97","0.0297058875929265","0.0234519848784076","0.0359597903074454"
"Low transfer dependency","1984","no degree/no degree yet","Female","64","0.10571170363654","0.082983205559573","0.128440201713507"
"Low transfer dependency","1984","no degree/no degree yet","Male","45","0.0906952517302383","0.0674440026947943","0.113946500765682"
"Low transfer dependency","1984","Other degree","Female","40","0.0789252629189433","0.0568489656170852","0.101001560220801"
"Low transfer dependency","1984","Other degree","Male","61","0.0752294345677581","0.0576318285208016","0.0928270406147146"
"Low transfer dependency","1984","secondary school degree","Female","24","","",""
"Low transfer dependency","1984","secondary school degree","Male","24","","",""
"Very high transfer dependency","1984","college entrance qualification","Female","17","","",""
"Very high transfer dependency","1984","college entrance qualification","Male","15","","",""
"Very high transfer dependency","1984","lower secondary degree","Female","62","0.0185246141086258","0.0138924185508028","0.0231568096664489"
"Very high transfer dependency","1984","lower secondary degree","Male","42","0.0146048209316862","0.0101857447231271","0.0190238971402452"
"Very high transfer dependency","1984","no degree/no degree yet","Female","21","","",""
"Very high transfer dependency","1984","no degree/no degree yet","Male","18","","",""
"Very high transfer dependency","1984","Other degree","Female","8","","",""
"Very high transfer dependency","1984","Other degree","Male","12","","",""
"Very high transfer dependency","1984","secondary school degree","Female","16","","",""
"Very high transfer dependency","1984","secondary school degree","Male","3","","",""
"Very low transfer dependency","1984","college entrance qualification","Female","444","0.918586084119795","0.894197657766786","0.942974510472804"
"Very low transfer dependency","1984","college entrance qualification","Male","759","0.946130037373106","0.930515142281983","0.961744932464228"
"Very low transfer dependency","1984","lower secondary degree","Female","3048","0.942466278507561","0.934466706759193","0.950465850255929"
"Very low transfer dependency","1984","lower secondary degree","Male","2673","0.949033530530237","0.940932109370712","0.957134951689761"
"Very low transfer dependency","1984","no degree/no degree yet","Female","610","0.848774446472684","0.822290715477391","0.875258177467977"
"Very low transfer dependency","1984","no degree/no degree yet","Male","513","0.864611068422093","0.836909697727292","0.892312439116894"
"Very low transfer dependency","1984","Other degree","Female","511","0.881027348278384","0.854518610715982","0.907536085840786"
"Very low transfer dependency","1984","Other degree","Male","774","0.879752220365449","0.858052136518683","0.901452304212214"
"Very low transfer dependency","1984","secondary school degree","Female","1073","0.960839663953342","0.94947941768897","0.972199910217713"
"Very low transfer dependency","1984","secondary school degree","Male","800","0.966582075166331","0.954369829410591","0.978794320922071"
"High transfer dependency","1985","college entrance qualification","Female","12","","",""
"High transfer dependency","1985","college entrance qualification","Male","14","","",""
"High transfer dependency","1985","lower secondary degree","Female","38","0.0132790111134736","0.00912720833075032","0.0174308138961969"
"High transfer dependency","1985","lower secondary degree","Male","19","","",""
"High transfer dependency","1985","no degree/no degree yet","Female","6","","",""
"High transfer dependency","1985","no degree/no degree yet","Male","6","","",""
"High transfer dependency","1985","Other degree","Female","10","","",""
"High transfer dependency","1985","Other degree","Male","13","","",""
"High transfer dependency","1985","secondary school degree","Female","7","","",""
"High transfer dependency","1985","secondary school degree","Male","7","","",""
"Low transfer dependency","1985","college entrance qualification","Female","13","","",""
"Low transfer dependency","1985","college entrance qualification","Male","17","","",""
"Low transfer dependency","1985","lower secondary degree","Female","82","0.0265553059337847","0.0207237027956595","0.0323869090719099"
"Low transfer dependency","1985","lower secondary degree","Male","77","0.0252132223263381","0.0191391222983063","0.0312873223543699"
"Low transfer dependency","1985","no degree/no degree yet","Female","35","0.0551438019184431","0.0365672414693071","0.0737203623675791"
"Low transfer dependency","1985","no degree/no degree yet","Male","27","","",""
"Low transfer dependency","1985","Other degree","Female","23","","",""
"Low transfer dependency","1985","Other degree","Male","38","0.0477226813307168","0.0323528178341607","0.0630925448272729"
"Low transfer dependency","1985","secondary school degree","Female","24","","",""
"Low transfer dependency","1985","secondary school degree","Male","10","","",""
"Very high transfer dependency","1985","college entrance qualification","Female","10","","",""
"Very high transfer dependency","1985","college entrance qualification","Male","9","","",""
"Very high transfer dependency","1985","lower secondary degree","Female","57","0.0196511971295317","0.0146168694162696","0.0246855248427937"
"Very high transfer dependency","1985","lower secondary degree","Male","38","0.0166292145439426","0.0116746274476586","0.0215838016402267"
"Very high transfer dependency","1985","no degree/no degree yet","Female","20","","",""
"Very high transfer dependency","1985","no degree/no degree yet","Male","12","","",""
"Very high transfer dependency","1985","Other degree","Female","8","","",""
"Very high transfer dependency","1985","Other degree","Male","11","","",""
"Very high transfer dependency","1985","secondary school degree","Female","16","","",""
"Very high transfer dependency","1985","secondary school degree","Male","6","","",""
"Very low transfer dependency","1985","college entrance qualification","Female","428","0.92631182144806","0.902514114643854","0.950109528252266"
"Very low transfer dependency","1985","college entrance qualification","Male","726","0.955499493485803","0.940896852300134","0.970102134671472"
"Very low transfer dependency","1985","lower secondary degree","Female","2743","0.94051448582321","0.931935320839686","0.949093650806734"
"Very low transfer dependency","1985","lower secondary degree","Male","2425","0.951400319535272","0.943069047767481","0.959731591303063"
"Very low transfer dependency","1985","no degree/no degree yet","Female","519","0.86791525894062","0.840360343620556","0.895470174260684"
"Very low transfer dependency","1985","no degree/no degree yet","Male","466","0.913855164199651","0.889528030056164","0.938182298343138"
"Very low transfer dependency","1985","Other degree","Female","438","0.90890035880165","0.883131403927405","0.934669313675895"
"Very low transfer dependency","1985","Other degree","Male","677","0.905682707539204","0.884610522453178","0.92675489262523"
"Very low transfer dependency","1985","secondary school degree","Female","1036","0.964542227063316","0.95352809669306","0.975556357433572"
"Very low transfer dependency","1985","secondary school degree","Male","773","0.975514438628501","0.964777921019299","0.986250956237703"
"High transfer dependency","1986","college entrance qualification","Female","6","","",""
"High transfer dependency","1986","college entrance qualification","Male","4","","",""
"High transfer dependency","1986","lower secondary degree","Female","33","0.013088490230433","0.00882592415203955","0.0173510563088264"
"High transfer dependency","1986","lower secondary degree","Male","23","","",""
"High transfer dependency","1986","no degree/no degree yet","Female","11","","",""
"High transfer dependency","1986","no degree/no degree yet","Male","9","","",""
"High transfer dependency","1986","Other degree","Female","9","","",""
"High transfer dependency","1986","Other degree","Male","12","","",""
"High transfer dependency","1986","secondary school degree","Female","9","","",""
"High transfer dependency","1986","secondary school degree","Male","4","","",""
"Low transfer dependency","1986","college entrance qualification","Female","12","","",""
"Low transfer dependency","1986","college entrance qualification","Male","20","","",""
"Low transfer dependency","1986","lower secondary degree","Female","67","0.02351814018467","0.0178345753541959","0.0292017050151442"
"Low transfer dependency","1986","lower secondary degree","Male","70","0.0272343820436752","0.0207668303981081","0.0337019336892423"
"Low transfer dependency","1986","no degree/no degree yet","Female","36","0.0572485168670497","0.0377262891952919","0.0767707445388076"
"Low transfer dependency","1986","no degree/no degree yet","Male","25","","",""
"Low transfer dependency","1986","Other degree","Female","13","","",""
"Low transfer dependency","1986","Other degree","Male","29","","",""
"Low transfer dependency","1986","secondary school degree","Female","30","0.0214355533036683","0.012696106831172","0.0301749997761646"
"Low transfer dependency","1986","secondary school degree","Male","17","","",""
