"transab_cat2","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","1984","Mecklenburg-Western Pomerania","vocational + Abi","","","","","2"
"High transfer dependency","1984","Mecklenburg-Western Pomerania","middle vocational","","","","","2"
"High transfer dependency","1984","Mecklenburg-Western Pomerania","higher vocational","","","","","2"
"High transfer dependency","1984","Mecklenburg-Western Pomerania","higher education","","","","","2"
"High transfer dependency","1984","Saxony","in school","","","","","2"
"High transfer dependency","1984","Saxony","inadequately","","","","","2"
"High transfer dependency","1984","Schleswig-Holstein","in school","","","","","2"
"High transfer dependency","1984","Schleswig-Holstein","inadequately","","","","","2"
"High transfer dependency","1984","Schleswig-Holstein","general elemantary","","","","","2"
"High transfer dependency","1984","Schleswig-Holstein","middle vocational","","","","","2"
"High transfer dependency","1984","Schleswig-Holstein","vocational + Abi","","","","","2"
"High transfer dependency","1984","Schleswig-Holstein","higher vocational","","","","","2"
"High transfer dependency","1984","Schleswig-Holstein","higher education","","","","","2"
"High transfer dependency","1984","Hamburg","higher education","","","","","2"
"High transfer dependency","1984","Lower Saxony","in school","","","","","2"
"High transfer dependency","1984","Lower Saxony","vocational + Abi","","","","","2"
"High transfer dependency","1984","Lower Saxony","higher vocational","","","","","2"
"High transfer dependency","1984","Lower Saxony","higher education","","","","","2"
"High transfer dependency","1984","Bremen","in school","","","","","2"
"High transfer dependency","1984","Bremen","inadequately","1","","","","2"
"High transfer dependency","1984","Bremen","general elemantary","1","","","","2"
"High transfer dependency","1984","Bremen","middle vocational","1","","","","2"
"High transfer dependency","1984","Bremen","vocational + Abi","","","","","2"
"High transfer dependency","1984","Bremen","higher vocational","","","","","2"
"High transfer dependency","1984","Bremen","higher education","","","","","2"
"High transfer dependency","1984","North Rhine-Westphalia","in school","","","","","2"
"High transfer dependency","1984","North Rhine-Westphalia","inadequately","9","","","","2"
"High transfer dependency","1984","Saxony","general elemantary","","","","","2"
"High transfer dependency","1984","Saxony","middle vocational","","","","","2"
"High transfer dependency","1984","Saxony","vocational + Abi","","","","","2"
"High transfer dependency","1984","Saxony","higher vocational","","","","","2"
"High transfer dependency","1984","Saxony","higher education","","","","","2"
"High transfer dependency","1984","Saxony-Anhalt","in school","","","","","2"
