"transab_cat2","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","16-34 y.","in school","168","0.905266885277426","0.863181544870041","0.94735222568481"
"Very low transfer dependency","1984","16-34 y.","inadequately","264","0.798340480908089","0.753310515785696","0.843370446030483"
"Very low transfer dependency","1984","16-34 y.","general elemantary","1149","0.907695287797484","0.891769561166782","0.923621014428186"
"Very low transfer dependency","1984","16-34 y.","middle vocational","1981","0.923176711116396","0.911943326267916","0.934410095964877"
"Very low transfer dependency","1984","16-34 y.","vocational + Abi","140","0.867652413834706","0.814980338430532","0.920324489238881"
"Very low transfer dependency","1984","16-34 y.","higher vocational","189","0.885108200297485","0.842080358637365","0.928136041957605"
"Very low transfer dependency","1984","16-34 y.","higher education","229","0.928530346987968","0.896404210337686","0.96065648363825"
"Very low transfer dependency","1984","35-65 y.","in school","","","",""
"Very low transfer dependency","1984","35-65 y.","inadequately","593","0.820673896170564","0.791945599863071","0.849402192478056"
"Very low transfer dependency","1984","35-65 y.","general elemantary","1527","0.939023703404437","0.927467369253938","0.950580037554937"
"Very low transfer dependency","1984","35-65 y.","middle vocational","2804","0.954164791649316","0.946628454748527","0.961701128550105"
"Very low transfer dependency","1984","35-65 y.","vocational + Abi","114","0.93976105458024","0.898542713578579","0.980979395581902"
"Very low transfer dependency","1984","35-65 y.","higher vocational","356","0.971964219660101","0.955052451687499","0.988875987632702"
"Very low transfer dependency","1984","35-65 y.","higher education","470","0.971927053218898","0.957180673647515","0.98667343279028"
"Very low transfer dependency","1984","66 and older","in school","","","",""
"Very low transfer dependency","1984","66 and older","inadequately","13","","",""
"Very low transfer dependency","1984","66 and older","general elemantary","497","0.965907739561618","0.950250364247863","0.981565114875374"
"Very low transfer dependency","1984","66 and older","middle vocational","569","0.986985737698316","0.977730191228468","0.996241284168163"
"Very low transfer dependency","1984","66 and older","vocational + Abi","20","","",""
"Very low transfer dependency","1984","66 and older","higher vocational","82","1","1","1"
"Very low transfer dependency","1984","66 and older","higher education","63","1","1","1"
"Low transfer dependency","1984","16-34 y.","in school","15","","",""
"Low transfer dependency","1984","16-34 y.","inadequately","25","","",""
"Low transfer dependency","1984","16-34 y.","general elemantary","64","0.0458814966993281","0.0343698559625459","0.0573931374361103"
"Low transfer dependency","1984","16-34 y.","middle vocational","100","0.0397012292429537","0.0314650283112332","0.0479374301746742"
"Low transfer dependency","1984","16-34 y.","vocational + Abi","8","","",""
"Low transfer dependency","1984","16-34 y.","higher vocational","10","","",""
"Low transfer dependency","1984","16-34 y.","higher education","11","","",""
"Low transfer dependency","1984","35-65 y.","in school","","","",""
"Low transfer dependency","1984","35-65 y.","inadequately","59","0.113761026816885","0.0899830456206668","0.137539008013104"
"Low transfer dependency","1984","35-65 y.","general elemantary","72","0.0298731378222529","0.0216515447467358","0.0380947308977701"
"Low transfer dependency","1984","35-65 y.","middle vocational","100","0.0280000083583905","0.0220548802521527","0.0339451364646283"
"Low transfer dependency","1984","35-65 y.","vocational + Abi","9","","",""
"Low transfer dependency","1984","35-65 y.","higher vocational","3","","",""
"Low transfer dependency","1984","35-65 y.","higher education","7","","",""
"Low transfer dependency","1984","66 and older","in school","","","",""
"Low transfer dependency","1984","66 and older","inadequately","1","","",""
"Low transfer dependency","1984","66 and older","general elemantary","11","","",""
"Low transfer dependency","1984","66 and older","middle vocational","6","","",""
"Low transfer dependency","1984","66 and older","vocational + Abi","","","",""
"Low transfer dependency","1984","66 and older","higher vocational","","","",""
"Low transfer dependency","1984","66 and older","higher education","","","",""
"High transfer dependency","1984","16-34 y.","in school","1","","",""
"High transfer dependency","1984","16-34 y.","inadequately","2","","",""
"High transfer dependency","1984","16-34 y.","general elemantary","21","","",""
"High transfer dependency","1984","16-34 y.","middle vocational","30","0.0133001655228851","0.00846798867210397","0.0181323423736662"
"High transfer dependency","1984","16-34 y.","vocational + Abi","7","","",""
"High transfer dependency","1984","16-34 y.","higher vocational","3","","",""
"High transfer dependency","1984","16-34 y.","higher education","4","","",""
"High transfer dependency","1984","35-65 y.","in school","","","",""
"High transfer dependency","1984","35-65 y.","inadequately","14","","",""
"High transfer dependency","1984","35-65 y.","general elemantary","22","","",""
"High transfer dependency","1984","35-65 y.","middle vocational","19","","",""
"High transfer dependency","1984","35-65 y.","vocational + Abi","2","","",""
"High transfer dependency","1984","35-65 y.","higher vocational","2","","",""
"High transfer dependency","1984","35-65 y.","higher education","","","",""
"High transfer dependency","1984","66 and older","in school","","","",""
"High transfer dependency","1984","66 and older","inadequately","","","",""
"High transfer dependency","1984","66 and older","general elemantary","3","","",""
"High transfer dependency","1984","66 and older","middle vocational","1","","",""
"High transfer dependency","1984","66 and older","vocational + Abi","","","",""
"High transfer dependency","1984","66 and older","higher vocational","","","",""
"High transfer dependency","1984","66 and older","higher education","","","",""
"Very high transfer dependency","1984","16-34 y.","in school","2","","",""
"Very high transfer dependency","1984","16-34 y.","inadequately","14","","",""
"Very high transfer dependency","1984","16-34 y.","general elemantary","35","0.0305163464133897","0.0210528026783325","0.0399798901484469"
"Very high transfer dependency","1984","16-34 y.","middle vocational","48","0.0238218941177648","0.0173894733372478","0.0302543148982818"
"Very high transfer dependency","1984","16-34 y.","vocational + Abi","4","","",""
"Very high transfer dependency","1984","16-34 y.","higher vocational","9","","",""
"Very high transfer dependency","1984","16-34 y.","higher education","3","","",""
"Very high transfer dependency","1984","35-65 y.","in school","","","",""
"Very high transfer dependency","1984","35-65 y.","inadequately","19","","",""
"Very high transfer dependency","1984","35-65 y.","general elemantary","26","","",""
"Very high transfer dependency","1984","35-65 y.","middle vocational","35","0.0124852626392615","0.00848379194768922","0.0164867333308338"
"Very high transfer dependency","1984","35-65 y.","vocational + Abi","3","","",""
"Very high transfer dependency","1984","35-65 y.","higher vocational","5","","",""
"Very high transfer dependency","1984","35-65 y.","higher education","5","","",""
"Very high transfer dependency","1984","66 and older","in school","","","",""
"Very high transfer dependency","1984","66 and older","inadequately","1","","",""
"Very high transfer dependency","1984","66 and older","general elemantary","5","","",""
"Very high transfer dependency","1984","66 and older","middle vocational","","","",""
"Very high transfer dependency","1984","66 and older","vocational + Abi","","","",""
"Very high transfer dependency","1984","66 and older","higher vocational","","","",""
"Very high transfer dependency","1984","66 and older","higher education","","","",""
"Very low transfer dependency","1985","16-34 y.","in school","173","0.929543847590316","0.892864492637389","0.966223202543242"
"Very low transfer dependency","1985","16-34 y.","inadequately","200","0.801840901286027","0.750767912412723","0.852913890159332"
"Very low transfer dependency","1985","16-34 y.","general elemantary","1033","0.912052377434519","0.895633369313647","0.92847138555539"
"Very low transfer dependency","1985","16-34 y.","middle vocational","1814","0.936288874337593","0.925434598381217","0.947143150293968"
"Very low transfer dependency","1985","16-34 y.","vocational + Abi","134","0.890205505171207","0.840340595387856","0.940070414954559"
"Very low transfer dependency","1985","16-34 y.","higher vocational","177","0.893658633657794","0.850501061918341","0.936816205397247"
"Very low transfer dependency","1985","16-34 y.","higher education","233","0.977605164359787","0.958885495870866","0.996324832848708"
"Very low transfer dependency","1985","35-65 y.","in school","","","",""
