"transab_cat2","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","(0) in school","in school","168","0.905266885277426","0.863181544870041","0.94735222568481"
"Very low transfer dependency","1984","(0) in school","inadequately","","","",""
"Very low transfer dependency","1984","(0) in school","general elemantary","","","",""
"Very low transfer dependency","1984","(0) in school","middle vocational","1","","",""
"Very low transfer dependency","1984","(0) in school","vocational + Abi","","","",""
"Very low transfer dependency","1984","(0) in school","higher vocational","","","",""
"Very low transfer dependency","1984","(0) in school","higher education","","","",""
"Very low transfer dependency","1984","(1a) inadequately completed","in school","","","",""
"Very low transfer dependency","1984","(1a) inadequately completed","inadequately","851","0.821782628722811","0.797834748219096","0.845730509226526"
"Very low transfer dependency","1984","(1a) inadequately completed","general elemantary","","","",""
"Very low transfer dependency","1984","(1a) inadequately completed","middle vocational","99","0.83186002182712","0.764093408814344","0.899626634839897"
"Very low transfer dependency","1984","(1a) inadequately completed","vocational + Abi","","","",""
"Very low transfer dependency","1984","(1a) inadequately completed","higher vocational","3","","",""
"Very low transfer dependency","1984","(1a) inadequately completed","higher education","","","",""
"Very low transfer dependency","1984","(1b) general elementary school","in school","","","",""
"Very low transfer dependency","1984","(1b) general elementary school","inadequately","19","","",""
"Very low transfer dependency","1984","(1b) general elementary school","general elemantary","2722","0.933178636132654","0.924179743549271","0.942177528716036"
"Very low transfer dependency","1984","(1b) general elementary school","middle vocational","","","",""
"Very low transfer dependency","1984","(1b) general elementary school","vocational + Abi","","","",""
"Very low transfer dependency","1984","(1b) general elementary school","higher vocational","","","",""
"Very low transfer dependency","1984","(1b) general elementary school","higher education","","","",""
"Very low transfer dependency","1984","(1c) basic vocational qualification","in school","","","",""
"Very low transfer dependency","1984","(1c) basic vocational qualification","inadequately","","","",""
"Very low transfer dependency","1984","(1c) basic vocational qualification","general elemantary","","","",""
"Very low transfer dependency","1984","(1c) basic vocational qualification","middle vocational","3718","0.948392798064269","0.941490100736282","0.955295495392257"
"Very low transfer dependency","1984","(1c) basic vocational qualification","vocational + Abi","","","",""
"Very low transfer dependency","1984","(1c) basic vocational qualification","higher vocational","291","0.96950655304179","0.950049991241571","0.988963114842009"
"Very low transfer dependency","1984","(1c) basic vocational qualification","higher education","","","",""
"Very low transfer dependency","1984","(2b) intermediate general qualification","in school","","","",""
"Very low transfer dependency","1984","(2b) intermediate general qualification","inadequately","","","",""
"Very low transfer dependency","1984","(2b) intermediate general qualification","general elemantary","451","0.958676547063854","0.940758392711794","0.976594701415914"
"Very low transfer dependency","1984","(2b) intermediate general qualification","middle vocational","","","",""
"Very low transfer dependency","1984","(2b) intermediate general qualification","vocational + Abi","","","",""
"Very low transfer dependency","1984","(2b) intermediate general qualification","higher vocational","","","",""
