"transab_cat2","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1985","16-34 y.","Urban Area","3061","0.925482963138452","0.916568867362217","0.934397058914687"
"Very low transfer dependency","1985","16-34 y.","Rural Area","764","0.922013592513909","0.903770974521512","0.940256210506306"
"Very low transfer dependency","1985","35-65 y.","Urban Area","4354","0.955187867474157","0.949205200889435","0.961170534058878"
"Very low transfer dependency","1985","35-65 y.","Rural Area","1097","0.938737806891615","0.925002509470116","0.952473104313114"
"Very low transfer dependency","1985","66 and older","Urban Area","815","0.974751290927591","0.96411056268086","0.985392019174323"
"Very low transfer dependency","1985","66 and older","Rural Area","274","0.975906443966251","0.957977716085211","0.993835171847292"
"Low transfer dependency","1985","16-34 y.","Urban Area","133","0.0300070554844058","0.0242159527208089","0.0357981582480026"
"Low transfer dependency","1985","16-34 y.","Rural Area","37","0.0445956360787684","0.0305529936794227","0.058638278478114"
"Low transfer dependency","1985","35-65 y.","Urban Area","130","0.0213783525269682","0.0171957449307047","0.0255609601232317"
"Low transfer dependency","1985","35-65 y.","Rural Area","45","0.0328054602586329","0.0226031240983694","0.0430077964188963"
"Low transfer dependency","1985","66 and older","Urban Area","6","","",""
"Low transfer dependency","1985","66 and older","Rural Area","5","","",""
"High transfer dependency","1985","16-34 y.","Urban Area","61","0.0177384692774102","0.0132578614712553","0.0222190770835652"
"High transfer dependency","1985","16-34 y.","Rural Area","10","","",""
"High transfer dependency","1985","35-65 y.","Urban Area","48","0.00896798414939701","0.00624187114807935","0.0116940971507147"
"High transfer dependency","1985","35-65 y.","Rural Area","5","","",""
"High transfer dependency","1985","66 and older","Urban Area","10","","",""
"High transfer dependency","1985","66 and older","Rural Area","","","",""
"Very high transfer dependency","1985","16-34 y.","Urban Area","79","0.0267715120997318","0.0212924130633523","0.0322506111361113"
"Very high transfer dependency","1985","16-34 y.","Rural Area","19","","",""
"Very high transfer dependency","1985","35-65 y.","Urban Area","62","0.0144657958494781","0.0110130897478676","0.0179185019510886"
"Very high transfer dependency","1985","35-65 y.","Rural Area","24","","",""
"Very high transfer dependency","1985","66 and older","Urban Area","4","","",""
"Very high transfer dependency","1985","66 and older","Rural Area","2","","",""
"Very low transfer dependency","1986","16-34 y.","Urban Area","3028","0.928138020541124","0.919276761676232","0.936999279406016"
"Very low transfer dependency","1986","16-34 y.","Rural Area","742","0.912775987912889","0.893356498952689","0.932195476873089"
"Very low transfer dependency","1986","35-65 y.","Urban Area","4140","0.950697162561809","0.944278206122179","0.95711611900144"
"Very low transfer dependency","1986","35-65 y.","Rural Area","1033","0.936820153200485","0.922456176551699","0.951184129849271"
"Very low transfer dependency","1986","66 and older","Urban Area","768","0.98006852896234","0.970272667989101","0.989864389935579"
"Very low transfer dependency","1986","66 and older","Rural Area","257","0.98747939921434","0.973989632363272","1.00096916606541"
"Low transfer dependency","1986","16-34 y.","Urban Area","119","0.0336008366622004","0.0274179274073225","0.0397837459170785"
"Low transfer dependency","1986","16-34 y.","Rural Area","42","0.0505146344868893","0.0354419569150819","0.0655873120586968"
"Low transfer dependency","1986","35-65 y.","Urban Area","119","0.0239702556556662","0.0194352771601175","0.0285052341512149"
"Low transfer dependency","1986","35-65 y.","Rural Area","41","0.0319364363518641","0.0215551192336961","0.0423177534700321"
"Low transfer dependency","1986","66 and older","Urban Area","6","","",""
"Low transfer dependency","1986","66 and older","Rural Area","2","","",""
"High transfer dependency","1986","16-34 y.","Urban Area","44","0.0119061887761685","0.00818462877119502","0.0156277487811419"
"High transfer dependency","1986","16-34 y.","Rural Area","12","","",""
"High transfer dependency","1986","35-65 y.","Urban Area","42","0.00739399774503692","0.00485398744378243","0.0099340080462914"
"High transfer dependency","1986","35-65 y.","Rural Area","16","","",""
"High transfer dependency","1986","66 and older","Urban Area","8","","",""
"High transfer dependency","1986","66 and older","Rural Area","","","",""
"Very high transfer dependency","1986","16-34 y.","Urban Area","72","0.0263549540205075","0.0208586466124642","0.0318512614285508"
"Very high transfer dependency","1986","16-34 y.","Rural Area","15","","",""
"Very high transfer dependency","1986","35-65 y.","Urban Area","69","0.0179385840374875","0.0140033480921404","0.0218738199828346"
"Very high transfer dependency","1986","35-65 y.","Rural Area","12","","",""
"Very high transfer dependency","1986","66 and older","Urban Area","","","",""
"Very high transfer dependency","1986","66 and older","Rural Area","2","","",""
"Very low transfer dependency","1987","16-34 y.","Urban Area","3001","0.935044271247204","0.926526717403224","0.943561825091184"
"Very low transfer dependency","1987","16-34 y.","Rural Area","738","0.911924104397238","0.892395027661982","0.931453181132495"
"Very low transfer dependency","1987","35-65 y.","Urban Area","4060","0.948251207233817","0.941626322591007","0.954876091876626"
"Very low transfer dependency","1987","35-65 y.","Rural Area","1017","0.942048122028071","0.928087259311534","0.956008984744607"
"Very low transfer dependency","1987","66 and older","Urban Area","805","0.981043345357968","0.971709381563773","0.990377309152163"
"Very low transfer dependency","1987","66 and older","Rural Area","259","0.975635884229653","0.957037923020874","0.994233845438432"
"Low transfer dependency","1987","16-34 y.","Urban Area","126","0.0357242189659569","0.0293095821600342","0.0421388557718796"
"Low transfer dependency","1987","16-34 y.","Rural Area","44","0.0494714488018192","0.0345285887875963","0.0644143088160421"
"Low transfer dependency","1987","35-65 y.","Urban Area","127","0.0274399218863462","0.0225543415212469","0.0323255022514454"
"Low transfer dependency","1987","35-65 y.","Rural Area","31","0.0268313772673822","0.0171762614622949","0.0364864930724696"
"Low transfer dependency","1987","66 and older","Urban Area","10","","",""
"Low transfer dependency","1987","66 and older","Rural Area","4","","",""
"High transfer dependency","1987","16-34 y.","Urban Area","37","0.00956656722528324","0.0062023751710052","0.0129307592795613"
"High transfer dependency","1987","16-34 y.","Rural Area","11","","",""
"High transfer dependency","1987","35-65 y.","Urban Area","48","0.00884948350855961","0.00604859852695933","0.0116503684901599"
"High transfer dependency","1987","35-65 y.","Rural Area","13","","",""
"High transfer dependency","1987","66 and older","Urban Area","4","","",""
"High transfer dependency","1987","66 and older","Rural Area","","","",""
"Very high transfer dependency","1987","16-34 y.","Urban Area","52","0.0196649425615563","0.0148662416901311","0.0244636434329814"
"Very high transfer dependency","1987","16-34 y.","Rural Area","16","","",""
"Very high transfer dependency","1987","35-65 y.","Urban Area","60","0.0154593873712775","0.0117697858511327","0.0191489888914223"
"Very high transfer dependency","1987","35-65 y.","Rural Area","15","","",""
"Very high transfer dependency","1987","66 and older","Urban Area","1","","",""
"Very high transfer dependency","1987","66 and older","Rural Area","1","","",""
"Very low transfer dependency","1988","16-34 y.","Urban Area","2885","0.942487161427518","0.934259525832326","0.950714797022711"
"Very low transfer dependency","1988","16-34 y.","Rural Area","695","0.926633358790558","0.907972967628014","0.945293749953103"
"Very low transfer dependency","1988","35-65 y.","Urban Area","3856","0.950235735374859","0.943556624065349","0.95691484668437"
"Very low transfer dependency","1988","35-65 y.","Rural Area","954","0.929397482620175","0.913692643848651","0.9451023213917"
"Very low transfer dependency","1988","66 and older","Urban Area","794","0.984281030164933","0.975699140601518","0.992862919728349"
"Very low transfer dependency","1988","66 and older","Rural Area","247","0.994994948917204","0.986212068982667","1.00377782885174"
"Low transfer dependency","1988","16-34 y.","Urban Area","107","0.030983854208537","0.0248605173394911","0.0371071910775829"
"Low transfer dependency","1988","16-34 y.","Rural Area","34","0.0425757599795851","0.0281263247321872","0.0570251952269831"
"Low transfer dependency","1988","35-65 y.","Urban Area","122","0.0243586084667719","0.0196236567780302","0.0290935601555136"
"Low transfer dependency","1988","35-65 y.","Rural Area","35","0.0335534841742228","0.0225131970721853","0.0445937712762602"
"Low transfer dependency","1988","66 and older","Urban Area","5","","",""
"Low transfer dependency","1988","66 and older","Rural Area","","","",""
"High transfer dependency","1988","16-34 y.","Urban Area","33","0.0113910228101694","0.00764087348403766","0.0151411721363011"
"High transfer dependency","1988","16-34 y.","Rural Area","6","","",""
"High transfer dependency","1988","35-65 y.","Urban Area","26","","",""
"High transfer dependency","1988","35-65 y.","Rural Area","15","","",""
"High transfer dependency","1988","66 and older","Urban Area","5","","",""
"High transfer dependency","1988","66 and older","Rural Area","","","",""
"Very high transfer dependency","1988","16-34 y.","Urban Area","51","0.0151379615537752","0.0108230060325221","0.0194529170750282"
"Very high transfer dependency","1988","16-34 y.","Rural Area","15","","",""
"Very high transfer dependency","1988","35-65 y.","Urban Area","68","0.0200876463305384","0.0157783897898023","0.0243969028712746"
"Very high transfer dependency","1988","35-65 y.","Rural Area","18","","",""
"Very high transfer dependency","1988","66 and older","Urban Area","3","","",""
"Very high transfer dependency","1988","66 and older","Rural Area","1","","",""
"Very low transfer dependency","1989","16-34 y.","Urban Area","2832","0.933741080874154","0.924896248370875","0.942585913377433"
"Very low transfer dependency","1989","16-34 y.","Rural Area","672","0.939802521401926","0.922307020939216","0.957298021864637"
"Very low transfer dependency","1989","35-65 y.","Urban Area","3719","0.950798122312163","0.944041955252345","0.95755428937198"
"Very low transfer dependency","1989","35-65 y.","Rural Area","897","0.934949712299799","0.919325042101871","0.950574382497727"
"Very low transfer dependency","1989","66 and older","Urban Area","773","0.985953851950008","0.977721571114278","0.994186132785738"
"Very low transfer dependency","1989","66 and older","Rural Area","237","0.977477132555193","0.958821494909422","0.996132770200964"
"Low transfer dependency","1989","16-34 y.","Urban Area","115","0.0300262824119417","0.0239577318860689","0.0360948329378144"
