"transab_cat2","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","Schleswig-Holstein","Not Employed","126","0.912908115458125","0.867012999878564","0.958803231037686"
"Very low transfer dependency","1984","Schleswig-Holstein","Employed","224","0.963171801538315","0.939091812937081","0.987251790139548"
"Very low transfer dependency","1984","Hamburg","Not Employed","109","0.935291616268177","0.891457808095489","0.979125424440866"
"Very low transfer dependency","1984","Hamburg","Employed","183","0.978250371464506","0.957509728127836","0.998991014801176"
"Very low transfer dependency","1984","Lower Saxony","Not Employed","447","0.88111442669167","0.853637685644088","0.908591167739253"
"Very low transfer dependency","1984","Lower Saxony","Employed","649","0.949170921676876","0.932864448822709","0.965477394531044"
"Very low transfer dependency","1984","Bremen","Not Employed","54","0.794227961320853","0.700194010533091","0.888261912108616"
"Very low transfer dependency","1984","Bremen","Employed","53","0.908786359190802","0.836535341475461","0.981037376906143"
"Very low transfer dependency","1984","North Rhine-Westphalia","Not Employed","1126","0.883016003653974","0.865611567535043","0.900420439772906"
"Very low transfer dependency","1984","North Rhine-Westphalia","Employed","1823","0.954282494004436","0.944961510896646","0.963603477112226"
"Very low transfer dependency","1984","Hesse","Not Employed","397","0.930633507286974","0.907262126284879","0.954004888289069"
"Very low transfer dependency","1984","Hesse","Employed","755","0.968962749572889","0.956854534034584","0.981070965111194"
"Very low transfer dependency","1984","Rhineland-Palatinate,Saarland","Not Employed","339","0.944242268670053","0.920638081771994","0.967846455568112"
"Very low transfer dependency","1984","Rhineland-Palatinate,Saarland","Employed","477","0.978252247446345","0.96532439816993","0.99118009672276"
"Very low transfer dependency","1984","Baden-Württemberg","Not Employed","700","0.958801144464923","0.944624238358492","0.972978050571355"
"Very low transfer dependency","1984","Baden-Württemberg","Employed","1447","0.972090803526927","0.963771965108279","0.980409641945575"
"Very low transfer dependency","1984","Bavaria","Not Employed","672","0.942774836926683","0.925832356095161","0.959717317758205"
"Very low transfer dependency","1984","Bavaria","Employed","1311","0.963580610865138","0.953635479641423","0.973525742088854"
"Very low transfer dependency","1984","Berlin","Not Employed","122","0.943068115711917","0.903389021171239","0.982747210252595"
"Very low transfer dependency","1984","Berlin","Employed","270","0.968775587494675","0.948293843309636","0.989257331679714"
"Very low transfer dependency","1984","Brandenburg","Not Employed","","","",""
"Very low transfer dependency","1984","Brandenburg","Employed","","","",""
"Very low transfer dependency","1984","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Very low transfer dependency","1984","Mecklenburg-Western Pomerania","Employed","","","",""
"Very low transfer dependency","1984","Saxony","Not Employed","","","",""
"Very low transfer dependency","1984","Saxony","Employed","","","",""
"Very low transfer dependency","1984","Saxony-Anhalt","Not Employed","","","",""
"Very low transfer dependency","1984","Saxony-Anhalt","Employed","","","",""
"Very low transfer dependency","1984","Thuringia","Not Employed","","","",""
"Very low transfer dependency","1984","Thuringia","Employed","","","",""
