"transab_cat2","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","Schleswig-Holstein","lower secondary degree","195","0.946327595408181","0.915773373634987","0.976881817181376"
"Very low transfer dependency","1984","Schleswig-Holstein","secondary school degree","90","0.975306417521502","0.943934088899603","1.0066787461434"
"Very low transfer dependency","1984","Schleswig-Holstein","college entrance qualification","36","0.885622454430164","0.788201841265115","0.983043067595214"
"Very low transfer dependency","1984","Schleswig-Holstein","Other degree","15","","",""
"Very low transfer dependency","1984","Schleswig-Holstein","no degree/no degree yet","14","","",""
"Very low transfer dependency","1984","Hamburg","lower secondary degree","125","0.947942286782052","0.910330048075144","0.98555452548896"
"Very low transfer dependency","1984","Hamburg","secondary school degree","57","0.983010503086646","0.949751943763659","1.01626906240963"
"Very low transfer dependency","1984","Hamburg","college entrance qualification","40","0.969026938363467","0.915997606389161","1.02205627033777"
"Very low transfer dependency","1984","Hamburg","Other degree","41","0.882269980021481","0.790130974174213","0.974408985868748"
"Very low transfer dependency","1984","Hamburg","no degree/no degree yet","27","","",""
"Very low transfer dependency","1984","Lower Saxony","lower secondary degree","616","0.915098661259322","0.894179361993833","0.936017960524811"
"Very low transfer dependency","1984","Lower Saxony","secondary school degree","224","0.958586889053979","0.933166818020315","0.984006960087643"
"Very low transfer dependency","1984","Lower Saxony","college entrance qualification","119","0.964721732534148","0.932251013650906","0.99719245141739"
"Very low transfer dependency","1984","Lower Saxony","Other degree","63","0.665184259995802","0.566018354924769","0.764350165066835"
"Very low transfer dependency","1984","Lower Saxony","no degree/no degree yet","71","0.737241449339336","0.649198258154891","0.825284640523781"
"Very low transfer dependency","1984","Bremen","lower secondary degree","63","0.850565262105629","0.768781654339935","0.932348869871322"
"Very low transfer dependency","1984","Bremen","secondary school degree","20","","",""
"Very low transfer dependency","1984","Bremen","college entrance qualification","5","","",""
"Very low transfer dependency","1984","Bremen","Other degree","15","","",""
"Very low transfer dependency","1984","Bremen","no degree/no degree yet","4","","",""
"Very low transfer dependency","1984","North Rhine-Westphalia","lower secondary degree","1453","0.926167637983633","0.913249083857517","0.939086192109749"
"Very low transfer dependency","1984","North Rhine-Westphalia","secondary school degree","458","0.943507121516469","0.922981354282489","0.96403288875045"
"Very low transfer dependency","1984","North Rhine-Westphalia","college entrance qualification","345","0.921571559777722","0.894288379297497","0.948854740257946"
"Very low transfer dependency","1984","North Rhine-Westphalia","Other degree","329","0.860860939815056","0.825971561951001","0.89575031767911"
"Very low transfer dependency","1984","North Rhine-Westphalia","no degree/no degree yet","338","0.833626142472633","0.797038471834806","0.87021381311046"
"Very low transfer dependency","1984","Hesse","lower secondary degree","521","0.970719435415208","0.956526081456123","0.984912789374293"
"Very low transfer dependency","1984","Hesse","secondary school degree","190","0.986868001781163","0.970807305184173","1.00292869837815"
"Very low transfer dependency","1984","Hesse","college entrance qualification","134","0.914223424106129","0.869107718048624","0.959339130163633"
"Very low transfer dependency","1984","Hesse","Other degree","177","0.819625440722707","0.766991423641861","0.872259457803553"
"Very low transfer dependency","1984","Hesse","no degree/no degree yet","119","0.807204401360793","0.742319412111227","0.87208939061036"
"Very low transfer dependency","1984","Rhineland-Palatinate,Saarland","lower secondary degree","522","0.964329019782796","0.948743590061478","0.979914449504114"
"Very low transfer dependency","1984","Rhineland-Palatinate,Saarland","secondary school degree","109","0.9741091057574","0.944697657748409","1.00352055376639"
"Very low transfer dependency","1984","Rhineland-Palatinate,Saarland","college entrance qualification","58","0.928454584919352","0.864300622899122","0.992608546939582"
"Very low transfer dependency","1984","Rhineland-Palatinate,Saarland","Other degree","53","0.977415210069706","0.937787517479895","1.01704290265952"
"Very low transfer dependency","1984","Rhineland-Palatinate,Saarland","no degree/no degree yet","69","0.922721689270796","0.862287648405719","0.983155730135874"
"Very low transfer dependency","1984","Baden-Württemberg","lower secondary degree","1013","0.969003676484714","0.958555791036502","0.979451561932926"
"Very low transfer dependency","1984","Baden-Württemberg","secondary school degree","284","0.974677226906198","0.956626793349363","0.992727660463033"
"Very low transfer dependency","1984","Baden-Württemberg","college entrance qualification","187","0.971150142201749","0.947535331750097","0.994764952653402"
"Very low transfer dependency","1984","Baden-Württemberg","Other degree","331","0.929261543575825","0.902553428928187","0.955969658223463"
"Very low transfer dependency","1984","Baden-Württemberg","no degree/no degree yet","313","0.927119522777229","0.899690394186657","0.9545486513678"
"Very low transfer dependency","1984","Bavaria","lower secondary degree","1047","0.955727150228559","0.943565711797924","0.967888588659194"
"Very low transfer dependency","1984","Bavaria","secondary school degree","364","0.963019010706115","0.944019816643106","0.982018204769125"
"Very low transfer dependency","1984","Bavaria","college entrance qualification","227","0.9529828800693","0.926146761550289","0.979818998588312"
"Very low transfer dependency","1984","Bavaria","Other degree","212","0.952242250964144","0.924315543872566","0.980168958055723"
"Very low transfer dependency","1984","Bavaria","no degree/no degree yet","122","0.890058672865574","0.836895355081269","0.94322199064988"
"Very low transfer dependency","1984","Berlin","lower secondary degree","166","0.965684490471291","0.938479616290679","0.992889364651902"
"Very low transfer dependency","1984","Berlin","secondary school degree","77","0.965938516789549","0.9261910351694","1.0056859984097"
"Very low transfer dependency","1984","Berlin","college entrance qualification","52","0.926691920265888","0.858426984246746","0.994956856285029"
"Very low transfer dependency","1984","Berlin","Other degree","49","0.960618032409827","0.90670581912797","1.01453024569168"
"Very low transfer dependency","1984","Berlin","no degree/no degree yet","46","0.95249182885424","0.89231320422032","1.01267045348816"
"Very low transfer dependency","1984","Brandenburg","lower secondary degree","","","",""
"Very low transfer dependency","1984","Brandenburg","secondary school degree","","","",""
"Very low transfer dependency","1984","Brandenburg","college entrance qualification","","","",""
"Very low transfer dependency","1984","Brandenburg","Other degree","","","",""
