"transab_cat2","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","in school","Male","87","0.917049988656341","0.861588564394229","0.972511412918453"
"Very low transfer dependency","1984","in school","Female","81","0.892851304248412","0.82930205737583","0.956400551120994"
"Very low transfer dependency","1984","inadequately","Male","369","0.830612585006175","0.794782580169968","0.866442589842381"
"Very low transfer dependency","1984","inadequately","Female","501","0.81108559717655","0.779338242265231","0.842832952087869"
"Very low transfer dependency","1984","general elemantary","Male","1046","0.928092216989638","0.913082915719758","0.943101518259517"
"Very low transfer dependency","1984","general elemantary","Female","2127","0.940346079032766","0.930654049239271","0.95003810882626"
"Very low transfer dependency","1984","middle vocational","Male","2962","0.948477240736201","0.940766007949165","0.956188473523237"
"Very low transfer dependency","1984","middle vocational","Female","2392","0.949351909685272","0.940817595677482","0.957886223693061"
"Very low transfer dependency","1984","vocational + Abi","Male","171","0.898874039820428","0.856338672796054","0.941409406844803"
"Very low transfer dependency","1984","vocational + Abi","Female","103","0.921108030356172","0.871623739705545","0.970592321006798"
"Very low transfer dependency","1984","higher vocational","Male","375","0.978294208953076","0.963719327563739","0.992869090342412"
"Very low transfer dependency","1984","higher vocational","Female","252","0.914294549937441","0.881209710638058","0.947379389236824"
"Very low transfer dependency","1984","higher education","Male","517","0.967715918541441","0.952766334536108","0.982665502546773"
"Very low transfer dependency","1984","higher education","Female","245","0.953380627417008","0.927504792341584","0.979256462492432"
"Low transfer dependency","1984","in school","Male","7","","",""
"Low transfer dependency","1984","in school","Female","8","","",""
"Low transfer dependency","1984","inadequately","Male","29","","",""
"Low transfer dependency","1984","inadequately","Female","56","0.126368224548617","0.0994203311813036","0.15331611791593"
"Low transfer dependency","1984","general elemantary","Male","56","0.0373941749833196","0.0263710893651534","0.0484172606014857"
"Low transfer dependency","1984","general elemantary","Female","91","0.0295774601844502","0.0226446028857023","0.0365103174831981"
"Low transfer dependency","1984","middle vocational","Male","130","0.0331043178793262","0.0268634795490781","0.0393451562095744"
"Low transfer dependency","1984","middle vocational","Female","76","0.0246432244446543","0.0186092427920198","0.0306772060972889"
"Low transfer dependency","1984","vocational + Abi","Male","11","","",""
"Low transfer dependency","1984","vocational + Abi","Female","6","","",""
"Low transfer dependency","1984","higher vocational","Male","4","","",""
"Low transfer dependency","1984","higher vocational","Female","9","","",""
"Low transfer dependency","1984","higher education","Male","12","","",""
"Low transfer dependency","1984","higher education","Female","6","","",""
"High transfer dependency","1984","in school","Male","","","",""
"High transfer dependency","1984","in school","Female","1","","",""
"High transfer dependency","1984","inadequately","Male","9","","",""
"High transfer dependency","1984","inadequately","Female","7","","",""
"High transfer dependency","1984","general elemantary","Male","13","","",""
"High transfer dependency","1984","general elemantary","Female","33","0.0122557839780049","0.00775338289134159","0.0167581850646681"
"High transfer dependency","1984","middle vocational","Male","28","","",""
"High transfer dependency","1984","middle vocational","Female","22","","",""
"High transfer dependency","1984","vocational + Abi","Male","5","","",""
"High transfer dependency","1984","vocational + Abi","Female","4","","",""
"High transfer dependency","1984","higher vocational","Male","1","","",""
"High transfer dependency","1984","higher vocational","Female","4","","",""
"High transfer dependency","1984","higher education","Male","3","","",""
"High transfer dependency","1984","higher education","Female","1","","",""
"Very high transfer dependency","1984","in school","Male","1","","",""
"Very high transfer dependency","1984","in school","Female","1","","",""
"Very high transfer dependency","1984","inadequately","Male","14","","",""
"Very high transfer dependency","1984","inadequately","Female","20","","",""
"Very high transfer dependency","1984","general elemantary","Male","23","","",""
"Very high transfer dependency","1984","general elemantary","Female","43","0.0178206768047795","0.0124067936948808","0.0232345599146781"
"Very high transfer dependency","1984","middle vocational","Male","37","0.0113129987283575","0.0076238252196258","0.0150021722370892"
"Very high transfer dependency","1984","middle vocational","Female","46","0.0178843500617323","0.0127262309914999","0.0230424691319648"
"Very high transfer dependency","1984","vocational + Abi","Male","6","","",""
"Very high transfer dependency","1984","vocational + Abi","Female","1","","",""
"Very high transfer dependency","1984","higher vocational","Male","4","","",""
"Very high transfer dependency","1984","higher vocational","Female","10","","",""
"Very high transfer dependency","1984","higher education","Male","5","","",""
"Very high transfer dependency","1984","higher education","Female","3","","",""
"Very low transfer dependency","1985","in school","Male","106","0.943891346182172","0.901271192988268","0.986511499376077"
"Very low transfer dependency","1985","in school","Female","67","0.907360390343589","0.841744998615289","0.972975782071889"
"Very low transfer dependency","1985","inadequately","Male","316","0.854457099883488","0.817564847040708","0.891349352726267"
"Very low transfer dependency","1985","inadequately","Female","430","0.840214870363784","0.807571967578175","0.872857773149393"
"Very low transfer dependency","1985","general elemantary","Male","948","0.922764227808621","0.906492171322138","0.939036284295104"
"Very low transfer dependency","1985","general elemantary","Female","1898","0.938048781027","0.927577571641477","0.948519990412522"
"Very low transfer dependency","1985","middle vocational","Male","2697","0.956066411545541","0.948532820688421","0.963600002402661"
"Very low transfer dependency","1985","middle vocational","Female","2216","0.952573771149339","0.943956349554069","0.961191192744608"
"Very low transfer dependency","1985","vocational + Abi","Male","157","0.933406458316329","0.896147103984293","0.970665812648364"
"Very low transfer dependency","1985","vocational + Abi","Female","95","0.903533600089841","0.847594382011648","0.959472818168035"
"Very low transfer dependency","1985","higher vocational","Male","354","0.980717505784123","0.966531894381733","0.994903117186513"
"Very low transfer dependency","1985","higher vocational","Female","237","0.908548936819965","0.873511691118471","0.943586182521458"
