"transab_cat2","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","lower secondary degree","1-pers.-HH","610","0.921837620238215","0.901542596895681","0.94213264358075"
"Very low transfer dependency","1984","lower secondary degree","(Married) couple without C. ","1547","0.970982813050847","0.962750363875428","0.979215262226266"
"Very low transfer dependency","1984","lower secondary degree","Single parent ","261","0.836312602306518","0.795582978138167","0.877042226474869"
"Very low transfer dependency","1984","lower secondary degree","Couple + C. LE 16 ","1213","0.933967543245897","0.920452335590336","0.947482750901459"
"Very low transfer dependency","1984","lower secondary degree","Couple + C. GT 16 ","948","0.962446438391027","0.950597926843782","0.974294949938272"
"Very low transfer dependency","1984","lower secondary degree","Couple + C. LE and GT 16","738","0.961926356050349","0.94853895120819","0.975313760892509"
"Very low transfer dependency","1984","secondary school degree","1-pers.-HH","230","0.97628578422615","0.956954866214663","0.995616702237636"
"Very low transfer dependency","1984","secondary school degree","(Married) couple without C. ","415","0.979823039879948","0.966439627677527","0.99320645208237"
"Very low transfer dependency","1984","secondary school degree","Single parent ","84","0.864221020699598","0.796051395461411","0.932390645937784"
"Very low transfer dependency","1984","secondary school degree","Couple + C. LE 16 ","442","0.956209872748782","0.937550724356532","0.974869021141033"
"Very low transfer dependency","1984","secondary school degree","Couple + C. GT 16 ","360","0.972622625408385","0.956017994771137","0.989227256045633"
"Very low transfer dependency","1984","secondary school degree","Couple + C. LE and GT 16","251","0.975038230710216","0.956075105103097","0.994001356317335"
"Very low transfer dependency","1984","college entrance qualification","1-pers.-HH","173","0.84965990122872","0.800734867080884","0.898584935376555"
"Very low transfer dependency","1984","college entrance qualification","(Married) couple without C. ","304","0.951398768225125","0.92787534591572","0.974922190534531"
"Very low transfer dependency","1984","college entrance qualification","Single parent ","42","0.908870641733136","0.826593469785735","0.991147813680538"
"Very low transfer dependency","1984","college entrance qualification","Couple + C. LE 16 ","281","0.957798590238659","0.934817268544078","0.98077991193324"
"Very low transfer dependency","1984","college entrance qualification","Couple + C. GT 16 ","207","0.976546646554429","0.956222736695701","0.996870556413156"
"Very low transfer dependency","1984","college entrance qualification","Couple + C. LE and GT 16","106","1","1","1"
"Very low transfer dependency","1984","Other degree","1-pers.-HH","99","0.870193033159474","0.808225291189398","0.932160775129551"
"Very low transfer dependency","1984","Other degree","(Married) couple without C. ","183","0.93510486533959","0.900705438596838","0.969504292082342"
"Very low transfer dependency","1984","Other degree","Single parent ","35","0.711607209246896","0.574602399076929","0.848612019416863"
"Very low transfer dependency","1984","Other degree","Couple + C. LE 16 ","560","0.893444819941837","0.869019570647308","0.917870069236366"
"Very low transfer dependency","1984","Other degree","Couple + C. GT 16 ","152","0.929864861915189","0.890899037835316","0.968830685995063"
"Very low transfer dependency","1984","Other degree","Couple + C. LE and GT 16","189","0.857840383846863","0.812311685284655","0.903369082409072"
"Very low transfer dependency","1984","no degree/no degree yet","1-pers.-HH","65","0.860201999342981","0.78421246179734","0.936191536888623"
"Very low transfer dependency","1984","no degree/no degree yet","(Married) couple without C. ","129","0.86946506725753","0.814630611959795","0.924299522555265"
"Very low transfer dependency","1984","no degree/no degree yet","Single parent ","47","0.695039384994283","0.580440911901466","0.8096378580871"
"Very low transfer dependency","1984","no degree/no degree yet","Couple + C. LE 16 ","311","0.801016964688292","0.759369399077353","0.84266453029923"
"Very low transfer dependency","1984","no degree/no degree yet","Couple + C. GT 16 ","225","0.974202693598465","0.954019691656406","0.994385695540525"
