"transab_cat2","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","1984","no migration background","general elemantary","28","","","","2"
"High transfer dependency","1984","no migration background","vocational + Abi","3","","","","2"
"High transfer dependency","1984","no migration background","middle vocational","31","0.00693261138367405","0.0045382254535166","0.0093269973138315","2"
"High transfer dependency","1984","direct migration background","vocational + Abi","6","","","","2"
"High transfer dependency","1984","no migration background","inadequately","1","","","","2"
"High transfer dependency","1984","direct migration background","higher vocational","","","","","2"
"High transfer dependency","1984","direct migration background","higher education","3","","","","2"
"High transfer dependency","1984","no migration background","higher vocational","5","","","","2"
"High transfer dependency","1984","no migration background","in school","1","","","","2"
"High transfer dependency","1984","no migration background","higher education","1","","","","2"
"High transfer dependency","1984","direct migration background","middle vocational","19","","","","2"
"High transfer dependency","1984","direct migration background","in school","","","","","2"
"High transfer dependency","1984","direct migration background","inadequately","15","","","","2"
"High transfer dependency","1984","direct migration background","general elemantary","18","","","","2"
"High transfer dependency","1984","indirect migration background","in school","","","","","2"
"High transfer dependency","1984","indirect migration background","inadequately","","","","","2"
"High transfer dependency","1984","indirect migration background","general elemantary","","","","","2"
"High transfer dependency","1984","indirect migration background","middle vocational","","","","","2"
"High transfer dependency","1984","indirect migration background","vocational + Abi","","","","","2"
"High transfer dependency","1984","indirect migration background","higher vocational","","","","","2"
"High transfer dependency","1984","indirect migration background","higher education","","","","","2"
"Low transfer dependency","1984","no migration background","middle vocational","138","0.028007730953055","0.0232464179546268","0.0327690439514833","1"
"Low transfer dependency","1984","no migration background","general elemantary","74","0.0301021296249334","0.0231537250146398","0.037050534235227","1"
"Low transfer dependency","1984","no migration background","higher education","16","","","","1"
"Low transfer dependency","1984","no migration background","vocational + Abi","5","","","","1"
"Low transfer dependency","1984","no migration background","inadequately","11","","","","1"
"Low transfer dependency","1984","no migration background","higher vocational","11","","","","1"
"Low transfer dependency","1984","no migration background","in school","14","","","","1"
"Low transfer dependency","1984","direct migration background","in school","1","","","","1"
"Low transfer dependency","1984","direct migration background","inadequately","74","0.0936090974230415","0.0748276567284807","0.112390538117602","1"
"Low transfer dependency","1984","direct migration background","general elemantary","68","0.0448940696652679","0.0324107280263724","0.0573774113041634","1"
"Low transfer dependency","1984","direct migration background","middle vocational","64","0.0419579062272402","0.0296899106639843","0.0542259017904962","1"
"Low transfer dependency","1984","direct migration background","vocational + Abi","12","","","","1"
"Low transfer dependency","1984","direct migration background","higher vocational","2","","","","1"
"Low transfer dependency","1984","direct migration background","higher education","2","","","","1"
"Low transfer dependency","1984","indirect migration background","in school","","","","","1"
"Low transfer dependency","1984","indirect migration background","inadequately","","","","","1"
"Low transfer dependency","1984","indirect migration background","general elemantary","5","","","","1"
"Low transfer dependency","1984","indirect migration background","middle vocational","4","","","","1"
"Low transfer dependency","1984","indirect migration background","vocational + Abi","","","","","1"
"Low transfer dependency","1984","indirect migration background","higher vocational","","","","","1"
"Low transfer dependency","1984","indirect migration background","higher education","","","","","1"
"Very high transfer dependency","1984","indirect migration background","higher education","","","","","3"
"Very high transfer dependency","1984","direct migration background","vocational + Abi","3","","","","3"
"Very high transfer dependency","1984","no migration background","general elemantary","45","0.0190024141187214","0.0134502557590971","0.0245545724783458","3"
"Very high transfer dependency","1984","direct migration background","middle vocational","22","","","","3"
"Very high transfer dependency","1984","direct migration background","higher vocational","3","","","","3"
"Very high transfer dependency","1984","indirect migration background","higher vocational","","","","","3"
"Very high transfer dependency","1984","no migration background","inadequately","6","","","","3"
"Very high transfer dependency","1984","no migration background","middle vocational","61","0.0136664403665875","0.0103160456581106","0.0170168350750644","3"
"Very high transfer dependency","1984","no migration background","in school","1","","","","3"
"Very high transfer dependency","1984","no migration background","vocational + Abi","4","","","","3"
"Very high transfer dependency","1984","no migration background","higher vocational","11","","","","3"
"Very high transfer dependency","1984","no migration background","higher education","1","","","","3"
"Very high transfer dependency","1984","direct migration background","in school","1","","","","3"
"Very high transfer dependency","1984","direct migration background","inadequately","28","","","","3"
"Very high transfer dependency","1984","direct migration background","general elemantary","18","","","","3"
