"transab_cat2","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","Full Time","lower secondary degree","2523","0.98312378961963","0.978147732147159","0.988099847092101"
"Very low transfer dependency","1984","Full Time","secondary school degree","934","0.985270450835168","0.977605887081247","0.992935014589089"
"Very low transfer dependency","1984","Full Time","college entrance qualification","565","0.992397396120313","0.985260392002518","0.999534400238107"
"Very low transfer dependency","1984","Full Time","Other degree","895","0.947309623971815","0.932996916656746","0.961622331286884"
"Very low transfer dependency","1984","Full Time","no degree/no degree yet","567","0.95654801723754","0.940111396366612","0.972984638108469"
"Very low transfer dependency","1984","Part Time","lower secondary degree","822","0.911626159627309","0.893184599945599","0.930067719309019"
"Very low transfer dependency","1984","Part Time","secondary school degree","326","0.950380102774838","0.927432069676853","0.973328135872822"
"Very low transfer dependency","1984","Part Time","college entrance qualification","258","0.897692141819519","0.86281287877863","0.932571404860409"
"Very low transfer dependency","1984","Part Time","Other degree","151","0.764277448785296","0.703604478672623","0.82495041889797"
"Very low transfer dependency","1984","Part Time","no degree/no degree yet","104","0.751095107776933","0.677334360421677","0.824855855132189"
"Very low transfer dependency","1984","Not Working","lower secondary degree","2376","0.924421125307951","0.914264964085758","0.934577286530144"
"Very low transfer dependency","1984","Not Working","secondary school degree","613","0.940592575341198","0.922544681830379","0.958640468852018"
"Very low transfer dependency","1984","Not Working","college entrance qualification","380","0.888711192140595","0.858882087104662","0.918540297176528"
"Very low transfer dependency","1984","Not Working","Other degree","239","0.767737300183902","0.720881123402079","0.814593476965725"
"Very low transfer dependency","1984","Not Working","no degree/no degree yet","452","0.828012085395326","0.796923054923123","0.85910111586753"
"Low transfer dependency","1984","Full Time","lower secondary degree","45","0.0153129157629324","0.0105691647365681","0.0200566667892966"
"Low transfer dependency","1984","Full Time","secondary school degree","14","","",""
"Low transfer dependency","1984","Full Time","college entrance qualification","3","","",""
"Low transfer dependency","1984","Full Time","Other degree","39","0.0507249310546775","0.0366671447614913","0.0647827173478637"
"Low transfer dependency","1984","Full Time","no degree/no degree yet","23","","",""
"Low transfer dependency","1984","Part Time","lower secondary degree","62","0.0616325838133071","0.0460076192224584","0.0772575484041557"
"Low transfer dependency","1984","Part Time","secondary school degree","12","","",""
"Low transfer dependency","1984","Part Time","college entrance qualification","17","","",""
"Low transfer dependency","1984","Part Time","Other degree","26","","",""
"Low transfer dependency","1984","Part Time","no degree/no degree yet","20","","",""
"Low transfer dependency","1984","Not Working","lower secondary degree","100","0.0307057283089047","0.0240769732827715","0.0373344833350379"
"Low transfer dependency","1984","Not Working","secondary school degree","22","","",""
"Low transfer dependency","1984","Not Working","college entrance qualification","14","","",""
"Low transfer dependency","1984","Not Working","Other degree","36","0.0990051352583634","0.0658645012503005","0.132145769266426"
"Low transfer dependency","1984","Not Working","no degree/no degree yet","66","0.111171150686018","0.0852744166194433","0.137067884752593"
"High transfer dependency","1984","Full Time","lower secondary degree","4","","",""
"High transfer dependency","1984","Full Time","secondary school degree","1","","",""
"High transfer dependency","1984","Full Time","college entrance qualification","1","","",""
"High transfer dependency","1984","Full Time","Other degree","2","","",""
"High transfer dependency","1984","Full Time","no degree/no degree yet","1","","",""
"High transfer dependency","1984","Part Time","lower secondary degree","20","","",""
"High transfer dependency","1984","Part Time","secondary school degree","6","","",""
"High transfer dependency","1984","Part Time","college entrance qualification","8","","",""
"High transfer dependency","1984","Part Time","Other degree","10","","",""
"High transfer dependency","1984","Part Time","no degree/no degree yet","7","","",""
"High transfer dependency","1984","Not Working","lower secondary degree","30","0.0106850420433085","0.00673456219918713","0.0146355218874299"
"High transfer dependency","1984","Not Working","secondary school degree","5","","",""
"High transfer dependency","1984","Not Working","college entrance qualification","8","","",""
"High transfer dependency","1984","Not Working","Other degree","18","","",""
"High transfer dependency","1984","Not Working","no degree/no degree yet","10","","",""
"Very high transfer dependency","1984","Full Time","lower secondary degree","2","","",""
"Very high transfer dependency","1984","Full Time","secondary school degree","","","",""
"Very high transfer dependency","1984","Full Time","college entrance qualification","","","",""
"Very high transfer dependency","1984","Full Time","Other degree","","","",""
"Very high transfer dependency","1984","Full Time","no degree/no degree yet","","","",""
"Very high transfer dependency","1984","Part Time","lower secondary degree","6","","",""
"Very high transfer dependency","1984","Part Time","secondary school degree","","","",""
"Very high transfer dependency","1984","Part Time","college entrance qualification","7","","",""
"Very high transfer dependency","1984","Part Time","Other degree","1","","",""
"Very high transfer dependency","1984","Part Time","no degree/no degree yet","1","","",""
"Very high transfer dependency","1984","Not Working","lower secondary degree","96","0.0341881043398359","0.0272061302892852","0.0411700783903866"
"Very high transfer dependency","1984","Not Working","secondary school degree","19","","",""
"Very high transfer dependency","1984","Not Working","college entrance qualification","25","","",""
"Very high transfer dependency","1984","Not Working","Other degree","19","","",""
"Very high transfer dependency","1984","Not Working","no degree/no degree yet","38","0.0435272682515358","0.0267176876490669","0.0603368488540048"
"Very low transfer dependency","1985","Full Time","lower secondary degree","2202","0.98622210395829","0.981390503550964","0.991053704365617"
"Very low transfer dependency","1985","Full Time","secondary school degree","875","0.986965242868509","0.979505153857778","0.994425331879239"
"Very low transfer dependency","1985","Full Time","college entrance qualification","559","0.996958346872298","0.992405602326383","1.00151109141821"
"Very low transfer dependency","1985","Full Time","Other degree","761","0.973404886112519","0.962156647873938","0.984653124351101"
"Very low transfer dependency","1985","Full Time","no degree/no degree yet","440","0.982774650645037","0.970753312140098","0.994795989149976"
"Very low transfer dependency","1985","Part Time","lower secondary degree","844","0.915737538131816","0.897807334950385","0.933667741313246"
"Very low transfer dependency","1985","Part Time","secondary school degree","341","0.968594571249126","0.950400322960425","0.986788819537826"
"Very low transfer dependency","1985","Part Time","college entrance qualification","251","0.902852388782605","0.867975908854814","0.937728868710397"
"Very low transfer dependency","1985","Part Time","Other degree","146","0.817668658181216","0.759455108989157","0.875882207373275"
"Very low transfer dependency","1985","Part Time","no degree/no degree yet","101","0.888591765242771","0.8305796557654","0.946603874720143"
"Very low transfer dependency","1985","Not Working","lower secondary degree","2122","0.922851385500909","0.91199611948536","0.933706651516458"
"Very low transfer dependency","1985","Not Working","secondary school degree","593","0.947468586555613","0.930157285674849","0.964779887436376"
"Very low transfer dependency","1985","Not Working","college entrance qualification","344","0.898158742983919","0.868142646411307","0.928174839556532"
"Very low transfer dependency","1985","Not Working","Other degree","208","0.792339657704349","0.743316340331781","0.841362975076917"
"Very low transfer dependency","1985","Not Working","no degree/no degree yet","444","0.862254466537191","0.832858508498596","0.891650424575785"
"Low transfer dependency","1985","Full Time","lower secondary degree","28","","",""
"Low transfer dependency","1985","Full Time","secondary school degree","13","","",""
"Low transfer dependency","1985","Full Time","college entrance qualification","2","","",""
