"transab_cat2","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","1985","middle vocational","Urban Area","52","0.0114351642360462","0.00816711804588944","0.014703210426203","2"
"High transfer dependency","1985","middle vocational","Rural Area","5","","","","2"
"High transfer dependency","1985","vocational + Abi","Urban Area","6","","","","2"
"High transfer dependency","1985","general elemantary","Urban Area","37","0.0161149073969652","0.0110239406869406","0.0212058741069897","2"
"High transfer dependency","1985","general elemantary","Rural Area","6","","","","2"
"High transfer dependency","1985","higher education","Rural Area","","","","","2"
"High transfer dependency","1985","in school","Urban Area","2","","","","2"
"High transfer dependency","1985","in school","Rural Area","","","","","2"
"High transfer dependency","1985","inadequately","Urban Area","9","","","","2"
"High transfer dependency","1985","inadequately","Rural Area","2","","","","2"
"High transfer dependency","1985","vocational + Abi","Rural Area","","","","","2"
"High transfer dependency","1985","higher vocational","Urban Area","9","","","","2"
"High transfer dependency","1985","higher vocational","Rural Area","1","","","","2"
"High transfer dependency","1985","higher education","Urban Area","4","","","","2"
"Low transfer dependency","1985","higher education","Urban Area","8","","","","1"
"Low transfer dependency","1985","higher vocational","Urban Area","13","","","","1"
"Low transfer dependency","1985","inadequately","Urban Area","42","0.0628074877318606","0.0451956594235517","0.0804193160401694","1"
"Low transfer dependency","1985","higher vocational","Rural Area","2","","","","1"
"Low transfer dependency","1985","higher education","Rural Area","2","","","","1"
"Low transfer dependency","1985","in school","Rural Area","2","","","","1"
"Low transfer dependency","1985","inadequately","Rural Area","10","","","","1"
"Low transfer dependency","1985","in school","Urban Area","6","","","","1"
"Low transfer dependency","1985","general elemantary","Urban Area","78","0.023629041870851","0.0174879634641398","0.0297701202775622","1"
"Low transfer dependency","1985","vocational + Abi","Urban Area","13","","","","1"
"Low transfer dependency","1985","vocational + Abi","Rural Area","2","","","","1"
"Low transfer dependency","1985","general elemantary","Rural Area","35","0.0431878147454368","0.0283395464433323","0.0580360830475412","1"
"Low transfer dependency","1985","middle vocational","Urban Area","103","0.0192626280462133","0.0150379021615956","0.0234873539308309","1"
"Low transfer dependency","1985","middle vocational","Rural Area","31","0.0254441496344577","0.0161971075843044","0.0346911916846111","1"
"Very high transfer dependency","1985","inadequately","Urban Area","22","","","","3"
"Very high transfer dependency","1985","higher vocational","Rural Area","","","","","3"
"Very high transfer dependency","1985","higher education","Urban Area","2","","","","3"
"Very high transfer dependency","1985","higher education","Rural Area","","","","","3"
"Very high transfer dependency","1985","in school","Rural Area","2","","","","3"
"Very high transfer dependency","1985","inadequately","Rural Area","4","","","","3"
"Very high transfer dependency","1985","general elemantary","Urban Area","47","0.021337081034741","0.0154945876422894","0.0271795744271926","3"
"Very high transfer dependency","1985","higher vocational","Urban Area","5","","","","3"
"Very high transfer dependency","1985","general elemantary","Rural Area","21","","","","3"
"Very high transfer dependency","1985","in school","Urban Area","2","","","","3"
"Very high transfer dependency","1985","middle vocational","Urban Area","62","0.0159180390878876","0.0120710157344088","0.0197650624413665","3"
"Very high transfer dependency","1985","middle vocational","Rural Area","14","","","","3"
"Very high transfer dependency","1985","vocational + Abi","Urban Area","2","","","","3"
"Very high transfer dependency","1985","vocational + Abi","Rural Area","4","","","","3"
"Very low transfer dependency","1985","in school","Urban Area","141","0.945121369376677","0.908796417992074","0.98144632076128","0"
"Very low transfer dependency","1985","in school","Rural Area","32","0.8735431843751","0.764973106050793","0.982113262699408","0"
"Very low transfer dependency","1985","inadequately","Urban Area","656","0.884586394839113","0.861392004681424","0.907780784996802","0"
"Very low transfer dependency","1985","inadequately","Rural Area","90","0.713174472452401","0.627074709914804","0.799274234989998","0"
"Very low transfer dependency","1985","general elemantary","Urban Area","2188","0.938918969697443","0.929236605961933","0.948601333432952","0"
"Very low transfer dependency","1985","general elemantary","Rural Area","658","0.921228469381789","0.901551864699961","0.940905074063617","0"
"Very low transfer dependency","1985","middle vocational","Urban Area","3849","0.953384168629853","0.946904316596913","0.959864020662793","0"
"Very low transfer dependency","1985","middle vocational","Rural Area","1064","0.957897116741107","0.946104210449782","0.969690023032433","0"
"Very low transfer dependency","1985","vocational + Abi","Urban Area","214","0.925828417420895","0.892324299687972","0.959332535153818","0"
"Very low transfer dependency","1985","vocational + Abi","Rural Area","38","0.900703686698645","0.812338889500814","0.989068483896475","0"
"Very low transfer dependency","1985","higher vocational","Urban Area","465","0.944215260898858","0.923935690509138","0.964494831288577","0"
"Very low transfer dependency","1985","higher vocational","Rural Area","126","0.971749270723891","0.943157228320784","1.000341313127","0"
"Very low transfer dependency","1985","higher education","Urban Area","627","0.979666398727635","0.968740294625257","0.990592502830013","0"
"Very low transfer dependency","1985","higher education","Rural Area","115","0.992394474939265","0.976652401654467","1.00813654822406","0"
"High transfer dependency","1986","middle vocational","Urban Area","38","0.00909661429816567","0.00612907223888533","0.012064156357446","2"
"High transfer dependency","1986","middle vocational","Rural Area","9","","","","2"
"High transfer dependency","1986","vocational + Abi","Urban Area","4","","","","2"
"High transfer dependency","1986","general elemantary","Urban Area","29","","","","2"
"High transfer dependency","1986","general elemantary","Rural Area","13","","","","2"
"High transfer dependency","1986","in school","Urban Area","2","","","","2"
"High transfer dependency","1986","in school","Rural Area","","","","","2"
"High transfer dependency","1986","inadequately","Urban Area","14","","","","2"
"High transfer dependency","1986","inadequately","Rural Area","2","","","","2"
"High transfer dependency","1986","vocational + Abi","Rural Area","3","","","","2"
"High transfer dependency","1986","higher vocational","Urban Area","4","","","","2"
"High transfer dependency","1986","higher vocational","Rural Area","","","","","2"
"High transfer dependency","1986","higher education","Urban Area","2","","","","2"
"High transfer dependency","1986","higher education","Rural Area","1","","","","2"
"Low transfer dependency","1986","higher vocational","Rural Area","2","","","","1"
"Low transfer dependency","1986","inadequately","Urban Area","41","0.0528571503209834","0.0360399673303307","0.069674333311636","1"
"Low transfer dependency","1986","in school","Rural Area","1","","","","1"
"Low transfer dependency","1986","higher education","Urban Area","9","","","","1"
"Low transfer dependency","1986","inadequately","Rural Area","15","","","","1"
"Low transfer dependency","1986","general elemantary","Urban Area","65","0.0253191230234354","0.0187902796241735","0.0318479664226973","1"
"Low transfer dependency","1986","general elemantary","Rural Area","23","","","","1"
"Low transfer dependency","1986","higher vocational","Urban Area","10","","","","1"
"Low transfer dependency","1986","higher education","Rural Area","1","","","","1"
"Low transfer dependency","1986","in school","Urban Area","2","","","","1"
"Low transfer dependency","1986","vocational + Abi","Urban Area","11","","","","1"
"Low transfer dependency","1986","vocational + Abi","Rural Area","4","","","","1"
"Low transfer dependency","1986","middle vocational","Urban Area","97","0.0226244148253368","0.0179764722146407","0.0272723574360329","1"
"Low transfer dependency","1986","middle vocational","Rural Area","38","0.0342846561156296","0.0233616053155611","0.0452077069156982","1"
"Very high transfer dependency","1986","inadequately","Urban Area","21","","","","3"
"Very high transfer dependency","1986","higher vocational","Rural Area","1","","","","3"
"Very high transfer dependency","1986","higher education","Urban Area","8","","","","3"
"Very high transfer dependency","1986","general elemantary","Urban Area","42","0.0203401064494502","0.0144733916709405","0.0262068212279599","3"
"Very high transfer dependency","1986","general elemantary","Rural Area","15","","","","3"
"Very high transfer dependency","1986","higher education","Rural Area","","","","","3"
"Very high transfer dependency","1986","inadequately","Rural Area","3","","","","3"
"Very high transfer dependency","1986","in school","Rural Area","","","","","3"
"Very high transfer dependency","1986","higher vocational","Urban Area","7","","","","3"
"Very high transfer dependency","1986","in school","Urban Area","3","","","","3"
"Very high transfer dependency","1986","middle vocational","Urban Area","54","0.0150028084317355","0.0112031451285978","0.0188024717348732","3"
"Very high transfer dependency","1986","middle vocational","Rural Area","7","","","","3"
"Very high transfer dependency","1986","vocational + Abi","Urban Area","3","","","","3"
"Very high transfer dependency","1986","vocational + Abi","Rural Area","3","","","","3"
"Very low transfer dependency","1986","in school","Urban Area","157","0.955103313546257","0.923410668422594","0.98679595866992","0"
"Very low transfer dependency","1986","in school","Rural Area","22","","","","0"
"Very low transfer dependency","1986","inadequately","Urban Area","604","0.881674807981116","0.857398286408721","0.905951329553511","0"
"Very low transfer dependency","1986","inadequately","Rural Area","84","0.751440994174515","0.668380671312079","0.834501317036951","0"
"Very low transfer dependency","1986","general elemantary","Urban Area","2088","0.942990868894811","0.933354650057884","0.952627087731737","0"
"Very low transfer dependency","1986","general elemantary","Rural Area","626","0.927281934058252","0.907721395149178","0.946842472967327","0"
"Very low transfer dependency","1986","middle vocational","Urban Area","3743","0.953276162444762","0.946679565402241","0.959872759487283","0"
"Very low transfer dependency","1986","middle vocational","Rural Area","1012","0.948808030926271","0.935578038911114","0.962038022941427","0"
"Very low transfer dependency","1986","vocational + Abi","Urban Area","213","0.93072554704009","0.897980963521447","0.963470130558733","0"
"Very low transfer dependency","1986","vocational + Abi","Rural Area","36","0.830875205923148","0.722547208363834","0.939203203482462","0"
"Very low transfer dependency","1986","higher vocational","Urban Area","439","0.944482668820701","0.923556946308343","0.965408391333058","0"
"Very low transfer dependency","1986","higher vocational","Rural Area","118","0.963800548719282","0.930519271534243","0.99708182590432","0"
"Very low transfer dependency","1986","higher education","Urban Area","608","0.962972856584369","0.948192617895703","0.977753095273035","0"
"Very low transfer dependency","1986","higher education","Rural Area","118","0.988552483195753","0.96951923203512","1.00758573435639","0"
"High transfer dependency","1987","in school","Urban Area","2","","","","2"
"High transfer dependency","1987","in school","Rural Area","1","","","","2"
"High transfer dependency","1987","inadequately","Urban Area","18","","","","2"
"High transfer dependency","1987","inadequately","Rural Area","4","","","","2"
"High transfer dependency","1987","general elemantary","Urban Area","21","","","","2"
"High transfer dependency","1987","vocational + Abi","Urban Area","5","","","","2"
"High transfer dependency","1987","vocational + Abi","Rural Area","1","","","","2"
"High transfer dependency","1987","higher vocational","Urban Area","4","","","","2"
"High transfer dependency","1987","higher vocational","Rural Area","","","","","2"
"High transfer dependency","1987","higher education","Urban Area","2","","","","2"
"High transfer dependency","1987","higher education","Rural Area","","","","","2"
"High transfer dependency","1987","general elemantary","Rural Area","8","","","","2"
"High transfer dependency","1987","middle vocational","Urban Area","34","0.00722146627460067","0.00456271629458744","0.00988021625461389","2"
"High transfer dependency","1987","middle vocational","Rural Area","10","","","","2"
"Low transfer dependency","1987","inadequately","Rural Area","5","","","","1"
"Low transfer dependency","1987","inadequately","Urban Area","28","","","","1"
"Low transfer dependency","1987","higher vocational","Rural Area","1","","","","1"
"Low transfer dependency","1987","higher education","Urban Area","14","","","","1"
"Low transfer dependency","1987","in school","Rural Area","4","","","","1"
"Low transfer dependency","1987","general elemantary","Urban Area","89","0.0358973360275158","0.028111208246141","0.0436834638088906","1"
"Low transfer dependency","1987","higher vocational","Urban Area","12","","","","1"
"Low transfer dependency","1987","general elemantary","Rural Area","29","","","","1"
"Low transfer dependency","1987","higher education","Rural Area","2","","","","1"
"Low transfer dependency","1987","in school","Urban Area","4","","","","1"
"Low transfer dependency","1987","middle vocational","Rural Area","33","0.031345595419362","0.0209388979356101","0.041752292903114","1"
"Low transfer dependency","1987","vocational + Abi","Urban Area","7","","","","1"
"Low transfer dependency","1987","vocational + Abi","Rural Area","2","","","","1"
"Low transfer dependency","1987","middle vocational","Urban Area","101","0.0235503111219978","0.018788612800881","0.0283120094431146","1"
"Very high transfer dependency","1987","higher education","Rural Area","1","","","","3"
"Very high transfer dependency","1987","inadequately","Urban Area","17","","","","3"
