"transab_cat2","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","in school","West Germany","168","0.905266885277426","0.863181544870041","0.94735222568481"
"Very low transfer dependency","1984","in school","East Germany","","","",""
"Very low transfer dependency","1984","inadequately","West Germany","870","0.819758340523636","0.795993463527194","0.843523217520077"
"Very low transfer dependency","1984","inadequately","East Germany","","","",""
"Very low transfer dependency","1984","general elemantary","West Germany","3173","0.937168889212556","0.929050483487638","0.945287294937474"
"Very low transfer dependency","1984","general elemantary","East Germany","","","",""
"Very low transfer dependency","1984","middle vocational","West Germany","5354","0.948880696864055","0.943159646546688","0.954601747181421"
"Very low transfer dependency","1984","middle vocational","East Germany","","","",""
"Very low transfer dependency","1984","vocational + Abi","West Germany","274","0.907594648857588","0.875199988760074","0.939989308955102"
"Very low transfer dependency","1984","vocational + Abi","East Germany","","","",""
"Very low transfer dependency","1984","higher vocational","West Germany","627","0.951543594117709","0.935149201636112","0.967937986599305"
"Very low transfer dependency","1984","higher vocational","East Germany","","","",""
"Very low transfer dependency","1984","higher education","West Germany","762","0.963026075173878","0.949884352433375","0.97616779791438"
"Very low transfer dependency","1984","higher education","East Germany","","","",""
"Low transfer dependency","1984","in school","West Germany","15","","",""
"Low transfer dependency","1984","in school","East Germany","","","",""
"Low transfer dependency","1984","inadequately","West Germany","85","0.108479656608998","0.0892529526271506","0.127706360590846"
"Low transfer dependency","1984","inadequately","East Germany","","","",""
"Low transfer dependency","1984","general elemantary","West Germany","147","0.0316041834002852","0.0257512552819633","0.0374571115186072"
"Low transfer dependency","1984","general elemantary","East Germany","","","",""
"Low transfer dependency","1984","middle vocational","West Germany","206","0.0292014927039417","0.0248278371725487","0.0335751482353347"
"Low transfer dependency","1984","middle vocational","East Germany","","","",""
"Low transfer dependency","1984","vocational + Abi","West Germany","17","","",""
"Low transfer dependency","1984","vocational + Abi","East Germany","","","",""
"Low transfer dependency","1984","higher vocational","West Germany","13","","",""
"Low transfer dependency","1984","higher vocational","East Germany","","","",""
"Low transfer dependency","1984","higher education","West Germany","18","","",""
"Low transfer dependency","1984","higher education","East Germany","","","",""
"High transfer dependency","1984","in school","West Germany","1","","",""
"High transfer dependency","1984","in school","East Germany","","","",""
"High transfer dependency","1984","inadequately","West Germany","16","","",""
"High transfer dependency","1984","inadequately","East Germany","","","",""
"High transfer dependency","1984","general elemantary","West Germany","46","0.0115536060843341","0.00797832830046698","0.0151288838682011"
"High transfer dependency","1984","general elemantary","East Germany","","","",""
"High transfer dependency","1984","middle vocational","West Germany","50","0.00757366264256907","0.00532160440096948","0.00982572088416865"
"High transfer dependency","1984","middle vocational","East Germany","","","",""
"High transfer dependency","1984","vocational + Abi","West Germany","9","","",""
"High transfer dependency","1984","vocational + Abi","East Germany","","","",""
"High transfer dependency","1984","higher vocational","West Germany","5","","",""
"High transfer dependency","1984","higher vocational","East Germany","","","",""
"High transfer dependency","1984","higher education","West Germany","4","","",""
"High transfer dependency","1984","higher education","East Germany","","","",""
"Very high transfer dependency","1984","in school","West Germany","2","","",""
"Very high transfer dependency","1984","in school","East Germany","","","",""
"Very high transfer dependency","1984","inadequately","West Germany","34","0.0476179762891349","0.0344519074315696","0.0607840451467001"
"Very high transfer dependency","1984","inadequately","East Germany","","","",""
"Very high transfer dependency","1984","general elemantary","West Germany","66","0.0196733213028246","0.0150271126987041","0.024319529906945"
"Very high transfer dependency","1984","general elemantary","East Germany","","","",""
"Very high transfer dependency","1984","middle vocational","West Germany","83","0.0143441477894347","0.0112554349948024","0.0174328605840669"
"Very high transfer dependency","1984","middle vocational","East Germany","","","",""
"Very high transfer dependency","1984","vocational + Abi","West Germany","7","","",""
"Very high transfer dependency","1984","vocational + Abi","East Germany","","","",""
"Very high transfer dependency","1984","higher vocational","West Germany","14","","",""
"Very high transfer dependency","1984","higher vocational","East Germany","","","",""
"Very high transfer dependency","1984","higher education","West Germany","8","","",""
"Very high transfer dependency","1984","higher education","East Germany","","","",""
"Very low transfer dependency","1985","in school","West Germany","173","0.929543847590316","0.892864492637389","0.966223202543242"
"Very low transfer dependency","1985","in school","East Germany","","","",""
"Very low transfer dependency","1985","inadequately","West Germany","746","0.846840703685668","0.822413295104685","0.871268112266651"
"Very low transfer dependency","1985","inadequately","East Germany","","","",""
"Very low transfer dependency","1985","general elemantary","West Germany","2846","0.934064053381016","0.925285390822914","0.942842715939117"
"Very low transfer dependency","1985","general elemantary","East Germany","","","",""
"Very low transfer dependency","1985","middle vocational","West Germany","4913","0.954431107079132","0.948751873346081","0.960110340812183"
"Very low transfer dependency","1985","middle vocational","East Germany","","","",""
"Very low transfer dependency","1985","vocational + Abi","West Germany","252","0.921550674487767","0.89000061321366","0.953100735761873"
"Very low transfer dependency","1985","vocational + Abi","East Germany","","","",""
"Very low transfer dependency","1985","higher vocational","West Germany","591","0.950220116432865","0.933114397202633","0.967325835663096"
"Very low transfer dependency","1985","higher vocational","East Germany","","","",""
"Very low transfer dependency","1985","higher education","West Germany","742","0.981830474395294","0.972322159937486","0.991338788853101"
"Very low transfer dependency","1985","higher education","East Germany","","","",""
"Low transfer dependency","1985","in school","West Germany","8","","",""
"Low transfer dependency","1985","in school","East Germany","","","",""
"Low transfer dependency","1985","inadequately","West Germany","52","0.0865244630727134","0.0674556891236339","0.105593237021793"
"Low transfer dependency","1985","inadequately","East Germany","","","",""
"Low transfer dependency","1985","general elemantary","West Germany","113","0.0289966800870577","0.0230610968556239","0.0349322633184915"
"Low transfer dependency","1985","general elemantary","East Germany","","","",""
"Low transfer dependency","1985","middle vocational","West Germany","134","0.0206966513201884","0.0168196863905118","0.0245736162498649"
"Low transfer dependency","1985","middle vocational","East Germany","","","",""
"Low transfer dependency","1985","vocational + Abi","West Germany","15","","",""
"Low transfer dependency","1985","vocational + Abi","East Germany","","","",""
"Low transfer dependency","1985","higher vocational","West Germany","15","","",""
"Low transfer dependency","1985","higher vocational","East Germany","","","",""
"Low transfer dependency","1985","higher education","West Germany","10","","",""
"Low transfer dependency","1985","higher education","East Germany","","","",""
"High transfer dependency","1985","in school","West Germany","2","","",""
"High transfer dependency","1985","in school","East Germany","","","",""
"High transfer dependency","1985","inadequately","West Germany","11","","",""
"High transfer dependency","1985","inadequately","East Germany","","","",""
"High transfer dependency","1985","general elemantary","West Germany","43","0.0134434593749322","0.00936969962462457","0.0175172191252398"
"High transfer dependency","1985","general elemantary","East Germany","","","",""
"High transfer dependency","1985","middle vocational","West Germany","57","0.00958767512092666","0.0069339991984955","0.0122413510433578"
"High transfer dependency","1985","middle vocational","East Germany","","","",""
"High transfer dependency","1985","vocational + Abi","West Germany","6","","",""
"High transfer dependency","1985","vocational + Abi","East Germany","","","",""
"High transfer dependency","1985","higher vocational","West Germany","10","","",""
"High transfer dependency","1985","higher vocational","East Germany","","","",""
"High transfer dependency","1985","higher education","West Germany","4","","",""
"High transfer dependency","1985","higher education","East Germany","","","",""
"Very high transfer dependency","1985","in school","West Germany","4","","",""
"Very high transfer dependency","1985","in school","East Germany","","","",""
"Very high transfer dependency","1985","inadequately","West Germany","26","","",""
"Very high transfer dependency","1985","inadequately","East Germany","","","",""
"Very high transfer dependency","1985","general elemantary","West Germany","68","0.0234958071569945","0.0181377030948218","0.0288539112191673"
"Very high transfer dependency","1985","general elemantary","East Germany","","","",""
"Very high transfer dependency","1985","middle vocational","West Germany","76","0.0152845664797531","0.011943653635942","0.0186254793235642"
"Very high transfer dependency","1985","middle vocational","East Germany","","","",""
"Very high transfer dependency","1985","vocational + Abi","West Germany","6","","",""
"Very high transfer dependency","1985","vocational + Abi","East Germany","","","",""
"Very high transfer dependency","1985","higher vocational","West Germany","5","","",""
"Very high transfer dependency","1985","higher vocational","East Germany","","","",""
"Very high transfer dependency","1985","higher education","West Germany","2","","",""
"Very high transfer dependency","1985","higher education","East Germany","","","",""
"Very low transfer dependency","1986","in school","West Germany","179","0.952399605748081","0.921882582669366","0.982916628826796"
"Very low transfer dependency","1986","in school","East Germany","","","",""
"Very low transfer dependency","1986","inadequately","West Germany","688","0.852684733833744","0.827875795427943","0.877493672239546"
"Very low transfer dependency","1986","inadequately","East Germany","","","",""
"Very low transfer dependency","1986","general elemantary","West Germany","2714","0.938740578500795","0.930014211621698","0.947466945379892"
"Very low transfer dependency","1986","general elemantary","East Germany","","","",""
"Very low transfer dependency","1986","middle vocational","West Germany","4755","0.952248479862253","0.946336693790753","0.958160265933752"
"Very low transfer dependency","1986","middle vocational","East Germany","","","",""
