"plh0109","year","education","n","percent","lower_confidence","upper_confidence"
"Very important","1990","lower secondary degree","2690","0.624267893686879","0.60932444024405","0.639211347129708"
"Very important","1990","secondary school degree","1095","0.650486867523059","0.626923641696401","0.674050093349717"
"Very important","1990","college entrance qualification","782","0.658987762960571","0.631505744139848","0.686469781781294"
"Very important","1990","Other degree","35","0.568337170178856","0.436229945755141","0.700444394602571"
"Very important","1990","no degree/no degree yet","85","0.489089669080446","0.413046425363443","0.565132912797448"
"Important","1990","lower secondary degree","1022","0.268122262617008","0.254454040501169","0.281790484732848"
"Important","1990","secondary school degree","372","0.254513893266438","0.232988095591238","0.276039690941638"
"Important","1990","college entrance qualification","277","0.249413243427672","0.224329914136422","0.274496572718922"
"Important","1990","Other degree","10","","",""
"Important","1990","no degree/no degree yet","56","0.350445866270776","0.277866663537749","0.423025069003803"
"Less important","1990","lower secondary degree","153","0.047817114834544","0.0412332911609988","0.0544009385080892"
"Less important","1990","secondary school degree","56","0.0434720069848686","0.0333948640823","0.0535491498874373"
"Less important","1990","college entrance qualification","62","0.0664603833573169","0.0520201978237085","0.0809005688909253"
"Less important","1990","Other degree","1","","",""
"Less important","1990","no degree/no degree yet","15","","",""
"Quite unimportant","1990","lower secondary degree","170","0.0597927288615685","0.0524769206527315","0.0671085370704056"
"Quite unimportant","1990","secondary school degree","50","0.0515272322256342","0.0406024051791412","0.0624520592721272"
"Quite unimportant","1990","college entrance qualification","22","","",""
"Quite unimportant","1990","Other degree","8","","",""
"Quite unimportant","1990","no degree/no degree yet","10","","",""
"Very important","1991","lower secondary degree","","","",""
"Very important","1991","secondary school degree","","","",""
"Very important","1991","college entrance qualification","","","",""
"Very important","1991","Other degree","","","",""
"Very important","1991","no degree/no degree yet","","","",""
"Important","1991","lower secondary degree","","","",""
"Important","1991","secondary school degree","","","",""
"Important","1991","college entrance qualification","","","",""
"Important","1991","Other degree","","","",""
"Important","1991","no degree/no degree yet","","","",""
"Less important","1991","lower secondary degree","","","",""
"Less important","1991","secondary school degree","","","",""
"Less important","1991","college entrance qualification","","","",""
"Less important","1991","Other degree","","","",""
"Less important","1991","no degree/no degree yet","","","",""
"Quite unimportant","1991","lower secondary degree","","","",""
"Quite unimportant","1991","secondary school degree","","","",""
"Quite unimportant","1991","college entrance qualification","","","",""
"Quite unimportant","1991","Other degree","","","",""
"Quite unimportant","1991","no degree/no degree yet","","","",""
"Very important","1992","lower secondary degree","3664","0.639744957446821","0.626860362532209","0.652629552361432"
"Very important","1992","secondary school degree","2604","0.704195858494144","0.688990518000584","0.719401198987704"
"Very important","1992","college entrance qualification","1224","0.691928990190939","0.669738947082982","0.714119033298895"
"Very important","1992","Other degree","59","0.574527876123092","0.475107043311675","0.673948708934509"
"Very important","1992","no degree/no degree yet","116","0.514499833685902","0.448457249043177","0.580542418328628"
"Important","1992","lower secondary degree","1227","0.247625481194776","0.236040988908641","0.259209973480912"
"Important","1992","secondary school degree","668","0.220716824607132","0.206899859492178","0.234533789722087"
"Important","1992","college entrance qualification","339","0.222103094469076","0.202125633397634","0.242080555540517"
"Important","1992","Other degree","20","","",""
"Important","1992","no degree/no degree yet","74","0.353523908876194","0.290352235708495","0.416695582043893"
"Less important","1992","lower secondary degree","165","0.0384343926262668","0.0332748432726158","0.0435939419799179"
"Less important","1992","secondary school degree","115","0.0368383528657061","0.0305628723784177","0.0431138333529945"
"Less important","1992","college entrance qualification","71","0.0576709466262347","0.0464667222590834","0.068875170993386"
"Less important","1992","Other degree","6","","",""
"Less important","1992","no degree/no degree yet","15","","",""
"Quite unimportant","1992","lower secondary degree","277","0.0741951687321363","0.067161047743964","0.0812292897203085"
"Quite unimportant","1992","secondary school degree","74","0.0382489640330172","0.0318591464333927","0.0446387816326417"
"Quite unimportant","1992","college entrance qualification","29","","",""
"Quite unimportant","1992","Other degree","10","","",""
"Quite unimportant","1992","no degree/no degree yet","15","","",""
"Very important","1993","lower secondary degree","","","",""
"Very important","1993","secondary school degree","","","",""
"Very important","1993","college entrance qualification","","","",""
"Very important","1993","Other degree","","","",""
"Very important","1993","no degree/no degree yet","","","",""
"Important","1993","lower secondary degree","","","",""
"Important","1993","secondary school degree","","","",""
"Important","1993","college entrance qualification","","","",""
"Important","1993","Other degree","","","",""
"Important","1993","no degree/no degree yet","","","",""
"Less important","1993","lower secondary degree","","","",""
"Less important","1993","secondary school degree","","","",""
"Less important","1993","college entrance qualification","","","",""
"Less important","1993","Other degree","","","",""
"Less important","1993","no degree/no degree yet","","","",""
"Quite unimportant","1993","lower secondary degree","","","",""
"Quite unimportant","1993","secondary school degree","","","",""
"Quite unimportant","1993","college entrance qualification","","","",""
"Quite unimportant","1993","Other degree","","","",""
"Quite unimportant","1993","no degree/no degree yet","","","",""
"Very important","1994","lower secondary degree","","","",""
"Very important","1994","secondary school degree","","","",""
"Very important","1994","college entrance qualification","","","",""
"Very important","1994","Other degree","","","",""
"Very important","1994","no degree/no degree yet","","","",""
"Important","1994","lower secondary degree","","","",""
"Important","1994","secondary school degree","","","",""
"Important","1994","college entrance qualification","","","",""
"Important","1994","Other degree","","","",""
"Important","1994","no degree/no degree yet","","","",""
"Less important","1994","lower secondary degree","","","",""
"Less important","1994","secondary school degree","","","",""
"Less important","1994","college entrance qualification","","","",""
"Less important","1994","Other degree","","","",""
"Less important","1994","no degree/no degree yet","","","",""
"Quite unimportant","1994","lower secondary degree","","","",""
"Quite unimportant","1994","secondary school degree","","","",""
"Quite unimportant","1994","college entrance qualification","","","",""
"Quite unimportant","1994","Other degree","","","",""
"Quite unimportant","1994","no degree/no degree yet","","","",""
"Very important","1995","lower secondary degree","3355","0.641498832939854","0.628129922681722","0.654867743197987"
"Very important","1995","secondary school degree","2637","0.724065834173402","0.709131099165554","0.73900056918125"
"Very important","1995","college entrance qualification","1317","0.694010628116614","0.672810132780846","0.715211123452382"
"Very important","1995","Other degree","314","0.676130858479815","0.632054642079819","0.720207074879812"
"Very important","1995","no degree/no degree yet","180","0.525103344796236","0.471387674822421","0.578819014770051"
"Important","1995","lower secondary degree","1178","0.247180156475812","0.235154601827096","0.259205711124529"
"Important","1995","secondary school degree","629","0.200020922090351","0.186655496829733","0.213386347350969"
"Important","1995","college entrance qualification","399","0.231278359494482","0.211880141793363","0.250676577195601"
"Important","1995","Other degree","83","0.208660999819766","0.170386804412067","0.246935195227465"
"Important","1995","no degree/no degree yet","114","0.352295303066956","0.300912120636802","0.40367848549711"
"Less important","1995","lower secondary degree","168","0.0410054004324991","0.0354772303640384","0.0465335705009598"
"Less important","1995","secondary school degree","119","0.0494900011434932","0.0422432586134369","0.0567367436735496"
"Less important","1995","college entrance qualification","69","0.0507152250705134","0.0406209017118166","0.0608095484292103"
"Less important","1995","Other degree","23","","",""
"Less important","1995","no degree/no degree yet","26","","",""
"Quite unimportant","1995","lower secondary degree","242","0.070315610151834","0.0631879590962435","0.0774432612074245"
"Quite unimportant","1995","secondary school degree","56","0.0264232425927534","0.0210642407131514","0.0317822444723554"
"Quite unimportant","1995","college entrance qualification","30","0.0239957873183903","0.0169552934526169","0.0310362811841637"
"Quite unimportant","1995","Other degree","13","","",""
"Quite unimportant","1995","no degree/no degree yet","12","","",""
"Very important","1996","lower secondary degree","","","",""
"Very important","1996","secondary school degree","","","",""
"Very important","1996","college entrance qualification","","","",""
"Very important","1996","Other degree","","","",""
"Very important","1996","no degree/no degree yet","","","",""
"Important","1996","lower secondary degree","","","",""
"Important","1996","secondary school degree","","","",""
"Important","1996","college entrance qualification","","","",""
"Important","1996","Other degree","","","",""
"Important","1996","no degree/no degree yet","","","",""
"Less important","1996","lower secondary degree","","","",""
"Less important","1996","secondary school degree","","","",""
"Less important","1996","college entrance qualification","","","",""
"Less important","1996","Other degree","","","",""
"Less important","1996","no degree/no degree yet","","","",""
"Quite unimportant","1996","lower secondary degree","","","",""
"Quite unimportant","1996","secondary school degree","","","",""
"Quite unimportant","1996","college entrance qualification","","","",""
"Quite unimportant","1996","Other degree","","","",""
"Quite unimportant","1996","no degree/no degree yet","","","",""
"Very important","1997","lower secondary degree","","","",""
"Very important","1997","secondary school degree","","","",""
"Very important","1997","college entrance qualification","","","",""
"Very important","1997","Other degree","","","",""
"Very important","1997","no degree/no degree yet","","","",""
"Important","1997","lower secondary degree","","","",""
"Important","1997","secondary school degree","","","",""
"Important","1997","college entrance qualification","","","",""
"Important","1997","Other degree","","","",""
"Important","1997","no degree/no degree yet","","","",""
"Less important","1997","lower secondary degree","","","",""
"Less important","1997","secondary school degree","","","",""
"Less important","1997","college entrance qualification","","","",""
"Less important","1997","Other degree","","","",""
"Less important","1997","no degree/no degree yet","","","",""
"Quite unimportant","1997","lower secondary degree","","","",""
"Quite unimportant","1997","secondary school degree","","","",""
"Quite unimportant","1997","college entrance qualification","","","",""
"Quite unimportant","1997","Other degree","","","",""
"Quite unimportant","1997","no degree/no degree yet","","","",""
"Very important","1998","lower secondary degree","","","",""
"Very important","1998","secondary school degree","","","",""
"Very important","1998","college entrance qualification","","","",""
"Very important","1998","Other degree","","","",""
"Very important","1998","no degree/no degree yet","","","",""
"Important","1998","lower secondary degree","","","",""
"Important","1998","secondary school degree","","","",""
"Important","1998","college entrance qualification","","","",""
"Important","1998","Other degree","","","",""
"Important","1998","no degree/no degree yet","","","",""
"Less important","1998","lower secondary degree","","","",""
"Less important","1998","secondary school degree","","","",""
"Less important","1998","college entrance qualification","","","",""
"Less important","1998","Other degree","","","",""
"Less important","1998","no degree/no degree yet","","","",""
"Quite unimportant","1998","lower secondary degree","","","",""
"Quite unimportant","1998","secondary school degree","","","",""
"Quite unimportant","1998","college entrance qualification","","","",""
"Quite unimportant","1998","Other degree","","","",""
"Quite unimportant","1998","no degree/no degree yet","","","",""
"Very important","1999","lower secondary degree","","","",""
"Very important","1999","secondary school degree","","","",""
"Very important","1999","college entrance qualification","","","",""
"Very important","1999","Other degree","","","",""
"Very important","1999","no degree/no degree yet","","","",""
"Important","1999","lower secondary degree","","","",""
"Important","1999","secondary school degree","","","",""
"Important","1999","college entrance qualification","","","",""
"Important","1999","Other degree","","","",""
"Important","1999","no degree/no degree yet","","","",""
"Less important","1999","lower secondary degree","","","",""
"Less important","1999","secondary school degree","","","",""
"Less important","1999","college entrance qualification","","","",""
"Less important","1999","Other degree","","","",""
"Less important","1999","no degree/no degree yet","","","",""
"Quite unimportant","1999","lower secondary degree","","","",""
"Quite unimportant","1999","secondary school degree","","","",""
"Quite unimportant","1999","college entrance qualification","","","",""
"Quite unimportant","1999","Other degree","","","",""
"Quite unimportant","1999","no degree/no degree yet","","","",""
"Very important","2000","lower secondary degree","","","",""
"Very important","2000","secondary school degree","","","",""
"Very important","2000","college entrance qualification","","","",""
"Very important","2000","Other degree","","","",""
"Very important","2000","no degree/no degree yet","","","",""
"Important","2000","lower secondary degree","","","",""
"Important","2000","secondary school degree","","","",""
"Important","2000","college entrance qualification","","","",""
"Important","2000","Other degree","","","",""
"Important","2000","no degree/no degree yet","","","",""
"Less important","2000","lower secondary degree","","","",""
"Less important","2000","secondary school degree","","","",""
"Less important","2000","college entrance qualification","","","",""
"Less important","2000","Other degree","","","",""
"Less important","2000","no degree/no degree yet","","","",""
"Quite unimportant","2000","lower secondary degree","","","",""
"Quite unimportant","2000","secondary school degree","","","",""
"Quite unimportant","2000","college entrance qualification","","","",""
"Quite unimportant","2000","Other degree","","","",""
"Quite unimportant","2000","no degree/no degree yet","","","",""
"Very important","2001","lower secondary degree","","","",""
"Very important","2001","secondary school degree","","","",""
"Very important","2001","college entrance qualification","","","",""
"Very important","2001","Other degree","","","",""
"Very important","2001","no degree/no degree yet","","","",""
"Important","2001","lower secondary degree","","","",""
"Important","2001","secondary school degree","","","",""
"Important","2001","college entrance qualification","","","",""
"Important","2001","Other degree","","","",""
"Important","2001","no degree/no degree yet","","","",""
"Less important","2001","lower secondary degree","","","",""
"Less important","2001","secondary school degree","","","",""
"Less important","2001","college entrance qualification","","","",""
"Less important","2001","Other degree","","","",""
"Less important","2001","no degree/no degree yet","","","",""
"Quite unimportant","2001","lower secondary degree","","","",""
"Quite unimportant","2001","secondary school degree","","","",""
"Quite unimportant","2001","college entrance qualification","","","",""
"Quite unimportant","2001","Other degree","","","",""
"Quite unimportant","2001","no degree/no degree yet","","","",""
"Very important","2002","lower secondary degree","","","",""
"Very important","2002","secondary school degree","","","",""
"Very important","2002","college entrance qualification","","","",""
"Very important","2002","Other degree","","","",""
"Very important","2002","no degree/no degree yet","","","",""
"Important","2002","lower secondary degree","","","",""
"Important","2002","secondary school degree","","","",""
"Important","2002","college entrance qualification","","","",""
"Important","2002","Other degree","","","",""
"Important","2002","no degree/no degree yet","","","",""
"Less important","2002","lower secondary degree","","","",""
"Less important","2002","secondary school degree","","","",""
"Less important","2002","college entrance qualification","","","",""
"Less important","2002","Other degree","","","",""
"Less important","2002","no degree/no degree yet","","","",""
"Quite unimportant","2002","lower secondary degree","","","",""
"Quite unimportant","2002","secondary school degree","","","",""
"Quite unimportant","2002","college entrance qualification","","","",""
"Quite unimportant","2002","Other degree","","","",""
"Quite unimportant","2002","no degree/no degree yet","","","",""
"Very important","2003","lower secondary degree","","","",""
"Very important","2003","secondary school degree","","","",""
"Very important","2003","college entrance qualification","","","",""
"Very important","2003","Other degree","","","",""
"Very important","2003","no degree/no degree yet","","","",""
"Important","2003","lower secondary degree","","","",""
"Important","2003","secondary school degree","","","",""
"Important","2003","college entrance qualification","","","",""
"Important","2003","Other degree","","","",""
"Important","2003","no degree/no degree yet","","","",""
"Less important","2003","lower secondary degree","","","",""
"Less important","2003","secondary school degree","","","",""
"Less important","2003","college entrance qualification","","","",""
"Less important","2003","Other degree","","","",""
"Less important","2003","no degree/no degree yet","","","",""
"Quite unimportant","2003","lower secondary degree","","","",""
"Quite unimportant","2003","secondary school degree","","","",""
"Quite unimportant","2003","college entrance qualification","","","",""
"Quite unimportant","2003","Other degree","","","",""
"Quite unimportant","2003","no degree/no degree yet","","","",""
"Very important","2004","lower secondary degree","4788","0.607897402034004","0.596817092186206","0.618977711881802"
"Very important","2004","secondary school degree","4344","0.654843111507093","0.643061319857991","0.666624903156194"
"Very important","2004","college entrance qualification","3690","0.653097353804806","0.640342838231638","0.665851869377973"
"Very important","2004","Other degree","791","0.653222416078756","0.626112492841148","0.680332339316363"
"Very important","2004","no degree/no degree yet","477","0.526313902517109","0.493324496562205","0.559303308472013"
"Important","2004","lower secondary degree","2055","0.28762785314358","0.277354650930558","0.297901055356603"
"Important","2004","secondary school degree","1556","0.262867517690445","0.251958750569343","0.273776284811548"
"Important","2004","college entrance qualification","1379","0.266975230444903","0.255121200770594","0.278829260119211"
"Important","2004","Other degree","318","0.278340105299081","0.252811539381431","0.303868671216732"
"Important","2004","no degree/no degree yet","314","0.36641723004228","0.334582851384789","0.398251608699772"
"Less important","2004","lower secondary degree","340","0.0539200334048163","0.0487940652834429","0.0590460015261896"
"Less important","2004","secondary school degree","241","0.0507419851875145","0.0453030949117266","0.0561808754633025"
"Less important","2004","college entrance qualification","216","0.0554071328667574","0.0492769085055877","0.0615373572279271"
"Less important","2004","Other degree","48","0.0457317365305633","0.0338325759208577","0.0576308971402689"
"Less important","2004","no degree/no degree yet","66","0.0702748396590351","0.053386615737553","0.0871630635805171"
"Quite unimportant","2004","lower secondary degree","275","0.0505547114175996","0.0455824644542587","0.0555269583809405"
"Quite unimportant","2004","secondary school degree","114","0.0315473856149474","0.0272157161554353","0.0358790550744595"
"Quite unimportant","2004","college entrance qualification","65","0.024520282883534","0.0203760604249993","0.0286645053420687"
"Quite unimportant","2004","Other degree","27","","",""
"Quite unimportant","2004","no degree/no degree yet","23","","",""
"Very important","2005","lower secondary degree","","","",""
"Very important","2005","secondary school degree","","","",""
"Very important","2005","college entrance qualification","","","",""
"Very important","2005","Other degree","","","",""
"Very important","2005","no degree/no degree yet","","","",""
"Important","2005","lower secondary degree","","","",""
"Important","2005","secondary school degree","","","",""
"Important","2005","college entrance qualification","","","",""
"Important","2005","Other degree","","","",""
"Important","2005","no degree/no degree yet","","","",""
"Less important","2005","lower secondary degree","","","",""
"Less important","2005","secondary school degree","","","",""
"Less important","2005","college entrance qualification","","","",""
"Less important","2005","Other degree","","","",""
"Less important","2005","no degree/no degree yet","","","",""
"Quite unimportant","2005","lower secondary degree","","","",""
"Quite unimportant","2005","secondary school degree","","","",""
"Quite unimportant","2005","college entrance qualification","","","",""
"Quite unimportant","2005","Other degree","","","",""
"Quite unimportant","2005","no degree/no degree yet","","","",""
"Very important","2006","lower secondary degree","","","",""
"Very important","2006","secondary school degree","","","",""
"Very important","2006","college entrance qualification","","","",""
"Very important","2006","Other degree","","","",""
"Very important","2006","no degree/no degree yet","","","",""
"Important","2006","lower secondary degree","","","",""
"Important","2006","secondary school degree","","","",""
"Important","2006","college entrance qualification","","","",""
"Important","2006","Other degree","","","",""
"Important","2006","no degree/no degree yet","","","",""
"Less important","2006","lower secondary degree","","","",""
"Less important","2006","secondary school degree","","","",""
"Less important","2006","college entrance qualification","","","",""
"Less important","2006","Other degree","","","",""
"Less important","2006","no degree/no degree yet","","","",""
"Quite unimportant","2006","lower secondary degree","","","",""
"Quite unimportant","2006","secondary school degree","","","",""
"Quite unimportant","2006","college entrance qualification","","","",""
"Quite unimportant","2006","Other degree","","","",""
"Quite unimportant","2006","no degree/no degree yet","","","",""
"Very important","2007","lower secondary degree","","","",""
"Very important","2007","secondary school degree","","","",""
"Very important","2007","college entrance qualification","","","",""
"Very important","2007","Other degree","","","",""
"Very important","2007","no degree/no degree yet","","","",""
"Important","2007","lower secondary degree","","","",""
"Important","2007","secondary school degree","","","",""
"Important","2007","college entrance qualification","","","",""
"Important","2007","Other degree","","","",""
"Important","2007","no degree/no degree yet","","","",""
"Less important","2007","lower secondary degree","","","",""
"Less important","2007","secondary school degree","","","",""
"Less important","2007","college entrance qualification","","","",""
"Less important","2007","Other degree","","","",""
