"plh0109","year","bula_h","migback","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","Schleswig-Holstein","no migration background","54","0.222498354693055","0.170523342754398","0.274473366631711","2"
"Important","1990","Hamburg","no migration background","29","","","","2"
"Important","1990","Hamburg","direct migration background","","","","","2"
"Important","1990","Lower Saxony","direct migration background","5","","","","2"
"Important","1990","Schleswig-Holstein","direct migration background","2","","","","2"
"Important","1990","Hamburg","indirect migration background","","","","","2"
"Important","1990","Schleswig-Holstein","indirect migration background","","","","","2"
"Important","1990","Bremen","direct migration background","","","","","2"
"Important","1990","Lower Saxony","no migration background","198","0.267394169674641","0.236627840751394","0.298160498597889","2"
"Important","1990","Lower Saxony","indirect migration background","1","","","","2"
"Important","1990","Bremen","indirect migration background","","","","","2"
"Important","1990","North Rhine-Westphalia","no migration background","428","0.247703356356598","0.22778882935981","0.267617883353386","2"
"Important","1990","Hesse","indirect migration background","1","","","","2"
"Important","1990","Rhineland-Palatinate,Saarland","no migration background","146","0.307033528191384","0.267911039353579","0.346156017029188","2"
"Important","1990","Rhineland-Palatinate,Saarland","indirect migration background","","","","","2"
"Important","1990","Saxony-Anhalt","indirect migration background","","","","","2"
"Important","1990","Bremen","no migration background","12","","","","2"
"Important","1990","North Rhine-Westphalia","direct migration background","18","","","","2"
"Important","1990","North Rhine-Westphalia","indirect migration background","3","","","","2"
"Important","1990","Hesse","no migration background","155","0.27156422943418","0.235856940713805","0.307271518154556","2"
"Important","1990","Hesse","direct migration background","14","","","","2"
"Important","1990","Thuringia","no migration background","","","","","2"
"Important","1990","Thuringia","direct migration background","","","","","2"
"Important","1990","Thuringia","indirect migration background","","","","","2"
"Important","1990","Rhineland-Palatinate,Saarland","direct migration background","2","","","","2"
"Important","1990","Baden-Württemberg","no migration background","247","0.260984480787393","0.233993309240033","0.287975652334754","2"
"Important","1990","Baden-Württemberg","direct migration background","21","","","","2"
"Important","1990","Bavaria","direct migration background","23","","","","2"
"Important","1990","Bavaria","indirect migration background","4","","","","2"
"Important","1990","Mecklenburg-Western Pomerania","indirect migration background","","","","","2"
"Important","1990","Saxony","no migration background","","","","","2"
"Important","1990","Saxony","direct migration background","","","","","2"
"Important","1990","Saxony","indirect migration background","","","","","2"
"Important","1990","Saxony-Anhalt","no migration background","","","","","2"
"Important","1990","Saxony-Anhalt","direct migration background","","","","","2"
"Important","1990","Baden-Württemberg","indirect migration background","4","","","","2"
"Important","1990","Bavaria","no migration background","327","0.297251593981084","0.27109620906897","0.323406978893197","2"
"Important","1990","Berlin","indirect migration background","1","","","","2"
"Important","1990","Brandenburg","no migration background","","","","","2"
"Important","1990","Brandenburg","direct migration background","","","","","2"
"Important","1990","Brandenburg","indirect migration background","","","","","2"
"Important","1990","Mecklenburg-Western Pomerania","no migration background","","","","","2"
"Important","1990","Mecklenburg-Western Pomerania","direct migration background","","","","","2"
"Important","1990","Berlin","no migration background","68","0.34463442130463","0.281402065305897","0.407866777303363","2"
"Important","1990","Berlin","direct migration background","5","","","","2"
"Less important","1990","Schleswig-Holstein","indirect migration background","1","","","","3"
"Less important","1990","Lower Saxony","indirect migration background","","","","","3"
"Less important","1990","Hamburg","no migration background","11","","","","3"
"Less important","1990","Lower Saxony","direct migration background","4","","","","3"
"Less important","1990","Mecklenburg-Western Pomerania","indirect migration background","","","","","3"
"Less important","1990","Saxony","no migration background","","","","","3"
"Less important","1990","Saxony","direct migration background","","","","","3"
"Less important","1990","Schleswig-Holstein","no migration background","10","","","","3"
"Less important","1990","Schleswig-Holstein","direct migration background","","","","","3"
"Less important","1990","Saxony-Anhalt","indirect migration background","","","","","3"
"Less important","1990","Brandenburg","indirect migration background","","","","","3"
"Less important","1990","Lower Saxony","no migration background","18","","","","3"
"Less important","1990","Thuringia","indirect migration background","","","","","3"
"Less important","1990","Bremen","no migration background","3","","","","3"
"Less important","1990","Saxony-Anhalt","direct migration background","","","","","3"
"Less important","1990","Hamburg","direct migration background","","","","","3"
"Less important","1990","Hamburg","indirect migration background","","","","","3"
"Less important","1990","Bremen","direct migration background","","","","","3"
"Less important","1990","Bremen","indirect migration background","","","","","3"
"Less important","1990","North Rhine-Westphalia","no migration background","62","0.0400970167321795","0.0310463788404272","0.0491476546239317","3"
"Less important","1990","North Rhine-Westphalia","direct migration background","6","","","","3"
"Less important","1990","North Rhine-Westphalia","indirect migration background","","","","","3"
"Less important","1990","Hesse","no migration background","34","0.0736931263791067","0.0527174537983697","0.0946687989598438","3"
"Less important","1990","Bavaria","indirect migration background","","","","","3"
"Less important","1990","Berlin","indirect migration background","","","","","3"
"Less important","1990","Brandenburg","no migration background","","","","","3"
"Less important","1990","Brandenburg","direct migration background","","","","","3"
"Less important","1990","Mecklenburg-Western Pomerania","no migration background","","","","","3"
"Less important","1990","Mecklenburg-Western Pomerania","direct migration background","","","","","3"
"Less important","1990","Saxony-Anhalt","no migration background","","","","","3"
"Less important","1990","Thuringia","no migration background","","","","","3"
"Less important","1990","Thuringia","direct migration background","","","","","3"
"Less important","1990","Saxony","indirect migration background","","","","","3"
"Less important","1990","Hesse","direct migration background","1","","","","3"
"Less important","1990","Hesse","indirect migration background","1","","","","3"
"Less important","1990","Rhineland-Palatinate,Saarland","no migration background","19","","","","3"
"Less important","1990","Rhineland-Palatinate,Saarland","direct migration background","1","","","","3"
"Less important","1990","Rhineland-Palatinate,Saarland","indirect migration background","","","","","3"
"Less important","1990","Baden-Württemberg","indirect migration background","","","","","3"
"Less important","1990","Bavaria","no migration background","64","0.0627276080522364","0.0488517016747204","0.0766035144297524","3"
"Less important","1990","Bavaria","direct migration background","3","","","","3"
"Less important","1990","Berlin","no migration background","11","","","","3"
"Less important","1990","Berlin","direct migration background","","","","","3"
"Less important","1990","Baden-Württemberg","no migration background","40","0.0457284137907509","0.0328898430197768","0.058566984561725","3"
"Less important","1990","Baden-Württemberg","direct migration background","5","","","","3"
"Quite unimportant","1990","Schleswig-Holstein","indirect migration background","","","","","4"
"Quite unimportant","1990","Hamburg","indirect migration background","","","","","4"
"Quite unimportant","1990","Schleswig-Holstein","no migration background","7","","","","4"
"Quite unimportant","1990","Schleswig-Holstein","direct migration background","","","","","4"
"Quite unimportant","1990","Hamburg","no migration background","5","","","","4"
"Quite unimportant","1990","Hamburg","direct migration background","","","","","4"
"Quite unimportant","1990","Rhineland-Palatinate,Saarland","no migration background","22","","","","4"
"Quite unimportant","1990","Hesse","no migration background","23","","","","4"
"Quite unimportant","1990","Hesse","direct migration background","2","","","","4"
"Quite unimportant","1990","Hesse","indirect migration background","","","","","4"
"Quite unimportant","1990","Rhineland-Palatinate,Saarland","indirect migration background","","","","","4"
"Quite unimportant","1990","Baden-Württemberg","no migration background","36","0.0512885669024406","0.0377315242043909","0.0648456096004903","4"
"Quite unimportant","1990","Baden-Württemberg","direct migration background","4","","","","4"
"Quite unimportant","1990","Baden-Württemberg","indirect migration background","","","","","4"
"Quite unimportant","1990","Bavaria","no migration background","41","0.052529527855393","0.0397626802114804","0.0652963754993056","4"
"Quite unimportant","1990","Bavaria","direct migration background","1","","","","4"
"Quite unimportant","1990","Bavaria","indirect migration background","","","","","4"
"Quite unimportant","1990","Berlin","no migration background","9","","","","4"
"Quite unimportant","1990","Brandenburg","no migration background","","","","","4"
"Quite unimportant","1990","Brandenburg","direct migration background","","","","","4"
"Quite unimportant","1990","Berlin","direct migration background","1","","","","4"
"Quite unimportant","1990","Berlin","indirect migration background","","","","","4"
"Quite unimportant","1990","Lower Saxony","no migration background","40","0.0694855643664256","0.0518099963596424","0.0871611323732088","4"
"Quite unimportant","1990","Lower Saxony","direct migration background","1","","","","4"
"Quite unimportant","1990","Lower Saxony","indirect migration background","1","","","","4"
"Quite unimportant","1990","Bremen","no migration background","8","","","","4"
"Quite unimportant","1990","Bremen","direct migration background","","","","","4"
"Quite unimportant","1990","Bremen","indirect migration background","","","","","4"
"Quite unimportant","1990","North Rhine-Westphalia","no migration background","51","0.0454711478456385","0.0358600726153242","0.0550822230759528","4"
"Quite unimportant","1990","North Rhine-Westphalia","direct migration background","7","","","","4"
"Quite unimportant","1990","North Rhine-Westphalia","indirect migration background","2","","","","4"
"Quite unimportant","1990","Rhineland-Palatinate,Saarland","direct migration background","","","","","4"
"Quite unimportant","1990","Brandenburg","indirect migration background","","","","","4"
"Quite unimportant","1990","Mecklenburg-Western Pomerania","no migration background","","","","","4"
"Quite unimportant","1990","Mecklenburg-Western Pomerania","direct migration background","","","","","4"
"Quite unimportant","1990","Mecklenburg-Western Pomerania","indirect migration background","","","","","4"
"Quite unimportant","1990","Saxony","no migration background","","","","","4"
"Quite unimportant","1990","Saxony","direct migration background","","","","","4"
"Quite unimportant","1990","Saxony","indirect migration background","","","","","4"
"Quite unimportant","1990","Saxony-Anhalt","no migration background","","","","","4"
