"plh0109","year","bula_h","sex","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","Lower Saxony","Male","112","0.288440924397102","0.244535279809601","0.332346568984603","2"
"Important","1990","North Rhine-Westphalia","Male","227","0.257399101782773","0.228993195918295","0.285805007647251","2"
"Important","1990","Bremen","Female","7","","","","2"
"Important","1990","Lower Saxony","Female","92","0.242109788444112","0.201432441972961","0.282787134915264","2"
"Important","1990","Hamburg","Female","14","","","","2"
"Important","1990","Bremen","Male","5","","","","2"
"Important","1990","Schleswig-Holstein","Male","28","","","","2"
"Important","1990","North Rhine-Westphalia","Female","222","0.231271919131492","0.205306747759412","0.257237090503571","2"
"Important","1990","Hesse","Male","93","0.30261176468845","0.252512997125888","0.352710532251013","2"
"Important","1990","Schleswig-Holstein","Female","28","","","","2"
"Important","1990","Hamburg","Male","15","","","","2"
"Important","1990","Rhineland-Palatinate,Saarland","Female","74","0.287866074595891","0.235845196675974","0.339886952515807","2"
"Important","1990","Bavaria","Male","184","0.301312674231331","0.265225537633616","0.337399810829045","2"
"Important","1990","Hesse","Female","77","0.234475763012717","0.189107292426375","0.279844233599059","2"
"Important","1990","Rhineland-Palatinate,Saarland","Male","74","0.317411682122399","0.261156686433823","0.373666677810974","2"
"Important","1990","Baden-Württemberg","Male","136","0.258744091400735","0.222176900732532","0.295311282068938","2"
"Important","1990","Baden-Württemberg","Female","136","0.25686504827713","0.221640883720058","0.292089212834203","2"
"Important","1990","Bavaria","Female","170","0.29193840250564","0.256769265554048","0.327107539457232","2"
"Important","1990","Berlin","Male","35","0.367559831458347","0.276629252136702","0.458490410779992","2"
"Important","1990","Brandenburg","Female","","","","","2"
"Important","1990","Berlin","Female","39","0.317994476955801","0.237001014584431","0.398987939327171","2"
"Important","1990","Brandenburg","Male","","","","","2"
"Important","1990","Saxony","Male","","","","","2"
"Important","1990","Mecklenburg-Western Pomerania","Female","","","","","2"
"Important","1990","Mecklenburg-Western Pomerania","Male","","","","","2"
"Important","1990","Saxony","Female","","","","","2"
"Important","1990","Saxony-Anhalt","Male","","","","","2"
"Important","1990","Thuringia","Female","","","","","2"
"Important","1990","Thuringia","Male","","","","","2"
"Important","1990","Saxony-Anhalt","Female","","","","","2"
"Less important","1990","Bremen","Female","3","","","","3"
