"plh0109","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Full Time","Urban Area","1733","0.676094582946913","0.657583357223784","0.694605808670042"
"Very important","1990","Full Time","Rural Area","514","0.68961856453167","0.655824985980621","0.72341214308272"
"Very important","1990","Part Time","Urban Area","733","0.688609697013705","0.660261511417488","0.716957882609922"
"Very important","1990","Part Time","Rural Area","219","0.66935531471504","0.617070324906276","0.721640304523803"
"Very important","1990","Not Working","Urban Area","1217","0.5648538290214","0.5429943280824","0.5867133299604"
"Very important","1990","Not Working","Rural Area","338","0.532622726232192","0.492363471851719","0.572881980612666"
"Important","1990","Full Time","Urban Area","604","0.264323085234662","0.246879592272502","0.281766578196821"
"Important","1990","Full Time","Rural Area","164","0.2342198798197","0.203285190152369","0.265154569487031"
"Important","1990","Part Time","Urban Area","242","0.254413848263429","0.227751067087529","0.281076629439329"
"Important","1990","Part Time","Rural Area","76","0.264095576883615","0.215099741487216","0.313091412280014"
"Important","1990","Not Working","Urban Area","510","0.267381578337203","0.247866995151295","0.28689616152311"
"Important","1990","Not Working","Rural Area","172","0.303203219272038","0.266114481189864","0.340291957354213"
"Less important","1990","Full Time","Urban Area","85","0.0410127103061419","0.0331677996197994","0.0488576209924843"
"Less important","1990","Full Time","Rural Area","34","0.0661598268337159","0.0480040306283709","0.084315623039061"
"Less important","1990","Part Time","Urban Area","35","0.0383888588375637","0.0266266603823138","0.0501510572928135"
"Less important","1990","Part Time","Rural Area","11","","",""
"Less important","1990","Not Working","Urban Area","98","0.063666173934749","0.0529009181525503","0.0744314297169477"
"Less important","1990","Not Working","Rural Area","31","0.0517725175329835","0.0338941444309445","0.0696508906350225"
"Quite unimportant","1990","Full Time","Urban Area","33","0.0185696215122834","0.0132294695326539","0.0239097734919128"
"Quite unimportant","1990","Full Time","Rural Area","8","","",""
"Quite unimportant","1990","Part Time","Urban Area","15","","",""
"Quite unimportant","1990","Part Time","Rural Area","5","","",""
"Quite unimportant","1990","Not Working","Urban Area","151","0.104098418706648","0.0906334037951901","0.117563433618107"
"Quite unimportant","1990","Not Working","Rural Area","49","0.112401536962786","0.0869146683077124","0.137888405617859"
"Very important","1991","Full Time","Urban Area","","","",""
"Very important","1991","Full Time","Rural Area","","","",""
"Very important","1991","Part Time","Urban Area","","","",""
"Very important","1991","Part Time","Rural Area","","","",""
"Very important","1991","Not Working","Urban Area","","","",""
"Very important","1991","Not Working","Rural Area","","","",""
"Important","1991","Full Time","Urban Area","","","",""
"Important","1991","Full Time","Rural Area","","","",""
"Important","1991","Part Time","Urban Area","","","",""
"Important","1991","Part Time","Rural Area","","","",""
"Important","1991","Not Working","Urban Area","","","",""
"Important","1991","Not Working","Rural Area","","","",""
"Less important","1991","Full Time","Urban Area","","","",""
"Less important","1991","Full Time","Rural Area","","","",""
"Less important","1991","Part Time","Urban Area","","","",""
"Less important","1991","Part Time","Rural Area","","","",""
"Less important","1991","Not Working","Urban Area","","","",""
"Less important","1991","Not Working","Rural Area","","","",""
"Quite unimportant","1991","Full Time","Urban Area","","","",""
"Quite unimportant","1991","Full Time","Rural Area","","","",""
"Quite unimportant","1991","Part Time","Urban Area","","","",""
"Quite unimportant","1991","Part Time","Rural Area","","","",""
"Quite unimportant","1991","Not Working","Urban Area","","","",""
"Quite unimportant","1991","Not Working","Rural Area","","","",""
"Very important","1992","Full Time","Urban Area","2364","0.690849333894122","0.67493632334067","0.706762344447573"
"Very important","1992","Full Time","Rural Area","1534","0.721457166231629","0.701908205380039","0.74100612708322"
"Very important","1992","Part Time","Urban Area","954","0.746713428752245","0.722594948695601","0.77083190880889"
"Very important","1992","Part Time","Rural Area","649","0.72875889270552","0.698905205262582","0.758612580148457"
"Very important","1992","Not Working","Urban Area","1405","0.584927426235347","0.564435309400582","0.605419543070113"
"Very important","1992","Not Working","Rural Area","774","0.562374625179273","0.534728940678754","0.590020309679792"
"Important","1992","Full Time","Urban Area","722","0.245574862683865","0.230753927221445","0.260395798146286"
"Important","1992","Full Time","Rural Area","400","0.219344291234012","0.20129893981023","0.237389642657794"
"Important","1992","Part Time","Urban Area","247","0.21401521167559","0.191269671048204","0.236760752302976"
"Important","1992","Part Time","Rural Area","165","0.226807501126045","0.198688439954208","0.254926562297883"
"Important","1992","Not Working","Urban Area","550","0.257437404745445","0.239253959609324","0.275620849881565"
"Important","1992","Not Working","Rural Area","267","0.238222589263424","0.214483242915783","0.261961935611065"
"Less important","1992","Full Time","Urban Area","101","0.0421596386515798","0.0352402043121361","0.0490790729910234"
"Less important","1992","Full Time","Rural Area","67","0.0473966824903203","0.0381304664100806","0.0566628985705601"
"Less important","1992","Part Time","Urban Area","35","0.0282226385269774","0.01903827495659","0.0374070020973649"
"Less important","1992","Part Time","Rural Area","24","","",""
"Less important","1992","Not Working","Urban Area","91","0.0469126064683137","0.038118636951414","0.0557065759852134"
