"plh0109","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very important","1990","lower secondary degree","in school","","","",""
"Very important","1990","lower secondary degree","inadequately","","","",""
"Very important","1990","lower secondary degree","general elemantary","749","0.533589177030174","0.506470766518549","0.560707587541798"
"Very important","1990","lower secondary degree","middle vocational","1779","0.667721008740563","0.649282750803786","0.68615926667734"
"Very important","1990","lower secondary degree","vocational + Abi","","","",""
"Very important","1990","lower secondary degree","higher vocational","154","0.671979869466621","0.60951345129602","0.734446287637223"
"Very important","1990","lower secondary degree","higher education","8","","",""
"Very important","1990","secondary school degree","in school","","","",""
"Very important","1990","secondary school degree","inadequately","","","",""
"Very important","1990","secondary school degree","general elemantary","181","0.585613601705183","0.529494519597037","0.641732683813329"
"Very important","1990","secondary school degree","middle vocational","741","0.650750152256567","0.622037364353801","0.679462940159334"
"Very important","1990","secondary school degree","vocational + Abi","","","",""
"Very important","1990","secondary school degree","higher vocational","131","0.75408228933718","0.687973597583095","0.820190981091265"
"Very important","1990","secondary school degree","higher education","42","0.710361980688556","0.590485389327976","0.830238572049135"
"Very important","1990","college entrance qualification","in school","","","",""
"Very important","1990","college entrance qualification","inadequately","","","",""
"Very important","1990","college entrance qualification","general elemantary","","","",""
"Very important","1990","college entrance qualification","middle vocational","151","0.598978172595355","0.538103320144786","0.659853025045925"
"Very important","1990","college entrance qualification","vocational + Abi","147","0.692557248200221","0.629081176673327","0.756033319727115"
"Very important","1990","college entrance qualification","higher vocational","76","0.640183212013405","0.551297504955445","0.729068919071365"
"Very important","1990","college entrance qualification","higher education","408","0.675834492240643","0.637709269739918","0.713959714741368"
"Very important","1990","Other degree","in school","","","",""
"Very important","1990","Other degree","inadequately","10","","",""
"Very important","1990","Other degree","general elemantary","1","","",""
"Very important","1990","Other degree","middle vocational","20","","",""
"Very important","1990","Other degree","vocational + Abi","1","","",""
"Very important","1990","Other degree","higher vocational","1","","",""
"Very important","1990","Other degree","higher education","2","","",""
"Very important","1990","no degree/no degree yet","in school","52","0.471841694720518","0.376357023784782","0.567326365656254"
"Very important","1990","no degree/no degree yet","inadequately","26","","",""
"Very important","1990","no degree/no degree yet","general elemantary","","","",""
"Very important","1990","no degree/no degree yet","middle vocational","7","","",""
"Very important","1990","no degree/no degree yet","vocational + Abi","","","",""
"Very important","1990","no degree/no degree yet","higher vocational","","","",""
"Very important","1990","no degree/no degree yet","higher education","","","",""
"Important","1990","lower secondary degree","in school","","","",""
"Important","1990","lower secondary degree","inadequately","","","",""
"Important","1990","lower secondary degree","general elemantary","387","0.310187645029935","0.28504249987785","0.335332790182019"
"Important","1990","lower secondary degree","middle vocational","584","0.249568121549988","0.232627820794609","0.266508422305366"
"Important","1990","lower secondary degree","vocational + Abi","","","",""
"Important","1990","lower secondary degree","higher vocational","48","0.224164160796546","0.168677801154345","0.279650520438747"
"Important","1990","lower secondary degree","higher education","3","","",""
"Important","1990","secondary school degree","in school","","","",""
"Important","1990","secondary school degree","inadequately","","","",""
"Important","1990","secondary school degree","general elemantary","85","0.293897975520727","0.242001930572206","0.345794020469248"
"Important","1990","secondary school degree","middle vocational","252","0.256741505473278","0.230431672355432","0.283051338591124"
"Important","1990","secondary school degree","vocational + Abi","","","",""
"Important","1990","secondary school degree","higher vocational","23","","",""
"Important","1990","secondary school degree","higher education","12","","",""
"Important","1990","college entrance qualification","in school","","","",""
"Important","1990","college entrance qualification","inadequately","","","",""
"Important","1990","college entrance qualification","general elemantary","","","",""
"Important","1990","college entrance qualification","middle vocational","78","0.306762034658107","0.249483698786972","0.364040370529242"
