"plh0109","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","no migration background","Male","860","0.281667909721473","0.266036520540749","0.297299298902198","2"
"Important","1990","no migration background","Female","804","0.255119236818458","0.240477098143192","0.269761375493725","2"
"Important","1990","direct migration background","Female","48","0.218784366443977","0.165813903566677","0.271754829321277","2"
"Important","1990","direct migration background","Male","42","0.207701488947354","0.151759663846471","0.263643314048237","2"
"Important","1990","indirect migration background","Male","7","","","","2"
"Important","1990","indirect migration background","Female","7","","","","2"
"Less important","1990","direct migration background","Female","10","","","","3"
"Less important","1990","no migration background","Female","128","0.0477672781098909","0.0406037605314091","0.0549307956883728","3"
"Less important","1990","no migration background","Male","144","0.0540322233637252","0.0461756920244683","0.0618887547029821","3"
"Less important","1990","direct migration background","Male","10","","","","3"
"Less important","1990","indirect migration background","Male","1","","","","3"
"Less important","1990","indirect migration background","Female","1","","","","3"
"Quite unimportant","1990","no migration background","Male","67","0.0272194125601008","0.0215646668702967","0.0328741582499048","4"
"Quite unimportant","1990","no migration background","Female","175","0.0763870925266261","0.0674654561257153","0.085308728927537","4"
"Quite unimportant","1990","direct migration background","Male","2","","","","4"
"Quite unimportant","1990","direct migration background","Female","14","","","","4"
"Quite unimportant","1990","indirect migration background","Male","2","","","","4"
"Quite unimportant","1990","indirect migration background","Female","1","","","","4"
"Very important","1990","no migration background","Male","2110","0.637080454354701","0.620370757298912","0.653790151410489","1"
"Very important","1990","no migration background","Female","2298","0.620726392545024","0.604429081671355","0.637023703418693","1"
"Very important","1990","direct migration background","Male","148","0.717358479443708","0.655263211586013","0.779453747301403","1"
"Very important","1990","direct migration background","Female","162","0.639787500527823","0.578278676025252","0.701296325030395","1"
"Very important","1990","indirect migration background","Male","14","","","","1"
"Very important","1990","indirect migration background","Female","22","","","","1"
"Important","1991","no migration background","Female","","","","","2"
"Important","1991","no migration background","Male","","","","","2"
"Important","1991","direct migration background","Male","","","","","2"
"Important","1991","direct migration background","Female","","","","","2"
"Important","1991","indirect migration background","Male","","","","","2"
"Important","1991","indirect migration background","Female","","","","","2"
"Less important","1991","no migration background","Male","","","","","3"
"Less important","1991","no migration background","Female","","","","","3"
"Less important","1991","direct migration background","Male","","","","","3"
"Less important","1991","direct migration background","Female","","","","","3"
"Less important","1991","indirect migration background","Male","","","","","3"
"Less important","1991","indirect migration background","Female","","","","","3"
"Quite unimportant","1991","no migration background","Female","","","","","4"
"Quite unimportant","1991","no migration background","Male","","","","","4"
"Quite unimportant","1991","direct migration background","Male","","","","","4"
"Quite unimportant","1991","direct migration background","Female","","","","","4"
"Quite unimportant","1991","indirect migration background","Male","","","","","4"
"Quite unimportant","1991","indirect migration background","Female","","","","","4"
"Very important","1991","no migration background","Male","","","","","1"
"Very important","1991","no migration background","Female","","","","","1"
"Very important","1991","direct migration background","Male","","","","","1"
"Very important","1991","direct migration background","Female","","","","","1"
"Very important","1991","indirect migration background","Male","","","","","1"
"Very important","1991","indirect migration background","Female","","","","","1"
"Important","1992","no migration background","Female","1054","0.221369632443963","0.21026444023077","0.232474824657156","2"
"Important","1992","no migration background","Male","1170","0.259898962068781","0.247630239267236","0.272167684870327","2"
"Important","1992","direct migration background","Male","54","0.200661309591822","0.152166564166887","0.249156055016756","2"
"Important","1992","direct migration background","Female","65","0.226609881310021","0.180305509348682","0.272914253271359","2"
"Important","1992","indirect migration background","Male","9","","","","2"
"Important","1992","indirect migration background","Female","14","","","","2"
"Less important","1992","no migration background","Male","173","0.0421577616688899","0.0365364542161848","0.047779069121595","3"
"Less important","1992","no migration background","Female","186","0.0430719344925776","0.0376414544254966","0.0485024145596586","3"
"Less important","1992","direct migration background","Male","9","","","","3"
"Less important","1992","direct migration background","Female","10","","","","3"
"Less important","1992","indirect migration background","Male","4","","","","3"
"Less important","1992","indirect migration background","Female","","","","","3"
"Quite unimportant","1992","no migration background","Male","102","0.0285865864495381","0.0239249889463767","0.0332481839526995","4"
"Quite unimportant","1992","no migration background","Female","284","0.0844734551643092","0.0770347561164319","0.0919121542121864","4"
"Quite unimportant","1992","direct migration background","Male","6","","","","4"
"Quite unimportant","1992","direct migration background","Female","19","","","","4"
"Quite unimportant","1992","indirect migration background","Male","2","","","","4"
"Quite unimportant","1992","indirect migration background","Female","","","","","4"
"Very important","1992","no migration background","Male","3464","0.669356689812791","0.656196557698188","0.682516821927393","1"
"Very important","1992","no migration background","Female","3845","0.65108497789915","0.638335862253008","0.663834093545292","1"
"Very important","1992","direct migration background","Male","193","0.726103202609702","0.672103657842849","0.780102747376555","1"
"Very important","1992","direct migration background","Female","220","0.666993277554219","0.614865345595097","0.719121209513341","1"
"Very important","1992","indirect migration background","Male","24","","","","1"
"Very important","1992","indirect migration background","Female","27","","","","1"
"Important","1993","no migration background","Male","","","","","2"
"Important","1993","no migration background","Female","","","","","2"
"Important","1993","direct migration background","Male","","","","","2"
"Important","1993","direct migration background","Female","","","","","2"
"Important","1993","indirect migration background","Male","","","","","2"
"Important","1993","indirect migration background","Female","","","","","2"
"Less important","1993","no migration background","Female","","","","","3"
"Less important","1993","no migration background","Male","","","","","3"
"Less important","1993","direct migration background","Male","","","","","3"
"Less important","1993","direct migration background","Female","","","","","3"
