"plh0109","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Very important","1990","no migration background","West Germany","4408","0.628535120859075","0.616865388864737","0.640204852853413"
"Very important","1990","no migration background","East Germany","","","",""
"Very important","1990","direct migration background","West Germany","310","0.67655542345627","0.632646127568887","0.720464719343653"
"Very important","1990","direct migration background","East Germany","","","",""
"Very important","1990","indirect migration background","West Germany","36","0.598410856782182","0.468854877902968","0.727966835661396"
"Very important","1990","indirect migration background","East Germany","","","",""
"Important","1990","no migration background","West Germany","1664","0.267795682352961","0.257101313576616","0.278490051129306"
"Important","1990","no migration background","East Germany","","","",""
"Important","1990","direct migration background","West Germany","90","0.213531185533844","0.175065253914363","0.251997117153325"
"Important","1990","direct migration background","East Germany","","","",""
"Important","1990","indirect migration background","West Germany","14","","",""
"Important","1990","indirect migration background","East Germany","","","",""
"Less important","1990","no migration background","West Germany","272","0.0507586606764317","0.0454573820984316","0.0560599392544317"
"Less important","1990","no migration background","East Germany","","","",""
"Less important","1990","direct migration background","West Germany","20","","",""
"Less important","1990","direct migration background","East Germany","","","",""
"Less important","1990","indirect migration background","West Germany","2","","",""
"Less important","1990","indirect migration background","East Germany","","","",""
"Quite unimportant","1990","no migration background","West Germany","242","0.0529105361115321","0.0475041904246681","0.0583168817983962"
"Quite unimportant","1990","no migration background","East Germany","","","",""
"Quite unimportant","1990","direct migration background","West Germany","16","","",""
"Quite unimportant","1990","direct migration background","East Germany","","","",""
"Quite unimportant","1990","indirect migration background","West Germany","3","","",""
"Quite unimportant","1990","indirect migration background","East Germany","","","",""
"Very important","1991","no migration background","West Germany","","","",""
"Very important","1991","no migration background","East Germany","","","",""
"Very important","1991","direct migration background","West Germany","","","",""
"Very important","1991","direct migration background","East Germany","","","",""
"Very important","1991","indirect migration background","West Germany","","","",""
"Very important","1991","indirect migration background","East Germany","","","",""
"Important","1991","no migration background","West Germany","","","",""
"Important","1991","no migration background","East Germany","","","",""
"Important","1991","direct migration background","West Germany","","","",""
"Important","1991","direct migration background","East Germany","","","",""
"Important","1991","indirect migration background","West Germany","","","",""
"Important","1991","indirect migration background","East Germany","","","",""
"Less important","1991","no migration background","West Germany","","","",""
"Less important","1991","no migration background","East Germany","","","",""
"Less important","1991","direct migration background","West Germany","","","",""
"Less important","1991","direct migration background","East Germany","","","",""
"Less important","1991","indirect migration background","West Germany","","","",""
"Less important","1991","indirect migration background","East Germany","","","",""
"Quite unimportant","1991","no migration background","West Germany","","","",""
"Quite unimportant","1991","no migration background","East Germany","","","",""
"Quite unimportant","1991","direct migration background","West Germany","","","",""
"Quite unimportant","1991","direct migration background","East Germany","","","",""
"Quite unimportant","1991","indirect migration background","West Germany","","","",""
"Quite unimportant","1991","indirect migration background","East Germany","","","",""
"Very important","1992","no migration background","West Germany","4519","0.651654414616647","0.640064702141993","0.663244127091301"
"Very important","1992","no migration background","East Germany","2790","0.689048503186574","0.67430403852634","0.703792967846808"
"Very important","1992","direct migration background","West Germany","315","0.704859717831744","0.661799616662172","0.747919819001315"
"Very important","1992","direct migration background","East Germany","98","0.6388717904576","0.560690712651647","0.717052868263553"
"Very important","1992","indirect migration background","West Germany","46","0.693627033772488","0.585636099788903","0.801617967756073"
"Very important","1992","indirect migration background","East Germany","5","","",""
"Important","1992","no migration background","West Germany","1516","0.250685114658558","0.240142331141153","0.261227898175963"
"Important","1992","no migration background","East Germany","708","0.200775980486441","0.188016061186962","0.213535899785921"
"Important","1992","direct migration background","West Germany","88","0.215037472256127","0.176250043434724","0.253824901077531"
"Important","1992","direct migration background","East Germany","31","0.211484459815979","0.145017096906446","0.277951822725512"
"Important","1992","indirect migration background","West Germany","19","","",""
"Important","1992","indirect migration background","East Germany","4","","",""
"Less important","1992","no migration background","West Germany","220","0.0421014441167198","0.0372164157371922","0.0469864724962473"
"Less important","1992","no migration background","East Germany","139","0.0445447706730061","0.0379733189641304","0.0511162223818819"
"Less important","1992","direct migration background","West Germany","13","","",""
"Less important","1992","direct migration background","East Germany","6","","",""
"Less important","1992","indirect migration background","West Germany","3","","",""
"Less important","1992","indirect migration background","East Germany","1","","",""
"Quite unimportant","1992","no migration background","West Germany","237","0.0555590266080754","0.0499868668476544","0.0611311863684965"
"Quite unimportant","1992","no migration background","East Germany","149","0.0656307456539784","0.057742676213341","0.0735188150946157"
"Quite unimportant","1992","direct migration background","West Germany","15","","",""
"Quite unimportant","1992","direct migration background","East Germany","10","","",""
"Quite unimportant","1992","indirect migration background","West Germany","2","","",""
"Quite unimportant","1992","indirect migration background","East Germany","","","",""
"Very important","1993","no migration background","West Germany","","","",""
"Very important","1993","no migration background","East Germany","","","",""
"Very important","1993","direct migration background","West Germany","","","",""
"Very important","1993","direct migration background","East Germany","","","",""
"Very important","1993","indirect migration background","West Germany","","","",""
"Very important","1993","indirect migration background","East Germany","","","",""
"Important","1993","no migration background","West Germany","","","",""
"Important","1993","no migration background","East Germany","","","",""
"Important","1993","direct migration background","West Germany","","","",""
"Important","1993","direct migration background","East Germany","","","",""
"Important","1993","indirect migration background","West Germany","","","",""
"Important","1993","indirect migration background","East Germany","","","",""
"Less important","1993","no migration background","West Germany","","","",""
"Less important","1993","no migration background","East Germany","","","",""
"Less important","1993","direct migration background","West Germany","","","",""
"Less important","1993","direct migration background","East Germany","","","",""
"Less important","1993","indirect migration background","West Germany","","","",""
"Less important","1993","indirect migration background","East Germany","","","",""
"Quite unimportant","1993","no migration background","West Germany","","","",""
"Quite unimportant","1993","no migration background","East Germany","","","",""
"Quite unimportant","1993","direct migration background","West Germany","","","",""
"Quite unimportant","1993","direct migration background","East Germany","","","",""
"Quite unimportant","1993","indirect migration background","West Germany","","","",""
"Quite unimportant","1993","indirect migration background","East Germany","","","",""
"Very important","1994","no migration background","West Germany","","","",""
"Very important","1994","no migration background","East Germany","","","",""
"Very important","1994","direct migration background","West Germany","","","",""
"Very important","1994","direct migration background","East Germany","","","",""
"Very important","1994","indirect migration background","West Germany","","","",""
"Very important","1994","indirect migration background","East Germany","","","",""
"Important","1994","no migration background","West Germany","","","",""
"Important","1994","no migration background","East Germany","","","",""
"Important","1994","direct migration background","West Germany","","","",""
"Important","1994","direct migration background","East Germany","","","",""
"Important","1994","indirect migration background","West Germany","","","",""
"Important","1994","indirect migration background","East Germany","","","",""
"Less important","1994","no migration background","West Germany","","","",""
"Less important","1994","no migration background","East Germany","","","",""
"Less important","1994","direct migration background","West Germany","","","",""
"Less important","1994","direct migration background","East Germany","","","",""
"Less important","1994","indirect migration background","West Germany","","","",""
"Less important","1994","indirect migration background","East Germany","","","",""
"Quite unimportant","1994","no migration background","West Germany","","","",""
