"pli0092_h","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","16-34 y.","Full Time","","","","","1"
"Daily","1985","16-34 y.","Part Time","","","","","1"
"Daily","1985","16-34 y.","Not Working","","","","","1"
"Daily","1985","35-65 y.","Full Time","","","","","1"
"Daily","1985","35-65 y.","Part Time","","","","","1"
"Daily","1985","35-65 y.","Not Working","","","","","1"
"Daily","1985","66 and older","Full Time","","","","","1"
"Daily","1985","66 and older","Part Time","","","","","1"
"Daily","1985","66 and older","Not Working","","","","","1"
"Min 1x per month","1985","16-34 y.","Not Working","96","0.0787657624979611","0.0643537175165268","0.0931778074793953","3"
"Min 1x per month","1985","66 and older","Part Time","1","","","","3"
"Min 1x per month","1985","66 and older","Full Time","","","","","3"
"Min 1x per month","1985","16-34 y.","Part Time","63","0.0615933917912599","0.0457270652823537","0.0774597183001661","3"
"Min 1x per month","1985","35-65 y.","Not Working","46","0.0296074480495597","0.0217198367860766","0.0374950593130428","3"
"Min 1x per month","1985","66 and older","Not Working","17","","","","3"
"Min 1x per month","1985","16-34 y.","Full Time","143","0.0740813541198516","0.062384722273186","0.0857779859665171","3"
"Min 1x per month","1985","35-65 y.","Full Time","141","0.0532973415238503","0.0452526527070896","0.061342030340611","3"
"Min 1x per month","1985","35-65 y.","Part Time","35","0.0406632883308251","0.0280371383354312","0.0532894383262189","3"
"Min 1x per week","1985","66 and older","Full Time","2","","","","2"
"Min 1x per week","1985","16-34 y.","Not Working","447","0.383143684238114","0.357133425256312","0.409153943219916","2"
"Min 1x per week","1985","16-34 y.","Full Time","639","0.370613593640923","0.349044132211161","0.392183055070684","2"
"Min 1x per week","1985","16-34 y.","Part Time","288","0.366584193957019","0.334782876337709","0.398385511576329","2"
"Min 1x per week","1985","35-65 y.","Not Working","237","0.152029897979355","0.135321836858086","0.168737959100625","2"
"Min 1x per week","1985","35-65 y.","Part Time","194","0.227457398623011","0.200659828440701","0.254254968805321","2"
"Min 1x per week","1985","66 and older","Not Working","79","0.0732662840328417","0.0574827476894596","0.0890498203762238","2"
"Min 1x per week","1985","35-65 y.","Full Time","582","0.232945207494562","0.217806466406689","0.248083948582434","2"
"Min 1x per week","1985","66 and older","Part Time","2","","","","2"
"Never","1985","35-65 y.","Part Time","600","0.613035282731393","0.581899299557514","0.644171265905273","5"
"Never","1985","16-34 y.","Full Time","735","0.335850850524449","0.314758451132015","0.356943249916883","5"
"Never","1985","16-34 y.","Not Working","573","0.362241214185949","0.336525476407671","0.387956951964227","5"
"Never","1985","35-65 y.","Full Time","1911","0.578501079015392","0.56081628531734","0.596185872713445","5"
"Never","1985","16-34 y.","Part Time","355","0.364692473212241","0.332925985537476","0.396458960887006","5"
"Never","1985","35-65 y.","Not Working","1369","0.747280380325549","0.727057987008424","0.767502773642673","5"
"Never","1985","66 and older","Full Time","14","","","","5"
"Never","1985","66 and older","Part Time","24","","","","5"
"Never","1985","66 and older","Not Working","923","0.885642293292253","0.866365417774386","0.904919168810121","5"
"Rarely","1985","16-34 y.","Full Time","409","0.219454201714777","0.200970408769585","0.237937994659968","4"
"Rarely","1985","16-34 y.","Part Time","176","0.20712994103948","0.180385332334011","0.233874549744948","4"
"Rarely","1985","16-34 y.","Not Working","226","0.175849339077976","0.155481474024614","0.196217204131339","4"
"Rarely","1985","35-65 y.","Part Time","111","0.118844030314771","0.0981569479361991","0.139531112693343","4"
"Rarely","1985","35-65 y.","Not Working","122","0.0710822736455363","0.0591247688448838","0.0830397784461889","4"
"Rarely","1985","66 and older","Full Time","","","","","4"
"Rarely","1985","66 and older","Not Working","28","","","","4"
"Rarely","1985","66 and older","Part Time","","","","","4"
"Rarely","1985","35-65 y.","Full Time","361","0.135256371966196","0.123008173076877","0.147504570855514","4"
"Daily","1986","16-34 y.","Full Time","","","","","1"
"Daily","1986","16-34 y.","Part Time","","","","","1"
"Daily","1986","16-34 y.","Not Working","","","","","1"
"Daily","1986","35-65 y.","Full Time","","","","","1"
"Daily","1986","35-65 y.","Part Time","","","","","1"
"Daily","1986","35-65 y.","Not Working","","","","","1"
"Daily","1986","66 and older","Full Time","","","","","1"
"Daily","1986","66 and older","Part Time","","","","","1"
"Daily","1986","66 and older","Not Working","","","","","1"
"Min 1x per month","1986","16-34 y.","Part Time","62","0.0770949719092879","0.0595111412830532","0.0946788025355226","3"
