"pli0092_h","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Daily","1985","lower secondary degree","no migration background","","","",""
"Daily","1985","lower secondary degree","direct migration background","","","",""
"Daily","1985","lower secondary degree","indirect migration background","","","",""
"Daily","1985","secondary school degree","no migration background","","","",""
"Daily","1985","secondary school degree","direct migration background","","","",""
"Daily","1985","secondary school degree","indirect migration background","","","",""
"Daily","1985","college entrance qualification","no migration background","","","",""
"Daily","1985","college entrance qualification","direct migration background","","","",""
"Daily","1985","college entrance qualification","indirect migration background","","","",""
"Daily","1985","Other degree","no migration background","","","",""
"Daily","1985","Other degree","direct migration background","","","",""
"Daily","1985","Other degree","indirect migration background","","","",""
"Daily","1985","no degree/no degree yet","no migration background","","","",""
"Daily","1985","no degree/no degree yet","direct migration background","","","",""
"Daily","1985","no degree/no degree yet","indirect migration background","","","",""
"Min 1x per week","1985","lower secondary degree","no migration background","806","0.160328112896633","0.149919040701876","0.170737185091389"
"Min 1x per week","1985","lower secondary degree","direct migration background","127","0.15641866741955","0.126413112372577","0.186424222466524"
"Min 1x per week","1985","lower secondary degree","indirect migration background","","","",""
"Min 1x per week","1985","secondary school degree","no migration background","636","0.36401015709508","0.341111131211762","0.386909182978398"
"Min 1x per week","1985","secondary school degree","direct migration background","45","0.32148493543759","0.244120005978049","0.39884986489713"
"Min 1x per week","1985","secondary school degree","indirect migration background","","","",""
"Min 1x per week","1985","college entrance qualification","no migration background","462","0.411219677491484","0.382128397353777","0.440310957629192"
"Min 1x per week","1985","college entrance qualification","direct migration background","39","0.374388527342386","0.283533605281925","0.465243449402846"
"Min 1x per week","1985","college entrance qualification","indirect migration background","","","",""
"Min 1x per week","1985","Other degree","no migration background","","","",""
"Min 1x per week","1985","Other degree","direct migration background","120","0.112062177441477","0.0940104032978885","0.130113951585065"
"Min 1x per week","1985","Other degree","indirect migration background","","","",""
"Min 1x per week","1985","no degree/no degree yet","no migration background","106","0.466879220630038","0.40169058227002","0.532067858990057"
"Min 1x per week","1985","no degree/no degree yet","direct migration background","45","0.0873422555779098","0.0683395106809843","0.106345000474835"
"Min 1x per week","1985","no degree/no degree yet","indirect migration background","","","",""
"Min 1x per month","1985","lower secondary degree","no migration background","204","0.0386539378914942","0.0331851746499787","0.0441227011330096"
"Min 1x per month","1985","lower secondary degree","direct migration background","","","",""
"Min 1x per month","1985","lower secondary degree","indirect migration background","","","",""
"Min 1x per month","1985","secondary school degree","no migration background","116","0.066546269785151","0.0546846657304111","0.0784078738398909"
"Min 1x per month","1985","secondary school degree","direct migration background","","","",""
"Min 1x per month","1985","secondary school degree","indirect migration background","","","",""
"Min 1x per month","1985","college entrance qualification","no migration background","82","0.0691096320368634","0.0541138954366038","0.0841053686371229"
"Min 1x per month","1985","college entrance qualification","direct migration background","","","",""
"Min 1x per month","1985","college entrance qualification","indirect migration background","","","",""
"Min 1x per month","1985","Other degree","no migration background","","","",""
"Min 1x per month","1985","Other degree","direct migration background","43","0.0357127719325566","0.0250930273294686","0.0463325165356446"
"Min 1x per month","1985","Other degree","indirect migration background","","","",""
"Min 1x per month","1985","no degree/no degree yet","no migration background","","","",""
"Min 1x per month","1985","no degree/no degree yet","direct migration background","","","",""
"Min 1x per month","1985","no degree/no degree yet","indirect migration background","","","",""
"Rarely","1985","lower secondary degree","no migration background","528","0.100678842594746","0.0921423614317744","0.109215323757718"
"Rarely","1985","lower secondary degree","direct migration background","82","0.111717207056422","0.085695873296165","0.137738540816679"
"Rarely","1985","lower secondary degree","indirect migration background","","","",""
"Rarely","1985","secondary school degree","no migration background","313","0.176242797710387","0.158108928938823","0.19437666648195"
"Rarely","1985","secondary school degree","direct migration background","","","",""
"Rarely","1985","secondary school degree","indirect migration background","","","",""
"Rarely","1985","college entrance qualification","no migration background","223","0.193877038610359","0.170504112864109","0.21724996435661"
"Rarely","1985","college entrance qualification","direct migration background","","","",""
"Rarely","1985","college entrance qualification","indirect migration background","","","",""
"Rarely","1985","Other degree","no migration background","","","",""
"Rarely","1985","Other degree","direct migration background","118","0.101903185613316","0.0845908946203827","0.11921547660625"
"Rarely","1985","Other degree","indirect migration background","","","",""
"Rarely","1985","no degree/no degree yet","no migration background","","","",""
"Rarely","1985","no degree/no degree yet","direct migration background","51","0.053942290749773","0.0387377372111043","0.0691468442884417"
"Rarely","1985","no degree/no degree yet","indirect migration background","","","",""
"Never","1985","lower secondary degree","no migration background","3235","0.700339106617127","0.687342750659895","0.71333546257436"
"Never","1985","lower secondary degree","direct migration background","325","0.703559568454784","0.665835975600055","0.741283161309512"
