"pli0092_h","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","Not Employed","Full Time","","","","","1"
"Daily","1985","Not Employed","Part Time","","","","","1"
"Daily","1985","Not Employed","Not Working","","","","","1"
"Daily","1985","Employed","Full Time","","","","","1"
"Daily","1985","Employed","Part Time","","","","","1"
"Daily","1985","Employed","Not Working","","","","","1"
"Min 1x per month","1985","Not Employed","Full Time","","","","","3"
"Min 1x per month","1985","Not Employed","Not Working","159","0.0354169220575716","0.0298023053618734","0.0410315387532697","3"
"Min 1x per month","1985","Not Employed","Part Time","","","","","3"
"Min 1x per month","1985","Employed","Full Time","284","0.0614130388852279","0.0547159805832871","0.0681100971871687","3"
"Min 1x per month","1985","Employed","Part Time","99","0.0500343452967809","0.0400970613810027","0.0599716292125592","3"
"Min 1x per month","1985","Employed","Not Working","","","","","3"
"Min 1x per week","1985","Not Employed","Part Time","","","","","2"
"Min 1x per week","1985","Not Employed","Full Time","","","","","2"
"Min 1x per week","1985","Not Employed","Not Working","763","0.175055959792326","0.16351224519935","0.186599674385301","2"
"Min 1x per week","1985","Employed","Part Time","484","0.28745071111383","0.266822157193194","0.308079265034467","2"
"Min 1x per week","1985","Employed","Full Time","1223","0.287925687634779","0.275295221075514","0.300556154194044","2"
"Min 1x per week","1985","Employed","Not Working","","","","","2"
"Never","1985","Not Employed","Full Time","","","","","5"
"Never","1985","Not Employed","Part Time","","","","","5"
"Never","1985","Not Employed","Not Working","2865","0.711672051202579","0.697911741393177","0.725432361011981","5"
"Never","1985","Employed","Full Time","2660","0.482120054976411","0.468181791405149","0.496058318547674","5"
"Never","1985","Employed","Part Time","979","0.506312100512804","0.483523637743684","0.529100563281924","5"
"Never","1985","Employed","Not Working","","","","","5"
"Rarely","1985","Employed","Full Time","770","0.168541218503582","0.158099067857523","0.178983369149641","4"
"Rarely","1985","Not Employed","Part Time","","","","","4"
"Rarely","1985","Not Employed","Not Working","376","0.0778550669475236","0.0697157507762744","0.0859943831187727","4"
"Rarely","1985","Not Employed","Full Time","","","","","4"
"Rarely","1985","Employed","Part Time","287","0.156202843076585","0.139654933791157","0.172750752362013","4"
"Rarely","1985","Employed","Not Working","","","","","4"
"Daily","1986","Not Employed","Full Time","","","","","1"
"Daily","1986","Not Employed","Part Time","","","","","1"
"Daily","1986","Not Employed","Not Working","","","","","1"
"Daily","1986","Employed","Full Time","","","","","1"
"Daily","1986","Employed","Part Time","","","","","1"
"Daily","1986","Employed","Not Working","","","","","1"
"Min 1x per month","1986","Not Employed","Full Time","","","","","3"
"Min 1x per month","1986","Not Employed","Not Working","134","0.0303960563916166","0.0249984339816112","0.035793678801622","3"
"Min 1x per month","1986","Not Employed","Part Time","","","","","3"
"Min 1x per month","1986","Employed","Part Time","101","0.0607765174981463","0.0498030092369509","0.0717500257593418","3"
"Min 1x per month","1986","Employed","Full Time","332","0.0729488677208729","0.0656073526624952","0.0802903827792507","3"
"Min 1x per month","1986","Employed","Not Working","","","","","3"
"Min 1x per week","1986","Not Employed","Full Time","","","","","2"
