"pli0092_h","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","Schleswig-Holstein","West Germany","","","","","1"
"Daily","1985","Schleswig-Holstein","East Germany","","","","","1"
"Daily","1985","Hamburg","West Germany","","","","","1"
"Daily","1985","Hamburg","East Germany","","","","","1"
"Daily","1985","Lower Saxony","West Germany","","","","","1"
"Daily","1985","Lower Saxony","East Germany","","","","","1"
"Daily","1985","Bremen","West Germany","","","","","1"
"Daily","1985","Bremen","East Germany","","","","","1"
"Daily","1985","North Rhine-Westphalia","West Germany","","","","","1"
"Daily","1985","North Rhine-Westphalia","East Germany","","","","","1"
"Daily","1985","Hesse","West Germany","","","","","1"
"Daily","1985","Hesse","East Germany","","","","","1"
"Daily","1985","Rhineland-Palatinate,Saarland","West Germany","","","","","1"
"Daily","1985","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Daily","1985","Baden-Württemberg","West Germany","","","","","1"
"Daily","1985","Baden-Württemberg","East Germany","","","","","1"
"Daily","1985","Bavaria","West Germany","","","","","1"
"Daily","1985","Bavaria","East Germany","","","","","1"
"Daily","1985","Berlin","West Germany","","","","","1"
"Daily","1985","Berlin","East Germany","","","","","1"
"Daily","1985","Brandenburg","West Germany","","","","","1"
"Daily","1985","Brandenburg","East Germany","","","","","1"
"Daily","1985","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Daily","1985","Mecklenburg-Western Pomerania","East Germany","","","","","1"
"Daily","1985","Saxony","West Germany","","","","","1"
"Daily","1985","Saxony","East Germany","","","","","1"
"Daily","1985","Saxony-Anhalt","West Germany","","","","","1"
"Daily","1985","Saxony-Anhalt","East Germany","","","","","1"
"Daily","1985","Thuringia","West Germany","","","","","1"
"Daily","1985","Thuringia","East Germany","","","","","1"
"Min 1x per month","1985","Hamburg","East Germany","","","","","3"
"Min 1x per month","1985","Mecklenburg-Western Pomerania","East Germany","","","","","3"
"Min 1x per month","1985","Saxony","East Germany","","","","","3"
"Min 1x per month","1985","Hamburg","West Germany","20","","","","3"
"Min 1x per month","1985","Saxony","West Germany","","","","","3"
"Min 1x per month","1985","Brandenburg","East Germany","","","","","3"
"Min 1x per month","1985","Mecklenburg-Western Pomerania","West Germany","","","","","3"
"Min 1x per month","1985","Schleswig-Holstein","East Germany","","","","","3"
"Min 1x per month","1985","Saxony-Anhalt","West Germany","","","","","3"
"Min 1x per month","1985","Schleswig-Holstein","West Germany","17","","","","3"
"Min 1x per month","1985","Lower Saxony","West Germany","46","0.0369370681637729","0.0257505401155341","0.0481235962120118","3"
"Min 1x per month","1985","Lower Saxony","East Germany","","","","","3"
"Min 1x per month","1985","Bremen","West Germany","9","","","","3"
"Min 1x per month","1985","Bremen","East Germany","","","","","3"
"Min 1x per month","1985","North Rhine-Westphalia","West Germany","129","0.0444800013796314","0.0370304684644938","0.0519295342947689","3"
"Min 1x per month","1985","North Rhine-Westphalia","East Germany","","","","","3"
"Min 1x per month","1985","Hesse","West Germany","44","0.0351595161649436","0.0243631801376049","0.0459558521922823","3"
"Min 1x per month","1985","Hesse","East Germany","","","","","3"
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","West Germany","37","0.0484843424093773","0.0332340093070259","0.0637346755117287","3"
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","East Germany","","","","","3"
"Min 1x per month","1985","Baden-Württemberg","West Germany","107","0.0525957407377369","0.0429042863621018","0.0622871951133721","3"
"Min 1x per month","1985","Baden-Württemberg","East Germany","","","","","3"
"Min 1x per month","1985","Bavaria","West Germany","110","0.0561988249625689","0.0458240984176382","0.0665735515074996","3"
"Min 1x per month","1985","Bavaria","East Germany","","","","","3"
"Min 1x per month","1985","Berlin","West Germany","23","","","","3"
"Min 1x per month","1985","Berlin","East Germany","","","","","3"
"Min 1x per month","1985","Brandenburg","West Germany","","","","","3"
"Min 1x per month","1985","Saxony-Anhalt","East Germany","","","","","3"
"Min 1x per month","1985","Thuringia","West Germany","","","","","3"
"Min 1x per month","1985","Thuringia","East Germany","","","","","3"
"Min 1x per week","1985","Saxony","East Germany","","","","","2"
"Min 1x per week","1985","Saxony-Anhalt","West Germany","","","","","2"
"Min 1x per week","1985","Mecklenburg-Western Pomerania","East Germany","","","","","2"
"Min 1x per week","1985","Saxony","West Germany","","","","","2"
"Min 1x per week","1985","Saxony-Anhalt","East Germany","","","","","2"
"Min 1x per week","1985","Thuringia","West Germany","","","","","2"
"Min 1x per week","1985","Thuringia","East Germany","","","","","2"
