"pli0092_h","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Daily","1985","Not Employed","lower secondary degree","","","",""
"Daily","1985","Not Employed","secondary school degree","","","",""
"Daily","1985","Not Employed","college entrance qualification","","","",""
"Daily","1985","Not Employed","Other degree","","","",""
"Daily","1985","Not Employed","no degree/no degree yet","","","",""
"Daily","1985","Employed","lower secondary degree","","","",""
"Daily","1985","Employed","secondary school degree","","","",""
"Daily","1985","Employed","college entrance qualification","","","",""
"Daily","1985","Employed","Other degree","","","",""
"Daily","1985","Employed","no degree/no degree yet","","","",""
"Min 1x per week","1985","Not Employed","lower secondary degree","276","0.101515489183145","0.0891216201803252","0.113909358185966"
"Min 1x per week","1985","Not Employed","secondary school degree","199","0.281982230491855","0.246873762542104","0.317090698441606"
"Min 1x per week","1985","Not Employed","college entrance qualification","140","0.337491461980177","0.290380741786797","0.384602182173557"
"Min 1x per week","1985","Not Employed","Other degree","21","","",""
"Min 1x per week","1985","Not Employed","no degree/no degree yet","115","0.389171868272433","0.347741145511059","0.430602591033807"
"Min 1x per week","1985","Employed","lower secondary degree","677","0.213502637335761","0.199146877651303","0.227858397020219"
"Min 1x per week","1985","Employed","secondary school degree","497","0.408945672146093","0.38151496394813","0.436376380344056"
"Min 1x per week","1985","Employed","college entrance qualification","363","0.443277221532624","0.409440355991944","0.477114087073304"
"Min 1x per week","1985","Employed","Other degree","108","0.13228726975231","0.110776861560486","0.153797677944133"
"Min 1x per week","1985","Employed","no degree/no degree yet","45","0.17007288011913","0.138900604827668","0.201245155410593"
"Min 1x per month","1985","Not Employed","lower secondary degree","67","0.0243764847664371","0.018047819625799","0.0307051499070751"
"Min 1x per month","1985","Not Employed","secondary school degree","34","0.049619140833119","0.032675494728235","0.066562786938003"
"Min 1x per month","1985","Not Employed","college entrance qualification","30","0.0712332051051324","0.0456068292559011","0.0968595809543637"
"Min 1x per month","1985","Not Employed","Other degree","7","","",""
"Min 1x per month","1985","Not Employed","no degree/no degree yet","18","","",""
"Min 1x per month","1985","Employed","lower secondary degree","171","0.0502309017775369","0.0425789816635985","0.0578828218914754"
"Min 1x per month","1985","Employed","secondary school degree","95","0.0765455414163372","0.0617115438979832","0.0913795389346912"
"Min 1x per month","1985","Employed","college entrance qualification","62","0.06925196005384","0.0519591718385079","0.0865447482691721"
"Min 1x per month","1985","Employed","Other degree","39","0.0402458387694268","0.0277679205738551","0.0527237569649986"
