"pli0092_h","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1985","no migration background","in school","","","",""
"Daily","1985","no migration background","inadequately","","","",""
"Daily","1985","no migration background","general elemantary","","","",""
"Daily","1985","no migration background","middle vocational","","","",""
"Daily","1985","no migration background","vocational + Abi","","","",""
"Daily","1985","no migration background","higher vocational","","","",""
"Daily","1985","no migration background","higher education","","","",""
"Daily","1985","direct migration background","in school","","","",""
"Daily","1985","direct migration background","inadequately","","","",""
"Daily","1985","direct migration background","general elemantary","","","",""
"Daily","1985","direct migration background","middle vocational","","","",""
"Daily","1985","direct migration background","vocational + Abi","","","",""
"Daily","1985","direct migration background","higher vocational","","","",""
"Daily","1985","direct migration background","higher education","","","",""
"Daily","1985","indirect migration background","in school","","","",""
"Daily","1985","indirect migration background","inadequately","","","",""
"Daily","1985","indirect migration background","general elemantary","","","",""
"Daily","1985","indirect migration background","middle vocational","","","",""
"Daily","1985","indirect migration background","vocational + Abi","","","",""
"Daily","1985","indirect migration background","higher vocational","","","",""
"Daily","1985","indirect migration background","higher education","","","",""
"Min 1x per week","1985","no migration background","in school","93","0.604091855989167","0.527102453322158","0.681081258656176"
"Min 1x per week","1985","no migration background","inadequately","","","",""
"Min 1x per week","1985","no migration background","general elemantary","382","0.170810835815452","0.154574883673515","0.187046787957389"
"Min 1x per week","1985","no migration background","middle vocational","1037","0.238326056842967","0.22540689953749","0.251245214148444"
"Min 1x per week","1985","no migration background","vocational + Abi","64","0.364214704558785","0.292090005625449","0.436339403492122"
"Min 1x per week","1985","no migration background","higher vocational","164","0.290104783173104","0.252552077786815","0.327657488559393"
"Min 1x per week","1985","no migration background","higher education","266","0.40521095017605","0.367086776126975","0.443335124225125"
"Min 1x per week","1985","direct migration background","in school","","","",""
"Min 1x per week","1985","direct migration background","inadequately","35","0.0697059155478456","0.0515174714125562","0.087894359683135"
"Min 1x per week","1985","direct migration background","general elemantary","121","0.151285239970631","0.128105641575586","0.174464838365677"
"Min 1x per week","1985","direct migration background","middle vocational","153","0.189107821944258","0.163524134643523","0.214691509244993"
"Min 1x per week","1985","direct migration background","vocational + Abi","","","",""
"Min 1x per week","1985","direct migration background","higher vocational","","","",""
"Min 1x per week","1985","direct migration background","higher education","32","0.317441805692341","0.230056835001426","0.404826776383256"
"Min 1x per week","1985","indirect migration background","in school","","","",""
"Min 1x per week","1985","indirect migration background","inadequately","","","",""
"Min 1x per week","1985","indirect migration background","general elemantary","","","",""
"Min 1x per week","1985","indirect migration background","middle vocational","","","",""
"Min 1x per week","1985","indirect migration background","vocational + Abi","","","",""
"Min 1x per week","1985","indirect migration background","higher vocational","","","",""
"Min 1x per week","1985","indirect migration background","higher education","","","",""
"Min 1x per month","1985","no migration background","in school","","","",""
"Min 1x per month","1985","no migration background","inadequately","","","",""
"Min 1x per month","1985","no migration background","general elemantary","84","0.0368177362700224","0.0286936219846436","0.0449418505554013"
"Min 1x per month","1985","no migration background","middle vocational","223","0.0494562226142334","0.0428817577903585","0.0560306874381082"
"Min 1x per month","1985","no migration background","vocational + Abi","","","",""
"Min 1x per month","1985","no migration background","higher vocational","38","0.0643611064952737","0.0440547248286753","0.084667488161872"
"Min 1x per month","1985","no migration background","higher education","51","0.072753408281469","0.052583558234447","0.0929232583284909"
"Min 1x per month","1985","direct migration background","in school","","","",""
"Min 1x per month","1985","direct migration background","inadequately","","","",""
"Min 1x per month","1985","direct migration background","general elemantary","36","0.0265639811458613","0.016161737111437","0.0369662251802855"
"Min 1x per month","1985","direct migration background","middle vocational","44","0.0371729787529494","0.0248130874041949","0.0495328701017038"
"Min 1x per month","1985","direct migration background","vocational + Abi","","","",""
"Min 1x per month","1985","direct migration background","higher vocational","","","",""
"Min 1x per month","1985","direct migration background","higher education","","","",""
"Min 1x per month","1985","indirect migration background","in school","","","",""
"Min 1x per month","1985","indirect migration background","inadequately","","","",""
"Min 1x per month","1985","indirect migration background","general elemantary","","","",""
"Min 1x per month","1985","indirect migration background","middle vocational","","","",""
"Min 1x per month","1985","indirect migration background","vocational + Abi","","","",""
"Min 1x per month","1985","indirect migration background","higher vocational","","","",""
"Min 1x per month","1985","indirect migration background","higher education","","","",""
"Rarely","1985","no migration background","in school","","","",""
"Rarely","1985","no migration background","inadequately","","","",""
"Rarely","1985","no migration background","general elemantary","196","0.0840718695921397","0.0721003495767807","0.0960433896074988"
