"pli0092_h","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","in school","Male","","","","","1"
"Daily","1985","in school","Female","","","","","1"
"Daily","1985","inadequately","Male","","","","","1"
"Daily","1985","inadequately","Female","","","","","1"
"Daily","1985","general elemantary","Male","","","","","1"
"Daily","1985","general elemantary","Female","","","","","1"
"Daily","1985","middle vocational","Male","","","","","1"
"Daily","1985","middle vocational","Female","","","","","1"
"Daily","1985","vocational + Abi","Male","","","","","1"
"Daily","1985","vocational + Abi","Female","","","","","1"
"Daily","1985","higher vocational","Male","","","","","1"
"Daily","1985","higher vocational","Female","","","","","1"
"Daily","1985","higher education","Male","","","","","1"
"Daily","1985","higher education","Female","","","","","1"
"Min 1x per month","1985","middle vocational","Female","99","0.0392522236593231","0.0313552568535836","0.0471491904650626","3"
"Min 1x per month","1985","middle vocational","Male","174","0.0570814182419073","0.0485035493156101","0.0656592871682045","3"
"Min 1x per month","1985","vocational + Abi","Female","3","","","","3"
"Min 1x per month","1985","in school","Male","12","","","","3"
"Min 1x per month","1985","in school","Female","3","","","","3"
"Min 1x per month","1985","inadequately","Male","10","","","","3"
"Min 1x per month","1985","inadequately","Female","5","","","","3"
"Min 1x per month","1985","general elemantary","Male","56","0.0454824566691545","0.0327516970397496","0.0582132162985594","3"
"Min 1x per month","1985","general elemantary","Female","67","0.0324227577580108","0.0246815298430138","0.0401639856730078","3"
"Min 1x per month","1985","vocational + Abi","Male","11","","","","3"
"Min 1x per month","1985","higher vocational","Male","33","0.0901592667597535","0.0604493211621612","0.119869212357346","3"
"Min 1x per month","1985","higher vocational","Female","9","","","","3"
"Min 1x per month","1985","higher education","Male","37","0.0656362923109569","0.0440587074391962","0.0872138771827175","3"
"Min 1x per month","1985","higher education","Female","19","","","","3"
"Min 1x per week","1985","in school","Female","41","0.606792103804476","0.49624470324498","0.717339504363972","2"
"Min 1x per week","1985","inadequately","Male","39","0.179301824514393","0.139284796924127","0.219318852104658","2"
"Min 1x per week","1985","inadequately","Female","10","","","","2"
"Min 1x per week","1985","general elemantary","Male","248","0.240586057985557","0.214469561579976","0.266702554391139","2"
"Min 1x per week","1985","general elemantary","Female","279","0.144846597124281","0.129464405466633","0.160228788781928","2"
"Min 1x per week","1985","middle vocational","Male","693","0.243236913092312","0.227373755356204","0.259100070828419","2"
"Min 1x per week","1985","middle vocational","Female","509","0.224955354657544","0.207975459130916","0.241935250184173","2"
"Min 1x per week","1985","vocational + Abi","Male","54","0.348282961026574","0.276665440335946","0.419900481717201","2"
"Min 1x per week","1985","vocational + Abi","Female","32","0.323595798373451","0.233244569459973","0.413947027286929","2"
"Min 1x per week","1985","in school","Male","68","0.604764900860713","0.514220808142969","0.695308993578456","2"
"Min 1x per week","1985","higher vocational","Male","100","0.279135993611009","0.23260433062245","0.325667656599569","2"
"Min 1x per week","1985","higher vocational","Female","76","0.296995911916997","0.241022437009613","0.352969386824381","2"
"Min 1x per week","1985","higher education","Male","210","0.408590897846147","0.365759605495885","0.451422190196408","2"
"Min 1x per week","1985","higher education","Female","89","0.373373249341354","0.312681557649474","0.434064941033234","2"
"Never","1985","vocational + Abi","Male","75","0.413941033243189","0.339901524663635","0.487980541822743","5"
"Never","1985","general elemantary","Female","1496","0.75320306406618","0.734359286180569","0.772046841951792","5"
"Never","1985","middle vocational","Male","1550","0.566297431089441","0.547973728923753","0.584621133255129","5"
"Never","1985","middle vocational","Female","1353","0.586914331904667","0.56689125076654","0.606937413042793","5"
"Never","1985","vocational + Abi","Female","50","0.423456942200611","0.328034620122034","0.518879264279189","5"
"Never","1985","higher vocational","Male","165","0.47959109159974","0.427768169469743","0.531414013729737","5"
"Never","1985","higher vocational","Female","124","0.506588219005043","0.445344661688398","0.567831776321688","5"
"Never","1985","higher education","Male","165","0.33927462461008","0.298021294209017","0.380527955011142","5"
"Never","1985","higher education","Female","90","0.392672742569746","0.331398219125383","0.453947266014109","5"
"Never","1985","in school","Male","19","","","","5"
"Never","1985","in school","Female","21","","","","5"
"Never","1985","inadequately","Male","272","0.684206704183085","0.635716294441619","0.732697113924552","5"
"Never","1985","inadequately","Female","449","0.889113182636039","0.861197487907791","0.917028877364288","5"
"Never","1985","general elemantary","Male","598","0.593555596264733","0.563545203471572","0.623565989057893","5"
"Rarely","1985","middle vocational","Female","362","0.148878089778466","0.134402550059368","0.163353629497563","4"
"Rarely","1985","middle vocational","Male","393","0.13338423757634","0.120813508158933","0.145954966993747","4"
"Rarely","1985","higher education","Female","46","0.155843892274573","0.110333617819841","0.201354166729304","4"
"Rarely","1985","higher vocational","Male","59","0.151113648029497","0.113960928966864","0.188266367092131","4"
"Rarely","1985","vocational + Abi","Male","30","0.173548199113589","0.11661803297393","0.230478365253247","4"
"Rarely","1985","higher vocational","Female","47","0.162239184514291","0.11707792897426","0.207400440054321","4"
"Rarely","1985","higher education","Male","94","0.186498185232817","0.152559938652987","0.220436431812646","4"
"Rarely","1985","vocational + Abi","Female","18","","","","4"
"Rarely","1985","in school","Male","13","","","","4"
"Rarely","1985","in school","Female","10","","","","4"
"Rarely","1985","inadequately","Male","32","0.0984806173138799","0.0673975654045979","0.129563669223162","4"
"Rarely","1985","inadequately","Female","22","","","","4"
"Rarely","1985","general elemantary","Male","127","0.120375889080556","0.100493950855671","0.140257827305441","4"
"Rarely","1985","general elemantary","Female","169","0.0695275810515282","0.0584109710988285","0.0806441910042278","4"
"Daily","1986","in school","Male","","","","","1"
"Daily","1986","in school","Female","","","","","1"
"Daily","1986","inadequately","Male","","","","","1"
"Daily","1986","inadequately","Female","","","","","1"
"Daily","1986","general elemantary","Male","","","","","1"
"Daily","1986","general elemantary","Female","","","","","1"
"Daily","1986","middle vocational","Male","","","","","1"
"Daily","1986","middle vocational","Female","","","","","1"
"Daily","1986","vocational + Abi","Male","","","","","1"
"Daily","1986","vocational + Abi","Female","","","","","1"
"Daily","1986","higher vocational","Male","","","","","1"
"Daily","1986","higher vocational","Female","","","","","1"
"Daily","1986","higher education","Male","","","","","1"
"Daily","1986","higher education","Female","","","","","1"
"Min 1x per month","1986","middle vocational","Male","167","0.0561148507778621","0.0474691039636001","0.0647605975921241","3"
"Min 1x per month","1986","middle vocational","Female","132","0.0543098209348982","0.0449372909184414","0.0636823509513551","3"
"Min 1x per month","1986","vocational + Abi","Male","13","","","","3"
"Min 1x per month","1986","vocational + Abi","Female","5","","","","3"
"Min 1x per month","1986","in school","Male","4","","","","3"
"Min 1x per month","1986","in school","Female","2","","","","3"
"Min 1x per month","1986","inadequately","Male","11","","","","3"
"Min 1x per month","1986","inadequately","Female","4","","","","3"
"Min 1x per month","1986","general elemantary","Male","58","0.0516432701748781","0.0379610116262176","0.0653255287235385","3"
"Min 1x per month","1986","general elemantary","Female","63","0.0325931312432589","0.0245707017758475","0.0406155607106702","3"
"Min 1x per month","1986","higher vocational","Male","22","","","","3"
"Min 1x per month","1986","higher vocational","Female","13","","","","3"
"Min 1x per month","1986","higher education","Male","47","0.0976165388953887","0.0716536210847932","0.123579456705984","3"
"Min 1x per month","1986","higher education","Female","20","","","","3"
"Min 1x per week","1986","in school","Male","77","0.69506594461522","0.610182139566084","0.779949749664356","2"
"Min 1x per week","1986","in school","Female","44","0.601525386349484","0.489216538890805","0.713834233808163","2"
"Min 1x per week","1986","inadequately","Male","38","0.19924969751832","0.155889956249845","0.242609438786794","2"
"Min 1x per week","1986","inadequately","Female","19","","","","2"
"Min 1x per week","1986","general elemantary","Male","275","0.262460213478241","0.23525892190987","0.289661505046613","2"
"Min 1x per week","1986","general elemantary","Female","266","0.139070367117079","0.12343747214297","0.154703262091187","2"
"Min 1x per week","1986","middle vocational","Male","729","0.263168334945346","0.246625688515537","0.279710981375156","2"
"Min 1x per week","1986","middle vocational","Female","515","0.229254896130223","0.211870567944426","0.246639224316019","2"
"Min 1x per week","1986","vocational + Abi","Male","54","0.35947924191357","0.286483494442197","0.432474989384942","2"
"Min 1x per week","1986","vocational + Abi","Female","34","0.293923300514938","0.208790935916164","0.379055665113712","2"
"Min 1x per week","1986","higher vocational","Male","92","0.271592716860942","0.223161900970316","0.320023532751568","2"
"Min 1x per week","1986","higher vocational","Female","75","0.293409889971707","0.236511275781726","0.350308504161688","2"
"Min 1x per week","1986","higher education","Male","214","0.410101516002373","0.36707555692309","0.453127475081656","2"
"Min 1x per week","1986","higher education","Female","86","0.342974884056746","0.28341205426737","0.402537713846121","2"
"Never","1986","vocational + Abi","Male","76","0.397961451120737","0.32350082221079","0.472422080030685","5"
"Never","1986","vocational + Abi","Female","47","0.384861535565312","0.293935041757883","0.47578802937274","5"
"Never","1986","higher vocational","Male","156","0.50323770937681","0.448795406809107","0.557680011944513","5"
"Never","1986","higher vocational","Female","120","0.50485391053326","0.44237548503141","0.56733233603511","5"
"Never","1986","higher education","Male","167","0.344606121035888","0.303033355438285","0.386178886633491","5"
"Never","1986","higher education","Female","102","0.449292657675853","0.38687919583351","0.511706119518196","5"
"Never","1986","general elemantary","Female","1402","0.761421275215666","0.742165250190769","0.780677300240563","5"
"Never","1986","middle vocational","Male","1462","0.551631468272363","0.532948489976406","0.57031444656832","5"
"Never","1986","middle vocational","Female","1288","0.589156550593917","0.568809720717566","0.609503380470268","5"
"Never","1986","in school","Male","12","","","","5"
"Never","1986","in school","Female","14","","","","5"
"Never","1986","inadequately","Male","243","0.658954066852901","0.607493650001668","0.710414483704133","5"
"Never","1986","inadequately","Female","416","0.877807150235416","0.847714194488625","0.907900105982208","5"
"Never","1986","general elemantary","Male","562","0.56932179689684","0.53870777333988","0.5999358204538","5"
"Rarely","1986","higher education","Male","74","0.14767582406635","0.116640710596759","0.178710937535942","4"
