"pli0092_h","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","no migration background","West Germany","","","","","1"
"Daily","1985","no migration background","East Germany","","","","","1"
"Daily","1985","direct migration background","West Germany","","","","","1"
"Daily","1985","direct migration background","East Germany","","","","","1"
"Daily","1985","indirect migration background","West Germany","","","","","1"
"Daily","1985","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1985","no migration background","West Germany","421","0.0493109889343592","0.0445340944768931","0.0540878833918253","3"
"Min 1x per month","1985","direct migration background","West Germany","111","0.0374876172312845","0.0305943207549909","0.0443809137075781","3"
"Min 1x per month","1985","no migration background","East Germany","","","","","3"
"Min 1x per month","1985","direct migration background","East Germany","","","","","3"
"Min 1x per month","1985","indirect migration background","West Germany","10","","","","3"
"Min 1x per month","1985","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1985","no migration background","East Germany","","","","","2"
"Min 1x per week","1985","no migration background","West Germany","2033","0.245055673905058","0.235566150600893","0.254545197209222","2"
"Min 1x per week","1985","direct migration background","West Germany","389","0.17334540652189","0.159608210765929","0.187082602277852","2"
"Min 1x per week","1985","indirect migration background","West Germany","48","0.305844623867383","0.229520321320175","0.382168926414591","2"
"Min 1x per week","1985","direct migration background","East Germany","","","","","2"
"Min 1x per week","1985","indirect migration background","East Germany","","","","","2"
"Never","1985","no migration background","West Germany","4334","0.576432792004986","0.565531196664015","0.587334387345957","5"
"Never","1985","no migration background","East Germany","","","","","5"
"Never","1985","direct migration background","West Germany","2116","0.68581608036007","0.668970899231438","0.702661261488702","5"
"Never","1985","direct migration background","East Germany","","","","","5"
"Never","1985","indirect migration background","West Germany","54","0.476470106049209","0.393738273395362","0.559201938703056","5"
"Never","1985","indirect migration background","East Germany","","","","","5"
"Rarely","1985","direct migration background","East Germany","","","","","4"
"Rarely","1985","no migration background","East Germany","","","","","4"
"Rarely","1985","direct migration background","West Germany","301","0.103350895886755","0.0923037965636212","0.114397995209889","4"
"Rarely","1985","no migration background","West Germany","1104","0.129200545155597","0.121800305235399","0.136600785075795","4"
"Rarely","1985","indirect migration background","West Germany","28","","","","4"
"Rarely","1985","indirect migration background","East Germany","","","","","4"
"Daily","1986","no migration background","West Germany","","","","","1"
"Daily","1986","no migration background","East Germany","","","","","1"
"Daily","1986","direct migration background","West Germany","","","","","1"
"Daily","1986","direct migration background","East Germany","","","","","1"
"Daily","1986","indirect migration background","West Germany","","","","","1"
"Daily","1986","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1986","no migration background","West Germany","431","0.0530464773035437","0.0479885958809515","0.0581043587261359","3"
"Min 1x per month","1986","direct migration background","West Germany","124","0.050259115789507","0.0422082681818144","0.0583099633971996","3"
"Min 1x per month","1986","no migration background","East Germany","","","","","3"
"Min 1x per month","1986","indirect migration background","West Germany","12","","","","3"
"Min 1x per month","1986","direct migration background","East Germany","","","","","3"
"Min 1x per month","1986","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1986","no migration background","West Germany","2060","0.253816747324556","0.243995674688476","0.263637819960637","2"
"Min 1x per week","1986","no migration background","East Germany","","","","","2"
"Min 1x per week","1986","direct migration background","West Germany","423","0.168625527889861","0.154828306883281","0.182422748896441","2"
"Min 1x per week","1986","direct migration background","East Germany","","","","","2"
"Min 1x per week","1986","indirect migration background","West Germany","60","0.332814315761167","0.258630938524639","0.406997692997696","2"
"Min 1x per week","1986","indirect migration background","East Germany","","","","","2"
"Never","1986","no migration background","West Germany","4070","0.572432345726993","0.561267813241822","0.583596878212164","5"
"Never","1986","no migration background","East Germany","","","","","5"
"Never","1986","direct migration background","West Germany","2009","0.679518530762941","0.662322281523188","0.696714780002694","5"
"Never","1986","direct migration background","East Germany","","","","","5"
"Never","1986","indirect migration background","West Germany","59","0.469562373880464","0.390994310551388","0.54813043720954","5"
"Never","1986","indirect migration background","East Germany","","","","","5"
"Rarely","1986","direct migration background","East Germany","","","","","4"
"Rarely","1986","no migration background","East Germany","","","","","4"
"Rarely","1986","no migration background","West Germany","982","0.120704429644907","0.113352436660728","0.128056422629086","4"
"Rarely","1986","direct migration background","West Germany","273","0.101596825557691","0.0904639507482053","0.112729700367177","4"
"Rarely","1986","indirect migration background","West Germany","24","","","","4"
"Rarely","1986","indirect migration background","East Germany","","","","","4"
"Daily","1987","no migration background","West Germany","","","","","1"
"Daily","1987","no migration background","East Germany","","","","","1"
"Daily","1987","direct migration background","West Germany","","","","","1"
"Daily","1987","direct migration background","East Germany","","","","","1"
"Daily","1987","indirect migration background","West Germany","","","","","1"
"Daily","1987","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1987","no migration background","West Germany","","","","","3"
