"pli0092_h","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1985","1-pers.-HH","in school","","","",""
"Daily","1985","1-pers.-HH","inadequately","","","",""
"Daily","1985","1-pers.-HH","general elemantary","","","",""
"Daily","1985","1-pers.-HH","middle vocational","","","",""
"Daily","1985","1-pers.-HH","vocational + Abi","","","",""
"Daily","1985","1-pers.-HH","higher vocational","","","",""
"Daily","1985","1-pers.-HH","higher education","","","",""
"Daily","1985","(Married) couple without C. ","in school","","","",""
"Daily","1985","(Married) couple without C. ","inadequately","","","",""
"Daily","1985","(Married) couple without C. ","general elemantary","","","",""
"Daily","1985","(Married) couple without C. ","middle vocational","","","",""
"Daily","1985","(Married) couple without C. ","vocational + Abi","","","",""
"Daily","1985","(Married) couple without C. ","higher vocational","","","",""
"Daily","1985","(Married) couple without C. ","higher education","","","",""
"Daily","1985","Single parent ","in school","","","",""
"Daily","1985","Single parent ","inadequately","","","",""
"Daily","1985","Single parent ","general elemantary","","","",""
"Daily","1985","Single parent ","middle vocational","","","",""
"Daily","1985","Single parent ","vocational + Abi","","","",""
"Daily","1985","Single parent ","higher vocational","","","",""
"Daily","1985","Single parent ","higher education","","","",""
"Daily","1985","Couple + C. LE 16 ","in school","","","",""
"Daily","1985","Couple + C. LE 16 ","inadequately","","","",""
"Daily","1985","Couple + C. LE 16 ","general elemantary","","","",""
"Daily","1985","Couple + C. LE 16 ","middle vocational","","","",""
"Daily","1985","Couple + C. LE 16 ","vocational + Abi","","","",""
"Daily","1985","Couple + C. LE 16 ","higher vocational","","","",""
"Daily","1985","Couple + C. LE 16 ","higher education","","","",""
"Daily","1985","Couple + C. GT 16 ","in school","","","",""
"Daily","1985","Couple + C. GT 16 ","inadequately","","","",""
"Daily","1985","Couple + C. GT 16 ","general elemantary","","","",""
"Daily","1985","Couple + C. GT 16 ","middle vocational","","","",""
"Daily","1985","Couple + C. GT 16 ","vocational + Abi","","","",""
"Daily","1985","Couple + C. GT 16 ","higher vocational","","","",""
"Daily","1985","Couple + C. GT 16 ","higher education","","","",""
"Daily","1985","Couple + C. LE and GT 16","in school","","","",""
"Daily","1985","Couple + C. LE and GT 16","inadequately","","","",""
"Daily","1985","Couple + C. LE and GT 16","general elemantary","","","",""
"Daily","1985","Couple + C. LE and GT 16","middle vocational","","","",""
"Daily","1985","Couple + C. LE and GT 16","vocational + Abi","","","",""
"Daily","1985","Couple + C. LE and GT 16","higher vocational","","","",""
"Daily","1985","Couple + C. LE and GT 16","higher education","","","",""
"Min 1x per week","1985","1-pers.-HH","in school","","","",""
"Min 1x per week","1985","1-pers.-HH","inadequately","7","","",""
"Min 1x per week","1985","1-pers.-HH","general elemantary","30","0.0830518956541907","0.0534122417897107","0.112691549518671"
"Min 1x per week","1985","1-pers.-HH","middle vocational","148","0.243188189550639","0.207236474074196","0.279139905027082"
"Min 1x per week","1985","1-pers.-HH","vocational + Abi","15","","",""
"Min 1x per week","1985","1-pers.-HH","higher vocational","32","0.394755269140482","0.287644639085668","0.501865899195297"
"Min 1x per week","1985","1-pers.-HH","higher education","42","0.368399508978192","0.276571343280099","0.460227674676285"
"Min 1x per week","1985","(Married) couple without C. ","in school","","","",""
"Min 1x per week","1985","(Married) couple without C. ","inadequately","7","","",""
"Min 1x per week","1985","(Married) couple without C. ","general elemantary","58","0.095207594086067","0.0715448765641649","0.118870311607969"
"Min 1x per week","1985","(Married) couple without C. ","middle vocational","241","0.183981358958317","0.162696496883129","0.205266221033506"
"Min 1x per week","1985","(Married) couple without C. ","vocational + Abi","23","","",""
"Min 1x per week","1985","(Married) couple without C. ","higher vocational","41","0.242717088682875","0.175004879071888","0.310429298293861"
"Min 1x per week","1985","(Married) couple without C. ","higher education","87","0.44514694412441","0.374665937731493","0.515627950517327"
"Min 1x per week","1985","Single parent ","in school","9","","",""
"Min 1x per week","1985","Single parent ","inadequately","3","","",""
"Min 1x per week","1985","Single parent ","general elemantary","47","0.273026929601506","0.20984493797266","0.336208921230352"
"Min 1x per week","1985","Single parent ","middle vocational","55","0.223048241246048","0.170048915246603","0.276047567245492"
"Min 1x per week","1985","Single parent ","vocational + Abi","3","","",""
"Min 1x per week","1985","Single parent ","higher vocational","7","","",""
"Min 1x per week","1985","Single parent ","higher education","1","","",""
"Min 1x per week","1985","Couple + C. LE 16 ","in school","1","","",""
"Min 1x per week","1985","Couple + C. LE 16 ","inadequately","9","","",""
"Min 1x per week","1985","Couple + C. LE 16 ","general elemantary","76","0.181577750430415","0.14927239993256","0.21388310092827"
"Min 1x per week","1985","Couple + C. LE 16 ","middle vocational","331","0.275824041707025","0.251622080886814","0.300026002527235"
"Min 1x per week","1985","Couple + C. LE 16 ","vocational + Abi","20","","",""
"Min 1x per week","1985","Couple + C. LE 16 ","higher vocational","60","0.336577221980012","0.268667935252272","0.404486508707753"
"Min 1x per week","1985","Couple + C. LE 16 ","higher education","96","0.407519824870351","0.345991324403795","0.469048325336908"
"Min 1x per week","1985","Couple + C. GT 16 ","in school","49","0.612788183552313","0.506707801861051","0.718868565243574"
"Min 1x per week","1985","Couple + C. GT 16 ","inadequately","12","","",""
"Min 1x per week","1985","Couple + C. GT 16 ","general elemantary","150","0.247428948866241","0.213128854830059","0.281729042902423"
"Min 1x per week","1985","Couple + C. GT 16 ","middle vocational","251","0.276859250936466","0.247930394084037","0.305788107788895"
"Min 1x per week","1985","Couple + C. GT 16 ","vocational + Abi","15","","",""
"Min 1x per week","1985","Couple + C. GT 16 ","higher vocational","18","","",""
"Min 1x per week","1985","Couple + C. GT 16 ","higher education","33","0.318231498051301","0.229975089585667","0.406487906516934"
"Min 1x per week","1985","Couple + C. LE and GT 16","in school","45","0.612586570572026","0.505835025630351","0.719338115513701"
"Min 1x per week","1985","Couple + C. LE and GT 16","inadequately","10","","",""
"Min 1x per week","1985","Couple + C. LE and GT 16","general elemantary","126","0.278685248488365","0.239542418610495","0.317828078366236"
"Min 1x per week","1985","Couple + C. LE and GT 16","middle vocational","121","0.233753777446542","0.199131499625664","0.268376055267419"
"Min 1x per week","1985","Couple + C. LE and GT 16","vocational + Abi","1","","",""
"Min 1x per week","1985","Couple + C. LE and GT 16","higher vocational","14","","",""
"Min 1x per week","1985","Couple + C. LE and GT 16","higher education","24","","",""
"Min 1x per month","1985","1-pers.-HH","in school","","","",""
"Min 1x per month","1985","1-pers.-HH","inadequately","2","","",""
"Min 1x per month","1985","1-pers.-HH","general elemantary","7","","",""
"Min 1x per month","1985","1-pers.-HH","middle vocational","22","","",""
"Min 1x per month","1985","1-pers.-HH","vocational + Abi","1","","",""
"Min 1x per month","1985","1-pers.-HH","higher vocational","6","","",""
"Min 1x per month","1985","1-pers.-HH","higher education","9","","",""
"Min 1x per month","1985","(Married) couple without C. ","in school","","","",""
"Min 1x per month","1985","(Married) couple without C. ","inadequately","1","","",""
"Min 1x per month","1985","(Married) couple without C. ","general elemantary","16","","",""
"Min 1x per month","1985","(Married) couple without C. ","middle vocational","57","0.0409009677591025","0.0300208797703889","0.0517810557478161"
"Min 1x per month","1985","(Married) couple without C. ","vocational + Abi","6","","",""
"Min 1x per month","1985","(Married) couple without C. ","higher vocational","6","","",""
"Min 1x per month","1985","(Married) couple without C. ","higher education","11","","",""
"Min 1x per month","1985","Single parent ","in school","4","","",""
"Min 1x per month","1985","Single parent ","inadequately","","","",""
"Min 1x per month","1985","Single parent ","general elemantary","8","","",""
"Min 1x per month","1985","Single parent ","middle vocational","13","","",""
"Min 1x per month","1985","Single parent ","vocational + Abi","1","","",""
"Min 1x per month","1985","Single parent ","higher vocational","","","",""
"Min 1x per month","1985","Single parent ","higher education","4","","",""
"Min 1x per month","1985","Couple + C. LE 16 ","in school","","","",""
"Min 1x per month","1985","Couple + C. LE 16 ","inadequately","6","","",""
"Min 1x per month","1985","Couple + C. LE 16 ","general elemantary","24","","",""
"Min 1x per month","1985","Couple + C. LE 16 ","middle vocational","64","0.0493339561787442","0.0376066191605329","0.0610612931969556"
"Min 1x per month","1985","Couple + C. LE 16 ","vocational + Abi","3","","",""
"Min 1x per month","1985","Couple + C. LE 16 ","higher vocational","15","","",""
"Min 1x per month","1985","Couple + C. LE 16 ","higher education","24","","",""
"Min 1x per month","1985","Couple + C. GT 16 ","in school","8","","",""
"Min 1x per month","1985","Couple + C. GT 16 ","inadequately","5","","",""
"Min 1x per month","1985","Couple + C. GT 16 ","general elemantary","30","0.0525303156005335","0.0347972439880413","0.0702633872130258"
"Min 1x per month","1985","Couple + C. GT 16 ","middle vocational","64","0.0691721573040081","0.0527666117082004","0.0855777028998158"
"Min 1x per month","1985","Couple + C. GT 16 ","vocational + Abi","","","",""
"Min 1x per month","1985","Couple + C. GT 16 ","higher vocational","10","","",""
"Min 1x per month","1985","Couple + C. GT 16 ","higher education","4","","",""
"Min 1x per month","1985","Couple + C. LE and GT 16","in school","3","","",""
"Min 1x per month","1985","Couple + C. LE and GT 16","inadequately","1","","",""
"Min 1x per month","1985","Couple + C. LE and GT 16","general elemantary","25","","",""
"Min 1x per month","1985","Couple + C. LE and GT 16","middle vocational","36","0.0642619167624117","0.0442012143744176","0.0843226191504057"
"Min 1x per month","1985","Couple + C. LE and GT 16","vocational + Abi","1","","",""
"Min 1x per month","1985","Couple + C. LE and GT 16","higher vocational","3","","",""
"Min 1x per month","1985","Couple + C. LE and GT 16","higher education","2","","",""
"Rarely","1985","1-pers.-HH","in school","","","",""
"Rarely","1985","1-pers.-HH","inadequately","2","","",""
"Rarely","1985","1-pers.-HH","general elemantary","14","","",""
"Rarely","1985","1-pers.-HH","middle vocational","58","0.0900247494796682","0.0660391720098172","0.114010326949519"
"Rarely","1985","1-pers.-HH","vocational + Abi","7","","",""
"Rarely","1985","1-pers.-HH","higher vocational","8","","",""
"Rarely","1985","1-pers.-HH","higher education","14","","",""
"Rarely","1985","(Married) couple without C. ","in school","","","",""
"Rarely","1985","(Married) couple without C. ","inadequately","6","","",""
"Rarely","1985","(Married) couple without C. ","general elemantary","33","0.0493723342298304","0.0319060145204276","0.0668386539392331"
"Rarely","1985","(Married) couple without C. ","middle vocational","164","0.124537657613977","0.106399090736927","0.142676224491026"
"Rarely","1985","(Married) couple without C. ","vocational + Abi","9","","",""
"Rarely","1985","(Married) couple without C. ","higher vocational","23","","",""
"Rarely","1985","(Married) couple without C. ","higher education","31","0.171348769061807","0.11790983438436","0.224787703739254"
"Rarely","1985","Single parent ","in school","1","","",""
"Rarely","1985","Single parent ","inadequately","5","","",""
"Rarely","1985","Single parent ","general elemantary","20","","",""
"Rarely","1985","Single parent ","middle vocational","40","0.171926608190651","0.123889165358713","0.219964051022589"
"Rarely","1985","Single parent ","vocational + Abi","1","","",""
"Rarely","1985","Single parent ","higher vocational","5","","",""
"Rarely","1985","Single parent ","higher education","2","","",""
"Rarely","1985","Couple + C. LE 16 ","in school","","","",""
"Rarely","1985","Couple + C. LE 16 ","inadequately","23","","",""
"Rarely","1985","Couple + C. LE 16 ","general elemantary","71","0.138044211855079","0.10913701208224","0.166951411627917"
"Rarely","1985","Couple + C. LE 16 ","middle vocational","227","0.187895851059808","0.166742610755594","0.209049091364022"
"Rarely","1985","Couple + C. LE 16 ","vocational + Abi","18","","",""
"Rarely","1985","Couple + C. LE 16 ","higher vocational","34","0.181893856332674","0.12645612349534","0.237331589170008"
"Rarely","1985","Couple + C. LE 16 ","higher education","50","0.205714778302642","0.15509898639708","0.256330570208204"
"Rarely","1985","Couple + C. GT 16 ","in school","12","","",""
"Rarely","1985","Couple + C. GT 16 ","inadequately","9","","",""
"Rarely","1985","Couple + C. GT 16 ","general elemantary","61","0.0975811437496275","0.0739935665714085","0.121168720927846"
"Rarely","1985","Couple + C. GT 16 ","middle vocational","135","0.140727128122766","0.118244617968497","0.163209638277034"
"Rarely","1985","Couple + C. GT 16 ","vocational + Abi","4","","",""
"Rarely","1985","Couple + C. GT 16 ","higher vocational","24","","",""
"Rarely","1985","Couple + C. GT 16 ","higher education","25","","",""
"Rarely","1985","Couple + C. LE and GT 16","in school","10","","",""
"Rarely","1985","Couple + C. LE and GT 16","inadequately","7","","",""
"Rarely","1985","Couple + C. LE and GT 16","general elemantary","76","0.170229039117061","0.137417336811012","0.20304074142311"
"Rarely","1985","Couple + C. LE and GT 16","middle vocational","98","0.170749502235149","0.139966233165508","0.201532771304789"
"Rarely","1985","Couple + C. LE and GT 16","vocational + Abi","3","","",""
"Rarely","1985","Couple + C. LE and GT 16","higher vocational","7","","",""
"Rarely","1985","Couple + C. LE and GT 16","higher education","10","","",""
"Never","1985","1-pers.-HH","in school","","","",""
"Never","1985","1-pers.-HH","inadequately","43","0.776500865054384","0.665389084718502","0.887612645390265"
"Never","1985","1-pers.-HH","general elemantary","282","0.869340313282512","0.833141720291611","0.905538906273414"
"Never","1985","1-pers.-HH","middle vocational","319","0.634754643971439","0.594404069450888","0.675105218491991"
"Never","1985","1-pers.-HH","vocational + Abi","16","","",""
"Never","1985","1-pers.-HH","higher vocational","34","0.444954309510356","0.336054988046295","0.553853630974417"
"Never","1985","1-pers.-HH","higher education","41","0.420824060915009","0.326840759736253","0.514807362093765"
"Never","1985","(Married) couple without C. ","in school","","","",""
"Never","1985","(Married) couple without C. ","inadequately","84","0.788256810097275","0.70737075691372","0.86914286328083"
"Never","1985","(Married) couple without C. ","general elemantary","484","0.834064011878885","0.804070706119791","0.864057317637979"
"Never","1985","(Married) couple without C. ","middle vocational","811","0.650580015668604","0.624388651538951","0.676771379798257"
"Never","1985","(Married) couple without C. ","vocational + Abi","34","0.468808891326542","0.353541845918637","0.584075936734448"
"Never","1985","(Married) couple without C. ","higher vocational","84","0.590646055544248","0.512985431794301","0.668306679294195"
"Never","1985","(Married) couple without C. ","higher education","62","0.332896186085734","0.266064482924251","0.399727889247216"
"Never","1985","Single parent ","in school","5","","",""
"Never","1985","Single parent ","inadequately","33","0.719158047381769","0.581595779558168","0.856720315205371"
"Never","1985","Single parent ","general elemantary","116","0.602037426153156","0.532620677531678","0.671454174774634"
"Never","1985","Single parent ","middle vocational","129","0.552963191513152","0.489664654646562","0.616261728379743"
"Never","1985","Single parent ","vocational + Abi","4","","",""
"Never","1985","Single parent ","higher vocational","11","","",""
"Never","1985","Single parent ","higher education","8","","",""
"Never","1985","Couple + C. LE 16 ","in school","","","",""
"Never","1985","Couple + C. LE 16 ","inadequately","215","0.858102873310432","0.815105264002093","0.901100482618771"
"Never","1985","Couple + C. LE 16 ","general elemantary","376","0.634082367526269","0.593716068338001","0.674448666714537"
"Never","1985","Couple + C. LE 16 ","middle vocational","688","0.486946151054423","0.459879508544261","0.514012793564585"
"Never","1985","Couple + C. LE 16 ","vocational + Abi","37","0.38426292044717","0.276315397032533","0.492210443861807"
"Never","1985","Couple + C. LE 16 ","higher vocational","77","0.405343076352489","0.334786704823866","0.475899447881112"
"Never","1985","Couple + C. LE 16 ","higher education","75","0.299501920732392","0.242147310969899","0.356856530494885"
"Never","1985","Couple + C. GT 16 ","in school","12","","",""
"Never","1985","Couple + C. GT 16 ","inadequately","107","0.660110850397117","0.579610206050693","0.740611494743541"
"Never","1985","Couple + C. GT 16 ","general elemantary","367","0.602459591783598","0.563559475223121","0.641359708344074"
"Never","1985","Couple + C. GT 16 ","middle vocational","469","0.51324146363676","0.480926178597134","0.545556748676386"
"Never","1985","Couple + C. GT 16 ","vocational + Abi","16","","",""
"Never","1985","Couple + C. GT 16 ","higher vocational","47","0.509782295835346","0.411309251620508","0.608255340050183"
"Never","1985","Couple + C. GT 16 ","higher education","45","0.436601030299139","0.342627270151244","0.530574790447033"
"Never","1985","Couple + C. LE and GT 16","in school","22","","",""
"Never","1985","Couple + C. LE and GT 16","inadequately","179","0.855355265227989","0.806237391396089","0.904473139059888"
"Never","1985","Couple + C. LE and GT 16","general elemantary","277","0.490622064427754","0.446977875704739","0.53426625315077"
"Never","1985","Couple + C. LE and GT 16","middle vocational","319","0.531234803555898","0.490411035794133","0.572058571317663"
"Never","1985","Couple + C. LE and GT 16","vocational + Abi","10","","",""
"Never","1985","Couple + C. LE and GT 16","higher vocational","13","","",""
"Never","1985","Couple + C. LE and GT 16","higher education","12","","",""
"Daily","1986","1-pers.-HH","in school","","","",""
"Daily","1986","1-pers.-HH","inadequately","","","",""
"Daily","1986","1-pers.-HH","general elemantary","","","",""
"Daily","1986","1-pers.-HH","middle vocational","","","",""
"Daily","1986","1-pers.-HH","vocational + Abi","","","",""
"Daily","1986","1-pers.-HH","higher vocational","","","",""
"Daily","1986","1-pers.-HH","higher education","","","",""
"Daily","1986","(Married) couple without C. ","in school","","","",""
"Daily","1986","(Married) couple without C. ","inadequately","","","",""
"Daily","1986","(Married) couple without C. ","general elemantary","","","",""
"Daily","1986","(Married) couple without C. ","middle vocational","","","",""
"Daily","1986","(Married) couple without C. ","vocational + Abi","","","",""
"Daily","1986","(Married) couple without C. ","higher vocational","","","",""
"Daily","1986","(Married) couple without C. ","higher education","","","",""
"Daily","1986","Single parent ","in school","","","",""
"Daily","1986","Single parent ","inadequately","","","",""
"Daily","1986","Single parent ","general elemantary","","","",""
"Daily","1986","Single parent ","middle vocational","","","",""
"Daily","1986","Single parent ","vocational + Abi","","","",""
"Daily","1986","Single parent ","higher vocational","","","",""
"Daily","1986","Single parent ","higher education","","","",""
"Daily","1986","Couple + C. LE 16 ","in school","","","",""
"Daily","1986","Couple + C. LE 16 ","inadequately","","","",""
"Daily","1986","Couple + C. LE 16 ","general elemantary","","","",""
"Daily","1986","Couple + C. LE 16 ","middle vocational","","","",""
"Daily","1986","Couple + C. LE 16 ","vocational + Abi","","","",""
"Daily","1986","Couple + C. LE 16 ","higher vocational","","","",""
"Daily","1986","Couple + C. LE 16 ","higher education","","","",""
"Daily","1986","Couple + C. GT 16 ","in school","","","",""
"Daily","1986","Couple + C. GT 16 ","inadequately","","","",""
"Daily","1986","Couple + C. GT 16 ","general elemantary","","","",""
"Daily","1986","Couple + C. GT 16 ","middle vocational","","","",""
"Daily","1986","Couple + C. GT 16 ","vocational + Abi","","","",""
"Daily","1986","Couple + C. GT 16 ","higher vocational","","","",""
"Daily","1986","Couple + C. GT 16 ","higher education","","","",""
"Daily","1986","Couple + C. LE and GT 16","in school","","","",""
"Daily","1986","Couple + C. LE and GT 16","inadequately","","","",""
"Daily","1986","Couple + C. LE and GT 16","general elemantary","","","",""
"Daily","1986","Couple + C. LE and GT 16","middle vocational","","","",""
"Daily","1986","Couple + C. LE and GT 16","vocational + Abi","","","",""
"Daily","1986","Couple + C. LE and GT 16","higher vocational","","","",""
"Daily","1986","Couple + C. LE and GT 16","higher education","","","",""
"Min 1x per week","1986","1-pers.-HH","in school","1","","",""
"Min 1x per week","1986","1-pers.-HH","inadequately","7","","",""
"Min 1x per week","1986","1-pers.-HH","general elemantary","31","0.0897886413936491","0.0575995585737826","0.121977724213516"
"Min 1x per week","1986","1-pers.-HH","middle vocational","140","0.224582510011624","0.189417947357225","0.259747072666023"
"Min 1x per week","1986","1-pers.-HH","vocational + Abi","13","","",""
"Min 1x per week","1986","1-pers.-HH","higher vocational","25","","",""
"Min 1x per week","1986","1-pers.-HH","higher education","44","0.35847358839213","0.269261757242501","0.447685419541759"
"Min 1x per week","1986","(Married) couple without C. ","in school","","","",""
"Min 1x per week","1986","(Married) couple without C. ","inadequately","5","","",""
"Min 1x per week","1986","(Married) couple without C. ","general elemantary","68","0.114981226564105","0.0889526813840094","0.141009771744201"
